Date,APLLTD
2012-01-02,35.05
2012-01-03,36.05
2012-01-04,35.85
2012-01-05,36.05
2012-01-06,36.1
2012-01-07,36.85
2012-01-09,36.85
2012-01-10,37.85
2012-01-11,38.0
2012-01-12,37.65
2012-01-13,38.05
2012-01-16,38.0
2012-01-17,37.95
2012-01-18,37.7
2012-01-19,38.0
2012-01-20,37.6
2012-01-23,37.6
2012-01-24,37.5
2012-01-25,38.05
2012-01-27,38.75
2012-01-30,38.0
2012-01-31,38.15
2012-02-01,39.15
2012-02-02,40.25
2012-02-03,41.55
2012-02-06,42.25
2012-02-07,41.85
2012-02-08,41.7
2012-02-09,43.65
2012-02-10,42.9
2012-02-13,43.8
2012-02-14,45.75
2012-02-15,45.65
2012-02-16,45.85
2012-02-17,46.95
2012-02-21,47.2
2012-02-22,46.75
2012-02-23,45.95
2012-02-24,46.4
2012-02-27,44.45
2012-02-28,45.3
2012-02-29,45.15
2012-03-01,46.8
2012-03-02,46.95
2012-03-03,46.5
2012-03-05,45.8
2012-03-06,45.15
2012-03-07,43.95
2012-03-09,44.5
2012-03-12,43.95
2012-03-13,45.1
2012-03-14,43.25
2012-03-15,44.45
2012-03-16,43.5
2012-03-19,42.75
2012-03-20,42.85
2012-03-21,42.95
2012-03-22,43.5
2012-03-23,45.45
2012-03-26,46.5
2012-03-27,47.3
2012-03-28,47.35
2012-03-29,47.05
2012-03-30,48.25
2012-04-02,49.0
2012-04-03,52.8
2012-04-04,53.35
2012-04-09,54.05
2012-04-10,53.1
2012-04-11,53.7
2012-04-12,54.4
2012-04-13,56.85
2012-04-16,58.1
2012-04-17,58.65
2012-04-18,58.0
2012-04-19,57.75
2012-04-20,56.65
2012-04-23,55.8
2012-04-24,56.65
2012-04-25,55.1
2012-04-26,53.3
2012-04-27,53.95
2012-04-28,54.85
2012-04-30,54.5
2012-05-02,53.6
2012-05-03,54.05
2012-05-04,52.4
2012-05-07,53.3
2012-05-08,53.3
2012-05-09,54.1
2012-05-10,51.8
2012-05-11,51.95
2012-05-14,50.85
2012-05-15,49.7
2012-05-16,49.65
2012-05-17,50.15
2012-05-18,49.4
2012-05-21,48.55
2012-05-22,49.15
2012-05-23,48.45
2012-05-24,50.7
2012-05-25,50.0
2012-05-28,50.3
2012-05-29,49.8
2012-05-30,49.65
2012-05-31,49.5
2012-06-01,48.75
2012-06-04,48.4
2012-06-05,48.7
2012-06-06,49.45
2012-06-07,49.45
2012-06-08,49.0
2012-06-11,52.05
2012-06-12,53.35
2012-06-13,51.25
2012-06-14,51.6
2012-06-15,53.45
2012-06-18,52.4
2012-06-19,52.1
2012-06-20,55.6
2012-06-21,56.25
2012-06-22,55.0
2012-06-25,55.0
2012-06-26,53.9
2012-06-27,53.55
2012-06-28,54.6
2012-06-29,55.8
2012-07-02,55.15
2012-07-03,55.35
2012-07-04,57.25
2012-07-05,58.65
2012-07-06,57.05
2012-07-09,58.55
2012-07-09,58.55
2012-07-10,58.65
2012-07-11,58.05
2012-07-12,57.7
2012-07-13,57.7
2012-07-16,57.4
2012-07-17,57.05
2012-07-18,56.95
2012-07-19,58.4
2012-07-20,58.15
2012-07-23,60.9
2012-07-24,61.6
2012-07-25,60.35
2012-07-26,60.8
2012-07-27,60.0
2012-07-30,60.4
2012-07-31,59.95
2012-08-01,62.25
2012-08-02,63.9
2012-08-03,64.35
2012-08-06,65.4
2012-08-07,63.65
2012-08-08,64.5
2012-08-09,61.4
2012-08-10,58.7
2012-08-13,59.5
2012-08-14,59.75
2012-08-16,60.05
2012-08-17,62.85
2012-08-21,64.95
2012-08-22,68.15
2012-08-23,70.7
2012-08-24,73.45
2012-08-27,68.75
2012-08-28,68.4
2012-08-29,67.9
2012-08-30,69.6
2012-08-31,68.8
2012-09-03,70.3
2012-09-04,73.9
2012-09-05,73.8
2012-09-06,73.65
2012-09-07,73.75
2012-09-08,75.05
2012-09-10,76.45
2012-09-11,77.75
2012-09-12,77.0
2012-09-13,73.5
2012-09-14,73.1
2012-09-17,70.5
2012-09-18,69.55
2012-09-20,70.5
2012-09-21,71.25
2012-09-24,69.95
2012-09-25,70.75
2012-09-26,73.0
2012-09-27,73.9
2012-09-28,71.55
2012-10-01,71.15
2012-10-03,71.8
2012-10-04,70.95
2012-10-05,70.3
2012-10-08,70.4
2012-10-09,70.9
2012-10-10,69.85
2012-10-11,69.9
2012-10-12,69.65
2012-10-15,69.5
2012-10-16,69.65
2012-10-17,70.15
2012-10-18,70.5
2012-10-19,69.9
2012-10-22,71.85
2012-10-23,70.7
2012-10-25,70.1
2012-10-26,69.2
2012-10-29,68.2
2012-10-30,66.85
2012-10-31,67.85
2012-11-01,68.45
2012-11-02,68.05
2012-11-05,67.85
2012-11-06,67.5
2012-11-07,68.4
2012-11-08,68.95
2012-11-09,68.5
2012-11-12,67.7
2012-11-13,68.3
2012-11-15,67.95
2012-11-16,66.35
2012-11-19,65.15
2012-11-20,63.65
2012-11-21,63.1
2012-11-22,65.15
2012-11-23,62.15
2012-11-26,61.85
2012-11-27,61.95
2012-11-29,63.9
2012-11-30,63.55
2012-12-03,66.65
2012-12-04,67.0
2012-12-05,66.4
2012-12-06,66.85
2012-12-07,65.55
2012-12-10,65.9
2012-12-11,66.1
2012-12-12,68.65
2012-12-13,67.7
2012-12-14,68.1
2012-12-17,69.05
2012-12-18,69.05
2012-12-19,69.75
2012-12-20,68.95
2012-12-21,67.7
2012-12-24,69.1
2012-12-26,68.8
2012-12-27,68.95
2012-12-28,69.15
2012-12-31,72.5
