Date,NAHARINDUS
2012-01-02,33.0
2012-01-03,34.0
2012-01-04,34.4
2012-01-05,34.0
2012-01-06,32.6
2012-01-07,34.0
2012-01-09,34.55
2012-01-10,34.15
2012-01-11,36.95
2012-01-12,35.25
2012-01-13,37.75
2012-01-16,37.9
2012-01-17,37.25
2012-01-18,38.35
2012-01-19,37.3
2012-01-20,37.45
2012-01-23,38.5
2012-01-24,38.75
2012-01-25,38.95
2012-01-27,39.0
2012-01-30,37.35
2012-01-31,37.7
2012-02-01,37.6
2012-02-02,38.15
2012-02-03,39.15
2012-02-06,40.55
2012-02-07,39.75
2012-02-08,39.55
2012-02-09,40.5
2012-02-10,41.0
2012-02-13,40.35
2012-02-14,41.0
2012-02-15,40.3
2012-02-16,41.15
2012-02-17,40.25
2012-02-21,38.65
2012-02-22,39.25
2012-02-23,37.3
2012-02-24,37.05
2012-02-27,35.5
2012-02-28,36.3
2012-02-29,37.85
2012-03-01,37.15
2012-03-02,36.95
2012-03-03,36.1
2012-03-05,36.0
2012-03-06,36.0
2012-03-07,36.9
2012-03-09,34.65
2012-03-12,34.25
2012-03-13,34.7
2012-03-14,34.45
2012-03-15,34.0
2012-03-16,34.3
2012-03-19,34.95
2012-03-20,35.75
2012-03-21,35.4
2012-03-22,34.55
2012-03-23,32.3
2012-03-26,32.25
2012-03-27,32.6
2012-03-28,30.85
2012-03-29,30.7
2012-03-30,31.2
2012-04-02,32.85
2012-04-03,32.25
2012-04-10,32.7
2012-04-11,31.75
2012-04-12,31.55
2012-04-13,33.05
2012-04-16,33.5
2012-04-17,33.05
2012-04-18,33.35
2012-04-19,33.85
2012-04-20,33.15
2012-04-23,31.8
2012-04-24,33.0
2012-04-25,32.5
2012-04-26,31.15
2012-04-27,31.6
2012-04-28,31.1
2012-04-30,31.8
2012-05-02,31.85
2012-05-03,31.7
2012-05-04,31.55
2012-05-07,32.3
2012-05-08,31.05
2012-05-09,30.65
2012-05-10,31.15
2012-05-11,30.7
2012-05-14,30.3
2012-05-15,32.2
2012-05-16,31.15
2012-05-17,31.9
2012-05-18,31.85
2012-05-21,31.4
2012-05-22,31.45
2012-05-23,31.4
2012-05-24,32.0
2012-05-25,32.45
2012-05-28,32.0
2012-05-29,32.0
2012-05-30,32.0
2012-05-31,32.25
2012-06-01,31.1
2012-06-04,32.0
2012-06-05,31.3
2012-06-06,31.4
2012-06-07,31.85
2012-06-08,31.85
2012-06-11,31.65
2012-06-12,31.95
2012-06-13,31.2
2012-06-14,31.5
2012-06-15,31.95
2012-06-18,33.75
2012-06-19,33.0
2012-06-20,31.9
2012-06-21,32.0
2012-06-22,33.1
2012-06-25,32.6
2012-06-26,33.0
2012-06-27,33.65
2012-06-28,33.7
2012-06-29,33.85
2012-07-02,34.45
2012-07-03,35.35
2012-07-04,35.2
2012-07-05,35.75
2012-07-06,35.8
2012-07-09,34.0
2012-07-09,34.0
2012-07-10,34.05
2012-07-11,34.85
2012-07-12,34.0
2012-07-13,34.5
2012-07-16,34.75
2012-07-17,33.8
2012-07-18,33.85
2012-07-19,34.05
2012-07-20,33.65
2012-07-23,33.0
2012-07-24,33.0
2012-07-25,32.0
2012-07-26,31.1
2012-07-27,31.25
2012-07-30,32.0
2012-07-31,31.5
2012-08-01,32.0
2012-08-02,32.25
2012-08-03,32.65
2012-08-06,33.45
2012-08-07,34.15
2012-08-08,32.6
2012-08-09,32.25
2012-08-10,32.5
2012-08-13,31.55
2012-08-14,31.6
2012-08-16,31.85
2012-08-17,33.15
2012-08-21,34.5
2012-08-22,33.6
2012-08-23,33.45
2012-08-24,34.0
2012-08-27,34.55
2012-08-28,32.55
2012-08-29,32.55
2012-08-30,32.85
2012-08-31,32.4
2012-09-03,33.3
2012-09-04,33.05
2012-09-05,33.5
2012-09-06,32.6
2012-09-07,32.55
2012-09-08,32.3
2012-09-10,33.15
2012-09-11,34.55
2012-09-12,35.45
2012-09-13,36.25
2012-09-14,35.65
2012-09-17,35.1
2012-09-18,35.25
2012-09-20,34.8
2012-09-21,35.0
2012-09-24,36.55
2012-09-25,36.0
2012-09-26,36.0
2012-09-27,35.5
2012-09-28,36.65
2012-10-01,36.7
2012-10-03,36.2
2012-10-04,37.15
2012-10-05,36.2
2012-10-08,35.6
2012-10-09,35.5
2012-10-10,34.65
2012-10-11,34.45
2012-10-12,35.0
2012-10-15,35.75
2012-10-16,34.65
2012-10-17,34.45
2012-10-18,34.45
2012-10-19,34.65
2012-10-22,34.5
2012-10-23,34.35
2012-10-25,34.15
2012-10-26,34.7
2012-10-29,34.45
2012-10-30,35.7
2012-10-31,36.3
2012-11-01,36.45
2012-11-02,37.8
2012-11-05,38.5
2012-11-06,38.15
2012-11-07,38.0
2012-11-08,38.0
2012-11-09,38.6
2012-11-12,38.35
2012-11-13,37.5
2012-11-15,37.95
2012-11-16,37.5
2012-11-19,37.1
2012-11-20,36.95
2012-11-21,36.15
2012-11-22,36.1
2012-11-23,35.55
2012-11-26,35.3
2012-11-27,36.0
2012-11-29,35.6
2012-11-30,36.0
2012-12-03,36.05
2012-12-04,36.95
2012-12-05,37.75
2012-12-06,36.75
2012-12-07,37.95
2012-12-10,36.75
2012-12-11,36.35
2012-12-12,37.1
2012-12-13,36.75
2012-12-14,36.1
2012-12-17,37.35
2012-12-18,37.0
2012-12-19,36.65
2012-12-20,36.95
2012-12-21,37.05
2012-12-24,36.95
2012-12-26,36.2
2012-12-27,36.1
2012-12-28,36.05
2012-12-31,36.05
