Date,NAHARSPING
2012-01-02,53.05
2012-01-03,54.7
2012-01-04,56.05
2012-01-05,54.55
2012-01-06,53.9
2012-01-07,55.4
2012-01-09,56.95
2012-01-10,57.35
2012-01-11,57.35
2012-01-12,57.6
2012-01-13,57.2
2012-01-16,57.1
2012-01-17,57.95
2012-01-18,58.05
2012-01-19,57.3
2012-01-20,57.2
2012-01-23,57.1
2012-01-24,57.4
2012-01-25,57.55
2012-01-27,58.85
2012-01-30,58.05
2012-01-31,57.25
2012-02-01,58.0
2012-02-02,59.05
2012-02-03,62.45
2012-02-06,64.4
2012-02-07,63.0
2012-02-08,62.85
2012-02-09,64.05
2012-02-10,64.75
2012-02-13,64.3
2012-02-14,63.6
2012-02-15,61.55
2012-02-16,62.75
2012-02-17,62.05
2012-02-21,62.1
2012-02-22,59.55
2012-02-23,57.2
2012-02-24,55.85
2012-02-27,53.3
2012-02-28,55.25
2012-02-29,56.7
2012-03-01,56.1
2012-03-02,54.85
2012-03-03,54.45
2012-03-05,55.3
2012-03-06,56.05
2012-03-07,54.6
2012-03-09,55.05
2012-03-12,56.3
2012-03-13,56.05
2012-03-14,55.25
2012-03-15,54.1
2012-03-16,52.95
2012-03-19,54.0
2012-03-20,53.75
2012-03-21,53.6
2012-03-22,52.9
2012-03-23,51.35
2012-03-26,50.7
2012-03-27,50.1
2012-03-28,48.95
2012-03-29,48.9
2012-03-30,48.75
2012-04-02,49.0
2012-04-03,48.8
2012-04-04,48.9
2012-04-09,48.95
2012-04-10,49.0
2012-04-11,48.95
2012-04-12,49.0
2012-04-13,48.3
2012-04-16,48.95
2012-04-17,48.65
2012-04-18,48.9
2012-04-19,49.0
2012-04-20,48.8
2012-04-23,48.4
2012-04-24,48.55
2012-04-25,47.7
2012-04-26,47.9
2012-04-27,47.6
2012-04-28,47.4
2012-04-30,48.45
2012-05-02,48.35
2012-05-03,47.65
2012-05-04,47.45
2012-05-07,47.45
2012-05-08,46.6
2012-05-09,47.0
2012-05-10,47.0
2012-05-11,45.7
2012-05-14,46.55
2012-05-15,46.15
2012-05-16,46.75
2012-05-17,47.4
2012-05-18,45.55
2012-05-21,47.65
2012-05-22,47.1
2012-05-23,47.65
2012-05-24,46.95
2012-05-25,47.85
2012-05-28,48.9
2012-05-29,48.85
2012-05-30,48.2
2012-05-31,46.8
2012-06-01,46.9
2012-06-04,46.05
2012-06-05,45.65
2012-06-06,46.65
2012-06-07,47.45
2012-06-08,48.0
2012-06-11,49.0
2012-06-12,48.1
2012-06-13,48.95
2012-06-14,48.3
2012-06-15,47.95
2012-06-18,48.3
2012-06-19,49.65
2012-06-20,48.7
2012-06-21,49.8
2012-06-22,51.05
2012-06-25,52.1
2012-06-26,51.75
2012-06-27,53.5
2012-06-28,55.2
2012-06-29,56.85
2012-07-02,57.6
2012-07-03,56.85
2012-07-04,57.3
2012-07-05,60.85
2012-07-06,59.1
2012-07-09,57.3
2012-07-09,57.3
2012-07-10,58.6
2012-07-11,58.75
2012-07-12,59.1
2012-07-13,59.95
2012-07-16,61.85
2012-07-17,60.95
2012-07-18,60.75
2012-07-19,60.65
2012-07-20,60.55
2012-07-23,58.75
2012-07-24,58.0
2012-07-25,58.75
2012-07-26,57.9
2012-07-27,57.95
2012-07-30,60.1
2012-07-31,63.5
2012-08-01,63.35
2012-08-02,67.15
2012-08-03,65.85
2012-08-06,68.75
2012-08-07,70.2
2012-08-08,67.2
2012-08-09,66.95
2012-08-10,65.4
2012-08-13,64.75
2012-08-14,65.75
2012-08-16,67.35
2012-08-17,66.25
2012-08-21,64.25
2012-08-22,64.35
2012-08-23,62.5
2012-08-24,62.15
2012-08-27,60.5
2012-08-28,59.55
2012-08-29,57.55
2012-08-30,57.95
2012-08-31,58.0
2012-09-03,56.5
2012-09-04,57.15
2012-09-05,56.1
2012-09-06,55.9
2012-09-07,58.05
2012-09-08,61.65
2012-09-10,62.0
2012-09-11,61.6
2012-09-12,62.7
2012-09-13,63.5
2012-09-14,62.6
2012-09-17,64.0
2012-09-18,64.0
2012-09-20,61.8
2012-09-21,64.0
2012-09-24,65.1
2012-09-25,65.0
2012-09-26,63.45
2012-09-27,63.6
2012-09-28,66.05
2012-10-01,68.1
2012-10-03,67.7
2012-10-04,68.45
2012-10-05,68.1
2012-10-08,68.15
2012-10-09,68.35
2012-10-10,67.4
2012-10-11,69.25
2012-10-12,67.5
2012-10-15,67.05
2012-10-16,65.65
2012-10-17,64.55
2012-10-18,67.0
2012-10-19,66.35
2012-10-22,68.7
2012-10-23,68.5
2012-10-25,66.8
2012-10-26,67.55
2012-10-29,69.4
2012-10-30,74.7
2012-10-31,72.65
2012-11-01,72.05
2012-11-02,70.85
2012-11-05,72.05
2012-11-06,70.8
2012-11-07,71.9
2012-11-08,72.85
2012-11-09,71.75
2012-11-12,70.6
2012-11-13,70.3
2012-11-15,69.8
2012-11-16,69.65
2012-11-19,69.45
2012-11-20,68.4
2012-11-21,67.65
2012-11-22,66.45
2012-11-23,66.05
2012-11-26,67.05
2012-11-27,67.5
2012-11-29,67.25
2012-11-30,66.85
2012-12-03,67.9
2012-12-04,68.15
2012-12-05,70.85
2012-12-06,70.0
2012-12-07,71.55
2012-12-10,71.1
2012-12-11,70.55
2012-12-12,69.3
2012-12-13,69.5
2012-12-14,69.45
2012-12-17,69.05
2012-12-18,68.6
2012-12-19,68.4
2012-12-20,67.85
2012-12-21,67.05
2012-12-24,67.45
2012-12-26,67.8
2012-12-27,67.0
2012-12-28,66.45
2012-12-31,68.85
