Date,IDBIGOLD
2013-01-01,3012.75
2013-01-02,3020.1
2013-01-03,3030.35
2013-01-04,2995.55
2013-01-07,3028.35
2013-01-08,3023.55
2013-01-09,3043.0
2013-01-10,3022.05
2013-01-11,3021.25
2013-01-14,3052.5
2013-01-15,3050.05
2013-01-16,3070.0
2013-01-17,3030.55
2013-01-18,3045.45
2013-01-21,3016.75
2013-01-22,3071.5
2013-01-23,3056.35
2013-01-24,3041.05
2013-01-25,3048.0
2013-01-28,3014.85
2013-01-29,3017.85
2013-01-30,2989.5
2013-01-31,2985.5
2013-02-01,2975.0
2013-02-04,2982.65
2013-02-05,2989.95
2013-02-06,3023.4
2013-02-07,3018.5
2013-02-08,3040.8
2013-02-11,3021.55
2013-02-12,3010.0
2013-02-13,2995.9
2013-02-14,2996.8
2013-02-15,2993.5
2013-02-18,2969.3
2013-02-19,2958.5
2013-02-20,2935.5
2013-02-21,2922.9
2013-02-22,2940.95
2013-02-25,2909.45
2013-02-26,2910.45
2013-02-27,2929.0
2013-02-28,2907.8
2013-03-01,2909.7
2013-03-04,2930.15
2013-03-05,2939.95
2013-03-06,2927.05
2013-03-07,2938.2
2013-03-08,2905.45
2013-03-11,2909.35
2013-03-12,2900.8
2013-03-13,2901.9
2013-03-14,2895.35
2013-03-15,2901.0
2013-03-18,2925.05
2013-03-19,2933.3
2013-03-20,2965.05
2013-03-21,2937.35
2013-03-22,2956.65
2013-03-25,2940.0
2013-03-26,2935.0
2013-03-28,2954.95
2013-04-01,2926.0
2013-04-02,2953.95
2013-04-03,2887.85
2013-04-04,2870.15
2013-04-05,2880.0
2013-04-08,2927.75
2013-04-09,2897.0
2013-04-10,2925.0
2013-04-11,2886.35
2013-04-12,2863.1
2013-04-15,2658.5
2013-04-16,2595.25
2013-04-17,2560.2
2013-04-18,2598.9
2013-04-22,2637.05
2013-04-23,2649.7
2013-04-25,2674.5
2013-04-26,2720.0
2013-04-29,2720.25
2013-04-30,2716.05
2013-05-02,2685.95
2013-05-03,2690.0
2013-05-06,2680.0
2013-05-07,2682.35
2013-05-08,2689.95
2013-05-09,2703.15
2013-05-10,2703.95
2013-05-11,2843.65
2013-05-13,2691.3
2013-05-14,2686.85
2013-05-15,2646.65
2013-05-16,2599.4
2013-05-17,2596.2
2013-05-20,2573.75
2013-05-21,2587.35
2013-05-22,2587.55
2013-05-23,2597.7
2013-05-24,2576.75
2013-05-27,2580.95
2013-05-28,2570.35
2013-05-29,2583.55
2013-05-30,2616.6
2013-05-31,2653.5
2013-06-03,2646.65
2013-06-04,2677.8
2013-06-05,2665.0
2013-06-06,2720.25
2013-06-07,2744.7
2013-06-10,2729.0
2013-06-11,2702.65
2013-06-12,2677.65
2013-06-13,2745.55
2013-06-14,2667.3
2013-06-17,2686.45
2013-06-18,2718.6
2013-06-19,2727.05
2013-06-20,2670.0
2013-06-21,2615.25
2013-06-24,2615.05
2013-06-25,2618.2
2013-06-26,2585.9
2013-06-27,2550.05
2013-06-28,2511.5
2013-07-01,2550.5
2013-07-02,2561.0
2013-07-03,2556.0
2013-07-04,2570.0
2013-07-05,2550.0
2013-07-08,2552.85
2013-07-09,2595.6
2013-07-10,2555.55
2013-07-11,2601.7
2013-07-12,2595.0
2013-07-15,2607.35
2013-07-16,2580.75
2013-07-17,2643.85
2013-07-18,2591.05
2013-07-19,2650.15
2013-07-22,2703.05
2013-07-23,2716.25
2013-07-24,2731.0
2013-07-25,2657.45
2013-07-26,2681.85
2013-07-29,2727.4
2013-07-30,2731.95
2013-07-31,2774.45
2013-08-01,2753.45
2013-08-02,2708.0
2013-08-05,2766.1
2013-08-06,2747.3
2013-08-07,2722.55
2013-08-08,2723.6
2013-08-12,2811.85
2013-08-13,2862.45
2013-08-14,2865.0
2013-08-16,2971.4
2013-08-19,3023.45
2013-08-20,3009.85
2013-08-21,3025.05
2013-08-22,3012.6
2013-08-23,2983.75
2013-08-26,3019.95
2013-08-27,3021.0
2013-08-28,3032.2
2013-08-29,3051.55
2013-08-30,3015.95
2013-09-02,3040.15
2013-09-03,3076.1
2013-09-04,3087.0
2013-09-05,3036.85
2013-09-06,3000.0
2013-09-10,2956.5
2013-09-11,2949.2
2013-09-12,2928.0
2013-09-13,2880.0
2013-09-16,2858.2
2013-09-17,2900.0
2013-09-18,2900.0
2013-09-19,2923.5
2013-09-20,2903.3
2013-09-23,2873.35
2013-09-24,2885.1
2013-09-25,2938.35
2013-09-26,2899.0
2013-09-27,2900.0
2013-09-30,2922.8
2013-10-01,2915.0
2013-10-03,2886.85
2013-10-04,2880.1
2013-10-07,2921.65
2013-10-08,2930.0
2013-10-09,2896.0
2013-10-10,2893.25
2013-10-11,2873.7
2013-10-14,2874.8
2013-10-15,2901.6
2013-10-17,2928.0
2013-10-18,2966.0
2013-10-21,2999.35
