Date,IOC
2013-01-01,266.65
2013-01-02,272.0
2013-01-03,271.55
2013-01-04,281.15
2013-01-07,281.25
2013-01-08,281.35
2013-01-09,286.35
2013-01-10,286.15
2013-01-11,284.75
2013-01-14,288.1
2013-01-15,297.55
2013-01-16,296.95
2013-01-17,315.9
2013-01-18,349.3
2013-01-21,344.6
2013-01-22,333.4
2013-01-23,325.95
2013-01-24,313.85
2013-01-25,323.55
2013-01-28,318.6
2013-01-29,310.45
2013-01-30,313.65
2013-01-31,327.3
2013-02-01,336.85
2013-02-04,328.6
2013-02-05,332.45
2013-02-06,332.8
2013-02-07,326.2
2013-02-08,315.2
2013-02-11,312.4
2013-02-12,317.05
2013-02-13,320.2
2013-02-14,316.55
2013-02-15,314.8
2013-02-18,312.55
2013-02-19,314.45
2013-02-20,317.9
2013-02-21,314.2
2013-02-22,312.35
2013-02-25,306.6
2013-02-26,293.95
2013-02-27,306.4
2013-02-28,292.7
2013-03-01,298.85
2013-03-04,303.8
2013-03-05,308.1
2013-03-06,307.05
2013-03-07,307.2
2013-03-08,311.95
2013-03-11,313.8
2013-03-12,310.5
2013-03-13,308.7
2013-03-14,309.8
2013-03-15,317.55
2013-03-18,310.7
2013-03-19,305.2
2013-03-20,300.0
2013-03-21,299.2
2013-03-22,290.05
2013-03-25,279.45
2013-03-26,273.3
2013-03-28,281.6
2013-04-01,281.4
2013-04-02,284.75
2013-04-03,289.8
2013-04-04,282.85
2013-04-05,288.4
2013-04-08,290.25
2013-04-09,286.95
2013-04-10,287.55
2013-04-11,288.8
2013-04-12,290.7
2013-04-15,301.7
2013-04-16,303.05
2013-04-17,301.35
2013-04-18,303.0
2013-04-22,303.75
2013-04-23,307.35
2013-04-25,303.8
2013-04-26,301.1
2013-04-29,301.9
2013-04-30,299.4
2013-05-02,302.85
2013-05-03,292.35
2013-05-06,294.55
2013-05-07,293.95
2013-05-08,291.8
2013-05-09,294.6
2013-05-10,305.6
2013-05-11,307.7
2013-05-13,299.75
2013-05-14,303.3
2013-05-15,310.15
2013-05-16,311.45
2013-05-17,311.35
2013-05-20,303.15
2013-05-21,304.8
2013-05-22,293.05
2013-05-23,286.6
2013-05-24,289.25
2013-05-27,289.1
2013-05-28,293.35
2013-05-29,292.0
2013-05-30,294.5
2013-05-31,285.85
2013-06-03,284.35
2013-06-04,283.75
2013-06-05,282.0
2013-06-06,276.55
2013-06-07,270.05
2013-06-10,266.45
2013-06-11,260.45
2013-06-12,260.15
2013-06-13,250.7
2013-06-14,251.85
2013-06-17,253.0
2013-06-18,248.3
2013-06-19,240.65
2013-06-20,240.65
2013-06-21,234.9
2013-06-24,219.05
2013-06-25,222.6
2013-06-26,221.8
2013-06-27,223.45
2013-06-28,234.75
2013-07-01,236.6
2013-07-02,236.6
2013-07-03,225.7
2013-07-04,224.4
2013-07-05,225.25
2013-07-08,217.0
2013-07-09,219.5
2013-07-10,219.15
2013-07-11,222.25
2013-07-12,223.7
2013-07-15,227.35
2013-07-16,229.45
2013-07-17,225.15
2013-07-18,228.75
2013-07-19,225.35
2013-07-22,224.75
2013-07-23,225.7
2013-07-24,223.2
2013-07-25,220.25
2013-07-26,223.35
2013-07-29,213.0
2013-07-30,195.45
2013-07-31,204.9
2013-08-01,195.55
2013-08-02,193.05
2013-08-05,194.35
2013-08-06,192.9
2013-08-07,195.45
2013-08-08,195.5
2013-08-12,200.25
2013-08-13,200.8
2013-08-14,214.85
2013-08-16,210.45
2013-08-19,208.05
2013-08-20,210.3
2013-08-21,211.15
2013-08-22,209.7
2013-08-23,213.25
2013-08-26,214.7
2013-08-27,208.1
2013-08-28,207.75
2013-08-29,209.7
2013-08-30,209.4
2013-09-02,210.3
2013-09-03,206.85
2013-09-04,210.75
2013-09-05,222.4
2013-09-06,232.05
2013-09-10,223.5
2013-09-11,229.25
2013-09-12,228.55
2013-09-13,232.95
2013-09-16,231.85
2013-09-17,233.3
2013-09-18,230.2
2013-09-19,234.05
2013-09-20,223.7
2013-09-23,221.2
2013-09-24,219.55
2013-09-25,215.95
2013-09-26,206.95
2013-09-27,211.25
2013-09-30,207.85
2013-10-01,204.65
2013-10-03,207.75
2013-10-04,211.55
2013-10-07,212.45
2013-10-08,210.45
2013-10-09,207.75
2013-10-10,208.05
2013-10-11,205.95
2013-10-14,202.4
2013-10-15,200.65
2013-10-17,198.05
2013-10-18,199.85
2013-10-21,199.1
2013-10-22,203.25
2013-10-23,202.25
2013-10-24,199.2
2013-10-25,199.2
2013-10-28,199.95
2013-10-29,198.7
2013-10-30,200.2
2013-10-31,202.05
2013-11-01,205.9
2013-11-03,212.05
2013-11-05,216.05
2013-11-06,216.15
2013-11-07,210.1
2013-11-08,213.3
2013-11-11,203.1
2013-11-12,198.95
2013-11-13,197.6
2013-11-14,198.1
2013-11-18,203.05
2013-11-19,204.8
2013-11-20,201.3
2013-11-21,198.8
2013-11-22,200.6
2013-11-25,205.85
2013-11-26,201.0
2013-11-27,199.65
2013-11-28,200.1
2013-11-29,201.05
2013-12-02,203.55
2013-12-03,202.25
2013-12-04,202.35
2013-12-05,205.35
2013-12-06,205.25
2013-12-09,208.65
2013-12-10,204.35
2013-12-11,206.05
2013-12-12,202.6
2013-12-13,199.25
2013-12-16,197.7
2013-12-17,197.0
2013-12-18,202.6
2013-12-19,199.95
2013-12-20,204.25
2013-12-23,208.05
2013-12-24,211.7
2013-12-26,213.25
2013-12-27,213.05
2013-12-30,211.9
2013-12-31,214.15
