Date,PARSVNATH
2013-01-01,39.95
2013-01-02,39.95
2013-01-03,41.7
2013-01-04,40.8
2013-01-07,40.15
2013-01-08,39.7
2013-01-09,39.85
2013-01-10,39.45
2013-01-11,39.35
2013-01-14,39.95
2013-01-15,38.75
2013-01-16,37.45
2013-01-17,37.75
2013-01-18,38.2
2013-01-21,38.1
2013-01-22,37.35
2013-01-23,36.6
2013-01-24,36.95
2013-01-25,37.9
2013-01-28,37.95
2013-01-29,39.05
2013-01-30,40.45
2013-01-31,41.0
2013-02-01,41.6
2013-02-04,42.05
2013-02-05,42.5
2013-02-06,43.15
2013-02-07,43.35
2013-02-08,42.9
2013-02-11,43.35
2013-02-12,42.8
2013-02-13,43.3
2013-02-14,42.55
2013-02-15,42.7
2013-02-18,42.95
2013-02-19,43.2
2013-02-20,43.4
2013-02-21,43.35
2013-02-22,43.95
2013-02-25,43.8
2013-02-26,42.75
2013-02-27,43.55
2013-02-28,43.15
2013-03-01,43.3
2013-03-04,43.45
2013-03-05,43.3
2013-03-06,42.9
2013-03-07,43.75
2013-03-08,43.7
2013-03-11,43.35
2013-03-12,42.15
2013-03-13,41.8
2013-03-14,41.65
2013-03-15,39.75
2013-03-18,40.1
2013-03-19,40.25
2013-03-20,39.9
2013-03-21,39.85
2013-03-22,39.75
2013-03-25,39.75
2013-03-26,39.75
2013-03-28,39.65
2013-04-01,39.25
2013-04-02,39.05
2013-04-03,38.85
2013-04-04,37.9
2013-04-05,37.55
2013-04-08,36.95
2013-04-09,35.9
2013-04-10,35.85
2013-04-11,34.15
2013-04-12,32.5
2013-04-15,34.1
2013-04-16,34.0
2013-04-17,35.55
2013-04-18,36.15
2013-04-22,35.5
2013-04-23,34.8
2013-04-25,34.3
2013-04-26,34.65
2013-04-29,34.2
2013-04-30,34.15
2013-05-02,33.55
2013-05-03,35.15
2013-05-06,36.3
2013-05-07,35.55
2013-05-08,35.05
2013-05-09,35.55
2013-05-10,35.45
2013-05-11,35.3
2013-05-13,34.7
2013-05-14,34.35
2013-05-15,35.5
2013-05-16,35.5
2013-05-17,36.45
2013-05-20,36.5
2013-05-21,35.55
2013-05-22,35.1
2013-05-23,34.35
2013-05-24,34.3
2013-05-27,34.45
2013-05-28,34.6
2013-05-29,35.05
2013-05-30,35.0
2013-05-31,34.95
2013-06-03,34.55
2013-06-04,35.15
2013-06-05,34.35
2013-06-06,33.95
2013-06-07,33.85
2013-06-10,33.5
2013-06-11,32.75
2013-06-12,33.4
2013-06-13,33.25
2013-06-14,34.4
2013-06-17,33.2
2013-06-18,32.5
2013-06-19,32.5
2013-06-20,31.7
2013-06-21,30.2
2013-06-24,28.7
2013-06-25,30.0
2013-06-26,31.35
2013-06-27,32.2
2013-06-28,32.3
2013-07-01,32.45
2013-07-02,32.15
2013-07-03,31.9
2013-07-04,31.95
2013-07-05,32.05
2013-07-08,32.45
2013-07-09,32.0
2013-07-10,31.7
2013-07-11,31.9
2013-07-12,31.5
2013-07-15,31.55
2013-07-16,31.55
2013-07-17,31.15
2013-07-18,31.15
2013-07-19,31.05
2013-07-22,30.85
2013-07-23,30.65
2013-07-24,29.95
2013-07-25,29.8
2013-07-26,29.6
2013-07-29,29.55
2013-07-30,28.85
2013-07-31,28.6
2013-08-01,27.9
2013-08-02,27.75
2013-08-05,28.35
2013-08-06,28.05
2013-08-07,26.95
2013-08-08,28.1
2013-08-12,28.9
2013-08-13,30.3
2013-08-14,30.35
2013-08-16,29.75
2013-08-19,29.8
2013-08-20,29.6
2013-08-21,30.95
2013-08-22,31.9
2013-08-23,32.0
2013-08-26,31.5
2013-08-27,30.65
2013-08-28,29.5
2013-08-29,28.35
2013-08-30,27.55
2013-09-02,27.75
2013-09-03,26.95
2013-09-04,27.65
2013-09-05,28.2
2013-09-06,28.5
2013-09-10,28.35
2013-09-11,28.55
2013-09-12,28.65
2013-09-13,28.7
2013-09-16,28.35
2013-09-17,27.95
2013-09-18,27.6
2013-09-19,27.35
2013-09-20,26.2
2013-09-23,26.35
2013-09-24,26.3
2013-09-25,26.15
2013-09-26,26.05
2013-09-27,26.45
2013-09-30,26.1
2013-10-01,26.7
2013-10-03,27.9
2013-10-04,27.8
2013-10-07,27.1
2013-10-08,27.2
2013-10-09,27.25
2013-10-10,26.5
2013-10-11,27.0
2013-10-14,26.6
2013-10-15,26.05
2013-10-17,26.1
2013-10-18,26.65
2013-10-21,26.35
2013-10-22,26.45
2013-10-23,26.3
2013-10-24,26.25
2013-10-25,26.35
2013-10-28,26.8
2013-10-29,26.4
2013-10-30,26.25
2013-10-31,26.2
2013-11-01,26.45
2013-11-03,26.95
2013-11-05,26.9
2013-11-06,27.15
2013-11-07,26.65
2013-11-08,26.4
2013-11-11,26.1
2013-11-12,26.1
2013-11-13,25.75
2013-11-14,26.45
2013-11-18,26.1
2013-11-19,25.7
2013-11-20,25.65
2013-11-21,25.65
2013-11-22,26.15
2013-11-25,25.85
2013-11-26,24.6
2013-11-27,24.8
2013-11-28,25.0
2013-11-29,25.25
2013-12-02,25.45
2013-12-03,25.4
2013-12-04,25.15
2013-12-05,25.05
2013-12-06,25.35
2013-12-09,25.1
2013-12-10,24.9
2013-12-11,24.85
2013-12-12,24.65
2013-12-13,24.85
2013-12-16,24.45
2013-12-17,24.7
2013-12-18,24.9
2013-12-19,24.2
2013-12-20,23.9
2013-12-23,24.7
2013-12-24,25.85
2013-12-26,26.0
2013-12-27,26.25
2013-12-30,26.45
2013-12-31,25.7
