Date,SHRIRAMCIT
2013-01-01,987.7
2013-01-02,1027.3
2013-01-03,1072.05
2013-01-04,1083.65
2013-01-07,1079.85
2013-01-08,1086.9
2013-01-09,1101.95
2013-01-10,1094.85
2013-01-11,1100.05
2013-01-14,1109.0
2013-01-15,1096.6
2013-01-16,1071.6
2013-01-17,1076.8
2013-01-18,1100.0
2013-01-21,1077.05
2013-01-22,1032.6
2013-01-23,1035.25
2013-01-24,1043.1
2013-01-25,1071.65
2013-01-28,1053.7
2013-01-29,1081.85
2013-01-30,1079.15
2013-01-31,1098.4
2013-02-01,1123.35
2013-02-04,1135.2
2013-02-05,1116.9
2013-02-06,1125.3
2013-02-07,1117.5
2013-02-08,1119.7
2013-02-11,1126.15
2013-02-12,1136.0
2013-02-13,1155.85
2013-02-14,1150.25
2013-02-15,1150.0
2013-02-18,1154.5
2013-02-19,1157.95
2013-02-20,1158.1
2013-02-21,1149.85
2013-02-22,1148.0
2013-02-25,1126.45
2013-02-26,1086.25
2013-02-27,1081.45
2013-02-28,1079.15
2013-03-01,1082.6
2013-03-04,1060.95
2013-03-05,1069.7
2013-03-06,1066.4
2013-03-07,1059.4
2013-03-08,1070.0
2013-03-11,1055.1
2013-03-12,1040.0
2013-03-13,1044.35
2013-03-14,1066.8
2013-03-15,1055.0
2013-03-18,1060.0
2013-03-19,1055.05
2013-03-20,1045.6
2013-03-21,1036.6
2013-03-22,1014.15
2013-03-25,1011.55
2013-03-26,1021.0
2013-03-28,1082.0
2013-04-01,1040.5
2013-04-02,1041.95
2013-04-03,1225.6
2013-04-04,1098.35
2013-04-05,1052.1
2013-04-08,1030.3
2013-04-09,1012.3
2013-04-10,1028.6
2013-04-11,1049.7
2013-04-12,1019.25
2013-04-15,1020.15
2013-04-16,1020.65
2013-04-17,1010.3
2013-04-18,1006.4
2013-04-22,1012.25
2013-04-23,1026.25
2013-04-25,1025.0
2013-04-26,1020.0
2013-04-29,1029.6
2013-04-30,1027.0
2013-05-02,1026.85
2013-05-03,1030.0
2013-05-06,1018.05
2013-05-07,1034.45
2013-05-08,1058.3
2013-05-09,1044.75
2013-05-10,1060.5
2013-05-11,1040.85
2013-05-13,1049.1
2013-05-14,1054.3
2013-05-15,1056.6
2013-05-16,1046.9
2013-05-17,1085.35
2013-05-20,1097.0
2013-05-21,1131.35
2013-05-22,1127.65
2013-05-23,1103.55
2013-05-24,1099.5
2013-05-27,1100.35
2013-05-28,1101.25
2013-05-29,1076.5
2013-05-30,1100.1
2013-05-31,1078.1
2013-06-03,1103.6
2013-06-04,1086.1
2013-06-05,1076.35
2013-06-06,1060.95
2013-06-07,1028.85
2013-06-10,1041.95
2013-06-11,1045.5
2013-06-12,1017.75
2013-06-13,1041.6
2013-06-14,1041.95
2013-06-17,1048.65
2013-06-18,1040.4
2013-06-19,1027.4
2013-06-20,1030.65
2013-06-21,1026.05
2013-06-24,999.85
2013-06-25,1003.9
2013-06-26,1000.65
2013-06-27,1011.2
2013-06-28,1008.7
2013-07-01,1000.05
2013-07-02,1013.95
2013-07-03,999.9
2013-07-04,1000.0
2013-07-05,999.6
2013-07-08,988.95
2013-07-09,992.1
2013-07-10,980.5
2013-07-11,989.45
2013-07-12,978.3
2013-07-15,973.45
2013-07-16,961.85
2013-07-17,942.35
2013-07-18,915.05
2013-07-19,937.45
2013-07-22,942.15
2013-07-23,950.1
2013-07-24,945.2
2013-07-25,950.05
2013-07-26,950.2
2013-07-29,935.2
2013-07-30,935.1
2013-07-31,930.0
2013-08-01,910.2
2013-08-02,900.65
2013-08-05,900.0
2013-08-06,880.75
2013-08-07,860.2
2013-08-08,885.6
2013-08-12,885.45
2013-08-13,882.25
2013-08-14,911.25
2013-08-16,901.1
2013-08-19,896.9
2013-08-20,899.8
2013-08-21,901.75
2013-08-22,899.75
2013-08-23,897.35
2013-08-26,897.0
2013-08-27,897.1
2013-08-28,899.65
2013-08-29,899.65
2013-08-30,900.0
2013-09-02,904.25
2013-09-03,891.4
2013-09-04,890.75
2013-09-05,894.7
2013-09-06,900.15
2013-09-10,899.95
2013-09-11,890.7
2013-09-12,920.05
2013-09-13,910.75
2013-09-16,922.85
2013-09-17,985.75
2013-09-18,1023.95
2013-09-19,999.4
2013-09-20,1085.8
2013-09-23,1083.75
2013-09-24,1050.95
