Date,SIYSIL
2013-01-01,306.85
2013-01-02,323.7
2013-01-03,315.15
2013-01-04,316.4
2013-01-07,314.15
2013-01-08,310.7
2013-01-09,319.7
2013-01-10,316.35
2013-01-11,308.75
2013-01-14,314.15
2013-01-15,303.25
2013-01-16,300.4
2013-01-17,297.85
2013-01-18,296.3
2013-01-21,296.5
2013-01-22,296.05
2013-01-23,294.6
2013-01-24,288.05
2013-01-25,292.05
2013-01-28,289.0
2013-01-29,286.4
2013-01-30,290.2
2013-01-31,291.3
2013-02-01,287.1
2013-02-04,283.1
2013-02-05,280.3
2013-02-06,280.1
2013-02-07,280.6
2013-02-08,286.0
2013-02-11,286.95
2013-02-12,279.55
2013-02-13,277.6
2013-02-14,275.05
2013-02-15,276.05
2013-02-18,275.25
2013-02-19,282.85
2013-02-20,279.7
2013-02-21,273.6
2013-02-22,276.85
2013-02-25,273.5
2013-02-26,264.1
2013-02-27,265.75
2013-02-28,263.5
2013-03-01,263.45
2013-03-04,255.85
2013-03-05,254.95
2013-03-06,279.1
2013-03-07,292.85
2013-03-08,289.8
2013-03-11,285.5
2013-03-12,282.0
2013-03-13,276.8
2013-03-14,272.05
2013-03-15,264.9
2013-03-18,259.5
2013-03-19,259.25
2013-03-20,244.55
2013-03-21,235.05
2013-03-22,240.9
2013-03-25,232.8
2013-03-26,230.75
2013-03-28,236.0
2013-04-01,235.8
2013-04-02,244.65
2013-04-03,243.85
2013-04-04,236.75
2013-04-05,237.4
2013-04-08,244.05
2013-04-09,236.0
2013-04-10,243.85
2013-04-11,239.9
2013-04-12,236.95
2013-04-15,239.2
2013-04-16,240.0
2013-04-17,240.0
2013-04-18,243.55
2013-04-22,247.85
2013-04-23,240.65
2013-04-25,240.95
2013-04-26,244.9
2013-04-29,241.5
2013-04-30,243.55
2013-05-02,240.05
2013-05-03,240.25
2013-05-06,240.4
2013-05-07,244.7
2013-05-08,258.35
2013-05-09,261.8
2013-05-10,270.9
2013-05-11,270.0
2013-05-13,265.45
2013-05-14,260.0
2013-05-15,271.2
2013-05-16,266.85
2013-05-17,261.7
2013-05-20,262.0
2013-05-21,262.25
2013-05-22,263.4
2013-05-23,260.0
2013-05-24,259.95
2013-05-27,260.6
2013-05-28,260.6
2013-05-29,260.0
2013-05-30,256.15
2013-05-31,260.4
2013-06-03,263.35
2013-06-04,258.6
2013-06-05,261.9
2013-06-06,256.0
2013-06-07,254.95
2013-06-10,253.8
2013-06-11,248.45
2013-06-12,247.2
2013-06-13,250.9
2013-06-14,235.45
2013-06-17,238.95
2013-06-18,238.9
2013-06-19,246.15
2013-06-20,243.3
2013-06-21,236.0
2013-06-24,229.0
2013-06-25,228.0
2013-06-26,226.2
2013-06-27,227.2
2013-06-28,228.65
2013-07-01,228.65
2013-07-02,240.05
2013-07-03,234.45
2013-07-04,226.0
2013-07-05,227.25
2013-07-08,227.55
2013-07-09,230.5
2013-07-10,227.75
2013-07-11,238.65
2013-07-12,245.75
2013-07-15,248.35
2013-07-16,244.25
2013-07-17,237.1
2013-07-18,241.75
2013-07-19,244.0
2013-07-22,233.3
2013-07-23,235.6
2013-07-24,234.75
2013-07-25,236.35
2013-07-26,230.35
2013-07-29,234.2
2013-07-30,218.95
2013-07-31,207.75
2013-08-01,197.0
2013-08-02,192.0
2013-08-05,205.5
2013-08-06,195.6
2013-08-07,188.4
2013-08-08,192.35
2013-08-12,192.0
2013-08-13,203.6
2013-08-14,199.95
2013-08-16,202.7
2013-08-19,204.2
2013-08-20,205.0
2013-08-21,198.55
2013-08-22,193.45
2013-08-23,198.7
2013-08-26,196.5
2013-08-27,188.25
2013-08-28,192.0
2013-08-29,181.85
2013-08-30,185.45
2013-09-02,195.3
2013-09-03,184.15
2013-09-04,192.7
2013-09-05,190.2
2013-09-06,195.95
2013-09-10,191.65
2013-09-11,194.25
2013-09-12,196.45
2013-09-13,196.95
2013-09-16,195.55
2013-09-17,205.35
2013-09-18,222.8
2013-09-19,215.9
2013-09-20,209.25
2013-09-23,200.05
2013-09-24,195.35
2013-09-25,192.25
2013-09-26,192.2
2013-09-27,194.5
2013-09-30,191.35
2013-10-01,213.5
2013-10-03,205.4
2013-10-04,206.0
2013-10-07,210.65
2013-10-08,214.35
2013-10-09,220.35
2013-10-10,217.5
2013-10-11,219.8
2013-10-14,223.8
2013-10-15,219.7
2013-10-17,219.35
2013-10-18,216.4
2013-10-21,215.2
2013-10-22,215.75
2013-10-23,219.4
2013-10-24,218.25
2013-10-25,218.1
2013-10-28,219.15
2013-10-29,224.35
2013-10-30,227.5
2013-10-31,229.2
2013-11-01,223.75
2013-11-03,226.05
2013-11-05,233.2
2013-11-06,234.55
2013-11-07,236.3
2013-11-08,248.35
2013-11-11,241.95
2013-11-12,242.0
2013-11-13,235.35
2013-11-14,232.6
2013-11-18,236.35
2013-11-19,243.65
2013-11-20,252.5
2013-11-21,251.5
2013-11-22,251.7
2013-11-25,252.6
2013-11-26,256.75
2013-11-27,253.5
2013-11-28,257.4
2013-11-29,261.55
2013-12-02,269.95
2013-12-03,269.95
2013-12-04,263.7
2013-12-05,263.05
2013-12-06,264.85
2013-12-09,269.8
2013-12-10,262.05
2013-12-11,260.0
2013-12-12,258.25
2013-12-13,255.6
2013-12-16,260.0
2013-12-17,257.0
2013-12-18,258.0
2013-12-19,258.0
2013-12-20,254.6
2013-12-23,263.15
2013-12-24,263.2
2013-12-26,263.9
2013-12-27,272.05
2013-12-30,276.95
2013-12-31,278.1
