Date,VISASTEEL
2013-01-01,47.65
2013-01-02,47.85
2013-01-03,48.2
2013-01-04,48.1
2013-01-07,49.3
2013-01-08,48.55
2013-01-09,48.7
2013-01-10,48.05
2013-01-11,47.75
2013-01-14,47.7
2013-01-15,47.85
2013-01-16,47.55
2013-01-17,47.55
2013-01-18,47.45
2013-01-21,47.5
2013-01-22,47.35
2013-01-23,47.35
2013-01-24,47.0
2013-01-25,47.15
2013-01-28,47.3
2013-01-29,47.1
2013-01-30,47.3
2013-01-31,47.25
2013-02-01,47.3
2013-02-04,47.9
2013-02-05,47.35
2013-02-06,47.5
2013-02-07,47.5
2013-02-08,47.3
2013-02-11,48.0
2013-02-12,47.65
2013-02-13,47.3
2013-02-14,47.5
2013-02-15,47.5
2013-02-18,47.2
2013-02-19,47.3
2013-02-20,47.3
2013-02-21,47.3
2013-02-22,47.3
2013-02-25,47.3
2013-02-26,47.3
2013-02-27,47.0
2013-02-28,47.05
2013-03-01,47.4
2013-03-04,47.35
2013-03-05,47.05
2013-03-06,47.1
2013-03-07,47.0
2013-03-08,47.45
2013-03-11,45.0
2013-03-12,45.05
2013-03-13,44.9
2013-03-14,44.1
2013-03-15,44.0
2013-03-18,43.6
2013-03-19,37.9
2013-03-20,36.15
2013-03-21,40.25
2013-03-22,42.45
2013-03-25,43.9
2013-03-26,42.05
2013-03-28,43.65
2013-04-01,41.25
2013-04-02,40.3
2013-04-03,40.35
2013-04-04,38.6
2013-04-05,38.05
2013-04-08,37.35
2013-04-09,36.6
2013-04-10,36.1
2013-04-11,36.05
2013-04-12,35.5
2013-04-15,35.0
2013-04-16,34.95
2013-04-17,36.75
2013-04-18,35.95
2013-04-22,35.8
2013-04-23,35.4
2013-04-25,35.55
2013-04-26,34.85
2013-04-29,33.45
2013-04-30,34.05
2013-05-02,33.05
2013-05-03,32.2
2013-05-06,33.2
2013-05-07,33.8
2013-05-08,33.5
2013-05-09,33.35
2013-05-10,32.5
2013-05-11,32.3
2013-05-13,32.55
2013-05-14,32.2
2013-05-15,33.4
2013-05-16,32.5
2013-05-17,33.5
2013-05-20,33.3
2013-05-21,32.15
2013-05-22,33.35
2013-05-23,32.45
2013-05-24,31.6
2013-05-27,32.0
2013-05-28,31.5
2013-05-29,31.2
2013-05-30,32.2
2013-05-31,30.65
2013-06-03,35.1
2013-06-04,34.7
2013-06-05,33.0
2013-06-06,33.35
2013-06-07,33.95
2013-06-10,32.6
2013-06-11,30.05
2013-06-12,29.65
2013-06-13,29.65
2013-06-14,29.05
2013-06-17,29.65
2013-06-18,29.3
2013-06-19,29.7
2013-06-20,28.75
2013-06-21,28.4
2013-06-24,27.05
2013-06-25,26.8
2013-06-26,27.05
2013-06-27,25.65
2013-06-28,25.2
2013-07-01,25.25
2013-07-02,25.3
2013-07-03,24.2
2013-07-04,25.3
2013-07-05,25.25
2013-07-08,25.25
2013-07-09,24.6
2013-07-10,24.45
2013-07-11,24.75
2013-07-12,25.25
2013-07-15,24.7
2013-07-16,24.05
2013-07-17,23.75
2013-07-18,23.6
2013-07-19,23.25
2013-07-22,22.65
2013-07-23,23.55
2013-07-24,23.4
2013-07-25,22.8
2013-07-26,23.8
2013-07-29,22.8
2013-07-30,22.5
2013-07-31,22.05
2013-08-01,21.3
2013-08-02,21.45
2013-08-05,20.4
2013-08-06,19.55
2013-08-07,19.3
2013-08-08,19.95
2013-08-12,20.3
2013-08-13,22.05
2013-08-14,21.5
2013-08-16,21.8
2013-08-19,21.2
2013-08-20,21.7
2013-08-21,21.6
2013-08-22,22.05
2013-08-23,22.85
2013-08-26,21.85
2013-08-27,21.5
2013-08-28,22.3
2013-08-29,20.6
2013-08-30,20.1
2013-09-02,20.3
2013-09-03,20.25
2013-09-04,20.45
2013-09-05,20.25
2013-09-06,20.05
2013-09-10,20.0
2013-09-11,20.75
2013-09-12,20.9
2013-09-13,20.35
2013-09-16,20.2
2013-09-17,20.15
2013-09-18,20.85
2013-09-19,20.55
2013-09-20,20.9
2013-09-23,20.8
2013-09-24,24.85
2013-09-25,22.9
2013-09-26,22.05
2013-09-27,21.05
2013-09-30,20.15
2013-10-01,20.1
2013-10-03,20.15
2013-10-04,20.15
2013-10-07,19.95
2013-10-08,20.2
2013-10-09,20.1
2013-10-10,20.75
2013-10-11,20.4
2013-10-14,20.65
2013-10-15,20.4
2013-10-17,20.45
2013-10-18,20.4
2013-10-21,20.25
2013-10-22,20.95
2013-10-23,21.15
2013-10-24,21.2
2013-10-25,20.65
2013-10-28,20.5
2013-10-29,20.35
2013-10-30,20.25
2013-10-31,20.8
2013-11-01,21.5
2013-11-03,21.4
2013-11-05,21.45
2013-11-06,22.1
2013-11-07,21.55
2013-11-08,21.7
2013-11-11,22.05
2013-11-12,22.2
2013-11-13,21.9
2013-11-14,22.3
2013-11-18,21.35
2013-11-19,21.55
2013-11-20,23.2
2013-11-21,21.65
2013-11-22,21.15
2013-11-25,21.15
2013-11-26,20.7
2013-11-27,20.75
2013-11-28,19.9
2013-11-29,20.15
2013-12-02,19.9
2013-12-03,19.95
2013-12-04,19.5
2013-12-05,19.25
2013-12-06,19.1
2013-12-09,18.8
2013-12-10,17.25
2013-12-11,16.55
2013-12-12,15.1
2013-12-13,14.8
2013-12-16,14.8
2013-12-17,14.7
2013-12-18,13.8
2013-12-19,13.35
2013-12-20,15.1
2013-12-23,15.0
2013-12-24,15.6
2013-12-26,15.5
2013-12-27,15.4
2013-12-30,15.75
2013-12-31,16.0
