Date,ZEEL
2013-01-01,223.35
2013-01-02,231.15
2013-01-03,231.2
2013-01-04,227.05
2013-01-07,223.25
2013-01-08,224.0
2013-01-09,223.35
2013-01-10,225.8
2013-01-11,232.3
2013-01-14,232.7
2013-01-15,230.1
2013-01-16,222.7
2013-01-17,228.4
2013-01-18,224.1
2013-01-21,221.0
2013-01-22,222.4
2013-01-23,234.65
2013-01-24,225.7
2013-01-25,227.95
2013-01-28,230.6
2013-01-29,221.95
2013-01-30,219.8
2013-01-31,230.1
2013-02-01,231.35
2013-02-04,232.7
2013-02-05,236.05
2013-02-06,238.1
2013-02-07,231.2
2013-02-08,230.1
2013-02-11,230.75
2013-02-12,229.8
2013-02-13,228.05
2013-02-14,227.6
2013-02-15,226.5
2013-02-18,224.45
2013-02-19,220.45
2013-02-20,219.95
2013-02-21,215.4
2013-02-22,219.85
2013-02-25,218.65
2013-02-26,215.05
2013-02-27,220.05
2013-02-28,218.0
2013-03-01,220.8
2013-03-04,220.2
2013-03-05,219.2
2013-03-06,216.7
2013-03-07,220.9
2013-03-08,221.45
2013-03-11,219.3
2013-03-12,220.4
2013-03-13,207.7
2013-03-14,213.55
2013-03-15,217.25
2013-03-18,216.05
2013-03-19,214.15
2013-03-20,202.7
2013-03-21,200.65
2013-03-22,206.0
2013-03-25,206.7
2013-03-26,209.15
2013-03-28,210.45
2013-04-01,214.9
2013-04-02,214.65
2013-04-03,211.65
2013-04-04,207.7
2013-04-05,205.75
2013-04-08,200.7
2013-04-09,204.25
2013-04-10,209.5
2013-04-11,208.5
2013-04-12,207.7
2013-04-15,207.85
2013-04-16,200.1
2013-04-17,204.25
2013-04-18,211.05
2013-04-22,221.3
2013-04-23,218.4
2013-04-25,225.15
2013-04-26,224.0
2013-04-29,224.25
2013-04-30,233.9
2013-05-02,234.25
2013-05-03,236.9
2013-05-06,239.5
2013-05-07,234.7
2013-05-08,245.7
2013-05-09,245.75
2013-05-10,240.95
2013-05-11,243.05
2013-05-13,241.25
2013-05-14,247.45
2013-05-15,251.05
2013-05-16,245.55
2013-05-17,242.75
2013-05-20,245.7
2013-05-21,244.75
2013-05-22,241.35
2013-05-23,244.15
2013-05-24,241.0
2013-05-27,239.35
2013-05-28,237.9
2013-05-29,235.3
2013-05-30,235.0
2013-05-31,226.1
2013-06-03,236.1
2013-06-04,238.9
2013-06-05,233.1
2013-06-06,235.05
2013-06-07,231.6
2013-06-10,231.15
2013-06-11,222.5
2013-06-12,217.1
2013-06-13,216.7
2013-06-14,220.8
2013-06-17,224.35
2013-06-18,229.45
2013-06-19,231.4
2013-06-20,227.95
2013-06-21,235.55
2013-06-24,230.85
2013-06-25,225.9
2013-06-26,228.75
2013-06-27,236.1
2013-06-28,236.05
2013-07-01,247.6
2013-07-02,240.3
2013-07-03,241.95
2013-07-04,241.7
2013-07-05,238.6
2013-07-08,242.15
2013-07-09,246.9
2013-07-10,242.25
2013-07-11,237.15
2013-07-12,238.3
2013-07-15,239.9
2013-07-16,240.0
2013-07-17,241.85
2013-07-18,247.15
2013-07-19,239.9
2013-07-22,242.35
2013-07-23,243.8
2013-07-24,244.4
2013-07-25,259.45
2013-07-26,252.1
2013-07-29,250.95
2013-07-30,243.1
2013-07-31,247.1
2013-08-01,237.95
2013-08-02,242.1
2013-08-05,253.3
2013-08-06,240.1
2013-08-07,235.15
2013-08-08,240.0
2013-08-12,242.95
2013-08-13,248.6
2013-08-14,258.85
2013-08-16,248.8
2013-08-19,244.85
2013-08-20,239.65
2013-08-21,236.25
2013-08-22,232.0
2013-08-23,228.25
2013-08-26,234.65
2013-08-27,227.75
2013-08-28,219.9
2013-08-29,224.6
2013-08-30,231.5
2013-09-02,234.3
2013-09-03,222.35
2013-09-04,218.2
2013-09-05,225.4
2013-09-06,222.35
2013-09-10,229.1
2013-09-11,229.6
2013-09-12,223.95
2013-09-13,224.2
2013-09-16,222.7
2013-09-17,223.2
2013-09-18,226.9
2013-09-19,228.15
2013-09-20,223.8
2013-09-23,222.35
2013-09-24,228.8
2013-09-25,240.25
2013-09-26,240.0
2013-09-27,238.55
2013-09-30,228.5
2013-10-01,231.05
2013-10-03,246.25
2013-10-04,247.5
2013-10-07,248.75
2013-10-08,242.25
2013-10-09,242.85
2013-10-10,242.65
2013-10-11,243.05
2013-10-14,241.95
2013-10-15,242.4
2013-10-17,249.35
2013-10-18,252.95
2013-10-21,266.65
2013-10-22,267.35
2013-10-23,271.0
2013-10-24,263.25
2013-10-25,267.85
2013-10-28,261.25
2013-10-29,262.85
2013-10-30,263.25
2013-10-31,266.05
2013-11-01,270.7
2013-11-03,272.25
2013-11-05,277.5
2013-11-06,270.3
2013-11-07,270.25
2013-11-08,265.8
2013-11-11,281.9
2013-11-12,279.5
2013-11-13,278.0
2013-11-14,277.3
2013-11-18,279.4
2013-11-19,277.95
2013-11-20,266.6
2013-11-21,256.5
2013-11-22,253.25
2013-11-25,260.15
2013-11-26,251.4
2013-11-27,252.3
2013-11-28,255.85
2013-11-29,259.2
2013-12-02,269.5
2013-12-03,270.95
2013-12-04,271.75
2013-12-05,263.75
2013-12-06,272.4
2013-12-09,281.1
2013-12-10,275.05
2013-12-11,281.0
2013-12-12,280.15
2013-12-13,280.0
2013-12-16,281.8
2013-12-17,285.4
2013-12-18,284.5
2013-12-19,280.7
2013-12-20,280.3
2013-12-23,278.65
2013-12-24,279.35
2013-12-26,281.5
2013-12-27,279.7
2013-12-30,279.95
2013-12-31,276.6
