Date,ASTRAL
2014-01-01,330.1
2014-01-02,324.5
2014-01-03,322.35
2014-01-06,324.95
2014-01-07,330.6
2014-01-08,325.75
2014-01-09,325.85
2014-01-10,322.6
2014-01-13,322.45
2014-01-14,318.35
2014-01-15,314.9
2014-01-16,328.3
2014-01-17,322.95
2014-01-20,324.05
2014-01-21,322.6
2014-01-22,320.3
2014-01-23,322.05
2014-01-24,319.7
2014-01-27,314.05
2014-01-28,310.95
2014-01-29,314.8
2014-01-30,322.9
2014-01-31,339.45
2014-02-03,345.15
2014-02-04,346.5
2014-02-05,357.35
2014-02-06,388.1
2014-02-07,375.25
2014-02-10,400.5
2014-02-11,390.8
2014-02-12,390.65
2014-02-13,391.0
2014-02-14,390.55
2014-02-17,381.45
2014-02-18,392.95
2014-02-19,392.7
2014-02-20,390.95
2014-02-21,389.7
2014-02-24,388.9
2014-02-25,389.7
2014-02-26,377.15
2014-02-28,376.1
2014-03-03,376.1
2014-03-04,379.9
2014-03-05,379.75
2014-03-06,385.45
2014-03-07,384.4
2014-03-10,398.0
2014-03-11,406.55
2014-03-12,408.7
2014-03-13,407.5
2014-03-14,408.3
2014-03-18,408.5
2014-03-19,451.0
2014-03-20,466.25
2014-03-21,470.7
2014-03-22,473.2
2014-03-24,484.6
2014-03-25,482.4
2014-03-26,480.1
2014-03-27,479.75
2014-03-28,473.65
2014-03-31,466.05
2014-04-01,464.6
2014-04-02,468.75
2014-04-03,481.2
2014-04-04,497.9
2014-04-07,492.6
2014-04-09,501.4
2014-04-10,500.5
2014-04-11,493.1
2014-04-15,490.05
2014-04-16,480.4
2014-04-17,491.05
2014-04-21,489.0
2014-04-22,500.6
2014-04-23,538.15
2014-04-25,544.35
2014-04-28,557.5
2014-04-29,552.25
2014-04-30,542.05
2014-05-02,546.1
2014-05-05,564.95
2014-05-06,558.5
2014-05-07,546.85
2014-05-08,543.85
2014-05-09,527.45
2014-05-12,549.4
2014-05-13,547.6
2014-05-14,540.4
2014-05-15,556.5
2014-05-16,546.85
2014-05-19,551.25
2014-05-20,550.15
2014-05-21,561.4
2014-05-22,598.95
2014-05-23,599.75
2014-05-26,596.05
2014-05-27,592.0
2014-05-28,589.5
2014-05-29,580.85
2014-05-30,592.55
2014-06-02,603.25
2014-06-03,599.05
2014-06-04,635.55
2014-06-05,653.9
2014-06-06,683.65
2014-06-09,690.15
2014-06-10,705.3
2014-06-11,684.15
2014-06-12,686.45
2014-06-13,674.95
2014-06-16,678.7
2014-06-17,677.55
2014-06-18,683.4
2014-06-19,671.65
2014-06-20,668.1
2014-06-23,667.3
2014-06-24,668.8
2014-06-25,677.1
2014-06-26,675.85
2014-06-27,678.3
2014-06-30,701.55
2014-07-01,721.75
2014-07-02,724.05
2014-07-03,731.9
2014-07-04,719.75
2014-07-07,692.2
2014-07-08,679.85
2014-07-09,672.6
2014-07-10,658.9
2014-07-11,673.6
2014-07-14,672.65
2014-07-15,635.4
2014-07-16,649.4
2014-07-17,668.9
2014-07-18,652.95
2014-07-21,662.45
2014-07-22,667.2
2014-07-23,666.5
2014-07-24,669.65
2014-07-25,665.65
2014-07-28,691.3
2014-07-30,682.1
2014-07-31,690.1
2014-08-01,683.2
2014-08-04,703.55
2014-08-05,692.1
2014-08-06,700.6
2014-08-07,689.55
2014-08-08,683.85
2014-08-11,699.0
2014-08-12,696.9
2014-08-13,700.6
2014-08-14,708.65
2014-08-18,740.45
2014-08-19,781.0
2014-08-20,791.2
2014-08-21,793.7
2014-08-22,823.85
2014-08-25,843.7
2014-08-26,825.95
2014-08-27,814.0
2014-08-28,808.9
2014-09-01,796.3
2014-09-02,790.05
2014-09-03,806.45
2014-09-04,821.75
2014-09-05,828.7
2014-09-08,834.6
2014-09-09,832.45
2014-09-10,815.85
2014-09-11,819.0
2014-09-12,840.65
2014-09-15,834.75
2014-09-16,821.0
2014-09-17,792.05
2014-09-18,807.3
2014-09-19,822.65
2014-09-22,837.5
2014-09-23,815.95
2014-09-24,808.9
2014-09-25,385.1
2014-09-26,376.8
2014-09-29,403.3
2014-09-30,402.15
2014-10-01,398.4
2014-10-07,386.6
2014-10-08,378.95
2014-10-09,389.75
2014-10-10,385.95
2014-10-13,380.35
2014-10-14,376.3
2014-10-16,374.45
2014-10-17,379.65
2014-10-20,380.3
2014-10-21,380.45
2014-10-22,388.15
2014-10-23,391.7
2014-10-27,383.45
2014-10-28,359.05
2014-10-29,374.05
2014-10-30,369.8
2014-10-31,340.45
2014-11-03,355.05
2014-11-05,360.15
2014-11-07,364.0
2014-11-10,365.05
2014-11-11,369.75
2014-11-12,380.3
2014-11-13,393.35
2014-11-14,389.15
2014-11-17,398.5
2014-11-18,412.95
2014-11-19,419.3
2014-11-20,407.7
2014-11-21,405.0
2014-11-24,407.0
2014-11-25,412.15
2014-11-26,426.0
2014-11-27,431.2
2014-11-28,435.95
2014-12-01,444.5
2014-12-02,433.05
2014-12-03,410.0
2014-12-04,432.35
2014-12-05,422.8
2014-12-08,424.85
2014-12-09,422.45
2014-12-10,417.75
2014-12-11,416.6
2014-12-12,405.75
2014-12-15,401.7
2014-12-16,391.65
2014-12-17,380.9
2014-12-18,376.95
2014-12-19,380.65
2014-12-22,374.7
2014-12-23,374.15
2014-12-24,387.95
2014-12-26,386.55
2014-12-29,388.35
2014-12-30,393.2
2014-12-31,393.6
