Date,FEL
2014-01-01,79.3
2014-01-02,75.4
2014-01-03,78.45
2014-01-06,83.55
2014-01-07,81.3
2014-01-08,90.9
2014-01-09,86.2
2014-01-10,82.65
2014-01-13,83.6
2014-01-14,82.05
2014-01-15,87.45
2014-01-16,85.95
2014-01-17,84.35
2014-01-20,87.95
2014-01-21,90.3
2014-01-22,91.25
2014-01-23,87.2
2014-01-24,85.8
2014-01-27,79.85
2014-01-28,83.15
2014-01-29,86.3
2014-01-30,81.9
2014-01-31,82.5
2014-02-03,80.8
2014-02-04,78.85
2014-02-05,79.85
2014-02-06,78.95
2014-02-07,78.7
2014-02-10,78.45
2014-02-11,79.7
2014-02-12,78.6
2014-02-13,81.45
2014-02-14,82.5
2014-02-17,80.45
2014-02-18,81.55
2014-02-19,83.2
2014-02-20,82.7
2014-02-21,82.25
2014-02-24,82.4
2014-02-25,81.75
2014-02-26,81.25
2014-02-28,80.9
2014-03-03,79.85
2014-03-04,80.55
2014-03-05,81.0
2014-03-06,80.2
2014-03-07,82.6
2014-03-10,83.15
2014-03-11,82.35
2014-03-12,82.55
2014-03-13,80.9
2014-03-14,79.8
2014-03-18,79.7
2014-03-19,80.65
2014-03-20,80.4
2014-03-21,80.55
2014-03-22,80.45
2014-03-24,81.3
2014-03-25,80.25
2014-03-26,79.2
2014-03-27,79.4
2014-03-28,79.6
2014-03-31,82.25
2014-04-01,82.7
2014-04-02,83.8
2014-04-03,84.65
2014-04-04,89.8
2014-04-07,85.3
2014-04-09,85.55
2014-04-10,83.8
2014-04-11,84.7
2014-04-15,100.65
2014-04-16,108.85
2014-04-17,107.3
2014-04-21,111.3
2014-04-22,113.4
2014-04-23,120.75
2014-04-25,130.1
2014-04-28,129.55
2014-04-29,121.0
2014-04-30,131.65
2014-05-02,139.95
2014-05-05,135.8
2014-05-06,128.9
2014-05-07,131.45
2014-05-08,125.15
2014-05-09,124.0
2014-05-12,118.2
2014-05-13,119.5
2014-05-14,115.65
2014-05-15,113.9
2014-05-16,118.85
2014-05-19,121.7
2014-05-20,123.25
2014-05-21,123.35
2014-05-22,124.95
2014-05-23,124.25
2014-05-26,120.1
2014-05-27,119.85
2014-05-28,121.6
2014-05-29,126.3
2014-05-30,123.2
2014-06-02,124.7
2014-06-03,124.9
2014-06-04,132.55
2014-06-05,133.65
2014-06-06,138.85
2014-06-09,139.0
2014-06-10,145.25
2014-06-11,134.85
2014-06-12,131.25
2014-06-13,122.65
2014-06-16,124.85
2014-06-17,124.85
2014-06-18,122.4
2014-06-19,125.7
2014-06-20,128.9
2014-06-23,127.6
2014-06-24,132.7
2014-06-25,131.3
2014-06-26,128.2
2014-06-27,135.35
2014-06-30,134.55
2014-07-01,138.4
2014-07-02,136.8
2014-07-03,134.85
2014-07-04,136.1
2014-07-07,138.0
2014-07-08,127.0
2014-07-09,124.45
2014-07-10,125.95
2014-07-11,121.25
2014-07-14,118.85
2014-07-15,128.8
2014-07-16,135.5
2014-07-17,132.85
2014-07-18,131.8
2014-07-21,134.3
2014-07-22,132.55
2014-07-23,130.0
2014-07-24,131.9
2014-07-25,126.9
2014-07-28,128.05
2014-07-30,126.4
2014-07-31,125.05
2014-08-01,122.35
2014-08-04,126.7
2014-08-05,133.25
2014-08-06,128.5
2014-08-07,130.05
2014-08-08,124.55
2014-08-11,125.05
2014-08-12,124.8
2014-08-13,120.8
2014-08-14,123.5
2014-08-18,126.65
2014-08-19,124.65
2014-08-20,123.65
2014-08-21,122.1
2014-08-22,122.65
2014-08-25,122.75
2014-08-26,122.55
2014-08-27,122.55
2014-08-28,123.05
2014-09-01,123.45
2014-09-02,124.65
2014-09-03,122.65
2014-09-04,120.55
2014-09-05,120.9
2014-09-08,118.75
2014-09-09,118.95
2014-09-10,119.25
2014-09-11,117.85
2014-09-12,117.8
2014-09-15,125.8
2014-09-16,127.35
2014-09-17,126.05
2014-09-18,124.55
2014-09-19,123.9
2014-09-22,122.65
2014-09-23,120.65
2014-09-24,119.25
2014-09-25,113.75
2014-09-26,113.75
2014-09-29,117.65
2014-09-30,117.0
2014-10-01,117.0
2014-10-07,113.6
2014-10-08,116.95
2014-10-09,116.7
2014-10-10,114.1
2014-10-13,115.75
2014-10-14,114.5
2014-10-16,110.45
2014-10-17,108.35
2014-10-20,113.0
2014-10-21,113.6
2014-10-22,112.95
2014-10-23,113.7
2014-10-27,111.5
2014-10-28,110.45
2014-10-29,110.85
2014-10-30,112.2
2014-10-31,115.45
2014-11-03,115.7
2014-11-05,114.9
2014-11-07,112.85
2014-11-10,110.55
2014-11-11,107.6
2014-11-12,107.6
2014-11-13,103.95
2014-11-14,105.35
2014-11-17,105.0
2014-11-18,101.75
2014-11-19,97.5
2014-11-20,92.8
2014-11-21,94.0
2014-11-24,89.9
2014-11-25,90.55
2014-11-26,91.15
2014-11-27,89.55
2014-11-28,83.6
2014-12-01,81.85
2014-12-02,85.35
2014-12-03,83.55
2014-12-04,86.7
2014-12-05,88.3
2014-12-08,88.95
2014-12-09,88.15
2014-12-10,88.8
2014-12-11,89.9
2014-12-12,90.0
2014-12-15,87.45
2014-12-16,84.8
2014-12-17,81.1
2014-12-18,85.65
2014-12-19,86.3
2014-12-22,91.9
2014-12-23,93.5
2014-12-24,96.85
2014-12-26,101.85
2014-12-29,102.3
2014-12-30,102.5
2014-12-31,105.0
