Date,GMBREW
2014-01-01,105.85
2014-01-02,101.05
2014-01-03,107.15
2014-01-06,112.0
2014-01-07,107.35
2014-01-08,102.5
2014-01-09,99.45
2014-01-10,95.95
2014-01-13,98.85
2014-01-14,97.05
2014-01-15,94.55
2014-01-16,94.2
2014-01-17,100.95
2014-01-20,104.0
2014-01-21,101.0
2014-01-22,99.0
2014-01-23,95.1
2014-01-24,94.25
2014-01-27,87.6
2014-01-28,91.3
2014-01-29,90.3
2014-01-30,87.75
2014-01-31,88.1
2014-02-03,87.25
2014-02-04,87.2
2014-02-05,88.55
2014-02-06,88.6
2014-02-07,90.05
2014-02-10,90.35
2014-02-11,90.9
2014-02-12,90.0
2014-02-13,93.1
2014-02-14,96.65
2014-02-17,94.85
2014-02-18,100.15
2014-02-19,104.05
2014-02-20,102.4
2014-02-21,100.35
2014-02-24,100.25
2014-02-25,99.7
2014-02-26,99.45
2014-02-28,98.2
2014-03-03,102.55
2014-03-04,102.85
2014-03-05,108.15
2014-03-06,109.35
2014-03-07,105.35
2014-03-10,105.1
2014-03-11,104.05
2014-03-12,104.3
2014-03-13,104.25
2014-03-14,103.4
2014-03-18,106.1
2014-03-19,107.15
2014-03-20,107.45
2014-03-21,107.1
2014-03-22,108.6
2014-03-24,108.7
2014-03-25,108.25
2014-03-26,106.35
2014-03-27,110.25
2014-03-28,132.3
2014-03-31,158.75
2014-04-01,164.55
2014-04-02,166.85
2014-04-03,164.75
2014-04-04,148.3
2014-04-07,135.35
2014-04-09,138.95
2014-04-10,135.45
2014-04-11,131.9
2014-04-15,136.35
2014-04-16,133.1
2014-04-17,132.15
2014-04-21,137.8
2014-04-22,136.7
2014-04-23,135.05
2014-04-25,133.55
2014-04-28,133.7
2014-04-29,131.25
2014-04-30,125.35
2014-05-02,130.75
2014-05-05,135.1
2014-05-06,133.35
2014-05-07,135.1
2014-05-08,134.0
2014-05-09,132.2
2014-05-12,136.7
2014-05-13,134.95
2014-05-14,137.25
2014-05-15,136.35
2014-05-16,117.4
2014-05-19,115.55
2014-05-20,122.25
2014-05-21,126.8
2014-05-22,128.95
2014-05-23,134.8
2014-05-26,126.1
2014-05-27,123.15
2014-05-28,124.5
2014-05-29,127.25
2014-05-30,122.2
2014-06-02,126.4
2014-06-03,134.3
2014-06-04,142.3
2014-06-05,135.2
2014-06-06,139.95
2014-06-09,136.35
2014-06-10,134.95
2014-06-11,132.9
2014-06-12,132.25
2014-06-13,126.65
2014-06-16,123.75
2014-06-17,126.05
2014-06-18,132.25
2014-06-19,128.5
2014-06-20,126.25
2014-06-23,126.3
2014-06-24,130.0
2014-06-25,128.3
2014-06-26,126.45
2014-06-27,129.35
2014-06-30,131.9
2014-07-01,129.75
2014-07-02,128.5
2014-07-03,128.2
2014-07-04,128.05
2014-07-07,129.8
2014-07-08,124.95
2014-07-09,121.45
2014-07-10,123.6
2014-07-11,118.15
2014-07-14,114.65
2014-07-15,128.65
2014-07-16,125.75
2014-07-17,125.95
2014-07-18,122.0
2014-07-21,127.5
2014-07-22,129.35
2014-07-23,125.55
2014-07-24,124.1
2014-07-25,116.4
2014-07-28,114.2
2014-07-30,111.5
2014-07-31,109.35
2014-08-01,106.7
2014-08-04,105.4
2014-08-05,106.8
2014-08-06,107.75
2014-08-07,105.95
2014-08-08,104.6
2014-08-11,103.65
2014-08-12,104.3
2014-08-13,101.15
2014-08-14,100.8
2014-08-18,102.95
2014-08-19,103.45
2014-08-20,107.5
2014-08-21,106.55
2014-08-22,105.75
2014-08-25,103.7
2014-08-26,101.75
2014-08-27,102.65
2014-08-28,102.2
2014-09-01,105.75
2014-09-02,104.25
2014-09-03,105.1
2014-09-04,103.6
2014-09-05,103.0
2014-09-08,112.95
2014-09-09,109.05
2014-09-10,110.3
2014-09-11,112.3
2014-09-12,114.2
2014-09-15,112.1
2014-09-16,109.1
2014-09-17,106.5
2014-09-18,111.0
2014-09-19,110.3
2014-09-22,111.75
2014-09-23,108.3
2014-09-24,107.05
2014-09-25,102.2
2014-09-26,103.7
2014-09-29,104.4
2014-09-30,110.15
2014-10-01,109.45
2014-10-07,108.35
2014-10-08,105.1
2014-10-09,108.1
2014-10-10,108.25
2014-10-13,108.45
2014-10-14,107.6
2014-10-16,105.9
2014-10-17,98.85
2014-10-20,99.75
2014-10-21,98.1
2014-10-22,97.4
2014-10-23,98.95
2014-10-27,98.25
2014-10-28,97.35
2014-10-29,96.8
2014-10-30,95.95
2014-10-31,98.3
2014-11-03,97.8
2014-11-05,98.1
2014-11-07,97.15
2014-11-10,97.25
2014-11-11,96.5
2014-11-12,95.75
2014-11-13,97.8
2014-11-14,96.85
2014-11-17,96.0
2014-11-18,99.4
2014-11-19,97.65
2014-11-20,98.9
2014-11-21,98.7
2014-11-24,98.0
2014-11-25,95.6
2014-11-26,96.25
2014-11-27,95.2
2014-11-28,95.1
2014-12-01,93.3
2014-12-02,93.35
2014-12-03,95.75
2014-12-04,95.35
2014-12-05,94.3
2014-12-08,94.05
2014-12-09,92.6
2014-12-10,93.0
2014-12-11,91.8
2014-12-12,91.55
2014-12-15,89.55
2014-12-16,85.0
2014-12-17,81.45
2014-12-18,87.95
2014-12-19,88.2
2014-12-22,90.45
2014-12-23,89.65
2014-12-24,90.6
2014-12-26,90.25
2014-12-29,91.6
2014-12-30,91.05
2014-12-31,90.75
