Date,JVLAGRO
2014-01-01,10.4
2014-01-02,9.65
2014-01-03,9.3
2014-01-06,9.75
2014-01-07,10.2
2014-01-08,10.65
2014-01-09,10.25
2014-01-10,9.75
2014-01-13,9.35
2014-01-14,9.6
2014-01-15,9.15
2014-01-16,9.05
2014-01-17,9.25
2014-01-20,9.35
2014-01-21,9.3
2014-01-22,9.15
2014-01-23,9.1
2014-01-24,9.1
2014-01-27,8.95
2014-01-28,9.2
2014-01-29,9.0
2014-01-30,8.9
2014-01-31,8.95
2014-02-03,9.05
2014-02-04,9.1
2014-02-05,9.55
2014-02-06,9.65
2014-02-07,9.55
2014-02-10,9.45
2014-02-11,9.3
2014-02-12,9.5
2014-02-13,9.35
2014-02-14,9.35
2014-02-17,9.0
2014-02-18,9.0
2014-02-19,9.0
2014-02-20,9.0
2014-02-21,9.0
2014-02-24,9.15
2014-02-25,9.0
2014-02-26,9.05
2014-02-28,9.0
2014-03-03,8.85
2014-03-04,8.9
2014-03-05,8.9
2014-03-06,8.9
2014-03-07,8.85
2014-03-10,8.95
2014-03-11,8.9
2014-03-12,9.35
2014-03-13,9.5
2014-03-14,9.1
2014-03-18,9.2
2014-03-19,9.25
2014-03-20,9.55
2014-03-21,10.25
2014-03-22,10.1
2014-03-24,9.75
2014-03-25,9.55
2014-03-26,9.55
2014-03-27,9.45
2014-03-28,9.5
2014-03-31,9.9
2014-04-01,9.6
2014-04-02,9.7
2014-04-03,9.75
2014-04-04,9.75
2014-04-07,9.6
2014-04-09,9.75
2014-04-10,10.25
2014-04-11,10.3
2014-04-15,10.15
2014-04-16,9.95
2014-04-17,10.35
2014-04-21,10.2
2014-04-22,10.35
2014-04-23,10.55
2014-04-25,11.1
2014-04-28,11.8
2014-04-29,11.3
2014-04-30,11.15
2014-05-02,11.1
2014-05-05,11.2
2014-05-06,10.95
2014-05-07,10.95
2014-05-08,10.65
2014-05-09,10.95
2014-05-12,12.0
2014-05-13,12.0
2014-05-14,11.9
2014-05-15,12.1
2014-05-16,12.05
2014-05-19,12.15
2014-05-20,14.05
2014-05-21,15.05
2014-05-22,14.65
2014-05-23,15.8
2014-05-26,15.05
2014-05-27,14.65
2014-05-28,14.7
2014-05-29,14.45
2014-05-30,14.45
2014-06-02,15.0
2014-06-03,16.35
2014-06-04,16.95
2014-06-05,17.2
2014-06-06,17.0
2014-06-09,17.3
2014-06-10,17.15
2014-06-11,16.4
2014-06-12,16.45
2014-06-13,15.45
2014-06-16,16.05
2014-06-17,17.05
2014-06-18,16.5
2014-06-19,16.5
2014-06-20,16.75
2014-06-23,16.15
2014-06-24,16.8
2014-06-25,16.75
2014-06-26,16.3
2014-06-27,16.1
2014-06-30,16.95
2014-07-01,16.7
2014-07-02,16.85
2014-07-03,16.55
2014-07-04,16.85
2014-07-07,17.6
2014-07-08,17.0
2014-07-09,16.55
2014-07-10,18.55
2014-07-11,19.15
2014-07-14,19.75
2014-07-15,19.25
2014-07-16,18.1
2014-07-17,17.65
2014-07-18,17.75
2014-07-21,17.8
2014-07-22,17.85
2014-07-23,17.5
2014-07-24,16.85
2014-07-25,16.55
2014-07-28,16.55
2014-07-30,16.5
2014-07-31,16.6
2014-08-01,16.25
2014-08-04,16.35
2014-08-05,16.7
2014-08-06,16.75
2014-08-07,16.6
2014-08-08,17.1
2014-08-11,17.2
2014-08-12,17.2
2014-08-13,16.45
2014-08-14,16.65
2014-08-18,16.95
2014-08-19,17.3
2014-08-20,18.7
2014-08-21,19.05
2014-08-22,17.75
2014-08-25,17.55
2014-08-26,17.4
2014-08-27,18.05
2014-08-28,19.15
2014-09-01,19.1
2014-09-02,18.7
2014-09-03,18.8
2014-09-04,18.5
2014-09-05,18.6
2014-09-08,19.1
2014-09-09,19.45
2014-09-10,19.35
2014-09-11,19.85
2014-09-12,23.15
2014-09-15,21.8
2014-09-16,21.4
2014-09-17,21.05
2014-09-18,20.95
2014-09-19,20.15
2014-09-22,20.7
2014-09-23,19.8
2014-09-24,18.95
2014-09-25,17.9
2014-09-26,18.5
2014-09-29,18.8
2014-09-30,18.4
2014-10-01,18.5
2014-10-07,18.7
2014-10-08,18.35
2014-10-09,18.5
2014-10-10,18.8
2014-10-13,19.05
2014-10-14,17.95
2014-10-16,17.65
2014-10-17,18.1
2014-10-20,17.8
2014-10-21,18.05
2014-10-22,17.7
2014-10-23,18.1
2014-10-27,18.0
2014-10-28,17.55
2014-10-29,17.7
2014-10-30,17.85
2014-10-31,17.85
2014-11-03,18.1
2014-11-05,18.35
2014-11-07,18.15
2014-11-10,17.9
2014-11-11,18.25
2014-11-12,18.7
2014-11-13,18.8
2014-11-14,20.1
2014-11-17,21.35
2014-11-18,20.65
2014-11-19,19.9
2014-11-20,20.15
2014-11-21,19.5
2014-11-24,19.4
2014-11-25,18.75
2014-11-26,19.05
2014-11-27,19.5
2014-11-28,19.25
2014-12-01,19.15
2014-12-02,18.85
2014-12-03,19.05
2014-12-04,19.1
2014-12-05,18.75
2014-12-08,19.0
2014-12-09,19.0
2014-12-10,20.5
2014-12-11,20.95
2014-12-12,21.55
2014-12-15,21.7
2014-12-16,19.9
2014-12-17,19.5
2014-12-18,20.05
2014-12-19,19.8
2014-12-22,19.65
2014-12-23,19.5
2014-12-24,19.25
2014-12-26,19.75
2014-12-29,19.85
2014-12-30,19.9
2014-12-31,20.1
