Date,MRF
2014-01-01,19276.95
2014-01-02,19019.85
2014-01-03,19162.65
2014-01-06,19287.95
2014-01-07,19120.35
2014-01-08,19075.95
2014-01-09,19153.1
2014-01-10,19101.5
2014-01-13,19124.75
2014-01-14,19264.25
2014-01-15,19271.85
2014-01-16,19824.8
2014-01-17,19522.75
2014-01-20,19610.8
2014-01-21,19624.7
2014-01-22,19953.0
2014-01-23,19408.85
2014-01-24,19249.75
2014-01-27,18804.7
2014-01-28,19034.35
2014-01-29,18948.65
2014-01-30,19030.1
2014-01-31,19433.95
2014-02-03,19676.75
2014-02-04,19895.15
2014-02-05,19925.45
2014-02-06,19378.35
2014-02-07,18807.8
2014-02-10,18832.65
2014-02-11,19161.95
2014-02-12,19182.45
2014-02-13,18890.3
2014-02-14,18897.6
2014-02-17,18890.7
2014-02-18,18850.15
2014-02-19,19113.25
2014-02-20,18834.3
2014-02-21,18918.0
2014-02-24,19002.55
2014-02-25,19085.75
2014-02-26,19026.55
2014-02-28,19086.75
2014-03-03,19098.75
2014-03-04,19633.35
2014-03-05,19478.55
2014-03-06,20367.6
2014-03-07,20412.35
2014-03-10,20663.0
2014-03-11,20785.9
2014-03-12,20844.4
2014-03-13,20671.05
2014-03-14,20943.45
2014-03-18,21591.85
2014-03-19,21583.15
2014-03-20,21453.8
2014-03-21,22300.9
2014-03-22,22496.25
2014-03-24,22167.05
2014-03-25,22205.7
2014-03-26,21863.7
2014-03-27,21118.35
2014-03-28,21459.15
2014-03-31,21788.75
2014-04-01,21669.35
2014-04-02,22276.35
2014-04-03,22216.95
2014-04-04,22379.9
2014-04-07,22290.7
2014-04-09,22388.25
2014-04-10,22146.75
2014-04-11,22837.35
2014-04-15,23464.2
2014-04-16,23454.95
2014-04-17,23750.05
2014-04-21,23568.25
2014-04-22,22228.6
2014-04-23,21697.4
2014-04-25,20428.5
2014-04-28,20656.35
2014-04-29,20721.55
2014-04-30,20528.55
2014-05-02,20714.0
2014-05-05,20641.05
2014-05-06,20812.65
2014-05-07,20761.25
2014-05-08,21287.95
2014-05-09,21417.2
2014-05-12,21602.25
2014-05-13,21404.8
2014-05-14,21902.3
2014-05-15,21584.75
2014-05-16,22222.8
2014-05-19,22820.2
2014-05-20,22775.9
2014-05-21,22445.3
2014-05-22,22833.45
2014-05-23,23143.5
2014-05-26,23076.45
2014-05-27,22731.7
2014-05-28,22880.95
2014-05-29,22936.1
2014-05-30,22733.3
2014-06-02,23009.15
2014-06-03,23198.45
2014-06-04,23142.4
2014-06-05,23848.4
2014-06-06,24340.2
2014-06-09,24585.9
2014-06-10,24242.75
2014-06-11,23785.3
2014-06-12,23866.95
2014-06-13,23279.05
2014-06-16,22804.6
2014-06-17,23469.3
2014-06-18,23483.9
2014-06-19,23312.15
2014-06-20,23180.5
