Date,NITINSPIN
2014-01-01,16.9
2014-01-02,15.85
2014-01-03,16.05
2014-01-06,16.55
2014-01-07,16.45
2014-01-08,16.25
2014-01-09,15.9
2014-01-10,15.55
2014-01-13,15.8
2014-01-14,15.65
2014-01-15,15.75
2014-01-16,15.65
2014-01-17,15.2
2014-01-20,16.2
2014-01-21,16.75
2014-01-22,18.45
2014-01-23,17.5
2014-01-24,16.75
2014-01-27,16.1
2014-01-28,16.35
2014-01-29,16.5
2014-01-30,15.95
2014-01-31,16.1
2014-02-03,15.8
2014-02-04,16.2
2014-02-05,15.85
2014-02-06,16.1
2014-02-07,15.85
2014-02-10,15.7
2014-02-11,15.8
2014-02-12,15.45
2014-02-13,15.2
2014-02-14,15.1
2014-02-17,14.8
2014-02-18,14.95
2014-02-19,14.85
2014-02-20,14.95
2014-02-21,15.35
2014-02-24,15.9
2014-02-25,15.4
2014-02-26,15.6
2014-02-28,15.2
2014-03-03,15.05
2014-03-04,15.05
2014-03-05,15.25
2014-03-06,15.25
2014-03-07,15.0
2014-03-10,15.2
2014-03-11,15.0
2014-03-12,15.05
2014-03-13,14.9
2014-03-14,14.75
2014-03-18,14.85
2014-03-19,14.9
2014-03-20,14.8
2014-03-21,14.85
2014-03-22,14.85
2014-03-24,14.6
2014-03-25,14.45
2014-03-26,14.35
2014-03-27,14.4
2014-03-28,14.4
2014-03-31,14.05
2014-04-01,14.45
2014-04-02,15.0
2014-04-03,14.8
2014-04-04,15.15
2014-04-07,15.25
2014-04-09,15.7
2014-04-10,15.85
2014-04-11,16.15
2014-04-15,16.15
2014-04-16,15.85
2014-04-17,16.3
2014-04-21,16.4
2014-04-22,16.2
2014-04-23,16.3
2014-04-25,16.75
2014-04-28,17.6
2014-04-29,17.4
2014-04-30,17.85
2014-05-02,18.7
2014-05-05,18.65
2014-05-06,17.35
2014-05-07,16.9
2014-05-08,17.0
2014-05-09,17.0
2014-05-12,16.3
2014-05-13,15.7
2014-05-14,15.85
2014-05-15,15.95
2014-05-16,16.0
2014-05-19,17.85
2014-05-20,17.6
2014-05-21,19.35
2014-05-22,18.95
2014-05-23,18.9
2014-05-26,17.65
2014-05-27,18.05
2014-05-28,18.85
2014-05-29,18.75
2014-05-30,18.7
2014-06-02,18.6
2014-06-03,19.3
2014-06-04,23.15
2014-06-05,23.5
2014-06-06,24.2
2014-06-09,23.9
2014-06-10,23.0
2014-06-11,22.15
2014-06-12,21.95
2014-06-13,22.95
2014-06-16,24.0
2014-06-17,23.95
2014-06-18,22.5
2014-06-19,23.2
2014-06-20,22.85
2014-06-23,22.8
2014-06-24,23.6
2014-06-25,23.45
2014-06-26,23.1
2014-06-27,23.25
2014-06-30,23.25
2014-07-01,23.7
2014-07-02,24.6
2014-07-03,23.95
2014-07-04,24.7
2014-07-07,24.15
2014-07-08,22.3
2014-07-09,21.9
2014-07-10,22.75
2014-07-11,21.15
2014-07-14,20.4
2014-07-15,21.1
2014-07-16,22.15
2014-07-17,22.2
2014-07-18,22.0
2014-07-21,22.25
2014-07-22,21.75
2014-07-23,21.6
2014-07-24,23.0
2014-07-25,22.0
2014-07-28,22.0
2014-07-30,23.2
2014-07-31,23.25
2014-08-01,22.3
2014-08-04,22.55
2014-08-05,22.65
2014-08-06,22.8
2014-08-07,22.45
2014-08-08,21.6
2014-08-11,21.6
2014-08-12,21.75
2014-08-13,21.4
2014-08-14,21.7
2014-08-18,24.1
2014-08-19,24.25
2014-08-20,26.55
2014-08-21,25.5
2014-08-22,25.35
2014-08-25,25.75
2014-08-26,25.1
2014-08-27,26.25
2014-08-28,25.75
2014-09-01,26.1
2014-09-02,25.35
2014-09-03,25.5
2014-09-04,24.85
2014-09-05,27.2
2014-09-08,26.75
2014-09-09,26.3
2014-09-10,26.1
2014-09-11,26.85
2014-09-12,26.15
2014-09-15,29.0
2014-09-16,27.0
2014-09-17,26.45
2014-09-18,27.25
2014-09-19,26.7
2014-09-22,27.9
2014-09-23,26.45
2014-09-24,26.9
2014-09-25,26.5
2014-09-26,27.0
2014-09-29,27.1
2014-09-30,27.1
2014-10-01,26.75
2014-10-07,26.55
2014-10-08,26.75
2014-10-09,27.5
2014-10-10,26.75
2014-10-13,26.8
2014-10-14,26.15
2014-10-16,24.6
2014-10-17,24.35
2014-10-20,24.6
2014-10-21,24.5
2014-10-22,24.65
2014-10-23,25.1
2014-10-27,25.35
2014-10-28,25.5
2014-10-29,26.15
2014-10-30,25.8
2014-10-31,26.25
2014-11-03,27.85
2014-11-05,28.2
2014-11-07,26.95
2014-11-10,26.4
2014-11-11,26.55
2014-11-12,28.95
2014-11-13,28.7
2014-11-14,28.4
2014-11-17,29.85
2014-11-18,30.1
2014-11-19,29.45
2014-11-20,29.0
2014-11-21,29.4
2014-11-24,28.85
2014-11-25,27.55
2014-11-26,27.9
2014-11-27,28.0
2014-11-28,29.3
2014-12-01,31.0
2014-12-02,30.95
2014-12-03,31.75
2014-12-04,31.3
2014-12-05,30.25
2014-12-08,29.8
2014-12-09,28.85
2014-12-10,28.95
2014-12-11,29.0
2014-12-12,28.55
2014-12-15,28.0
2014-12-16,26.6
2014-12-17,26.7
2014-12-18,27.2
2014-12-19,27.4
2014-12-22,28.3
2014-12-23,27.95
2014-12-24,27.4
2014-12-26,27.7
2014-12-29,28.0
2014-12-30,27.65
2014-12-31,27.9
