Date,ONMOBILE
2014-01-01,35.2
2014-01-02,31.35
2014-01-03,33.25
2014-01-06,34.85
2014-01-07,33.9
2014-01-08,33.2
2014-01-09,33.15
2014-01-10,31.8
2014-01-13,31.4
2014-01-14,32.5
2014-01-15,31.9
2014-01-16,32.2
2014-01-17,31.5
2014-01-20,31.3
2014-01-21,31.3
2014-01-22,32.3
2014-01-23,34.0
2014-01-24,32.7
2014-01-27,32.05
2014-01-28,32.45
2014-01-29,28.5
2014-01-30,26.25
2014-01-31,26.8
2014-02-03,27.05
2014-02-04,28.1
2014-02-05,28.65
2014-02-06,28.65
2014-02-07,28.0
2014-02-10,29.05
2014-02-11,30.45
2014-02-12,33.75
2014-02-13,32.05
2014-02-14,32.05
2014-02-17,32.1
2014-02-18,32.15
2014-02-19,31.7
2014-02-20,31.55
2014-02-21,32.0
2014-02-24,31.65
2014-02-25,32.3
2014-02-26,32.3
2014-02-28,31.6
2014-03-03,31.25
2014-03-04,31.25
2014-03-05,31.4
2014-03-06,32.65
2014-03-07,33.15
2014-03-10,32.55
2014-03-11,32.45
2014-03-12,32.15
2014-03-13,32.25
2014-03-14,31.85
2014-03-18,31.95
2014-03-19,31.7
2014-03-20,31.85
2014-03-21,31.6
2014-03-22,31.8
2014-03-24,32.0
2014-03-25,33.45
2014-03-26,33.4
2014-03-27,34.5
2014-03-28,33.55
2014-03-31,33.2
2014-04-01,34.0
2014-04-02,34.35
2014-04-03,33.75
2014-04-04,34.25
2014-04-07,34.0
2014-04-09,36.4
2014-04-10,34.75
2014-04-11,36.2
2014-04-15,36.35
2014-04-16,36.35
2014-04-17,36.05
2014-04-21,36.45
2014-04-22,35.75
2014-04-23,35.85
2014-04-25,35.9
2014-04-28,35.65
2014-04-29,35.15
2014-04-30,35.9
2014-05-02,35.6
2014-05-05,35.0
2014-05-06,34.9
2014-05-07,34.45
2014-05-08,35.3
2014-05-09,34.2
2014-05-12,33.25
2014-05-13,35.3
2014-05-14,35.75
2014-05-15,32.7
2014-05-16,31.5
2014-05-19,31.95
2014-05-20,33.2
2014-05-21,33.1
2014-05-22,33.65
2014-05-23,33.6
2014-05-26,32.1
2014-05-27,32.5
2014-05-28,28.95
2014-05-29,27.1
2014-05-30,28.65
2014-06-02,28.85
2014-06-03,29.75
2014-06-04,31.05
2014-06-05,30.75
2014-06-06,30.85
2014-06-09,32.2
2014-06-10,31.6
2014-06-11,31.4
2014-06-12,31.2
2014-06-13,29.45
2014-06-16,29.45
2014-06-17,29.85
2014-06-18,33.05
2014-06-19,32.9
2014-06-20,31.65
2014-06-23,32.0
2014-06-24,34.05
2014-06-25,33.4
2014-06-26,33.25
2014-06-27,36.35
2014-06-30,37.8
2014-07-01,38.75
2014-07-02,37.5
2014-07-03,37.7
2014-07-04,37.4
2014-07-07,35.95
2014-07-08,35.05
2014-07-09,35.2
2014-07-10,35.4
2014-07-11,32.95
2014-07-14,32.85
2014-07-15,34.35
2014-07-16,36.85
2014-07-17,36.85
2014-07-18,35.9
2014-07-21,35.8
2014-07-22,35.6
2014-07-23,35.35
2014-07-24,36.15
2014-07-25,34.65
2014-07-28,35.25
2014-07-30,36.1
2014-07-31,34.9
2014-08-01,34.25
2014-08-04,34.45
2014-08-05,34.25
2014-08-06,34.15
2014-08-07,33.55
2014-08-08,32.15
2014-08-11,32.55
2014-08-12,32.8
2014-08-13,32.1
2014-08-14,32.25
2014-08-18,34.2
2014-08-19,33.9
2014-08-20,34.6
2014-08-21,33.65
2014-08-22,33.45
2014-08-25,32.9
2014-08-26,33.1
2014-08-27,31.7
2014-08-28,30.45
2014-09-01,32.0
2014-09-02,31.0
2014-09-03,30.25
2014-09-04,28.9
2014-09-05,30.35
2014-09-08,30.65
2014-09-09,31.55
2014-09-10,31.75
2014-09-11,32.85
2014-09-12,32.25
2014-09-15,37.1
2014-09-16,32.8
2014-09-17,34.1
2014-09-18,36.0
2014-09-19,34.2
2014-09-22,34.2
2014-09-23,33.35
2014-09-24,32.15
2014-09-25,30.55
2014-09-26,30.3
2014-09-29,31.75
2014-09-30,31.05
2014-10-01,30.85
2014-10-07,30.75
2014-10-08,30.95
2014-10-09,32.25
2014-10-10,31.15
2014-10-13,31.2
2014-10-14,31.3
2014-10-16,30.0
2014-10-17,30.05
2014-10-20,29.95
2014-10-21,30.3
2014-10-22,31.1
2014-10-23,31.25
2014-10-27,31.85
2014-10-28,33.25
2014-10-29,33.65
2014-10-30,32.8
2014-10-31,39.05
2014-11-03,46.85
2014-11-05,51.5
2014-11-07,51.75
2014-11-10,52.15
2014-11-11,49.45
2014-11-12,51.1
2014-11-13,49.5
2014-11-14,51.25
2014-11-17,52.8
2014-11-18,58.05
2014-11-19,63.0
2014-11-20,60.3
2014-11-21,59.2
2014-11-24,56.0
2014-11-25,55.15
2014-11-26,60.35
2014-11-27,62.8
2014-11-28,67.95
2014-12-01,65.75
2014-12-02,69.5
2014-12-03,72.05
2014-12-04,69.1
2014-12-05,66.75
2014-12-08,66.5
2014-12-09,69.8
2014-12-10,71.75
2014-12-11,69.45
2014-12-12,72.9
2014-12-15,75.25
2014-12-16,71.5
2014-12-17,67.95
2014-12-18,68.35
2014-12-19,68.8
2014-12-22,69.7
2014-12-23,70.5
2014-12-24,70.8
2014-12-26,71.35
2014-12-29,72.55
2014-12-30,72.8
2014-12-31,73.55
