Date,RUBYMILLS
2014-01-01,161.85
2014-01-02,160.0
2014-01-03,157.0
2014-01-06,157.4
2014-01-07,158.25
2014-01-08,158.55
2014-01-09,154.75
2014-01-10,155.75
2014-01-13,155.2
2014-01-14,153.05
2014-01-15,152.65
2014-01-16,153.75
2014-01-17,152.45
2014-01-20,152.0
2014-01-21,158.9
2014-01-22,156.8
2014-01-23,154.25
2014-01-24,153.85
2014-01-27,152.85
2014-01-28,154.9
2014-01-29,154.85
2014-01-30,149.9
2014-01-31,154.6
2014-02-03,157.0
2014-02-04,162.75
2014-02-05,164.6
2014-02-06,164.2
2014-02-07,164.95
2014-02-10,165.3
2014-02-11,160.1
2014-02-12,161.25
2014-02-13,155.2
2014-02-14,158.5
2014-02-17,158.5
2014-02-18,158.3
2014-02-19,161.3
2014-02-20,158.1
2014-02-21,163.5
2014-02-24,160.0
2014-02-25,157.0
2014-02-26,160.4
2014-02-28,158.85
2014-03-03,157.5
2014-03-04,157.2
2014-03-05,158.45
2014-03-06,156.3
2014-03-07,160.1
2014-03-10,161.65
2014-03-11,164.25
2014-03-12,161.5
2014-03-13,164.4
2014-03-14,163.15
2014-03-18,172.4
2014-03-19,182.55
2014-03-20,190.15
2014-03-21,181.45
2014-03-22,191.0
2014-03-24,195.3
2014-03-25,196.15
2014-03-26,189.65
2014-03-27,204.55
2014-03-28,200.0
2014-03-31,203.5
2014-04-01,197.25
2014-04-02,196.2
2014-04-03,197.0
2014-04-04,204.9
2014-04-07,204.8
2014-04-09,203.55
2014-04-10,205.35
2014-04-11,206.25
2014-04-15,201.45
2014-04-16,204.35
2014-04-17,200.6
2014-04-21,205.5
2014-04-22,200.25
2014-04-23,193.75
2014-04-25,192.95
2014-04-28,193.0
2014-04-29,193.55
2014-04-30,191.0
2014-05-02,185.05
2014-05-05,183.25
2014-05-06,185.45
2014-05-07,186.35
2014-05-08,179.6
2014-05-09,185.0
2014-05-12,186.25
2014-05-13,191.2
2014-05-14,192.0
2014-05-15,185.35
2014-05-16,186.0
2014-05-19,209.6
2014-05-20,219.15
2014-05-21,239.2
2014-05-22,256.35
2014-05-23,267.4
2014-05-26,251.95
2014-05-27,256.65
2014-05-28,251.5
2014-05-29,248.25
2014-05-30,240.0
2014-06-02,242.05
2014-06-03,251.05
2014-06-04,261.25
2014-06-05,271.0
2014-06-06,274.25
2014-06-09,274.1
2014-06-10,284.7
2014-06-11,294.3
2014-06-12,294.85
2014-06-13,290.2
2014-06-16,281.1
2014-06-17,298.3
2014-06-18,291.1
2014-06-19,285.85
2014-06-20,280.6
2014-06-23,281.1
2014-06-24,282.65
2014-06-25,277.2
2014-06-26,273.75
2014-06-27,273.95
2014-06-30,282.0
2014-07-01,285.0
2014-07-02,284.5
2014-07-03,275.1
2014-07-04,273.55
2014-07-07,280.2
2014-07-08,264.65
2014-07-09,268.4
2014-07-10,270.0
2014-07-11,246.85
2014-07-14,247.4
2014-07-15,248.4
2014-07-16,255.95
2014-07-17,256.2
2014-07-18,255.15
2014-07-21,256.75
2014-07-22,284.35
2014-07-23,326.45
2014-07-24,328.6
2014-07-25,306.8
2014-07-28,303.5
2014-07-30,296.6
2014-07-31,294.05
2014-08-01,288.6
2014-08-04,303.15
2014-08-05,293.25
2014-08-06,291.3
2014-08-07,288.4
2014-08-08,281.25
2014-08-11,290.2
2014-08-12,291.4
2014-08-13,284.95
2014-08-14,287.55
2014-08-18,290.6
2014-08-19,291.3
2014-08-20,297.65
2014-08-21,297.25
2014-08-22,291.85
2014-08-25,286.0
2014-08-26,285.15
2014-08-27,286.15
2014-08-28,304.95
2014-09-01,309.3
2014-09-02,325.4
2014-09-03,321.15
2014-09-04,320.75
2014-09-05,312.1
2014-09-08,322.05
2014-09-09,314.35
2014-09-10,317.55
2014-09-11,321.85
2014-09-12,315.35
2014-09-15,319.75
2014-09-16,301.05
2014-09-17,302.9
2014-09-18,309.4
2014-09-19,305.65
2014-09-22,303.45
2014-09-23,292.75
2014-09-24,287.1
2014-09-25,276.7
2014-09-26,271.8
2014-09-29,280.95
2014-09-30,285.2
2014-10-01,279.6
2014-10-07,282.0
2014-10-08,281.85
2014-10-09,288.45
2014-10-10,279.5
2014-10-13,283.65
2014-10-14,276.85
2014-10-16,277.75
2014-10-17,278.5
2014-10-20,272.45
2014-10-21,273.95
2014-10-22,273.45
2014-10-23,275.25
2014-10-27,281.75
2014-10-28,274.65
2014-10-29,272.25
2014-10-30,269.75
2014-10-31,273.1
2014-11-03,273.35
2014-11-05,279.1
2014-11-07,271.6
2014-11-10,279.8
2014-11-11,279.3
2014-11-12,286.95
2014-11-13,282.4
2014-11-14,278.55
2014-11-17,292.5
2014-11-18,299.4
2014-11-19,299.1
2014-11-20,300.7
2014-11-21,311.05
2014-11-24,310.15
2014-11-25,294.85
2014-11-26,298.1
2014-11-27,297.2
2014-11-28,297.0
2014-12-01,294.2
2014-12-02,288.45
2014-12-03,293.7
2014-12-04,295.85
2014-12-05,294.65
2014-12-08,286.7
2014-12-09,280.4
2014-12-10,284.8
2014-12-11,284.4
2014-12-12,276.45
2014-12-15,275.6
2014-12-16,271.3
2014-12-17,273.9
2014-12-18,281.4
2014-12-19,279.45
2014-12-22,282.25
2014-12-23,275.2
2014-12-24,283.2
2014-12-26,280.0
2014-12-29,283.45
2014-12-30,286.2
2014-12-31,288.95
