Date,CIPLA
2015-01-01,628.4
2015-01-02,630.15
2015-01-05,633.0
2015-01-06,614.35
2015-01-07,611.95
2015-01-08,618.2
2015-01-09,632.35
2015-01-12,630.75
2015-01-13,636.4
2015-01-14,631.4
2015-01-15,638.05
2015-01-16,647.35
2015-01-19,657.8
2015-01-20,661.8
2015-01-21,643.45
2015-01-22,654.8
2015-01-23,677.65
2015-01-27,707.05
2015-01-28,703.55
2015-01-29,697.45
2015-01-30,695.75
2015-02-02,695.5
2015-02-03,677.4
2015-02-04,678.0
2015-02-05,662.4
2015-02-06,655.05
2015-02-09,629.65
2015-02-10,640.15
2015-02-11,636.45
2015-02-12,660.65
2015-02-13,667.25
2015-02-16,671.55
2015-02-18,677.65
2015-02-19,682.45
2015-02-20,675.95
2015-02-23,669.15
2015-02-24,677.3
2015-02-25,676.35
2015-02-26,659.45
2015-02-27,669.85
2015-02-28,682.05
2015-03-02,716.95
2015-03-03,731.9
2015-03-04,727.05
2015-03-05,739.5
2015-03-09,734.2
2015-03-10,729.45
2015-03-11,717.7
2015-03-12,720.2
2015-03-13,703.85
2015-03-16,693.65
2015-03-17,710.55
2015-03-18,711.95
2015-03-19,710.35
2015-03-20,699.8
2015-03-23,701.3
2015-03-24,710.25
2015-03-25,711.45
2015-03-26,700.95
2015-03-27,694.0
2015-03-30,702.2
2015-03-31,712.45
2015-04-01,709.6
2015-04-06,735.65
2015-04-07,728.2
2015-04-08,736.7
2015-04-09,719.45
2015-04-10,701.15
2015-04-13,712.4
2015-04-15,692.9
2015-04-16,678.85
2015-04-17,680.4
2015-04-20,660.0
2015-04-21,652.6
2015-04-22,656.7
2015-04-23,663.95
2015-04-24,637.65
2015-04-27,628.45
2015-04-28,631.65
2015-04-29,629.25
2015-04-30,636.0
2015-05-04,673.7
2015-05-05,662.3
2015-05-06,636.25
2015-05-07,627.8
2015-05-08,654.7
2015-05-11,666.1
2015-05-12,664.1
2015-05-13,676.6
2015-05-14,686.0
2015-05-15,683.35
2015-05-18,685.55
2015-05-19,682.7
2015-05-20,688.55
2015-05-21,674.35
2015-05-22,673.9
2015-05-25,660.2
2015-05-26,659.05
2015-05-27,661.1
2015-05-28,644.0
2015-05-29,650.45
2015-06-01,662.1
2015-06-02,641.3
2015-06-03,635.15
2015-06-04,630.45
2015-06-05,622.65
2015-06-08,614.7
2015-06-09,591.95
2015-06-10,592.75
2015-06-11,574.35
2015-06-12,581.65
2015-06-15,585.7
2015-06-16,590.35
2015-06-17,612.9
2015-06-18,607.05
2015-06-19,606.65
2015-06-22,613.5
2015-06-23,630.35
2015-06-24,621.75
2015-06-25,610.75
2015-06-26,619.3
2015-06-29,610.95
2015-06-30,615.4
2015-07-01,634.9
2015-07-02,626.35
2015-07-03,631.55
2015-07-06,653.7
2015-07-07,646.5
2015-07-08,646.2
2015-07-09,641.15
2015-07-10,648.0
2015-07-13,661.25
2015-07-14,665.95
2015-07-15,670.6
2015-07-16,679.8
2015-07-17,685.2
2015-07-20,683.1
2015-07-21,662.5
2015-07-22,674.6
2015-07-23,673.2
2015-07-24,678.1
2015-07-27,675.35
2015-07-28,671.9
2015-07-29,679.55
2015-07-30,711.05
2015-07-31,709.05
2015-08-03,712.3
2015-08-04,709.65
2015-08-05,718.6
2015-08-06,723.4
2015-08-07,715.15
2015-08-10,715.25
2015-08-11,719.2
2015-08-12,707.65
2015-08-13,725.5
2015-08-14,739.6
2015-08-17,703.15
2015-08-18,683.8
2015-08-19,696.1
2015-08-20,691.6
2015-08-21,697.4
2015-08-24,635.85
2015-08-25,645.4
2015-08-26,637.45
2015-08-27,660.95
2015-08-28,659.85
2015-08-31,682.15
2015-09-01,663.15
2015-09-02,648.3
2015-09-03,655.65
2015-09-04,649.55
2015-09-07,649.55
2015-09-08,650.0
2015-09-09,656.45
2015-09-10,653.7
2015-09-11,653.15
2015-09-14,660.7
2015-09-15,658.9
2015-09-16,661.6
2015-09-18,652.0
2015-09-21,649.25
2015-09-22,644.15
2015-09-23,642.15
2015-09-24,643.1
2015-09-28,641.9
2015-09-29,636.5
2015-09-30,636.05
2015-10-01,633.55
2015-10-05,640.1
2015-10-06,664.0
2015-10-07,680.8
2015-10-08,680.25
2015-10-09,689.55
2015-10-12,676.35
2015-10-13,679.05
2015-10-14,679.2
2015-10-15,670.95
2015-10-16,679.45
2015-10-19,688.45
2015-10-20,673.6
2015-10-21,678.0
2015-10-23,682.2
2015-10-26,681.25
2015-10-27,684.7
2015-10-28,696.05
2015-10-29,691.55
2015-10-30,690.45
2015-11-02,680.25
2015-11-03,675.4
2015-11-04,670.7
2015-11-05,658.05
2015-11-06,658.15
2015-11-09,647.6
2015-11-10,641.9
2015-11-11,643.3
2015-11-13,617.9
2015-11-16,625.8
2015-11-17,635.75
2015-11-18,629.75
2015-11-19,635.65
2015-11-20,646.85
2015-11-23,641.45
2015-11-24,637.3
2015-11-26,634.55
2015-11-27,643.65
2015-11-30,643.65
2015-12-01,648.55
2015-12-02,658.4
2015-12-03,651.2
2015-12-04,645.8
2015-12-07,645.2
2015-12-08,642.6
2015-12-09,623.8
2015-12-10,636.8
2015-12-11,639.25
2015-12-14,637.05
2015-12-15,638.9
2015-12-16,638.65
2015-12-17,642.9
2015-12-18,642.1
2015-12-21,643.7
2015-12-22,644.2
2015-12-23,647.45
2015-12-24,648.2
2015-12-28,657.6
2015-12-29,653.85
2015-12-30,653.2
2015-12-31,649.75
