Date,DABUR
2015-01-01,232.4
2015-01-02,234.7
2015-01-05,231.45
2015-01-06,224.35
2015-01-07,227.75
2015-01-08,230.0
2015-01-09,229.45
2015-01-12,234.75
2015-01-13,235.75
2015-01-14,251.05
2015-01-15,249.9
2015-01-16,251.4
2015-01-19,257.8
2015-01-20,254.15
2015-01-21,250.2
2015-01-22,250.2
2015-01-23,249.6
2015-01-27,248.75
2015-01-28,251.75
2015-01-29,258.4
2015-01-30,256.25
2015-02-02,261.65
2015-02-03,265.85
2015-02-04,267.65
2015-02-05,267.9
2015-02-06,273.45
2015-02-09,261.05
2015-02-10,270.5
2015-02-11,272.0
2015-02-12,267.15
2015-02-13,272.25
2015-02-16,266.85
2015-02-18,268.8
2015-02-19,266.95
2015-02-20,265.45
2015-02-23,265.7
2015-02-24,268.15
2015-02-25,264.35
2015-02-26,263.45
2015-02-27,265.15
2015-02-28,263.6
2015-03-02,262.6
2015-03-03,264.05
2015-03-04,264.15
2015-03-05,266.7
2015-03-09,274.35
2015-03-10,265.8
2015-03-11,267.5
2015-03-12,271.2
2015-03-13,272.45
2015-03-16,271.25
2015-03-17,283.3
2015-03-18,284.1
2015-03-19,275.4
2015-03-20,266.0
2015-03-23,269.1
2015-03-24,266.5
2015-03-25,268.2
2015-03-26,262.75
2015-03-27,264.8
2015-03-30,266.05
2015-03-31,265.55
2015-04-01,266.55
2015-04-06,272.95
2015-04-07,274.3
2015-04-08,284.35
2015-04-09,279.9
2015-04-10,280.3
2015-04-13,283.6
2015-04-15,275.35
2015-04-16,276.15
2015-04-17,272.95
2015-04-20,268.9
2015-04-21,268.55
2015-04-22,265.25
2015-04-23,271.05
2015-04-24,270.1
2015-04-27,263.45
2015-04-28,259.1
2015-04-29,255.3
2015-04-30,251.9
2015-05-04,261.45
2015-05-05,264.6
2015-05-06,263.1
2015-05-07,257.2
2015-05-08,260.85
2015-05-11,257.2
2015-05-12,260.65
2015-05-13,261.4
2015-05-14,263.85
2015-05-15,264.85
2015-05-18,265.7
2015-05-19,264.7
2015-05-20,264.1
2015-05-21,259.05
2015-05-22,265.25
2015-05-25,268.4
2015-05-26,270.65
2015-05-27,269.35
2015-05-28,271.7
2015-05-29,269.85
2015-06-01,272.7
2015-06-02,266.75
2015-06-03,261.5
2015-06-04,255.75
2015-06-05,257.8
2015-06-08,251.5
2015-06-09,253.75
2015-06-10,253.4
2015-06-11,251.4
2015-06-12,252.0
2015-06-15,256.3
2015-06-16,256.55
2015-06-17,265.45
2015-06-18,267.7
2015-06-19,269.3
2015-06-22,270.2
2015-06-23,269.75
2015-06-24,273.5
2015-06-25,276.75
2015-06-26,275.7
2015-06-29,275.9
2015-06-30,280.1
2015-07-01,282.5
2015-07-02,278.25
2015-07-03,285.55
2015-07-06,286.4
2015-07-07,288.4
2015-07-08,286.6
2015-07-09,287.1
2015-07-10,282.25
2015-07-13,286.45
2015-07-14,296.15
2015-07-15,292.2
2015-07-16,291.2
2015-07-17,292.05
2015-07-20,299.2
2015-07-21,302.25
2015-07-22,298.6
2015-07-23,298.45
2015-07-24,296.55
2015-07-27,296.35
2015-07-28,294.45
2015-07-29,290.6
2015-07-30,292.2
2015-07-31,293.3
2015-08-03,290.9
2015-08-04,292.2
2015-08-05,306.65
2015-08-06,308.85
2015-08-07,309.1
2015-08-10,305.35
2015-08-11,299.9
2015-08-12,298.4
2015-08-13,292.0
2015-08-14,294.7
2015-08-17,302.9
2015-08-18,303.1
2015-08-19,297.45
2015-08-20,297.65
2015-08-21,298.65
2015-08-24,273.45
2015-08-25,273.4
2015-08-26,275.05
2015-08-27,284.5
2015-08-28,280.3
2015-08-31,273.05
2015-09-01,270.1
2015-09-02,280.15
2015-09-03,285.1
2015-09-04,286.25
2015-09-07,277.0
2015-09-08,274.5
2015-09-09,275.2
2015-09-10,279.9
2015-09-11,281.8
2015-09-14,281.7
2015-09-15,282.3
2015-09-16,273.9
2015-09-18,275.25
2015-09-21,279.05
2015-09-22,277.95
2015-09-23,275.85
2015-09-24,274.85
2015-09-28,274.55
2015-09-29,274.75
2015-09-30,276.0
2015-10-01,278.7
2015-10-05,275.1
2015-10-06,276.9
2015-10-07,279.6
2015-10-08,277.8
2015-10-09,279.85
2015-10-12,279.0
2015-10-13,271.0
2015-10-14,272.8
2015-10-15,271.8
2015-10-16,272.65
2015-10-19,272.45
2015-10-20,271.05
2015-10-21,270.25
2015-10-23,262.9
2015-10-26,266.7
2015-10-27,271.0
2015-10-28,271.95
2015-10-29,272.45
2015-10-30,269.75
2015-11-02,270.85
2015-11-03,270.2
2015-11-04,270.05
2015-11-05,266.25
2015-11-06,267.65
2015-11-09,266.65
2015-11-10,264.65
2015-11-11,266.75
2015-11-13,267.55
2015-11-16,260.9
2015-11-17,264.05
2015-11-18,269.05
2015-11-19,274.0
2015-11-20,275.9
2015-11-23,274.8
2015-11-24,275.2
2015-11-26,279.8
2015-11-27,275.7
2015-11-30,272.55
2015-12-01,278.5
2015-12-02,283.9
2015-12-03,276.85
2015-12-04,271.7
2015-12-07,276.25
2015-12-08,275.1
2015-12-09,269.9
2015-12-10,269.45
2015-12-11,268.0
2015-12-14,265.9
2015-12-15,272.55
2015-12-16,269.7
2015-12-17,275.5
2015-12-18,274.0
2015-12-21,277.45
2015-12-22,278.1
2015-12-23,279.45
2015-12-24,276.7
2015-12-28,277.2
2015-12-29,277.3
2015-12-30,275.0
2015-12-31,276.95
