Date,EASTSILK
2015-01-01,2.3
2015-01-02,2.35
2015-01-05,2.25
2015-01-06,2.35
2015-01-07,2.3
2015-01-08,2.4
2015-01-09,2.4
2015-01-12,2.85
2015-01-13,2.45
2015-01-14,2.25
2015-01-15,2.35
2015-01-16,2.35
2015-01-19,2.35
2015-01-20,2.35
2015-01-21,2.35
2015-01-22,2.2
2015-01-23,2.15
2015-01-27,2.1
2015-01-28,2.05
2015-01-29,2.1
2015-01-30,2.15
2015-02-03,2.1
2015-02-04,2.3
2015-02-05,2.15
2015-02-06,2.25
2015-02-09,2.1
2015-02-10,2.2
2015-02-11,2.1
2015-02-12,2.1
2015-02-13,2.1
2015-02-16,2.1
2015-02-18,2.0
2015-02-19,2.0
2015-02-20,2.05
2015-02-23,1.95
2015-02-24,2.0
2015-02-25,2.0
2015-02-26,2.1
2015-02-27,2.1
2015-02-28,2.0
2015-03-02,1.95
2015-03-03,2.0
2015-03-04,1.8
2015-03-05,1.85
2015-03-09,1.8
2015-03-10,1.8
2015-03-11,1.7
2015-03-12,1.75
2015-03-13,1.75
2015-03-16,1.95
2015-03-17,1.95
2015-03-18,1.75
2015-03-19,1.65
2015-03-20,1.9
2015-03-23,1.75
2015-03-24,1.85
2015-03-25,1.85
2015-03-26,1.7
2015-03-27,1.5
2015-03-30,1.7
2015-03-31,1.55
2015-04-01,1.75
2015-04-06,1.85
2015-04-07,1.85
2015-04-08,2.2
2015-04-09,2.25
2015-04-10,2.4
2015-04-13,2.3
2015-04-15,2.1
2015-04-16,2.3
2015-04-17,2.4
2015-04-20,2.5
2015-04-21,2.25
2015-04-22,2.3
2015-04-23,2.25
2015-04-24,2.15
2015-04-27,2.2
2015-04-28,2.05
2015-04-29,2.1
2015-04-30,1.95
2015-05-04,2.15
2015-05-05,2.05
2015-05-06,1.95
2015-05-07,1.9
2015-05-08,1.85
2015-05-11,1.85
2015-05-12,1.95
2015-05-13,1.9
2015-05-14,1.85
2015-05-15,1.95
2015-05-18,1.95
2015-05-19,1.9
2015-05-20,1.85
2015-05-21,1.8
2015-05-22,1.8
2015-05-25,1.85
2015-05-26,1.85
2015-05-27,1.9
2015-05-28,1.75
2015-05-29,1.85
2015-06-01,1.8
2015-06-02,1.7
2015-06-03,1.7
2015-06-04,1.65
2015-06-05,1.65
2015-06-08,1.85
2015-06-09,1.75
2015-06-10,1.7
2015-06-11,1.8
2015-06-12,1.7
2015-06-15,1.8
2015-06-16,1.7
2015-06-17,1.65
2015-06-18,1.6
2015-06-19,1.75
2015-06-22,1.8
2015-06-23,1.6
2015-06-24,1.65
2015-06-25,1.7
2015-06-26,1.7
2015-06-29,1.55
2015-06-30,1.6
2015-07-01,1.65
2015-07-02,1.75
2015-07-03,1.75
2015-07-06,1.75
2015-07-07,2.1
2015-07-08,1.95
2015-07-09,1.9
2015-07-10,2.05
2015-07-13,2.1
2015-07-14,2.1
2015-07-15,2.05
2015-07-16,2.2
2015-07-17,2.0
2015-07-20,2.1
2015-07-21,2.05
2015-07-22,2.0
2015-07-23,1.85
2015-07-24,2.05
2015-07-27,2.1
2015-07-28,2.05
2015-07-29,2.15
2015-07-30,1.85
2015-07-31,1.95
2015-08-03,2.1
2015-08-04,2.4
2015-08-05,2.85
2015-08-06,3.4
2015-08-07,3.6
2015-08-10,3.95
2015-08-11,4.3
2015-08-12,4.25
2015-08-13,4.05
2015-08-14,3.85
2015-08-17,3.7
2015-08-18,3.55
2015-08-19,3.4
2015-08-20,3.25
2015-08-21,3.1
2015-08-24,2.95
2015-08-25,2.85
2015-08-26,2.75
2015-08-27,2.65
2015-08-28,2.55
2015-08-31,2.45
2015-09-01,2.35
2015-09-02,2.25
2015-09-03,2.15
2015-09-04,2.05
2015-09-07,1.95
2015-09-08,1.95
2015-09-09,1.95
2015-09-10,2.0
2015-09-11,2.1
2015-09-14,2.2
2015-09-15,2.3
2015-09-16,2.4
2015-09-18,2.4
2015-09-21,2.3
2015-09-22,2.2
2015-09-23,2.2
2015-09-24,2.15
2015-09-28,2.1
2015-09-29,2.1
2015-09-30,2.1
2015-10-01,2.15
2015-10-05,2.1
2015-10-06,2.15
2015-10-07,2.15
2015-10-08,2.2
2015-10-09,2.2
2015-10-12,2.15
2015-10-13,2.1
2015-10-14,2.0
2015-10-15,2.0
2015-10-16,2.05
2015-10-19,2.1
2015-10-20,2.0
2015-10-21,2.0
2015-10-23,2.1
2015-10-26,2.0
2015-10-27,2.0
2015-10-28,2.05
2015-10-29,1.95
2015-10-30,1.95
2015-11-02,1.95
2015-11-03,2.0
2015-11-04,2.0
2015-11-05,1.9
2015-11-06,1.95
2015-11-09,1.95
2015-11-10,2.05
2015-11-11,2.1
2015-11-13,2.0
2015-11-16,2.15
2015-11-17,2.3
2015-11-18,2.55
2015-11-19,2.65
2015-11-20,2.85
2015-11-23,2.75
2015-11-24,2.65
2015-11-26,2.65
2015-11-27,2.4
2015-11-30,2.5
2015-12-01,2.5
2015-12-02,2.35
2015-12-03,2.5
2015-12-04,2.45
2015-12-07,2.5
2015-12-08,2.6
2015-12-09,2.5
2015-12-10,2.55
2015-12-11,2.6
2015-12-14,2.5
2015-12-15,2.6
2015-12-16,2.6
2015-12-17,2.5
2015-12-18,2.55
2015-12-21,2.8
2015-12-22,2.8
2015-12-23,2.8
2015-12-24,3.0
2015-12-28,3.1
2015-12-29,3.4
2015-12-30,3.7
2015-12-31,3.85
