Date,EASUNREYRL
2015-01-01,53.8
2015-01-02,54.9
2015-01-05,52.25
2015-01-06,49.85
2015-01-07,49.7
2015-01-08,50.6
2015-01-09,51.15
2015-01-12,50.65
2015-01-13,53.0
2015-01-14,52.45
2015-01-15,51.5
2015-01-16,51.85
2015-01-19,56.55
2015-01-20,58.45
2015-01-21,56.9
2015-01-22,58.4
2015-01-23,57.1
2015-01-27,55.15
2015-01-28,54.1
2015-01-29,53.45
2015-01-30,52.05
2015-02-02,51.5
2015-02-03,52.95
2015-02-04,52.2
2015-02-05,51.25
2015-02-06,49.75
2015-02-09,48.6
2015-02-10,47.45
2015-02-11,50.5
2015-02-12,49.55
2015-02-13,49.85
2015-02-16,49.3
2015-02-18,49.35
2015-02-19,48.85
2015-02-20,48.5
2015-02-23,46.5
2015-02-24,46.7
2015-02-25,46.2
2015-02-26,44.5
2015-02-27,45.6
2015-02-28,46.8
2015-03-02,47.45
2015-03-03,49.3
2015-03-04,47.85
2015-03-05,46.85
2015-03-09,46.0
2015-03-10,45.7
2015-03-11,45.2
2015-03-12,45.6
2015-03-13,44.75
2015-03-16,44.8
2015-03-17,43.75
2015-03-18,43.35
2015-03-19,42.85
2015-03-20,41.7
2015-03-23,42.2
2015-03-24,42.45
2015-03-25,38.35
2015-03-26,36.05
2015-03-27,35.7
2015-03-30,40.5
2015-03-31,40.4
2015-04-01,42.55
2015-04-06,43.1
2015-04-07,43.1
2015-04-08,43.35
2015-04-09,45.75
2015-04-10,46.15
2015-04-13,45.4
2015-04-15,44.85
2015-04-16,43.55
2015-04-17,43.25
2015-04-20,41.9
2015-04-21,42.55
2015-04-22,41.5
2015-04-23,42.15
2015-04-24,39.65
2015-04-27,39.6
2015-04-28,38.6
2015-04-29,40.4
2015-04-30,40.35
2015-05-04,41.25
2015-05-05,40.6
2015-05-06,39.7
2015-05-07,39.55
2015-05-08,39.2
2015-05-11,40.0
2015-05-12,38.6
2015-05-13,38.65
2015-05-14,37.75
2015-05-15,37.2
2015-05-18,37.75
2015-05-19,37.65
2015-05-20,37.4
2015-05-21,37.95
2015-05-22,38.45
2015-05-25,38.25
2015-05-26,38.7
2015-05-27,37.75
2015-05-28,38.4
2015-05-29,38.0
2015-06-01,36.4
2015-06-02,36.25
2015-06-03,36.7
2015-06-04,35.65
2015-06-05,36.8
2015-06-08,35.9
2015-06-09,36.15
2015-06-10,36.85
2015-06-11,36.4
2015-06-12,35.7
2015-06-15,35.3
2015-06-16,36.05
2015-06-17,35.65
2015-06-18,35.95
2015-06-19,35.75
2015-06-22,38.8
2015-06-23,37.8
2015-06-24,36.7
2015-06-25,37.1
2015-06-26,36.8
2015-06-29,35.35
2015-06-30,35.95
2015-07-01,37.25
2015-07-02,37.45
2015-07-03,38.2
2015-07-06,42.05
2015-07-07,42.75
2015-07-08,41.35
2015-07-09,47.3
2015-07-10,46.2
2015-07-13,44.55
2015-07-14,46.4
2015-07-15,46.05
2015-07-16,47.85
2015-07-17,46.05
2015-07-20,45.45
2015-07-21,45.55
2015-07-22,54.65
2015-07-23,52.9
2015-07-24,52.45
2015-07-27,53.05
2015-07-28,53.65
2015-07-29,57.65
2015-07-30,57.85
2015-07-31,61.75
2015-08-03,60.85
2015-08-04,63.25
2015-08-05,64.35
2015-08-06,60.95
2015-08-07,61.95
2015-08-10,62.85
2015-08-11,58.45
2015-08-12,57.6
2015-08-13,55.3
2015-08-14,55.65
2015-08-17,53.9
2015-08-18,53.2
2015-08-19,55.8
2015-08-20,52.2
2015-08-21,51.6
2015-08-24,45.1
2015-08-25,43.05
2015-08-26,43.6
2015-08-27,46.65
2015-08-28,43.9
2015-08-31,43.85
2015-09-01,43.5
2015-09-02,41.7
2015-09-03,43.45
2015-09-04,41.8
2015-09-07,39.05
2015-09-08,39.05
2015-09-09,40.55
2015-09-10,40.7
2015-09-11,40.65
2015-09-14,42.35
2015-09-15,40.25
2015-09-16,39.7
2015-09-18,39.85
2015-09-21,39.95
2015-09-22,39.7
2015-09-23,39.3
2015-09-24,39.7
2015-09-28,38.95
2015-09-29,39.75
2015-09-30,38.15
2015-10-01,38.45
2015-10-05,37.75
2015-10-06,38.1
2015-10-07,37.95
2015-10-08,37.95
2015-10-09,37.95
2015-10-12,37.9
2015-10-13,38.25
2015-10-14,37.45
2015-10-15,37.2
2015-10-16,41.9
2015-10-19,41.4
2015-10-20,40.9
2015-10-21,41.85
2015-10-23,40.8
2015-10-26,39.65
2015-10-27,39.15
2015-10-28,39.3
2015-10-29,39.65
2015-10-30,39.15
2015-11-02,38.85
2015-11-03,38.6
2015-11-04,38.05
2015-11-05,38.55
2015-11-06,37.6
2015-11-09,38.6
2015-11-10,38.25
2015-11-11,38.6
2015-11-13,39.05
2015-11-16,38.25
2015-11-17,38.2
2015-11-18,37.65
2015-11-19,38.45
2015-11-20,38.05
2015-11-23,38.3
2015-11-24,38.55
2015-11-26,38.9
2015-11-27,39.15
2015-11-30,41.3
2015-12-01,42.6
2015-12-02,41.7
2015-12-03,40.65
2015-12-04,39.45
2015-12-07,39.7
2015-12-08,39.1
2015-12-09,38.7
2015-12-10,38.85
2015-12-11,38.9
2015-12-14,38.7
2015-12-15,38.8
2015-12-16,40.6
2015-12-17,43.95
2015-12-18,46.1
2015-12-21,46.95
2015-12-22,46.0
2015-12-23,46.5
2015-12-24,45.9
2015-12-28,45.35
2015-12-29,44.0
2015-12-30,43.5
2015-12-31,49.1
