Date,HERITGFOOD
2015-01-01,379.2
2015-01-02,381.75
2015-01-05,390.0
2015-01-06,375.4
2015-01-07,383.3
2015-01-08,388.7
2015-01-09,387.55
2015-01-12,394.5
2015-01-13,392.65
2015-01-14,389.85
2015-01-15,394.6
2015-01-16,399.4
2015-01-19,402.15
2015-01-20,401.9
2015-01-21,396.85
2015-01-22,396.15
2015-01-23,395.2
2015-01-27,399.55
2015-01-28,391.9
2015-01-29,393.5
2015-01-30,390.15
2015-02-02,369.35
2015-02-03,371.65
2015-02-04,366.45
2015-02-05,359.55
2015-02-06,360.9
2015-02-09,357.8
2015-02-10,357.4
2015-02-11,357.5
2015-02-12,356.3
2015-02-13,356.95
2015-02-16,358.2
2015-02-18,357.85
2015-02-19,351.5
2015-02-20,345.35
2015-02-23,344.35
2015-02-24,345.65
2015-02-25,346.1
2015-02-26,342.95
2015-02-27,339.6
2015-02-28,342.9
2015-03-02,334.5
2015-03-03,335.25
2015-03-04,334.9
2015-03-05,344.2
2015-03-09,325.6
2015-03-10,324.0
2015-03-11,316.15
2015-03-12,317.0
2015-03-13,318.5
2015-03-16,319.3
2015-03-17,316.15
2015-03-18,313.05
2015-03-19,320.65
2015-03-20,313.45
2015-03-23,327.9
2015-03-24,316.8
2015-03-25,314.7
2015-03-26,311.8
2015-03-27,298.6
2015-03-30,309.0
2015-03-31,326.05
2015-04-01,327.75
2015-04-06,328.5
2015-04-07,329.25
2015-04-08,336.65
2015-04-09,334.85
2015-04-10,329.55
2015-04-13,337.35
2015-04-15,329.05
2015-04-16,324.0
2015-04-17,338.0
2015-04-20,336.75
2015-04-21,335.75
2015-04-22,328.1
2015-04-23,325.75
2015-04-24,314.55
2015-04-27,304.65
2015-04-28,306.35
2015-04-29,313.1
2015-04-30,312.45
2015-05-04,315.75
2015-05-05,316.1
2015-05-06,306.2
2015-05-07,289.05
2015-05-08,300.6
2015-05-11,307.15
2015-05-12,303.35
2015-05-13,311.35
2015-05-14,309.8
2015-05-15,307.4
2015-05-18,310.45
2015-05-19,312.3
2015-05-20,312.25
2015-05-21,312.35
2015-05-22,311.85
2015-05-25,314.25
2015-05-26,355.1
2015-05-27,385.25
2015-05-28,369.0
2015-05-29,364.1
2015-06-01,371.9
2015-06-02,390.7
2015-06-03,378.8
2015-06-04,386.75
2015-06-05,386.4
2015-06-08,380.25
2015-06-09,376.7
2015-06-10,387.4
2015-06-11,375.15
2015-06-12,375.9
2015-06-15,369.5
2015-06-16,366.6
2015-06-17,371.2
2015-06-18,372.75
2015-06-19,368.05
2015-06-22,384.1
2015-06-23,384.1
2015-06-24,381.7
2015-06-25,376.7
2015-06-26,378.15
2015-06-29,366.25
2015-06-30,374.25
2015-07-01,379.5
2015-07-02,375.4
2015-07-03,370.65
2015-07-06,376.6
2015-07-07,382.2
2015-07-08,380.6
2015-07-09,403.2
2015-07-10,403.85
2015-07-13,402.35
2015-07-14,414.35
2015-07-15,413.05
2015-07-16,436.9
2015-07-17,441.45
2015-07-20,452.15
2015-07-21,448.5
2015-07-22,425.0
2015-07-23,432.35
2015-07-24,428.0
2015-07-27,431.35
2015-07-28,427.5
2015-07-29,423.8
2015-07-30,435.1
2015-07-31,444.25
2015-08-03,443.65
2015-08-04,443.2
2015-08-05,444.1
2015-08-06,433.25
2015-08-07,431.5
2015-08-10,445.4
2015-08-11,437.2
2015-08-12,432.65
2015-08-13,412.8
2015-08-14,407.4
2015-08-17,400.05
2015-08-18,420.55
2015-08-19,413.5
2015-08-20,405.5
2015-08-21,398.75
2015-08-24,364.85
2015-08-25,359.4
2015-08-26,356.8
2015-08-27,378.15
2015-08-28,387.95
2015-08-31,395.95
2015-09-01,383.25
2015-09-02,379.4
2015-09-03,377.45
2015-09-04,370.15
2015-09-07,365.2
2015-09-08,354.2
2015-09-09,348.45
2015-09-10,354.95
2015-09-11,349.1
2015-09-14,348.15
2015-09-15,360.25
2015-09-16,364.8
2015-09-18,378.85
2015-09-21,382.85
2015-09-22,393.25
2015-09-23,389.35
2015-09-24,391.3
2015-09-28,392.0
2015-09-29,395.55
2015-09-30,390.25
2015-10-01,385.35
2015-10-05,391.35
2015-10-06,396.7
2015-10-07,400.3
2015-10-08,395.0
2015-10-09,396.45
2015-10-12,419.05
2015-10-13,412.1
2015-10-14,407.8
2015-10-15,407.8
2015-10-16,407.6
2015-10-19,455.8
2015-10-20,463.8
2015-10-21,448.85
2015-10-23,437.4
2015-10-26,468.95
2015-10-27,465.0
2015-10-28,476.9
2015-10-29,488.5
2015-10-30,477.35
2015-11-02,471.5
2015-11-03,486.7
2015-11-04,485.45
2015-11-05,469.85
2015-11-06,476.95
2015-11-09,484.6
2015-11-10,482.55
2015-11-11,491.45
2015-11-13,482.15
2015-11-16,487.9
2015-11-17,477.0
2015-11-18,470.75
2015-11-19,476.3
2015-11-20,478.9
2015-11-23,475.2
2015-11-24,472.15
2015-11-26,482.0
2015-11-27,483.45
2015-11-30,517.5
2015-12-01,521.75
2015-12-02,526.4
2015-12-03,511.65
2015-12-04,513.6
2015-12-07,508.7
2015-12-08,498.2
2015-12-09,485.7
2015-12-10,514.4
2015-12-11,524.55
2015-12-14,531.05
2015-12-15,530.75
2015-12-16,538.75
2015-12-17,564.05
2015-12-18,579.75
2015-12-21,578.3
2015-12-22,557.0
2015-12-23,557.95
2015-12-24,566.2
2015-12-28,570.25
2015-12-29,578.05
2015-12-30,569.8
2015-12-31,571.9
