Date,HEXAWARE
2015-01-01,200.95
2015-01-02,204.25
2015-01-05,204.2
2015-01-06,196.45
2015-01-07,195.3
2015-01-08,201.15
2015-01-09,209.3
2015-01-12,211.3
2015-01-13,214.85
2015-01-14,215.35
2015-01-15,217.75
2015-01-16,216.65
2015-01-19,217.1
2015-01-20,215.25
2015-01-21,225.0
2015-01-22,220.75
2015-01-23,221.95
2015-01-27,224.65
2015-01-28,222.3
2015-01-29,220.35
2015-01-30,225.65
2015-02-02,238.2
2015-02-03,234.55
2015-02-04,234.0
2015-02-05,233.2
2015-02-06,230.55
2015-02-09,237.7
2015-02-10,241.35
2015-02-11,248.6
2015-02-12,257.3
2015-02-13,258.75
2015-02-16,255.35
2015-02-18,268.8
2015-02-19,264.35
2015-02-20,265.05
2015-02-23,268.65
2015-02-24,274.3
2015-02-25,266.8
2015-02-26,267.15
2015-02-27,271.75
2015-02-28,270.6
2015-03-02,270.05
2015-03-03,276.35
2015-03-04,272.7
2015-03-05,272.3
2015-03-09,261.95
2015-03-10,274.65
2015-03-11,278.8
2015-03-12,281.7
2015-03-13,279.5
2015-03-16,269.2
2015-03-17,271.5
2015-03-18,278.15
2015-03-19,274.2
2015-03-20,268.6
2015-03-23,266.7
2015-03-24,283.75
2015-03-25,291.95
2015-03-26,289.45
2015-03-27,311.2
2015-03-30,310.2
2015-03-31,312.55
2015-04-01,312.35
2015-04-06,313.2
2015-04-07,323.85
2015-04-08,326.2
2015-04-09,326.45
2015-04-10,330.7
2015-04-13,333.1
2015-04-15,324.35
2015-04-16,324.2
2015-04-17,312.9
2015-04-20,323.1
2015-04-21,325.75
2015-04-22,315.65
2015-04-23,318.65
2015-04-24,310.5
2015-04-27,309.0
2015-04-28,313.65
2015-04-29,309.05
2015-04-30,281.55
2015-05-04,279.35
2015-05-05,277.7
2015-05-06,259.25
2015-05-07,243.95
2015-05-08,254.1
2015-05-11,255.6
2015-05-12,253.9
2015-05-13,252.85
2015-05-14,252.95
2015-05-15,266.3
2015-05-18,269.95
2015-05-19,271.45
2015-05-20,275.95
2015-05-21,277.75
2015-05-22,279.95
2015-05-25,284.45
2015-05-26,277.55
2015-05-27,284.5
2015-05-28,283.15
2015-05-29,281.25
2015-06-01,280.75
2015-06-02,276.45
2015-06-03,276.1
2015-06-04,272.6
2015-06-05,273.4
2015-06-08,275.5
2015-06-09,276.65
2015-06-10,287.9
2015-06-11,272.05
2015-06-12,272.2
2015-06-15,260.25
2015-06-16,261.95
2015-06-17,262.25
2015-06-18,262.55
2015-06-19,261.15
2015-06-22,264.25
2015-06-23,265.4
2015-06-24,257.4
2015-06-25,258.15
2015-06-26,259.55
2015-06-29,252.55
2015-06-30,255.45
2015-07-01,256.95
2015-07-02,255.4
2015-07-03,251.2
2015-07-06,254.5
2015-07-07,255.25
2015-07-08,252.25
2015-07-09,251.4
2015-07-10,254.65
2015-07-13,264.8
2015-07-14,264.0
2015-07-15,269.9
2015-07-16,276.65
2015-07-17,273.6
2015-07-20,272.95
2015-07-21,271.55
2015-07-22,272.9
2015-07-23,276.7
2015-07-24,274.0
2015-07-27,271.85
2015-07-28,270.35
2015-07-29,276.35
2015-07-30,278.2
2015-07-31,286.7
2015-08-03,281.2
2015-08-04,290.45
2015-08-05,283.45
2015-08-06,275.75
2015-08-07,279.15
2015-08-10,281.3
2015-08-11,279.1
2015-08-12,275.7
2015-08-13,275.55
2015-08-14,282.25
2015-08-17,276.7
2015-08-18,278.1
2015-08-19,275.2
2015-08-20,265.25
2015-08-21,259.55
2015-08-24,224.0
2015-08-25,235.8
2015-08-26,224.8
2015-08-27,238.3
2015-08-28,236.45
2015-08-31,244.65
2015-09-01,234.1
2015-09-02,243.15
2015-09-03,248.15
2015-09-04,241.15
2015-09-07,233.5
2015-09-08,241.45
2015-09-09,246.45
2015-09-10,249.85
2015-09-11,246.8
2015-09-14,246.7
2015-09-15,243.05
2015-09-16,236.2
2015-09-18,241.1
2015-09-21,247.0
2015-09-22,252.95
2015-09-23,250.15
2015-09-24,245.85
2015-09-28,244.6
2015-09-29,240.8
2015-09-30,247.55
2015-10-01,252.85
2015-10-05,254.9
2015-10-06,255.45
2015-10-07,253.25
2015-10-08,252.15
2015-10-09,250.05
2015-10-12,246.4
2015-10-13,243.8
2015-10-14,240.95
2015-10-15,245.7
2015-10-16,249.65
2015-10-19,244.95
2015-10-20,258.2
2015-10-21,254.9
2015-10-23,253.25
2015-10-26,250.45
2015-10-27,252.8
2015-10-28,253.0
2015-10-29,249.35
2015-10-30,239.95
2015-11-02,234.35
2015-11-03,235.4
2015-11-04,245.4
2015-11-05,245.05
2015-11-06,258.4
2015-11-09,263.05
2015-11-10,262.6
2015-11-11,263.65
2015-11-13,266.65
2015-11-16,256.5
2015-11-17,251.65
2015-11-18,243.9
2015-11-19,249.25
2015-11-20,249.35
2015-11-23,251.15
2015-11-24,249.75
2015-11-26,247.35
2015-11-27,251.75
2015-11-30,249.55
2015-12-01,257.4
2015-12-02,257.85
2015-12-03,252.9
2015-12-04,253.05
2015-12-07,250.8
2015-12-08,247.9
2015-12-09,237.35
2015-12-10,240.15
2015-12-11,236.2
2015-12-14,234.6
2015-12-15,235.85
2015-12-16,237.45
2015-12-17,241.25
2015-12-18,241.3
2015-12-21,245.7
2015-12-22,240.85
2015-12-23,242.1
2015-12-24,242.05
2015-12-28,242.95
2015-12-29,244.0
2015-12-30,241.75
2015-12-31,243.4
