Date,HFCL
2015-01-01,18.95
2015-01-02,18.7
2015-01-05,18.4
2015-01-06,17.0
2015-01-07,17.75
2015-01-08,18.0
2015-01-09,17.85
2015-01-12,18.25
2015-01-13,17.8
2015-01-14,17.75
2015-01-15,18.1
2015-01-16,19.3
2015-01-19,19.3
2015-01-20,17.7
2015-01-21,17.65
2015-01-22,16.9
2015-01-23,17.4
2015-01-27,17.2
2015-01-28,16.8
2015-01-29,17.0
2015-01-30,16.9
2015-02-02,17.0
2015-02-03,16.9
2015-02-04,16.85
2015-02-05,17.25
2015-02-06,16.65
2015-02-09,16.0
2015-02-10,15.75
2015-02-11,15.85
2015-02-12,16.1
2015-02-13,16.1
2015-02-16,16.15
2015-02-18,16.55
2015-02-19,16.75
2015-02-20,16.65
2015-02-23,16.3
2015-02-24,16.0
2015-02-25,15.7
2015-02-26,15.45
2015-02-27,15.75
2015-02-28,15.45
2015-03-02,15.3
2015-03-03,17.3
2015-03-04,16.2
2015-03-05,16.1
2015-03-09,16.05
2015-03-10,16.05
2015-03-11,15.9
2015-03-12,15.55
2015-03-13,15.4
2015-03-16,16.85
2015-03-17,16.45
2015-03-18,16.4
2015-03-19,15.85
2015-03-20,16.0
2015-03-23,15.7
2015-03-24,14.9
2015-03-25,14.2
2015-03-26,13.8
2015-03-27,13.45
2015-03-30,13.8
2015-03-31,13.35
2015-04-01,14.65
2015-04-06,14.85
2015-04-07,15.5
2015-04-08,15.35
2015-04-09,15.2
2015-04-10,15.6
2015-04-13,15.8
2015-04-15,15.55
2015-04-16,15.1
2015-04-17,14.85
2015-04-20,14.5
2015-04-21,14.5
2015-04-22,14.45
2015-04-23,14.5
2015-04-24,13.8
2015-04-27,13.55
2015-04-28,13.45
2015-04-29,13.4
2015-04-30,13.45
2015-05-04,13.85
2015-05-05,14.15
2015-05-06,13.55
2015-05-07,13.1
2015-05-08,13.45
2015-05-11,13.95
2015-05-12,13.3
2015-05-13,13.45
2015-05-14,13.4
2015-05-15,13.75
2015-05-18,13.95
2015-05-19,13.15
2015-05-20,13.1
2015-05-21,12.85
2015-05-22,12.75
2015-05-25,12.7
2015-05-26,12.5
2015-05-27,12.15
2015-05-28,12.15
2015-05-29,12.0
2015-06-01,12.55
2015-06-02,12.1
2015-06-03,10.95
2015-06-04,10.25
2015-06-05,10.0
2015-06-08,9.55
2015-06-09,9.25
2015-06-10,9.9
2015-06-11,10.1
2015-06-12,11.95
2015-06-15,12.05
2015-06-16,12.2
2015-06-17,12.35
2015-06-18,12.35
2015-06-19,12.05
2015-06-22,12.15
2015-06-23,12.15
2015-06-24,11.65
2015-06-25,11.9
2015-06-26,11.45
2015-06-29,11.25
2015-06-30,11.55
2015-07-01,11.7
2015-07-02,12.0
2015-07-03,11.85
2015-07-06,12.25
2015-07-07,12.7
2015-07-08,13.15
2015-07-09,13.05
2015-07-10,12.9
2015-07-13,13.25
2015-07-14,13.4
2015-07-15,14.6
2015-07-16,14.7
2015-07-17,14.3
2015-07-20,14.5
2015-07-21,13.45
2015-07-22,13.65
2015-07-23,13.6
2015-07-24,13.5
2015-07-27,12.95
2015-07-28,12.95
2015-07-29,13.0
2015-07-30,13.25
2015-07-31,13.25
2015-08-03,15.05
2015-08-04,16.0
2015-08-05,15.65
2015-08-06,16.0
2015-08-07,16.35
2015-08-10,16.35
2015-08-11,15.9
2015-08-12,15.05
2015-08-13,14.6
2015-08-14,15.1
2015-08-17,15.0
2015-08-18,15.0
2015-08-19,14.75
2015-08-20,14.15
2015-08-21,14.0
2015-08-24,12.05
2015-08-25,12.25
2015-08-26,12.4
2015-08-27,13.25
2015-08-28,13.15
2015-08-31,13.25
2015-09-01,12.95
2015-09-02,12.9
2015-09-03,13.1
2015-09-04,12.5
2015-09-07,12.3
2015-09-08,12.95
2015-09-09,13.95
2015-09-10,13.95
2015-09-11,14.05
2015-09-14,15.2
2015-09-15,14.65
2015-09-16,14.6
2015-09-18,15.15
2015-09-21,16.4
2015-09-22,15.7
2015-09-23,15.45
2015-09-24,15.7
2015-09-28,16.0
2015-09-29,16.45
2015-09-30,16.45
2015-10-01,16.25
2015-10-05,16.2
2015-10-06,16.0
2015-10-07,16.7
2015-10-08,16.3
2015-10-09,16.15
2015-10-12,16.95
2015-10-13,18.05
2015-10-14,18.0
2015-10-15,17.85
2015-10-16,17.9
2015-10-19,18.2
2015-10-20,18.25
2015-10-21,17.85
2015-10-23,18.0
2015-10-26,17.6
2015-10-27,16.75
2015-10-28,16.2
2015-10-29,16.25
2015-10-30,15.9
2015-11-02,15.45
2015-11-03,15.4
2015-11-04,16.0
2015-11-05,15.55
2015-11-06,15.05
2015-11-09,15.65
2015-11-10,15.4
2015-11-11,16.0
2015-11-13,15.85
2015-11-16,16.25
2015-11-17,15.85
2015-11-18,15.75
2015-11-19,15.85
2015-11-20,15.95
2015-11-23,15.85
2015-11-24,16.65
2015-11-26,17.95
2015-11-27,17.75
2015-11-30,19.15
2015-12-01,19.45
2015-12-02,19.0
2015-12-03,19.05
2015-12-04,18.4
2015-12-07,19.05
2015-12-08,18.3
2015-12-09,17.1
2015-12-10,17.7
2015-12-11,17.05
2015-12-14,17.25
2015-12-15,17.5
2015-12-16,17.45
2015-12-17,17.9
2015-12-18,17.85
2015-12-21,17.95
2015-12-22,17.55
2015-12-23,17.65
2015-12-24,17.9
2015-12-28,17.8
2015-12-29,21.0
2015-12-30,21.05
2015-12-31,20.55
