Date,IL&FSTRANS
2015-01-01,187.55
2015-01-02,193.35
2015-01-05,189.35
2015-01-06,184.7
2015-01-07,185.5
2015-01-08,191.85
2015-01-09,190.15
2015-01-12,189.6
2015-01-13,190.45
2015-01-14,196.45
2015-01-15,203.1
2015-01-16,207.8
2015-01-19,211.1
2015-01-20,208.85
2015-01-21,209.25
2015-01-22,205.4
2015-01-23,204.05
2015-01-27,203.1
2015-01-28,208.05
2015-01-29,215.3
2015-01-30,212.95
2015-02-02,218.15
2015-02-03,215.5
2015-02-04,214.85
2015-02-05,209.3
2015-02-06,206.35
2015-02-09,208.35
2015-02-10,206.0
2015-02-11,212.9
2015-02-12,208.5
2015-02-13,202.05
2015-02-16,207.15
2015-02-18,206.35
2015-02-19,211.2
2015-02-20,216.6
2015-02-23,210.9
2015-02-24,209.9
2015-02-25,210.0
2015-02-26,208.0
2015-02-27,213.55
2015-02-28,212.8
2015-03-02,217.5
2015-03-03,222.8
2015-03-04,219.55
2015-03-05,219.8
2015-03-09,215.3
2015-03-10,209.65
2015-03-11,208.9
2015-03-12,204.7
2015-03-13,203.2
2015-03-16,196.3
2015-03-17,197.65
2015-03-18,197.85
2015-03-19,197.85
2015-03-20,191.4
2015-03-23,191.45
2015-03-24,192.65
2015-03-25,190.9
2015-03-26,192.8
2015-03-27,195.05
2015-03-30,196.8
2015-03-31,194.35
2015-04-01,196.95
2015-04-06,195.2
2015-04-07,197.95
2015-04-08,195.85
2015-04-09,194.3
2015-04-10,194.75
2015-04-13,196.0
2015-04-15,192.1
2015-04-16,187.7
2015-04-17,182.9
2015-04-20,179.8
2015-04-21,174.8
2015-04-22,174.55
2015-04-23,184.65
2015-04-24,174.1
2015-04-27,169.95
2015-04-28,166.4
2015-04-29,169.9
2015-04-30,168.6
2015-05-04,172.35
2015-05-05,172.15
2015-05-06,164.6
2015-05-07,164.55
2015-05-08,167.7
2015-05-11,163.75
2015-05-12,161.6
2015-05-13,161.9
2015-05-14,161.3
2015-05-15,161.8
2015-05-18,159.6
2015-05-19,163.0
2015-05-20,162.65
2015-05-21,160.9
2015-05-22,158.9
2015-05-25,158.3
2015-05-26,161.1
2015-05-27,161.2
2015-05-28,158.0
2015-05-29,162.65
2015-06-01,160.95
2015-06-02,158.65
2015-06-03,157.9
2015-06-04,154.95
2015-06-05,145.3
2015-06-08,148.85
2015-06-09,146.6
2015-06-10,146.85
2015-06-11,143.2
2015-06-12,142.1
2015-06-15,141.6
2015-06-16,140.15
2015-06-17,143.45
2015-06-18,141.95
2015-06-19,141.65
2015-06-22,144.95
2015-06-23,143.7
2015-06-24,146.0
2015-06-25,147.1
2015-06-26,145.5
2015-06-29,141.65
2015-06-30,142.3
2015-07-01,146.35
2015-07-02,145.9
2015-07-03,144.75
2015-07-06,145.0
2015-07-07,145.3
2015-07-08,143.05
2015-07-09,140.95
2015-07-10,141.75
2015-07-13,142.65
2015-07-14,142.4
2015-07-15,145.3
2015-07-16,144.1
2015-07-17,144.6
2015-07-20,149.3
2015-07-21,145.75
2015-07-22,148.1
2015-07-23,147.65
2015-07-24,147.35
2015-07-27,146.5
2015-07-28,146.85
2015-07-29,145.75
2015-07-30,143.75
2015-07-31,148.25
2015-08-03,147.15
2015-08-04,145.0
2015-08-05,146.9
2015-08-06,146.4
2015-08-07,146.25
2015-08-10,141.75
2015-08-11,132.25
2015-08-12,128.85
2015-08-13,120.55
2015-08-14,119.75
2015-08-17,116.75
2015-08-18,118.25
2015-08-19,116.75
2015-08-20,101.35
2015-08-21,103.8
2015-08-24,89.9
2015-08-25,89.95
2015-08-26,88.6
2015-08-27,92.5
2015-08-28,91.7
2015-08-31,96.75
2015-09-01,92.7
2015-09-02,91.15
2015-09-03,91.05
2015-09-04,87.8
2015-09-07,89.55
2015-09-08,88.05
2015-09-09,92.05
2015-09-10,94.95
2015-09-11,101.25
2015-09-14,101.5
2015-09-15,97.15
2015-09-16,97.3
2015-09-18,96.8
2015-09-21,96.35
2015-09-22,96.25
2015-09-23,96.5
2015-09-24,96.15
2015-09-28,97.1
2015-09-29,96.2
2015-09-30,98.3
2015-10-01,99.2
2015-10-05,100.65
2015-10-06,99.95
2015-10-07,96.65
2015-10-08,94.6
2015-10-09,95.3
2015-10-12,94.9
2015-10-13,91.65
2015-10-14,94.95
2015-10-15,94.0
2015-10-16,93.95
2015-10-19,93.4
2015-10-20,93.85
2015-10-21,96.0
2015-10-23,94.25
2015-10-26,92.9
2015-10-27,92.85
2015-10-28,92.45
2015-10-29,94.5
2015-10-30,93.85
2015-11-02,91.0
2015-11-03,90.3
2015-11-04,90.4
2015-11-05,90.6
2015-11-06,89.9
2015-11-09,89.25
2015-11-10,88.65
2015-11-11,90.75
2015-11-13,89.15
2015-11-16,89.8
2015-11-17,91.65
2015-11-18,91.0
2015-11-19,91.65
2015-11-20,91.2
2015-11-23,90.15
2015-11-24,89.55
2015-11-26,91.25
2015-11-27,89.95
2015-11-30,89.55
2015-12-01,88.1
2015-12-02,87.45
2015-12-03,87.05
2015-12-04,86.05
2015-12-07,83.75
2015-12-08,81.25
2015-12-09,80.2
2015-12-10,78.0
2015-12-11,78.6
2015-12-14,78.7
2015-12-15,81.05
2015-12-16,83.35
2015-12-17,82.3
2015-12-18,82.7
2015-12-21,82.45
2015-12-22,82.5
2015-12-23,81.45
2015-12-24,84.35
2015-12-28,87.1
2015-12-29,86.2
2015-12-30,86.2
2015-12-31,85.1
