Date,JINDRILL
2015-01-01,171.7
2015-01-02,174.95
2015-01-05,176.8
2015-01-06,171.55
2015-01-07,169.05
2015-01-08,172.75
2015-01-09,167.35
2015-01-12,168.15
2015-01-13,165.45
2015-01-14,163.35
2015-01-15,162.6
2015-01-16,162.3
2015-01-19,167.45
2015-01-20,168.3
2015-01-21,169.45
2015-01-22,165.85
2015-01-23,165.35
2015-01-27,162.5
2015-01-28,161.3
2015-01-29,162.15
2015-01-30,164.2
2015-02-02,164.35
2015-02-03,165.6
2015-02-04,162.75
2015-02-05,161.55
2015-02-06,159.65
2015-02-09,156.55
2015-02-10,156.6
2015-02-11,156.25
2015-02-12,158.55
2015-02-13,159.55
2015-02-16,158.2
2015-02-18,159.6
2015-02-19,157.55
2015-02-20,161.45
2015-02-23,192.5
2015-02-24,186.15
2015-02-25,180.45
2015-02-26,182.1
2015-02-27,184.7
2015-02-28,185.75
2015-03-02,191.6
2015-03-03,187.65
2015-03-04,184.55
2015-03-05,184.2
2015-03-09,185.25
2015-03-10,183.05
2015-03-11,184.55
2015-03-12,190.85
2015-03-13,185.6
2015-03-16,186.0
2015-03-17,183.25
2015-03-18,178.15
2015-03-19,174.65
2015-03-20,168.7
2015-03-23,169.7
2015-03-24,167.35
2015-03-25,163.5
2015-03-26,157.55
2015-03-27,159.9
2015-03-30,167.85
2015-03-31,168.6
2015-04-01,170.05
2015-04-06,173.75
2015-04-07,176.7
2015-04-08,182.8
2015-04-09,178.45
2015-04-10,181.8
2015-04-13,179.95
2015-04-15,179.35
2015-04-16,178.4
2015-04-17,176.85
2015-04-20,172.1
2015-04-21,173.4
2015-04-22,174.85
2015-04-23,173.05
2015-04-24,169.25
2015-04-27,168.2
2015-04-28,166.4
2015-04-29,169.1
2015-04-30,167.55
2015-05-04,166.9
2015-05-05,168.45
2015-05-06,167.9
2015-05-07,167.3
2015-05-08,167.15
2015-05-11,169.7
2015-05-12,165.85
2015-05-13,168.1
2015-05-14,168.15
2015-05-15,170.65
2015-05-18,168.35
2015-05-19,167.95
2015-05-20,168.15
2015-05-21,168.3
2015-05-22,170.4
2015-05-25,169.15
2015-05-26,168.65
2015-05-27,170.8
2015-05-28,169.2
2015-05-29,169.0
2015-06-01,167.35
2015-06-02,161.0
2015-06-03,155.25
2015-06-04,156.4
2015-06-05,155.75
2015-06-08,153.45
2015-06-09,152.75
2015-06-10,157.0
2015-06-11,153.6
2015-06-12,151.5
2015-06-15,153.3
2015-06-16,153.7
2015-06-17,153.1
2015-06-18,159.35
2015-06-19,159.0
2015-06-22,165.8
2015-06-23,163.95
2015-06-24,165.95
2015-06-25,164.95
2015-06-26,162.8
2015-06-29,161.85
2015-06-30,162.5
2015-07-01,161.65
2015-07-02,162.55
2015-07-03,162.2
2015-07-06,163.8
2015-07-07,163.95
2015-07-08,160.55
2015-07-09,158.65
2015-07-10,157.0
2015-07-13,156.55
2015-07-14,165.05
2015-07-15,164.0
2015-07-16,163.4
2015-07-17,167.15
2015-07-20,167.05
2015-07-21,165.2
2015-07-22,166.7
2015-07-23,163.7
2015-07-24,158.1
2015-07-27,145.9
2015-07-28,146.8
2015-07-29,150.7
2015-07-30,150.45
2015-07-31,152.55
2015-08-03,153.4
2015-08-04,160.55
2015-08-05,160.1
2015-08-06,156.8
2015-08-07,157.75
2015-08-10,158.65
2015-08-11,145.15
2015-08-12,143.1
2015-08-13,143.0
2015-08-14,143.55
2015-08-17,144.45
2015-08-18,137.75
2015-08-19,141.95
2015-08-20,138.15
2015-08-21,138.15
2015-08-24,118.1
2015-08-25,107.3
2015-08-26,117.95
2015-08-27,122.3
2015-08-28,124.15
2015-08-31,126.45
2015-09-01,120.5
2015-09-02,142.85
2015-09-03,157.8
2015-09-04,148.3
2015-09-07,139.35
2015-09-08,133.75
2015-09-09,137.95
2015-09-10,135.9
2015-09-11,133.65
2015-09-14,133.85
2015-09-15,130.95
2015-09-16,129.8
2015-09-18,130.45
2015-09-21,132.0
2015-09-22,129.95
2015-09-23,127.65
2015-09-24,128.05
2015-09-28,124.1
2015-09-29,124.35
2015-09-30,128.15
2015-10-01,127.7
2015-10-05,127.95
2015-10-06,128.7
2015-10-07,131.95
2015-10-08,132.05
2015-10-09,133.05
2015-10-12,133.85
2015-10-13,132.6
2015-10-14,129.9
2015-10-15,130.55
2015-10-16,131.85
2015-10-19,131.25
2015-10-20,134.4
2015-10-21,133.0
2015-10-23,132.05
2015-10-26,132.95
2015-10-27,129.85
2015-10-28,128.1
2015-10-29,129.95
2015-10-30,129.3
2015-11-02,124.0
2015-11-03,128.4
2015-11-04,129.75
2015-11-05,125.2
2015-11-06,122.6
2015-11-09,122.6
2015-11-10,121.05
2015-11-11,123.4
2015-11-13,122.25
2015-11-16,121.7
2015-11-17,124.3
2015-11-18,121.05
2015-11-19,123.95
2015-11-20,125.5
2015-11-23,126.7
2015-11-24,141.3
2015-11-26,134.05
2015-11-27,133.1
2015-11-30,131.6
2015-12-01,132.25
2015-12-02,135.65
2015-12-03,135.1
2015-12-04,136.2
2015-12-07,135.55
2015-12-08,135.1
2015-12-09,131.95
2015-12-10,132.3
2015-12-11,130.1
2015-12-14,127.9
2015-12-15,126.95
2015-12-16,128.15
2015-12-17,130.5
2015-12-18,128.35
2015-12-21,131.5
2015-12-22,133.05
2015-12-23,134.1
2015-12-24,132.95
2015-12-28,133.0
2015-12-29,134.7
2015-12-30,135.6
2015-12-31,136.2
