Date,KANSAINER
2015-01-01,2021.5
2015-01-02,2044.15
2015-01-05,2033.15
2015-01-06,1997.5
2015-01-07,2004.25
2015-01-08,2081.95
2015-01-09,2113.85
2015-01-12,2188.9
2015-01-13,2225.1
2015-01-14,2244.75
2015-01-15,2234.15
2015-01-16,2239.9
2015-01-19,2262.1
2015-01-20,2344.4
2015-01-21,2348.3
2015-01-22,2391.45
2015-01-23,2466.75
2015-01-27,2442.25
2015-01-28,2458.95
2015-01-29,2467.95
2015-01-30,2416.9
2015-02-02,2335.9
2015-02-03,2389.6
2015-02-04,2373.6
2015-02-05,2380.45
2015-02-06,2352.4
2015-02-09,2348.4
2015-02-10,2363.1
2015-02-11,2335.85
2015-02-12,2342.05
2015-02-13,2411.45
2015-02-16,2418.45
2015-02-18,2421.5
2015-02-19,2385.9
2015-02-20,2391.15
2015-02-23,2375.65
2015-02-24,2366.25
2015-02-25,2356.2
2015-02-26,2315.2
2015-02-27,2324.2
2015-02-28,2324.1
2015-03-02,2363.5
2015-03-03,2348.7
2015-03-04,2327.2
2015-03-05,2301.25
2015-03-09,2264.9
2015-03-10,2262.1
2015-03-11,2242.85
2015-03-12,2261.75
2015-03-13,2264.4
2015-03-16,2300.25
2015-03-17,2298.8
2015-03-18,2299.55
2015-03-19,2284.85
2015-03-20,2180.05
2015-03-23,2101.25
2015-03-24,2115.3
2015-03-25,2169.15
2015-03-26,214.3
2015-03-27,214.95
2015-03-30,218.0
2015-03-31,216.05
2015-04-01,218.15
2015-04-06,223.15
2015-04-07,224.95
2015-04-08,231.5
2015-04-09,235.85
2015-04-10,240.1
2015-04-13,240.0
2015-04-15,237.8
2015-04-16,231.0
2015-04-17,230.0
2015-04-20,223.5
2015-04-21,224.45
2015-04-22,215.0
2015-04-23,217.7
2015-04-24,207.95
2015-04-27,200.75
2015-04-28,216.15
2015-04-29,219.1
2015-04-30,223.25
2015-05-04,229.9
2015-05-05,225.55
2015-05-06,219.3
2015-05-07,217.8
2015-05-08,220.85
2015-05-11,218.6
2015-05-12,216.4
2015-05-13,220.3
2015-05-14,219.75
2015-05-15,219.75
2015-05-18,217.8
2015-05-19,217.75
2015-05-20,217.1
2015-05-21,214.9
2015-05-22,217.95
2015-05-25,215.65
2015-05-26,216.75
2015-05-27,213.8
2015-05-28,211.4
2015-05-29,220.3
2015-06-01,221.15
2015-06-02,213.3
2015-06-03,210.25
2015-06-04,212.2
2015-06-05,209.7
2015-06-08,215.85
2015-06-09,210.15
2015-06-10,213.75
2015-06-11,206.75
2015-06-12,204.55
2015-06-15,207.9
2015-06-16,203.55
2015-06-17,206.85
2015-06-18,208.1
2015-06-19,205.9
2015-06-22,213.65
2015-06-23,217.25
2015-06-24,213.85
2015-06-25,211.05
2015-06-26,212.0
2015-06-29,212.5
2015-06-30,214.6
2015-07-01,218.9
2015-07-02,224.75
2015-07-03,227.95
2015-07-06,231.2
2015-07-07,245.3
2015-07-08,240.2
2015-07-09,240.8
2015-07-10,245.75
2015-07-13,251.65
2015-07-14,249.0
2015-07-15,249.05
2015-07-16,258.35
2015-07-17,262.1
2015-07-20,265.95
2015-07-21,256.0
2015-07-22,257.0
2015-07-23,254.7
2015-07-24,249.05
2015-07-27,248.1
2015-07-28,247.25
2015-07-29,257.75
2015-07-30,251.4
2015-07-31,255.5
2015-08-03,256.8
2015-08-04,258.45
2015-08-05,258.65
2015-08-06,255.95
2015-08-07,250.4
2015-08-10,251.9
2015-08-11,249.25
2015-08-12,243.6
2015-08-13,235.95
2015-08-14,240.45
2015-08-17,240.6
2015-08-18,244.05
2015-08-19,240.0
2015-08-20,239.0
2015-08-21,235.75
2015-08-24,220.3
2015-08-25,230.2
2015-08-26,238.6
2015-08-27,246.2
2015-08-28,245.95
2015-08-31,257.3
2015-09-01,245.0
2015-09-02,248.65
2015-09-03,248.35
2015-09-04,246.7
2015-09-07,238.1
2015-09-08,245.05
2015-09-09,244.35
2015-09-10,239.55
2015-09-11,236.7
2015-09-14,238.95
2015-09-15,236.55
2015-09-16,236.15
2015-09-18,237.55
2015-09-21,241.85
2015-09-22,237.5
2015-09-23,244.65
2015-09-24,238.75
2015-09-28,236.9
2015-09-29,237.3
2015-09-30,241.2
2015-10-01,239.4
2015-10-05,240.6
2015-10-06,241.75
2015-10-07,240.05
2015-10-08,240.9
2015-10-09,239.05
2015-10-12,248.0
2015-10-13,242.1
2015-10-14,247.75
2015-10-15,251.05
2015-10-16,251.35
2015-10-19,248.15
2015-10-20,253.1
2015-10-21,256.6
2015-10-23,257.95
2015-10-26,254.15
2015-10-27,251.9
2015-10-28,255.1
2015-10-29,251.9
2015-10-30,248.9
2015-11-02,246.85
2015-11-03,246.05
2015-11-04,246.9
2015-11-05,246.0
2015-11-06,244.65
2015-11-09,243.8
2015-11-10,244.7
2015-11-11,249.6
2015-11-13,247.1
2015-11-16,243.4
2015-11-17,250.0
2015-11-18,243.6
2015-11-19,246.0
2015-11-20,250.5
2015-11-23,247.0
2015-11-24,245.25
2015-11-26,245.8
2015-11-27,246.1
2015-11-30,241.95
2015-12-01,243.25
2015-12-02,242.85
2015-12-03,238.55
2015-12-04,240.05
2015-12-07,250.0
2015-12-08,246.25
2015-12-09,246.0
2015-12-10,251.85
2015-12-11,249.35
2015-12-14,251.65
2015-12-15,255.55
2015-12-16,251.05
2015-12-17,258.75
2015-12-18,254.2
2015-12-21,260.5
2015-12-22,257.1
2015-12-23,258.6
2015-12-24,256.75
2015-12-28,257.55
2015-12-29,261.8
2015-12-30,267.75
2015-12-31,271.0
