Date,KSK
2015-01-01,69.8
2015-01-02,71.1
2015-01-05,71.55
2015-01-06,69.3
2015-01-07,69.25
2015-01-08,70.25
2015-01-09,69.9
2015-01-12,69.35
2015-01-13,76.05
2015-01-14,75.1
2015-01-15,76.8
2015-01-16,74.7
2015-01-19,74.0
2015-01-20,72.3
2015-01-21,71.7
2015-01-22,73.2
2015-01-23,76.35
2015-01-27,75.0
2015-01-28,77.45
2015-01-29,77.0
2015-01-30,76.4
2015-02-02,76.05
2015-02-03,75.7
2015-02-04,76.45
2015-02-05,78.5
2015-02-06,78.95
2015-02-09,78.85
2015-02-10,78.9
2015-02-11,80.2
2015-02-12,81.1
2015-02-13,81.35
2015-02-16,87.45
2015-02-18,82.25
2015-02-19,84.75
2015-02-20,84.6
2015-02-23,82.15
2015-02-24,76.5
2015-02-25,74.05
2015-02-26,72.65
2015-02-27,72.85
2015-02-28,72.8
2015-03-02,69.8
2015-03-03,79.1
2015-03-04,74.2
2015-03-05,73.8
2015-03-09,73.9
2015-03-10,71.6
2015-03-11,72.0
2015-03-12,72.1
2015-03-13,73.1
2015-03-16,70.5
2015-03-17,69.25
2015-03-18,67.75
2015-03-19,65.9
2015-03-20,62.75
2015-03-23,61.3
2015-03-24,58.5
2015-03-25,57.0
2015-03-26,55.6
2015-03-27,58.05
2015-03-30,61.4
2015-03-31,60.0
2015-04-01,59.25
2015-04-06,60.35
2015-04-07,62.5
2015-04-08,61.45
2015-04-09,61.95
2015-04-10,61.9
2015-04-13,62.15
2015-04-15,65.25
2015-04-16,63.5
2015-04-17,61.15
2015-04-20,59.9
2015-04-21,60.45
2015-04-22,60.05
2015-04-23,59.85
2015-04-24,58.4
2015-04-27,57.5
2015-04-28,57.55
2015-04-29,57.15
2015-04-30,57.65
2015-05-04,58.6
2015-05-05,59.65
2015-05-06,58.05
2015-05-07,56.35
2015-05-08,55.4
2015-05-11,54.75
2015-05-12,51.45
2015-05-13,50.75
2015-05-14,49.55
2015-05-15,49.85
2015-05-18,49.15
2015-05-19,48.5
2015-05-20,49.1
2015-05-21,50.2
2015-05-22,49.1
2015-05-25,49.55
2015-05-26,48.25
2015-05-27,47.8
2015-05-28,47.75
2015-05-29,47.95
2015-06-01,47.1
2015-06-02,45.5
2015-06-03,43.9
2015-06-04,42.55
2015-06-05,44.9
2015-06-08,41.7
2015-06-09,42.4
2015-06-10,42.75
2015-06-11,41.3
2015-06-12,39.8
2015-06-15,39.65
2015-06-16,38.6
2015-06-17,38.3
2015-06-18,39.9
2015-06-19,39.8
2015-06-22,39.4
2015-06-23,39.8
2015-06-24,39.25
2015-06-25,38.75
2015-06-26,38.35
2015-06-29,36.9
2015-06-30,37.95
2015-07-01,39.3
2015-07-02,39.35
2015-07-03,38.65
2015-07-06,39.35
2015-07-07,39.4
2015-07-08,38.7
2015-07-09,38.8
2015-07-10,38.45
2015-07-13,38.25
2015-07-14,38.25
2015-07-15,38.15
2015-07-16,38.0
2015-07-17,42.1
2015-07-20,44.3
2015-07-21,48.25
2015-07-22,47.95
2015-07-23,46.55
2015-07-24,43.75
2015-07-27,43.85
2015-07-28,43.3
2015-07-29,43.2
2015-07-30,43.65
2015-07-31,42.1
2015-08-03,47.3
2015-08-04,45.75
2015-08-05,44.0
2015-08-06,44.3
2015-08-07,43.2
2015-08-10,43.4
2015-08-11,41.85
2015-08-12,38.75
2015-08-13,39.65
2015-08-14,40.1
2015-08-17,40.1
2015-08-18,40.75
2015-08-19,41.05
2015-08-20,39.4
2015-08-21,38.35
2015-08-24,35.55
2015-08-25,33.65
2015-08-26,35.7
2015-08-27,36.65
2015-08-28,34.95
2015-08-31,35.15
2015-09-01,34.3
2015-09-02,33.0
2015-09-03,33.0
2015-09-04,30.65
2015-09-07,29.85
2015-09-08,30.35
2015-09-09,30.95
2015-09-10,30.0
2015-09-11,31.7
2015-09-14,34.0
2015-09-15,33.5
2015-09-16,34.5
2015-09-18,34.9
2015-09-21,35.4
2015-09-22,33.9
2015-09-23,33.55
2015-09-24,33.35
2015-09-28,33.8
2015-09-29,32.8
2015-09-30,33.4
2015-10-01,33.65
2015-10-05,34.75
2015-10-06,34.95
2015-10-07,35.8
2015-10-08,37.1
2015-10-09,37.2
2015-10-12,38.55
2015-10-13,39.5
2015-10-14,39.9
2015-10-15,40.35
2015-10-16,41.45
2015-10-19,41.0
2015-10-20,39.85
2015-10-21,38.45
2015-10-23,38.6
2015-10-26,39.25
2015-10-27,38.7
2015-10-28,38.05
2015-10-29,37.65
2015-10-30,37.7
2015-11-02,36.55
2015-11-03,36.05
2015-11-04,35.1
2015-11-05,34.6
2015-11-06,34.4
2015-11-09,33.75
2015-11-10,33.3
2015-11-11,34.05
2015-11-13,33.6
2015-11-16,35.15
2015-11-17,36.5
2015-11-18,39.85
2015-11-19,37.6
2015-11-20,38.55
2015-11-23,39.3
2015-11-24,38.7
2015-11-26,39.35
2015-11-27,39.5
2015-11-30,39.35
2015-12-01,39.35
2015-12-02,40.45
2015-12-03,39.35
2015-12-04,44.8
2015-12-07,43.95
2015-12-08,42.5
2015-12-09,40.7
2015-12-10,41.75
2015-12-11,47.15
2015-12-14,47.9
2015-12-15,46.65
2015-12-16,46.05
2015-12-17,45.25
2015-12-18,47.5
2015-12-21,52.0
2015-12-22,53.5
2015-12-23,52.3
2015-12-24,53.2
2015-12-28,52.45
2015-12-29,50.75
2015-12-30,50.85
2015-12-31,51.15
