Date,ORIENTABRA
2015-01-01,22.5
2015-01-02,22.85
2015-01-05,22.9
2015-01-06,22.75
2015-01-07,22.9
2015-01-08,22.75
2015-01-09,22.75
2015-01-12,23.1
2015-01-13,22.75
2015-01-14,22.95
2015-01-15,23.0
2015-01-16,23.0
2015-01-19,23.3
2015-01-20,23.1
2015-01-21,22.7
2015-01-22,22.9
2015-01-23,22.65
2015-01-27,22.5
2015-01-28,22.2
2015-01-29,22.3
2015-01-30,22.3
2015-02-02,22.45
2015-02-03,22.5
2015-02-04,22.45
2015-02-05,22.95
2015-02-06,22.7
2015-02-09,22.5
2015-02-10,22.65
2015-02-11,22.95
2015-02-12,22.75
2015-02-13,22.7
2015-02-16,23.05
2015-02-18,23.45
2015-02-19,26.15
2015-02-20,25.2
2015-02-23,26.0
2015-02-24,26.0
2015-02-25,26.25
2015-02-26,27.15
2015-02-27,26.65
2015-02-28,26.95
2015-03-02,26.55
2015-03-03,26.85
2015-03-04,26.45
2015-03-05,26.85
2015-03-09,27.0
2015-03-10,27.0
2015-03-11,27.0
2015-03-12,26.7
2015-03-13,25.95
2015-03-16,25.85
2015-03-17,24.95
2015-03-18,25.05
2015-03-19,24.9
2015-03-20,25.1
2015-03-23,23.45
2015-03-24,23.15
2015-03-25,23.15
2015-03-26,23.1
2015-03-27,23.4
2015-03-30,23.75
2015-03-31,23.55
2015-04-01,24.0
2015-04-06,24.05
2015-04-07,24.2
2015-04-08,24.0
2015-04-09,24.15
2015-04-10,24.6
2015-04-13,25.25
2015-04-15,26.15
2015-04-16,25.85
2015-04-17,25.45
2015-04-20,25.0
2015-04-21,24.65
2015-04-22,25.05
2015-04-23,25.1
2015-04-24,25.05
2015-04-27,24.4
2015-04-28,24.45
2015-04-29,24.25
2015-04-30,24.25
2015-05-04,24.35
2015-05-05,24.75
2015-05-06,24.85
2015-05-07,24.3
2015-05-08,24.95
2015-05-11,25.0
2015-05-12,26.15
2015-05-13,26.05
2015-05-14,26.0
2015-05-15,26.35
2015-05-18,25.2
2015-05-19,25.05
2015-05-20,25.55
2015-05-21,25.45
2015-05-22,25.3
2015-05-25,25.45
2015-05-26,25.1
2015-05-27,24.75
2015-05-28,24.5
2015-05-29,24.7
2015-06-01,25.5
2015-06-02,25.0
2015-06-03,24.4
2015-06-04,25.0
2015-06-05,25.35
2015-06-08,26.05
2015-06-09,25.2
2015-06-10,25.35
2015-06-11,25.25
2015-06-12,25.3
2015-06-15,25.35
2015-06-16,25.35
2015-06-17,25.4
2015-06-18,25.6
2015-06-19,25.65
2015-06-22,25.7
2015-06-23,25.8
2015-06-24,25.9
2015-06-25,25.95
2015-06-26,25.95
2015-06-29,25.85
2015-06-30,25.85
2015-07-01,25.95
2015-07-02,26.0
2015-07-03,26.4
2015-07-06,26.4
2015-07-07,26.45
2015-07-08,26.35
2015-07-09,26.3
2015-07-10,26.4
2015-07-13,26.4
2015-07-14,26.35
2015-07-15,26.25
2015-07-16,26.35
2015-07-17,26.4
2015-07-20,26.4
2015-07-21,26.45
2015-07-22,26.45
2015-07-23,26.45
2015-07-24,26.5
2015-07-27,26.45
2015-07-28,26.5
2015-07-29,26.45
2015-07-30,26.5
2015-07-31,26.45
2015-08-03,26.5
2015-08-04,26.55
2015-08-05,26.65
2015-08-06,26.65
2015-08-07,27.0
2015-08-10,27.0
2015-08-11,27.15
2015-08-12,27.3
2015-08-13,27.25
2015-08-14,27.3
2015-08-17,27.75
2015-08-18,27.7
2015-08-19,27.75
2015-08-20,27.65
2015-08-21,27.6
2015-08-24,27.45
2015-08-25,27.3
2015-08-26,27.25
2015-08-27,27.4
2015-08-28,27.4
2015-08-31,27.1
2015-09-01,27.5
2015-09-02,27.65
2015-09-03,27.35
2015-09-04,24.5
2015-09-07,25.7
2015-09-08,24.95
2015-09-09,24.7
2015-09-10,24.6
2015-09-11,24.1
2015-09-14,24.95
2015-09-15,25.55
2015-09-16,29.65
2015-09-18,28.65
2015-09-21,27.95
2015-09-22,27.65
2015-09-23,26.6
2015-09-24,27.8
2015-09-28,27.65
2015-09-29,27.45
2015-09-30,28.15
2015-10-01,28.55
2015-10-05,28.75
2015-10-06,28.35
2015-10-07,27.6
2015-10-08,27.05
2015-10-09,26.85
2015-10-12,27.85
2015-10-13,27.55
2015-10-14,28.25
2015-10-15,27.8
2015-10-16,27.85
2015-10-19,28.15
2015-10-20,28.95
2015-10-21,28.75
2015-10-23,28.4
2015-10-26,29.6
2015-10-27,29.0
2015-10-28,28.6
2015-10-29,28.4
2015-10-30,28.85
2015-11-02,28.95
2015-11-03,29.05
2015-11-04,33.45
2015-11-05,31.05
2015-11-06,30.45
2015-11-09,30.1
2015-11-10,29.4
2015-11-11,31.55
2015-11-13,32.25
2015-11-16,32.1
2015-11-17,31.75
2015-11-18,31.75
2015-11-19,31.85
2015-11-20,32.55
2015-11-23,33.0
2015-11-24,35.5
2015-11-26,36.7
2015-11-27,38.35
2015-11-30,39.1
2015-12-01,40.25
2015-12-02,39.75
2015-12-03,39.6
2015-12-04,38.7
2015-12-07,37.8
2015-12-08,37.4
2015-12-09,36.1
2015-12-10,37.6
2015-12-11,37.0
2015-12-14,37.2
2015-12-15,38.0
2015-12-16,37.9
2015-12-17,38.6
2015-12-18,38.3
2015-12-21,39.05
2015-12-22,42.2
2015-12-23,42.8
2015-12-24,43.95
2015-12-28,45.8
2015-12-29,52.75
2015-12-30,55.15
2015-12-31,53.75
