Date,SARDAEN
2015-01-01,198.45
2015-01-02,195.75
2015-01-05,195.8
2015-01-06,191.6
2015-01-07,188.7
2015-01-08,191.95
2015-01-09,189.3
2015-01-12,189.9
2015-01-13,186.25
2015-01-14,187.45
2015-01-15,186.2
2015-01-16,180.95
2015-01-19,179.05
2015-01-20,178.25
2015-01-21,174.95
2015-01-22,175.65
2015-01-23,177.35
2015-01-27,171.6
2015-01-28,169.1
2015-01-29,172.8
2015-01-30,174.25
2015-02-02,175.05
2015-02-03,174.2
2015-02-04,190.4
2015-02-05,179.2
2015-02-06,185.75
2015-02-09,179.55
2015-02-10,179.35
2015-02-11,183.35
2015-02-12,170.85
2015-02-13,168.95
2015-02-16,174.05
2015-02-18,170.1
2015-02-19,183.7
2015-02-20,181.55
2015-02-23,174.1
2015-02-24,174.0
2015-02-25,169.85
2015-02-26,169.4
2015-02-27,170.8
2015-02-28,169.5
2015-03-02,169.35
2015-03-03,170.75
2015-03-04,170.2
2015-03-05,166.8
2015-03-09,159.95
2015-03-10,154.65
2015-03-11,148.9
2015-03-12,146.15
2015-03-13,141.45
2015-03-16,134.7
2015-03-17,129.75
2015-03-18,136.8
2015-03-19,129.3
2015-03-20,122.95
2015-03-23,123.3
2015-03-24,126.25
2015-03-25,122.4
2015-03-26,122.1
2015-03-27,122.2
2015-03-30,127.0
2015-03-31,124.0
2015-04-01,129.65
2015-04-06,146.65
2015-04-07,159.55
2015-04-08,153.55
2015-04-09,151.75
2015-04-10,157.9
2015-04-13,160.25
2015-04-15,158.25
2015-04-16,152.6
2015-04-17,152.75
2015-04-20,147.95
2015-04-21,148.0
2015-04-22,151.95
2015-04-23,147.7
2015-04-24,136.3
2015-04-27,133.0
2015-04-28,134.55
2015-04-29,136.75
2015-04-30,135.6
2015-05-04,145.6
2015-05-05,141.6
2015-05-06,135.95
2015-05-07,132.25
2015-05-08,135.65
2015-05-11,136.65
2015-05-12,132.2
2015-05-13,133.1
2015-05-14,133.25
2015-05-15,135.95
2015-05-18,137.55
2015-05-19,140.25
2015-05-20,138.95
2015-05-21,136.95
2015-05-22,136.75
2015-05-25,133.2
2015-05-26,135.4
2015-05-27,134.95
2015-05-28,135.5
2015-05-29,135.0
2015-06-01,135.1
2015-06-02,130.35
2015-06-03,125.5
2015-06-04,122.5
2015-06-05,124.25
2015-06-08,120.05
2015-06-09,118.2
2015-06-10,117.8
2015-06-11,115.45
2015-06-12,111.8
2015-06-15,111.75
2015-06-16,111.2
2015-06-17,114.95
2015-06-18,111.3
2015-06-19,110.2
2015-06-22,109.35
2015-06-23,110.7
2015-06-24,110.05
2015-06-25,109.95
2015-06-26,108.7
2015-06-29,108.1
2015-06-30,107.75
2015-07-01,107.85
2015-07-02,112.15
2015-07-03,111.35
2015-07-06,111.7
2015-07-07,111.8
2015-07-08,107.75
2015-07-09,107.7
2015-07-10,108.55
2015-07-13,108.05
2015-07-14,108.0
2015-07-15,107.8
2015-07-16,107.45
2015-07-17,105.8
2015-07-20,105.9
2015-07-21,104.5
2015-07-22,102.9
2015-07-23,101.8
2015-07-24,104.05
2015-07-27,107.15
2015-07-28,104.25
2015-07-29,104.4
2015-07-30,104.8
2015-07-31,105.55
2015-08-03,106.85
2015-08-04,128.2
2015-08-05,130.85
2015-08-06,123.95
2015-08-07,121.95
2015-08-10,118.75
2015-08-11,119.9
2015-08-12,112.45
2015-08-13,104.9
2015-08-14,107.2
2015-08-17,111.1
2015-08-18,110.5
2015-08-19,112.5
2015-08-20,107.95
2015-08-21,105.1
2015-08-24,99.45
2015-08-25,97.65
2015-08-26,103.5
2015-08-27,106.2
2015-08-28,102.3
2015-08-31,102.0
2015-09-01,98.15
2015-09-02,98.2
2015-09-03,98.55
2015-09-04,94.7
2015-09-07,91.0
2015-09-08,95.1
2015-09-09,96.75
2015-09-10,94.2
2015-09-11,95.1
2015-09-14,95.25
2015-09-15,95.5
2015-09-16,96.45
2015-09-18,97.8
2015-09-21,97.3
2015-09-22,97.2
2015-09-23,99.35
2015-09-24,97.65
2015-09-28,96.35
2015-09-29,95.15
2015-09-30,98.2
2015-10-01,103.65
2015-10-05,107.15
2015-10-06,106.7
2015-10-07,114.65
2015-10-08,111.2
2015-10-09,113.05
2015-10-12,115.85
2015-10-13,114.75
2015-10-14,117.1
2015-10-15,116.35
2015-10-16,114.35
2015-10-19,116.35
2015-10-20,114.5
2015-10-21,113.5
2015-10-23,113.95
2015-10-26,110.95
2015-10-27,110.65
2015-10-28,111.55
2015-10-29,110.65
2015-10-30,111.45
2015-11-02,109.8
2015-11-03,109.65
2015-11-04,110.8
2015-11-05,108.55
2015-11-06,106.45
2015-11-09,102.5
2015-11-10,98.1
2015-11-11,99.1
2015-11-13,98.1
2015-11-16,97.7
2015-11-17,95.95
2015-11-18,94.75
2015-11-19,94.25
2015-11-20,94.45
2015-11-23,94.7
2015-11-24,94.45
2015-11-26,98.8
2015-11-27,99.9
2015-11-30,103.25
2015-12-01,101.85
2015-12-02,102.4
2015-12-03,103.25
2015-12-04,106.15
2015-12-07,106.25
2015-12-08,105.8
2015-12-09,102.9
2015-12-10,108.1
2015-12-11,105.5
2015-12-14,105.5
2015-12-15,100.7
2015-12-16,100.75
2015-12-17,101.65
2015-12-18,100.4
2015-12-21,102.8
2015-12-22,104.15
2015-12-23,105.2
2015-12-24,108.45
2015-12-28,108.35
2015-12-29,106.15
2015-12-30,107.7
2015-12-31,107.95
