Date,SHEMAROO
2015-01-01,169.35
2015-01-02,192.25
2015-01-05,189.95
2015-01-06,176.35
2015-01-07,173.65
2015-01-08,186.5
2015-01-09,185.65
2015-01-12,184.3
2015-01-13,186.25
2015-01-14,182.5
2015-01-15,184.2
2015-01-16,187.5
2015-01-19,195.1
2015-01-20,199.85
2015-01-21,239.8
2015-01-22,248.25
2015-01-23,265.9
2015-01-27,251.9
2015-01-28,234.3
2015-01-29,238.6
2015-01-30,235.7
2015-02-02,233.85
2015-02-03,232.55
2015-02-04,227.9
2015-02-05,215.2
2015-02-06,208.4
2015-02-09,215.9
2015-02-10,209.45
2015-02-11,212.65
2015-02-12,219.2
2015-02-13,217.2
2015-02-16,214.95
2015-02-18,210.95
2015-02-19,210.25
2015-02-20,210.4
2015-02-23,203.4
2015-02-24,203.15
2015-02-25,204.5
2015-02-26,202.8
2015-02-27,203.2
2015-02-28,209.05
2015-03-02,213.45
2015-03-03,222.4
2015-03-04,214.65
2015-03-05,214.25
2015-03-09,215.2
2015-03-10,216.05
2015-03-11,214.65
2015-03-12,214.5
2015-03-13,206.25
2015-03-16,212.55
2015-03-17,214.9
2015-03-18,214.4
2015-03-19,205.85
2015-03-20,203.45
2015-03-23,193.15
2015-03-24,188.45
2015-03-25,183.7
2015-03-26,173.9
2015-03-27,175.2
2015-03-30,179.95
2015-03-31,183.35
2015-04-01,184.15
2015-04-06,183.85
2015-04-07,183.8
2015-04-08,192.0
2015-04-09,195.05
2015-04-10,194.65
2015-04-13,197.9
2015-04-15,195.0
2015-04-16,196.2
2015-04-17,187.4
2015-04-20,187.15
2015-04-21,187.5
2015-04-22,187.95
2015-04-23,188.65
2015-04-24,181.6
2015-04-27,174.6
2015-04-28,174.05
2015-04-29,185.05
2015-04-30,185.25
2015-05-04,193.4
2015-05-05,203.8
2015-05-06,193.55
2015-05-07,204.55
2015-05-08,203.25
2015-05-11,219.7
2015-05-12,213.6
2015-05-13,219.2
2015-05-14,215.95
2015-05-15,215.9
2015-05-18,214.05
2015-05-19,211.7
2015-05-20,227.75
2015-05-21,231.5
2015-05-22,231.8
2015-05-25,229.35
2015-05-26,229.5
2015-05-27,233.25
2015-05-28,244.15
2015-05-29,245.65
2015-06-01,242.0
2015-06-02,229.5
2015-06-03,213.25
2015-06-04,223.1
2015-06-05,229.65
2015-06-08,221.7
2015-06-09,216.6
2015-06-10,217.7
2015-06-11,211.0
2015-06-12,206.95
2015-06-15,215.9
2015-06-16,219.7
2015-06-17,225.15
2015-06-18,225.05
2015-06-19,224.65
2015-06-22,237.5
2015-06-23,231.4
2015-06-24,239.15
2015-06-25,240.5
2015-06-26,239.55
2015-06-29,240.15
2015-06-30,246.9
2015-07-01,245.75
2015-07-02,242.35
2015-07-03,240.65
2015-07-06,242.0
2015-07-07,240.25
2015-07-08,245.25
2015-07-09,244.25
2015-07-10,240.85
2015-07-13,240.3
2015-07-14,257.4
2015-07-15,247.75
2015-07-16,262.55
2015-07-17,265.25
2015-07-20,275.0
2015-07-21,295.95
2015-07-22,293.1
2015-07-23,298.2
2015-07-24,297.35
2015-07-27,294.05
2015-07-28,289.45
2015-07-29,286.45
2015-07-30,288.6
2015-07-31,285.0
2015-08-03,276.45
2015-08-04,304.25
2015-08-05,301.95
2015-08-06,290.15
2015-08-07,288.55
2015-08-10,286.4
2015-08-11,282.1
2015-08-12,275.35
2015-08-13,265.85
2015-08-14,264.75
2015-08-17,258.05
2015-08-18,270.3
2015-08-19,281.35
2015-08-20,275.9
2015-08-21,269.95
2015-08-24,241.85
2015-08-25,244.25
2015-08-26,249.95
2015-08-27,277.55
2015-08-28,271.5
2015-08-31,277.75
2015-09-01,262.25
2015-09-02,258.35
2015-09-03,257.95
2015-09-04,274.25
2015-09-07,272.35
2015-09-08,265.15
2015-09-09,256.6
2015-09-10,254.9
2015-09-11,251.55
2015-09-14,266.95
2015-09-15,269.7
2015-09-16,270.0
2015-09-18,272.05
2015-09-21,271.3
2015-09-22,268.5
2015-09-23,268.35
2015-09-24,266.75
2015-09-28,275.6
2015-09-29,273.65
2015-09-30,294.9
2015-10-01,277.65
2015-10-05,276.75
2015-10-06,274.95
2015-10-07,270.95
2015-10-08,269.05
2015-10-09,267.85
2015-10-12,267.15
2015-10-13,262.75
2015-10-14,262.15
2015-10-15,264.1
2015-10-16,269.45
2015-10-19,269.3
2015-10-20,266.3
2015-10-21,268.15
2015-10-23,268.65
2015-10-26,269.8
2015-10-27,267.0
2015-10-28,267.7
2015-10-29,265.4
2015-10-30,273.25
2015-11-02,278.65
2015-11-03,273.8
2015-11-04,270.65
2015-11-05,265.3
2015-11-06,266.35
2015-11-09,269.7
2015-11-10,264.9
2015-11-11,272.3
2015-11-13,266.6
2015-11-16,265.55
2015-11-17,266.15
2015-11-18,261.15
2015-11-19,259.35
2015-11-20,258.5
2015-11-23,254.05
2015-11-24,264.85
2015-11-26,272.15
2015-11-27,268.7
2015-11-30,281.0
2015-12-01,283.35
2015-12-02,280.2
2015-12-03,277.05
2015-12-04,273.3
2015-12-07,271.4
2015-12-08,269.6
2015-12-09,268.8
2015-12-10,268.9
2015-12-11,269.6
2015-12-14,267.45
2015-12-15,267.75
2015-12-16,267.5
2015-12-17,271.05
2015-12-18,270.4
2015-12-21,269.55
2015-12-22,268.45
2015-12-23,268.5
2015-12-24,269.65
2015-12-28,282.15
2015-12-29,284.75
2015-12-30,294.55
2015-12-31,297.95
