Date,UFLEX
2015-01-01,153.6
2015-01-02,160.15
2015-01-05,160.0
2015-01-06,153.35
2015-01-07,151.7
2015-01-08,155.0
2015-01-09,155.6
2015-01-12,156.1
2015-01-13,154.75
2015-01-14,153.6
2015-01-15,153.75
2015-01-16,154.75
2015-01-19,154.7
2015-01-20,155.5
2015-01-21,158.8
2015-01-22,160.65
2015-01-23,158.25
2015-01-27,156.25
2015-01-28,153.35
2015-01-29,151.7
2015-01-30,151.8
2015-02-02,158.95
2015-02-03,155.75
2015-02-04,154.75
2015-02-05,150.85
2015-02-06,146.3
2015-02-09,142.05
2015-02-10,140.95
2015-02-11,145.15
2015-02-12,146.6
2015-02-13,145.65
2015-02-16,147.0
2015-02-18,144.4
2015-02-19,142.3
2015-02-20,140.75
2015-02-23,140.1
2015-02-24,140.65
2015-02-25,137.05
2015-02-26,135.3
2015-02-27,136.85
2015-02-28,136.4
2015-03-02,135.45
2015-03-03,137.3
2015-03-04,138.05
2015-03-05,136.2
2015-03-09,133.8
2015-03-10,131.45
2015-03-11,128.65
2015-03-12,129.1
2015-03-13,125.9
2015-03-16,124.15
2015-03-17,123.6
2015-03-18,122.15
2015-03-19,116.4
2015-03-20,112.05
2015-03-23,110.2
2015-03-24,114.25
2015-03-25,112.1
2015-03-26,110.55
2015-03-27,110.6
2015-03-30,114.45
2015-03-31,117.45
2015-04-01,123.05
2015-04-06,124.75
2015-04-07,125.85
2015-04-08,126.7
2015-04-09,127.05
2015-04-10,128.0
2015-04-13,129.05
2015-04-15,132.5
2015-04-16,128.65
2015-04-17,127.55
2015-04-20,123.8
2015-04-21,126.3
2015-04-22,125.3
2015-04-23,125.9
2015-04-24,121.1
2015-04-27,115.45
2015-04-28,116.65
2015-04-29,120.05
2015-04-30,119.15
2015-05-04,122.1
2015-05-05,121.6
2015-05-06,116.7
2015-05-07,113.8
2015-05-08,117.95
2015-05-11,121.4
2015-05-12,117.6
2015-05-13,121.0
2015-05-14,121.9
2015-05-15,122.3
2015-05-18,123.1
2015-05-19,128.15
2015-05-20,126.95
2015-05-21,128.85
2015-05-22,126.15
2015-05-25,129.35
2015-05-26,131.3
2015-05-27,134.95
2015-05-28,136.65
2015-05-29,129.55
2015-06-01,127.5
2015-06-02,124.95
2015-06-03,119.65
2015-06-04,118.0
2015-06-05,119.1
2015-06-08,114.1
2015-06-09,115.55
2015-06-10,116.25
2015-06-11,114.35
2015-06-12,112.5
2015-06-15,116.9
2015-06-16,116.6
2015-06-17,119.1
2015-06-18,117.65
2015-06-19,119.95
2015-06-22,121.95
2015-06-23,126.2
2015-06-24,126.9
2015-06-25,125.1
2015-06-26,124.1
2015-06-29,121.6
2015-06-30,121.5
2015-07-01,125.55
2015-07-02,122.2
2015-07-03,121.3
2015-07-06,120.55
2015-07-07,124.8
2015-07-08,122.4
2015-07-09,135.25
2015-07-10,133.45
2015-07-13,139.65
2015-07-14,139.4
2015-07-15,143.0
2015-07-16,143.45
2015-07-17,141.05
2015-07-20,144.9
2015-07-21,137.35
2015-07-22,141.65
2015-07-23,144.05
2015-07-24,146.5
2015-07-27,145.55
2015-07-28,144.9
2015-07-29,152.5
2015-07-30,150.1
2015-07-31,159.05
2015-08-03,186.65
2015-08-04,177.85
2015-08-05,172.95
2015-08-06,175.2
2015-08-07,187.45
2015-08-10,187.3
2015-08-11,181.55
2015-08-12,174.4
2015-08-13,164.3
2015-08-14,173.55
2015-08-17,165.7
2015-08-18,181.5
2015-08-19,187.7
2015-08-20,177.15
2015-08-21,171.85
2015-08-24,144.75
2015-08-25,149.05
2015-08-26,148.25
2015-08-27,153.7
2015-08-28,154.3
2015-08-31,154.85
2015-09-01,148.4
2015-09-02,149.85
2015-09-03,152.5
2015-09-04,145.0
2015-09-07,138.85
2015-09-08,139.8
2015-09-09,143.45
2015-09-10,140.1
2015-09-11,138.6
2015-09-14,141.05
2015-09-15,141.35
2015-09-16,143.35
2015-09-18,144.15
2015-09-21,153.0
2015-09-22,147.35
2015-09-23,151.1
2015-09-24,156.15
2015-09-28,157.05
2015-09-29,153.95
2015-09-30,157.95
2015-10-01,156.4
2015-10-05,158.6
2015-10-06,166.6
2015-10-07,167.4
2015-10-08,163.8
2015-10-09,165.15
2015-10-12,163.55
2015-10-13,161.0
2015-10-14,166.55
2015-10-15,167.75
2015-10-16,167.4
2015-10-19,172.2
2015-10-20,175.7
2015-10-21,187.9
2015-10-23,188.05
2015-10-26,182.5
2015-10-27,193.65
2015-10-28,190.45
2015-10-29,184.55
2015-10-30,180.3
2015-11-02,178.8
2015-11-03,179.2
2015-11-04,182.1
2015-11-05,176.05
2015-11-06,173.4
2015-11-09,175.1
2015-11-10,172.7
2015-11-11,173.85
2015-11-13,171.25
2015-11-16,177.8
2015-11-17,180.7
2015-11-18,176.45
2015-11-19,177.4
2015-11-20,182.0
2015-11-23,183.95
2015-11-24,182.95
2015-11-26,187.1
2015-11-27,188.5
2015-11-30,196.8
2015-12-01,197.45
2015-12-02,193.45
2015-12-03,189.85
2015-12-04,185.75
2015-12-07,184.15
2015-12-08,179.7
2015-12-09,174.65
2015-12-10,178.15
2015-12-11,175.9
2015-12-14,179.4
2015-12-15,182.9
2015-12-16,181.25
2015-12-17,184.55
2015-12-18,184.95
2015-12-21,187.3
2015-12-22,184.85
2015-12-23,188.4
2015-12-24,186.2
2015-12-28,185.25
2015-12-29,183.35
2015-12-30,182.15
2015-12-31,182.8
