Date,ACE
2016-01-01,46.6
2016-01-04,46.45
2016-01-05,47.3
2016-01-06,47.1
2016-01-07,44.55
2016-01-08,44.7
2016-01-11,45.2
2016-01-12,44.7
2016-01-13,42.75
2016-01-14,41.7
2016-01-15,39.4
2016-01-18,37.5
2016-01-19,38.4
2016-01-20,36.8
2016-01-21,37.55
2016-01-22,38.8
2016-01-25,39.55
2016-01-27,39.4
2016-01-28,39.3
2016-01-29,39.85
2016-02-01,40.5
2016-02-02,39.5
2016-02-03,38.8
2016-02-04,38.15
2016-02-05,38.15
2016-02-08,37.45
2016-02-09,36.6
2016-02-10,36.5
2016-02-11,35.15
2016-02-12,34.1
2016-02-15,35.75
2016-02-16,34.15
2016-02-17,34.15
2016-02-18,34.95
2016-02-19,36.3
2016-02-22,40.0
2016-02-23,36.9
2016-02-24,37.2
2016-02-25,36.2
2016-02-26,35.6
2016-02-29,35.35
2016-03-01,36.75
2016-03-02,37.45
2016-03-03,37.85
2016-03-04,37.55
2016-03-08,38.3
2016-03-09,37.85
2016-03-10,37.45
2016-03-11,36.9
2016-03-14,37.8
2016-03-15,36.95
2016-03-16,36.75
2016-03-17,36.1
2016-03-18,36.2
2016-03-21,36.45
2016-03-22,37.2
2016-03-23,38.95
2016-03-28,37.5
2016-03-29,36.7
2016-03-30,38.6
2016-03-31,38.7
2016-04-01,39.15
2016-04-04,38.5
2016-04-05,37.5
2016-04-06,37.95
2016-04-07,37.45
2016-04-08,37.85
2016-04-11,40.3
2016-04-12,41.0
2016-04-13,41.05
2016-04-18,39.95
2016-04-20,39.9
2016-04-21,39.65
2016-04-22,39.3
2016-04-25,38.7
2016-04-26,39.55
2016-04-27,39.6
2016-04-28,39.15
2016-04-29,40.2
2016-05-02,40.6
2016-05-03,39.8
2016-05-04,39.65
2016-05-05,40.0
2016-05-06,39.6
2016-05-09,40.05
2016-05-10,40.85
2016-05-11,40.7
2016-05-12,42.15
2016-05-13,42.0
2016-05-16,41.45
2016-05-17,42.1
2016-05-18,43.85
2016-05-19,42.75
2016-05-20,41.65
2016-05-23,40.8
2016-05-24,39.9
2016-05-25,39.9
2016-05-26,39.65
2016-05-27,40.75
2016-05-30,40.7
2016-05-31,40.15
2016-06-01,40.4
2016-06-02,40.15
2016-06-03,40.4
2016-06-06,39.8
2016-06-07,39.9
2016-06-08,41.3
2016-06-09,40.25
2016-06-10,40.25
2016-06-13,40.95
2016-06-14,40.8
2016-06-15,40.85
2016-06-16,40.15
2016-06-17,40.95
2016-06-20,40.3
2016-06-21,40.75
2016-06-22,41.35
2016-06-23,41.35
2016-06-24,39.5
2016-06-27,40.75
2016-06-28,46.15
2016-06-29,47.65
2016-06-30,47.3
2016-07-01,45.55
2016-07-04,46.1
2016-07-05,45.95
2016-07-07,46.6
2016-07-08,46.05
2016-07-11,45.9
2016-07-12,45.45
2016-07-13,45.15
2016-07-14,44.95
2016-07-15,44.25
2016-07-18,43.45
2016-07-19,42.95
2016-07-20,46.15
2016-07-21,44.5
2016-07-22,47.6
2016-07-25,48.5
2016-07-26,48.85
2016-07-27,48.6
2016-07-28,48.9
2016-07-29,48.25
2016-08-01,49.35
2016-08-02,46.9
2016-08-03,45.7
2016-08-04,46.35
2016-08-05,48.15
2016-08-08,47.0
2016-08-09,49.2
2016-08-10,45.7
2016-08-11,43.15
2016-08-12,41.7
2016-08-16,42.85
2016-08-17,43.05
2016-08-18,43.25
2016-08-19,43.65
2016-08-22,42.9
2016-08-23,43.35
2016-08-24,42.8
2016-08-25,43.15
2016-08-26,42.4
2016-08-29,43.0
2016-08-30,43.4
2016-08-31,45.65
2016-09-01,43.95
2016-09-02,45.2
2016-09-06,45.0
2016-09-07,44.75
2016-09-08,44.3
2016-09-09,44.5
2016-09-12,42.55
2016-09-14,43.15
2016-09-15,42.85
2016-09-16,42.8
2016-09-19,43.55
2016-09-20,43.5
2016-09-21,42.75
2016-09-22,43.5
2016-09-23,44.6
2016-09-26,43.45
2016-09-27,45.75
2016-09-28,46.2
2016-09-29,42.6
2016-09-30,43.55
2016-10-03,45.25
2016-10-04,44.5
2016-10-05,45.55
2016-10-06,44.6
2016-10-07,44.2
2016-10-10,45.45
2016-10-13,44.4
2016-10-14,44.05
2016-10-17,43.25
2016-10-18,43.7
2016-10-19,44.1
2016-10-20,44.6
2016-10-21,44.3
2016-10-24,44.5
2016-10-25,46.25
2016-10-26,46.1
2016-10-27,45.55
2016-10-28,45.55
2016-10-30,46.85
2016-11-01,56.2
2016-11-02,55.65
2016-11-03,54.55
2016-11-04,50.55
2016-11-07,52.2
2016-11-08,51.5
2016-11-09,48.5
2016-11-10,50.6
2016-11-11,48.4
2016-11-15,44.5
2016-11-16,43.65
2016-11-17,42.8
2016-11-18,43.65
2016-11-21,42.3
2016-11-22,44.1
2016-11-23,45.0
2016-11-24,45.8
2016-11-25,48.2
2016-11-28,48.7
2016-11-29,47.95
2016-11-30,50.1
2016-12-01,50.7
2016-12-02,48.75
2016-12-05,49.3
2016-12-06,49.3
2016-12-07,48.4
2016-12-08,49.25
2016-12-09,49.1
2016-12-12,49.2
2016-12-13,49.1
2016-12-14,47.6
2016-12-15,48.0
2016-12-16,48.2
2016-12-19,48.15
2016-12-20,47.6
2016-12-21,46.6
2016-12-22,45.0
2016-12-23,45.05
2016-12-26,43.9
2016-12-27,44.7
2016-12-28,45.05
2016-12-29,45.45
2016-12-30,45.15
