Date,BAJAJFINSV
2016-01-01,1983.8
2016-01-04,1959.5
2016-01-05,1946.0
2016-01-06,1938.55
2016-01-07,1927.05
2016-01-08,2000.4
2016-01-11,1943.4
2016-01-12,1957.5
2016-01-13,1987.45
2016-01-14,1948.9
2016-01-15,1905.5
2016-01-18,1831.9
2016-01-19,1848.8
2016-01-20,1852.25
2016-01-21,1846.75
2016-01-22,1891.8
2016-01-25,1924.45
2016-01-27,1892.55
2016-01-28,1874.15
2016-01-29,1861.65
2016-02-01,1863.55
2016-02-02,1818.1
2016-02-03,1878.55
2016-02-04,1880.8
2016-02-05,1908.6
2016-02-08,1835.6
2016-02-09,1784.2
2016-02-10,1789.6
2016-02-11,1696.55
2016-02-12,1701.05
2016-02-15,1723.45
2016-02-16,1703.8
2016-02-17,1701.15
2016-02-18,1720.95
2016-02-19,1673.1
2016-02-22,1630.3
2016-02-23,1615.85
2016-02-24,1615.95
2016-02-25,1600.35
2016-02-26,1601.65
2016-02-29,1611.9
2016-03-01,1690.3
2016-03-02,1718.0
2016-03-03,1675.2
2016-03-04,1670.5
2016-03-08,1669.75
2016-03-09,1678.2
2016-03-10,1687.85
2016-03-11,1646.0
2016-03-14,1644.95
2016-03-15,1661.55
2016-03-16,1644.95
2016-03-17,1651.75
2016-03-18,1649.4
2016-03-21,1649.55
2016-03-22,1664.55
2016-03-23,1724.8
2016-03-28,1684.85
2016-03-29,1666.9
2016-03-30,1696.55
2016-03-31,1711.1
2016-04-01,1746.75
2016-04-04,1751.3
2016-04-05,1748.8
2016-04-06,1765.45
2016-04-07,1763.85
2016-04-08,1749.9
2016-04-11,1778.0
2016-04-12,1778.55
2016-04-13,1821.2
2016-04-18,1871.6
2016-04-20,1881.75
2016-04-21,1846.4
2016-04-22,1847.5
2016-04-25,1841.15
2016-04-26,1869.0
2016-04-27,1879.6
2016-04-28,1842.4
2016-04-29,1875.35
2016-05-02,1940.9
2016-05-03,1947.8
2016-05-04,1893.45
2016-05-05,1888.05
2016-05-06,1873.15
2016-05-09,1880.15
2016-05-10,1858.8
2016-05-11,1873.1
2016-05-12,1893.05
2016-05-13,1867.25
2016-05-16,1857.9
2016-05-17,1857.05
2016-05-18,1859.05
2016-05-19,1853.45
2016-05-20,1804.8
2016-05-23,1806.15
2016-05-24,1762.25
2016-05-25,1789.35
2016-05-26,1792.15
2016-05-27,1835.7
2016-05-30,1839.15
2016-05-31,1820.65
2016-06-01,1798.55
2016-06-02,1851.4
2016-06-03,1855.8
2016-06-06,1866.0
2016-06-07,1876.75
2016-06-08,1860.2
2016-06-09,1840.35
2016-06-10,1812.15
2016-06-13,1771.85
2016-06-14,1873.9
2016-06-15,1946.9
2016-06-16,2043.95
2016-06-17,2056.15
2016-06-20,2007.85
2016-06-21,2013.05
2016-06-22,2025.6
2016-06-23,2002.9
2016-06-24,2077.65
2016-06-27,2181.9
2016-06-28,2196.1
2016-06-29,2298.1
2016-06-30,2321.6
2016-07-01,2354.8
2016-07-04,2351.75
2016-07-05,2314.65
2016-07-07,2323.8
2016-07-08,2306.05
2016-07-11,2359.15
2016-07-12,2429.1
2016-07-13,2361.85
2016-07-14,2397.3
2016-07-15,2430.2
2016-07-18,2460.55
2016-07-19,2498.35
2016-07-20,2554.2
2016-07-21,2608.7
2016-07-22,2599.85
2016-07-25,2599.95
2016-07-26,2715.05
2016-07-27,2614.15
2016-07-28,2665.05
2016-07-29,2723.9
2016-08-01,2828.75
2016-08-02,2726.1
2016-08-03,2645.5
2016-08-04,2668.6
2016-08-05,2669.7
2016-08-08,2642.05
2016-08-09,2604.75
2016-08-10,2695.5
2016-08-11,2760.55
2016-08-12,2770.85
2016-08-16,2750.2
2016-08-17,2716.8
2016-08-18,2711.7
2016-08-19,2698.9
2016-08-22,2718.0
2016-08-23,2682.4
2016-08-24,2711.4
2016-08-25,2688.25
2016-08-26,2808.0
2016-08-29,2815.9
2016-08-30,2844.5
