Date,DHAMPURSUG
2016-01-01,70.2
2016-01-04,72.1
2016-01-05,71.75
2016-01-06,73.65
2016-01-07,68.55
2016-01-08,75.95
2016-01-11,78.05
2016-01-12,73.05
2016-01-13,72.1
2016-01-14,73.9
2016-01-15,68.95
2016-01-18,63.6
2016-01-19,65.0
2016-01-20,62.0
2016-01-21,58.3
2016-01-22,62.3
2016-01-25,62.7
2016-01-27,62.05
2016-01-28,62.15
2016-01-29,63.7
2016-02-01,67.5
2016-02-02,66.05
2016-02-03,66.05
2016-02-04,61.75
2016-02-05,64.65
2016-02-08,66.7
2016-02-09,64.0
2016-02-10,59.6
2016-02-11,53.15
2016-02-12,55.65
2016-02-15,57.9
2016-02-16,53.85
2016-02-17,53.3
2016-02-18,56.05
2016-02-19,55.2
2016-02-22,54.45
2016-02-23,54.2
2016-02-24,57.3
2016-02-25,56.5
2016-02-26,56.15
2016-02-29,55.7
2016-03-01,58.55
2016-03-02,57.0
2016-03-03,56.85
2016-03-04,67.8
2016-03-08,71.65
2016-03-09,73.35
2016-03-10,71.65
2016-03-11,70.25
2016-03-14,74.55
2016-03-15,84.7
2016-03-16,81.9
2016-03-17,78.75
2016-03-18,82.25
2016-03-21,81.75
2016-03-22,83.45
2016-03-23,85.4
2016-03-28,81.85
2016-03-29,82.6
2016-03-30,94.9
2016-03-31,93.05
2016-04-01,96.45
2016-04-04,96.05
2016-04-05,92.3
2016-04-06,97.8
2016-04-07,95.75
2016-04-08,93.9
2016-04-11,92.0
2016-04-12,87.45
2016-04-13,87.7
2016-04-18,92.7
2016-04-20,87.2
2016-04-21,85.95
2016-04-22,87.25
2016-04-25,86.55
2016-04-26,87.75
2016-04-27,86.05
2016-04-28,83.6
2016-04-29,88.6
2016-05-02,89.5
2016-05-03,85.65
2016-05-04,84.6
2016-05-05,89.3
2016-05-06,90.6
2016-05-09,93.6
2016-05-10,91.75
2016-05-11,92.2
2016-05-12,92.0
2016-05-13,91.35
2016-05-16,91.05
2016-05-17,88.45
2016-05-18,90.2
2016-05-19,89.85
2016-05-20,86.3
2016-05-23,85.7
2016-05-24,83.5
2016-05-25,85.6
2016-05-26,91.95
2016-05-27,91.4
2016-05-30,92.95
2016-05-31,91.55
2016-06-01,93.4
2016-06-02,94.45
2016-06-03,97.3
2016-06-06,101.7
2016-06-07,101.0
2016-06-08,102.75
2016-06-09,100.8
2016-06-10,106.2
2016-06-13,116.35
2016-06-14,119.55
2016-06-15,117.75
2016-06-16,112.2
2016-06-17,106.6
2016-06-20,109.6
2016-06-21,107.25
2016-06-22,104.95
2016-06-23,106.55
2016-06-24,100.9
2016-06-27,117.8
2016-06-28,117.35
2016-06-29,120.4
2016-06-30,121.25
2016-07-01,120.2
2016-07-04,122.25
2016-07-05,116.95
2016-07-07,121.85
2016-07-08,118.15
2016-07-11,119.05
2016-07-12,119.85
2016-07-13,118.4
2016-07-14,120.5
2016-07-15,118.55
2016-07-18,116.7
2016-07-19,116.3
2016-07-20,118.75
2016-07-21,116.25
2016-07-22,116.75
2016-07-25,118.6
2016-07-26,118.5
2016-07-27,119.8
2016-07-28,117.95
2016-07-29,123.85
2016-08-01,126.2
2016-08-02,130.1
2016-08-03,132.05
2016-08-04,133.25
2016-08-05,123.05
2016-08-08,124.4
2016-08-09,119.85
2016-08-10,123.35
2016-08-11,117.05
2016-08-12,112.05
2016-08-16,108.2
2016-08-17,107.6
2016-08-18,114.5
2016-08-19,115.8
2016-08-22,112.8
2016-08-23,113.1
2016-08-24,113.0
2016-08-25,110.5
2016-08-26,111.3
2016-08-29,107.7
2016-08-30,106.8
2016-08-31,109.1
2016-09-01,107.45
2016-09-02,105.4
2016-09-06,105.75
2016-09-07,107.7
2016-09-08,108.7
2016-09-09,112.25
2016-09-12,110.5
2016-09-14,112.9
2016-09-15,114.35
2016-09-16,118.2
2016-09-19,123.45
2016-09-20,123.9
2016-09-21,120.0
2016-09-22,122.55
2016-09-23,119.7
2016-09-26,118.4
2016-09-27,117.85
2016-09-28,119.45
2016-09-29,112.25
2016-09-30,115.5
2016-10-03,121.9
2016-10-04,125.1
2016-10-05,128.1
2016-10-06,131.05
2016-10-07,134.95
2016-10-10,134.1
2016-10-13,127.85
2016-10-14,130.8
2016-10-17,128.9
2016-10-18,128.05
2016-10-19,126.4
2016-10-20,125.35
2016-10-21,127.45
2016-10-24,123.2
2016-10-25,122.75
2016-10-26,119.35
2016-10-27,118.5
2016-10-28,122.55
2016-10-30,123.35
2016-11-01,120.1
2016-11-02,121.4
2016-11-03,121.65
2016-11-04,115.75
2016-11-07,117.2
2016-11-08,118.35
2016-11-09,111.95
2016-11-10,116.45
2016-11-11,111.8
2016-11-15,105.85
2016-11-16,103.65
2016-11-17,103.15
2016-11-18,112.6
2016-11-21,109.65
2016-11-22,111.8
2016-11-23,114.4
2016-11-24,113.3
2016-11-25,114.45
2016-11-28,113.95
2016-11-29,112.95
2016-11-30,113.3
2016-12-01,113.9
2016-12-02,112.9
2016-12-05,113.45
2016-12-06,113.5
2016-12-07,113.8
2016-12-08,115.1
2016-12-09,115.1
2016-12-12,113.8
2016-12-13,115.5
2016-12-14,118.7
2016-12-15,118.5
2016-12-16,119.05
2016-12-19,119.5
2016-12-20,115.6
2016-12-21,115.35
2016-12-22,113.2
2016-12-23,116.25
2016-12-26,116.05
2016-12-27,119.8
2016-12-28,121.8
2016-12-29,126.1
2016-12-30,130.7
