Date,EDL
2016-01-01,101.4
2016-01-04,101.1
2016-01-05,100.25
2016-01-06,96.55
2016-01-07,94.1
2016-01-08,97.1
2016-01-11,97.25
2016-01-12,95.1
2016-01-13,88.95
2016-01-14,84.55
2016-01-15,77.4
2016-01-18,65.25
2016-01-19,69.7
2016-01-20,65.7
2016-01-21,66.6
2016-01-22,72.9
2016-01-25,78.35
2016-01-27,76.35
2016-01-28,76.45
2016-01-29,76.6
2016-02-01,76.6
2016-02-02,71.45
2016-02-03,70.2
2016-02-04,72.65
2016-02-05,74.5
2016-02-08,75.55
2016-02-09,76.65
2016-02-10,74.55
2016-02-11,66.25
2016-02-12,53.55
2016-02-15,54.55
2016-02-16,51.6
2016-02-17,50.65
2016-02-18,53.6
2016-02-19,54.4
2016-02-22,54.6
2016-02-23,52.25
2016-02-24,49.15
2016-02-25,47.75
2016-02-26,46.5
2016-02-29,46.45
2016-03-01,51.05
2016-03-02,56.15
2016-03-03,61.75
2016-03-04,60.7
2016-03-08,58.1
2016-03-09,61.0
2016-03-10,64.05
2016-03-11,62.15
2016-03-14,62.1
2016-03-15,61.05
2016-03-16,61.0
2016-03-17,60.45
2016-03-18,60.05
2016-03-21,58.8
2016-03-22,58.4
2016-03-23,56.2
2016-03-28,55.9
2016-03-29,55.8
2016-03-30,58.55
2016-03-31,56.4
2016-04-01,58.1
2016-04-04,63.9
2016-04-05,64.4
2016-04-06,64.9
2016-04-07,62.85
2016-04-08,63.75
2016-04-11,57.95
2016-04-12,56.75
2016-04-13,56.9
2016-04-18,56.05
2016-04-20,55.85
2016-04-21,56.25
2016-04-22,56.6
2016-04-25,57.7
2016-04-26,56.45
2016-04-27,56.2
2016-04-28,56.15
2016-04-29,55.45
2016-05-02,55.25
2016-05-03,53.1
2016-05-04,51.3
2016-05-05,49.45
2016-05-06,59.3
2016-05-09,71.15
2016-05-10,71.85
2016-05-11,71.3
2016-05-12,69.9
2016-05-13,66.95
2016-05-16,63.75
2016-05-17,70.1
2016-05-18,71.1
2016-05-19,66.45
2016-05-20,65.35
2016-05-23,65.25
2016-05-24,63.4
2016-05-25,64.7
2016-05-26,64.4
2016-05-27,63.05
2016-05-30,62.8
2016-05-31,56.55
2016-06-01,54.3
2016-06-02,53.2
2016-06-03,58.75
2016-06-06,55.7
2016-06-07,59.0
2016-06-08,58.3
2016-06-09,57.95
2016-06-10,58.95
2016-06-13,58.9
2016-06-14,59.6
2016-06-15,57.35
2016-06-16,56.35
2016-06-17,57.85
2016-06-20,57.35
2016-06-21,57.5
2016-06-22,57.3
2016-06-23,56.3
2016-06-24,54.85
2016-06-27,56.4
2016-06-28,56.1
2016-06-29,58.8
2016-06-30,59.75
2016-07-01,61.3
2016-07-04,60.9
2016-07-05,60.95
2016-07-07,60.1
2016-07-08,63.1
2016-07-11,62.15
2016-07-12,62.4
2016-07-13,59.95
2016-07-14,60.4
2016-07-15,60.2
2016-07-18,58.95
2016-07-19,58.85
2016-07-20,60.5
2016-07-21,59.3
2016-07-22,59.4
2016-07-25,61.85
2016-07-26,60.55
2016-07-27,59.95
2016-07-28,57.9
2016-07-29,56.85
2016-08-01,56.35
2016-08-02,56.15
2016-08-03,54.45
2016-08-04,54.45
2016-08-05,54.6
2016-08-08,54.6
2016-08-09,53.75
2016-08-10,53.9
2016-08-11,53.8
2016-08-12,50.6
2016-08-16,51.95
2016-08-17,52.35
2016-08-18,54.15
2016-08-19,53.8
2016-08-22,52.9
2016-08-23,52.8
2016-08-24,52.85
2016-08-25,51.15
2016-08-26,51.8
2016-08-29,51.55
2016-08-30,48.95
2016-08-31,49.95
2016-09-01,49.85
2016-09-02,49.15
2016-09-06,49.4
2016-09-07,49.0
2016-09-08,52.55
2016-09-09,52.3
2016-09-12,51.45
2016-09-14,53.6
2016-09-15,52.45
2016-09-16,53.45
2016-09-19,55.2
2016-09-20,57.5
2016-09-21,57.1
2016-09-22,57.8
2016-09-23,60.1
2016-09-26,62.9
2016-09-27,71.0
2016-09-28,68.6
2016-09-29,60.25
2016-09-30,68.5
2016-10-03,67.05
2016-10-04,68.85
2016-10-05,67.85
2016-10-06,66.25
2016-10-07,64.55
2016-10-10,65.9
2016-10-13,63.2
2016-10-14,63.95
2016-10-17,61.8
2016-10-18,65.2
2016-10-19,63.9
2016-10-20,64.0
2016-10-21,63.85
2016-10-24,63.8
2016-10-25,64.9
2016-10-26,64.7
2016-10-27,63.5
2016-10-28,62.9
2016-10-30,63.7
2016-11-01,62.4
2016-11-02,61.35
2016-11-03,61.05
2016-11-04,58.2
2016-11-07,59.1
2016-11-08,58.7
2016-11-09,54.05
2016-11-10,58.45
2016-11-11,56.35
2016-11-15,51.35
2016-11-16,50.2
2016-11-17,48.5
2016-11-18,48.85
2016-11-21,46.35
2016-11-22,46.05
2016-11-23,47.5
2016-11-24,48.75
2016-11-25,51.95
2016-11-28,62.3
2016-11-29,56.65
2016-11-30,57.45
2016-12-01,54.6
2016-12-02,52.7
2016-12-05,54.3
2016-12-06,54.45
2016-12-07,54.45
2016-12-08,54.85
2016-12-09,54.8
2016-12-12,55.6
2016-12-13,56.35
2016-12-14,58.4
2016-12-15,56.4
2016-12-16,54.95
2016-12-19,54.55
2016-12-20,53.25
2016-12-21,53.15
2016-12-22,54.25
2016-12-23,53.6
2016-12-26,51.5
2016-12-27,51.95
2016-12-28,52.6
2016-12-29,53.75
2016-12-30,53.7
