Date,EXCELCROP
2016-01-01,1139.05
2016-01-04,1118.15
2016-01-05,1118.7
2016-01-06,1103.05
2016-01-07,1073.9
2016-01-08,1152.8
2016-01-11,1159.15
2016-01-12,1154.7
2016-01-13,1093.25
2016-01-14,1128.3
2016-01-15,1108.1
2016-01-18,1100.05
2016-01-19,1099.0
2016-01-20,1039.55
2016-01-21,1045.8
2016-01-22,1096.95
2016-01-25,1102.3
2016-01-27,1087.3
2016-01-28,1106.9
2016-01-29,1113.7
2016-02-01,1127.25
2016-02-02,1104.1
2016-02-03,1099.65
2016-02-04,1083.45
2016-02-05,1101.8
2016-02-08,1094.1
2016-02-09,1101.0
2016-02-10,1077.8
2016-02-11,979.05
2016-02-12,984.85
2016-02-15,956.4
2016-02-16,917.6
2016-02-17,910.0
2016-02-18,931.9
2016-02-19,966.0
2016-02-22,936.1
2016-02-23,922.65
2016-02-24,929.65
2016-02-25,957.45
2016-02-26,1049.3
2016-02-29,1032.15
2016-03-01,1045.8
2016-03-02,1088.7
2016-03-03,1067.2
2016-03-04,1063.5
2016-03-08,1070.7
2016-03-09,1039.5
2016-03-10,1040.45
2016-03-11,1040.3
2016-03-14,1111.05
2016-03-15,1089.6
2016-03-16,1077.8
2016-03-17,1095.65
2016-03-18,1110.85
2016-03-21,1169.25
2016-03-22,1199.15
2016-03-23,1183.25
2016-03-28,1126.25
2016-03-29,1146.5
2016-03-30,1158.3
2016-03-31,1206.2
2016-04-01,1160.7
2016-04-04,1161.9
2016-04-05,1144.8
2016-04-06,1135.85
2016-04-07,1142.1
2016-04-08,1140.75
2016-04-11,1152.1
2016-04-12,1157.85
2016-04-13,1165.15
2016-04-18,1161.9
2016-04-20,1148.2
2016-04-21,1160.1
2016-04-22,1156.65
2016-04-25,1162.75
2016-04-26,1165.1
2016-04-27,1160.9
2016-04-28,1158.4
2016-04-29,1149.05
2016-05-02,1139.65
2016-05-03,1148.6
2016-05-04,1136.15
2016-05-05,1154.75
2016-05-06,1150.2
2016-05-09,1145.0
2016-05-10,1143.25
2016-05-11,1139.65
2016-05-12,1147.25
2016-05-13,1142.45
2016-05-16,1133.15
2016-05-17,1123.25
2016-05-18,1103.55
2016-05-19,1102.6
2016-05-20,1103.2
2016-05-23,1141.55
2016-05-24,1140.05
2016-05-25,1154.6
2016-05-26,1162.5
2016-05-27,1155.8
2016-05-30,1157.85
2016-05-31,1189.25
2016-06-01,1187.65
2016-06-02,1186.0
2016-06-03,1224.65
2016-06-06,1222.65
2016-06-07,1225.05
2016-06-08,1227.1
2016-06-09,1225.25
2016-06-10,1230.05
2016-06-13,1230.0
2016-06-14,1232.15
2016-06-15,1233.8
2016-06-16,1236.6
2016-06-17,1237.55
2016-06-20,1238.15
2016-06-21,1242.4
2016-06-22,1243.9
2016-06-23,1242.6
2016-06-24,1243.65
2016-06-27,1243.85
2016-06-28,1241.2
2016-06-29,1239.8
2016-06-30,1241.0
2016-07-01,1244.5
2016-07-04,1241.4
2016-07-05,1245.1
2016-07-07,1247.05
2016-07-08,1251.0
2016-07-11,1257.0
2016-07-12,1254.85
2016-07-13,1257.75
2016-07-14,1255.45
2016-07-15,1259.3
2016-07-18,1265.95
2016-07-19,1260.45
2016-07-20,1269.45
2016-07-21,1243.6
2016-07-22,1239.0
2016-07-25,1239.55
2016-07-26,1240.05
2016-07-27,1239.55
2016-07-28,1250.3
2016-07-29,1242.5
2016-08-01,1241.65
2016-08-02,1242.5
2016-08-03,1240.1
2016-08-04,1240.05
2016-08-05,1240.1
2016-08-08,1245.3
2016-08-09,1250.05
2016-08-10,1250.9
2016-08-11,1250.05
2016-08-12,1245.7
2016-08-16,1250.0
2016-08-17,1245.65
2016-08-18,1247.8
2016-08-19,1247.0
2016-08-22,1248.25
2016-08-23,1246.95
2016-08-24,1252.95
2016-08-25,1253.8
2016-08-26,1253.65
2016-08-29,1253.2
2016-08-30,1253.75
2016-08-31,1257.9
2016-09-01,1253.05
2016-09-02,1263.5
2016-09-06,1254.35
2016-09-07,1250.55
2016-09-08,1251.9
2016-09-09,1270.0
2016-09-12,1369.9
2016-09-14,1406.5
2016-09-15,1442.65
2016-09-16,1404.95
2016-09-19,1396.7
2016-09-20,1392.5
2016-09-21,1374.6
2016-09-22,1375.25
2016-09-23,1358.1
2016-09-26,1360.6
2016-09-27,1360.7
2016-09-28,1353.25
2016-09-29,1330.25
2016-09-30,1289.65
2016-10-03,1322.5
2016-10-04,1356.55
2016-10-05,1372.15
2016-10-06,1401.8
2016-10-07,1418.6
2016-10-10,1476.7
2016-10-13,1474.6
2016-10-14,1470.3
2016-10-17,1468.75
2016-10-18,1521.85
2016-10-19,1677.95
2016-10-20,1716.85
2016-10-21,1732.85
2016-10-24,1853.55
2016-10-25,1809.95
2016-10-26,1785.6
2016-10-27,1901.75
2016-10-28,1906.55
2016-10-30,1938.6
2016-11-01,1992.4
2016-11-02,1946.5
2016-11-03,1925.75
2016-11-04,1852.4
2016-11-07,1892.65
2016-11-08,1861.2
2016-11-09,1847.3
2016-11-10,1860.05
2016-11-11,1838.4
2016-11-15,1801.1
2016-11-16,1818.45
2016-11-17,1726.1
2016-11-18,1752.75
2016-11-21,1678.1
2016-11-22,1694.45
2016-11-23,1705.75
2016-11-24,1684.8
2016-11-25,1792.75
2016-11-28,1794.65
2016-11-29,1792.3
2016-11-30,1847.85
2016-12-01,1872.9
2016-12-02,1818.3
2016-12-05,1835.7
2016-12-06,1752.25
2016-12-07,1724.5
2016-12-08,1776.2
2016-12-09,1795.55
2016-12-12,1778.45
2016-12-13,1784.85
2016-12-14,1768.95
2016-12-15,1768.9
2016-12-16,1712.55
2016-12-19,1697.05
2016-12-20,1634.25
2016-12-21,1627.35
2016-12-22,1687.6
2016-12-23,1696.9
2016-12-26,1644.7
2016-12-27,1644.75
2016-12-28,1662.05
2016-12-29,1665.35
2016-12-30,1703.1
