Date,GIPCL
2016-01-01,83.15
2016-01-04,84.2
2016-01-05,84.2
2016-01-06,85.9
2016-01-07,85.1
2016-01-08,90.35
2016-01-11,90.2
2016-01-12,88.3
2016-01-13,88.35
2016-01-14,86.35
2016-01-15,84.05
2016-01-18,82.05
2016-01-19,81.5
2016-01-20,77.55
2016-01-21,77.6
2016-01-22,79.8
2016-01-25,80.95
2016-01-27,80.7
2016-01-28,80.45
2016-01-29,83.0
2016-02-01,83.05
2016-02-02,82.5
2016-02-03,83.0
2016-02-04,81.7
2016-02-05,83.3
2016-02-08,83.4
2016-02-09,83.1
2016-02-10,83.0
2016-02-11,81.7
2016-02-12,78.65
2016-02-15,80.25
2016-02-16,79.0
2016-02-17,77.95
2016-02-18,77.0
2016-02-19,76.95
2016-02-22,76.05
2016-02-23,75.7
2016-02-24,76.0
2016-02-25,76.05
2016-02-26,76.9
2016-02-29,76.65
2016-03-01,77.95
2016-03-02,78.1
2016-03-03,78.35
2016-03-04,78.8
2016-03-08,79.25
2016-03-09,78.9
2016-03-10,77.9
2016-03-11,77.8
2016-03-14,77.25
2016-03-15,75.1
2016-03-16,81.8
2016-03-17,79.05
2016-03-18,78.35
2016-03-21,77.4
2016-03-22,79.95
2016-03-23,80.0
2016-03-28,80.15
2016-03-29,79.3
2016-03-30,80.3
2016-03-31,79.65
2016-04-01,79.5
2016-04-04,82.8
2016-04-05,81.15
2016-04-06,80.95
2016-04-07,80.9
2016-04-08,80.6
2016-04-11,83.0
2016-04-12,82.6
2016-04-13,82.2
2016-04-18,81.95
2016-04-20,82.6
2016-04-21,81.8
2016-04-22,81.8
2016-04-25,82.05
2016-04-26,81.75
2016-04-27,82.3
2016-04-28,80.85
2016-04-29,81.1
2016-05-02,80.7
2016-05-03,82.3
2016-05-04,80.9
2016-05-05,81.05
2016-05-06,81.95
2016-05-09,82.9
2016-05-10,83.25
2016-05-11,82.9
2016-05-12,82.3
2016-05-13,83.4
2016-05-16,84.35
2016-05-17,86.1
2016-05-18,84.95
2016-05-19,84.2
2016-05-20,83.3
2016-05-23,82.7
2016-05-24,81.45
2016-05-25,83.25
2016-05-26,83.75
2016-05-27,83.8
2016-05-30,87.1
2016-05-31,84.95
2016-06-01,87.5
2016-06-02,88.55
2016-06-03,86.15
2016-06-06,86.05
2016-06-07,87.55
2016-06-08,88.75
2016-06-09,88.5
2016-06-10,88.05
2016-06-13,88.25
2016-06-14,88.15
2016-06-15,89.05
2016-06-16,87.7
2016-06-17,87.8
2016-06-20,87.6
2016-06-21,87.5
2016-06-22,87.6
2016-06-23,87.55
2016-06-24,86.1
2016-06-27,86.65
2016-06-28,88.25
2016-06-29,93.8
2016-06-30,92.75
2016-07-01,93.5
2016-07-04,94.2
2016-07-05,91.55
2016-07-07,91.15
2016-07-08,89.55
2016-07-11,89.55
2016-07-12,89.65
2016-07-13,92.45
2016-07-14,91.85
2016-07-15,90.7
2016-07-18,88.95
2016-07-19,89.85
2016-07-20,90.05
2016-07-21,89.05
2016-07-22,90.4
2016-07-25,90.3
2016-07-26,90.45
2016-07-27,90.25
2016-07-28,89.95
2016-07-29,90.0
2016-08-01,89.55
2016-08-02,90.05
2016-08-03,90.55
2016-08-04,90.25
2016-08-05,90.9
2016-08-08,92.45
2016-08-09,94.45
2016-08-10,92.8
2016-08-11,92.6
2016-08-12,92.2
2016-08-16,93.2
2016-08-17,93.15
2016-08-18,90.5
2016-08-19,90.0
2016-08-22,89.9
2016-08-23,91.05
2016-08-24,90.25
2016-08-25,91.0
2016-08-26,91.2
2016-08-29,90.45
2016-08-30,89.7
2016-08-31,88.45
2016-09-01,86.85
2016-09-02,85.55
2016-09-06,86.25
2016-09-07,89.05
2016-09-08,90.15
2016-09-09,88.75
2016-09-12,87.65
2016-09-14,87.75
2016-09-15,87.75
2016-09-16,87.55
2016-09-19,87.45
2016-09-20,87.85
2016-09-21,86.75
2016-09-22,87.25
2016-09-23,86.9
2016-09-26,86.8
2016-09-27,86.35
2016-09-28,86.5
2016-09-29,86.95
2016-09-30,86.1
2016-10-03,87.45
2016-10-04,89.35
2016-10-05,91.05
2016-10-06,91.95
2016-10-07,92.05
2016-10-10,91.95
2016-10-13,88.8
2016-10-14,88.1
2016-10-17,87.55
2016-10-18,89.45
2016-10-19,89.9
2016-10-20,91.95
2016-10-21,92.0
2016-10-24,92.5
2016-10-25,93.3
2016-10-26,92.95
2016-10-27,91.6
2016-10-28,92.45
2016-10-30,98.2
2016-11-01,98.9
2016-11-02,96.85
2016-11-03,95.55
2016-11-04,92.7
2016-11-07,99.7
2016-11-08,98.9
2016-11-09,104.35
2016-11-10,104.5
2016-11-11,105.55
2016-11-15,99.35
2016-11-16,94.5
2016-11-17,96.45
2016-11-18,96.5
2016-11-21,92.4
2016-11-22,95.25
2016-11-23,94.55
2016-11-24,94.1
2016-11-25,95.35
2016-11-28,95.9
2016-11-29,97.65
2016-11-30,102.2
2016-12-01,98.5
2016-12-02,101.05
2016-12-05,102.5
2016-12-06,102.0
2016-12-07,101.05
2016-12-08,101.95
2016-12-09,100.85
2016-12-12,102.2
2016-12-13,99.65
2016-12-14,97.95
2016-12-15,97.85
2016-12-16,98.65
2016-12-19,97.75
2016-12-20,100.5
2016-12-21,98.6
2016-12-22,96.7
2016-12-23,94.25
2016-12-26,93.05
2016-12-27,93.75
2016-12-28,94.35
2016-12-29,94.95
2016-12-30,95.7
