Date,HIL
2016-01-01,613.25
2016-01-04,609.6
2016-01-05,612.65
2016-01-06,622.85
2016-01-07,610.2
2016-01-08,621.55
2016-01-11,615.8
2016-01-12,611.8
2016-01-13,593.95
2016-01-14,599.05
2016-01-15,584.9
2016-01-18,574.5
2016-01-19,566.4
2016-01-20,561.6
2016-01-21,560.4
2016-01-22,569.15
2016-01-25,569.3
2016-01-27,565.8
2016-01-28,569.7
2016-01-29,564.55
2016-02-01,569.65
2016-02-02,569.3
2016-02-03,535.15
2016-02-04,561.25
2016-02-05,530.35
2016-02-08,527.5
2016-02-09,518.25
2016-02-10,509.35
2016-02-11,485.35
2016-02-12,460.95
2016-02-15,473.55
2016-02-16,455.75
2016-02-17,451.2
2016-02-18,449.7
2016-02-19,453.8
2016-02-22,451.2
2016-02-23,441.65
2016-02-24,433.5
2016-02-25,425.75
2016-02-26,425.5
2016-02-29,438.15
2016-03-01,453.2
2016-03-02,477.05
2016-03-03,499.8
2016-03-04,496.2
2016-03-08,494.65
2016-03-09,492.55
2016-03-10,495.1
2016-03-11,489.4
2016-03-14,481.6
2016-03-15,471.6
2016-03-16,474.6
2016-03-17,477.4
2016-03-18,475.6
2016-03-21,517.7
2016-03-22,537.45
2016-03-23,533.6
2016-03-28,523.2
2016-03-29,495.75
2016-03-30,503.2
2016-03-31,515.4
2016-04-01,521.85
2016-04-04,526.35
2016-04-05,519.5
2016-04-06,533.9
2016-04-07,536.0
2016-04-08,544.5
2016-04-11,559.95
2016-04-12,564.1
2016-04-13,555.2
2016-04-18,560.35
2016-04-20,579.15
2016-04-21,566.85
2016-04-22,560.85
2016-04-25,566.9
2016-04-26,561.2
2016-04-27,568.9
2016-04-28,554.65
2016-04-29,562.6
2016-05-02,569.3
2016-05-03,567.5
2016-05-04,561.7
2016-05-05,557.85
2016-05-06,524.0
2016-05-09,515.45
2016-05-10,512.0
2016-05-11,512.4
2016-05-12,513.9
2016-05-13,516.5
2016-05-16,509.3
2016-05-17,524.8
2016-05-18,519.8
2016-05-19,526.05
2016-05-20,519.15
2016-05-23,512.6
2016-05-24,505.95
2016-05-25,509.25
2016-05-26,514.45
2016-05-27,528.35
2016-05-30,523.9
2016-05-31,520.25
2016-06-01,512.1
2016-06-02,526.55
2016-06-03,538.4
2016-06-06,531.4
2016-06-07,536.55
2016-06-08,540.9
2016-06-09,545.1
2016-06-10,543.2
2016-06-13,534.65
2016-06-14,535.85
2016-06-15,537.8
2016-06-16,540.0
2016-06-17,540.8
2016-06-20,546.2
2016-06-21,542.2
2016-06-22,550.9
2016-06-23,551.3
2016-06-24,533.6
2016-06-27,573.15
2016-06-28,578.15
2016-06-29,574.45
2016-06-30,579.4
2016-07-01,597.6
2016-07-04,615.4
2016-07-05,618.6
2016-07-07,617.6
2016-07-08,597.95
2016-07-11,609.25
2016-07-12,593.6
2016-07-13,593.65
2016-07-14,601.95
2016-07-15,600.05
2016-07-18,645.85
2016-07-19,642.2
2016-07-20,641.7
2016-07-21,630.15
2016-07-22,649.25
2016-07-25,633.5
2016-07-26,623.85
2016-07-27,630.95
2016-07-28,612.7
2016-07-29,611.85
2016-08-01,597.3
2016-08-02,587.85
2016-08-03,583.7
2016-08-04,589.05
2016-08-05,592.8
2016-08-08,591.35
2016-08-09,594.7
2016-08-10,591.0
2016-08-11,582.6
2016-08-12,584.7
2016-08-16,586.25
2016-08-17,582.75
2016-08-18,584.8
2016-08-19,593.75
2016-08-22,587.2
2016-08-23,594.5
2016-08-24,629.7
2016-08-25,615.4
2016-08-26,614.75
2016-08-29,617.55
2016-08-30,625.55
2016-08-31,622.4
2016-09-01,623.4
2016-09-02,624.85
2016-09-06,625.7
2016-09-07,629.2
2016-09-08,630.15
2016-09-09,630.15
2016-09-12,623.85
2016-09-14,630.75
2016-09-15,631.9
2016-09-16,632.4
2016-09-19,636.95
2016-09-20,630.4
2016-09-21,629.7
2016-09-22,623.25
2016-09-23,622.3
2016-09-26,617.1
2016-09-27,617.35
2016-09-28,620.85
2016-09-29,602.55
2016-09-30,614.45
2016-10-03,629.75
2016-10-04,639.55
2016-10-05,640.3
2016-10-06,629.05
2016-10-07,631.1
2016-10-10,650.9
2016-10-13,658.35
2016-10-14,683.0
2016-10-17,701.55
2016-10-18,689.05
2016-10-19,675.15
2016-10-20,685.1
2016-10-21,685.9
2016-10-24,678.75
2016-10-25,669.0
2016-10-26,658.9
2016-10-27,655.1
2016-10-28,682.55
2016-10-30,692.25
2016-11-01,688.3
2016-11-02,675.25
2016-11-03,659.25
2016-11-04,654.15
2016-11-07,673.05
2016-11-08,677.65
2016-11-09,654.4
2016-11-10,666.8
2016-11-11,645.35
2016-11-15,610.2
2016-11-16,610.8
2016-11-17,607.3
2016-11-18,609.0
2016-11-21,588.55
2016-11-22,585.65
2016-11-23,594.15
2016-11-24,605.15
2016-11-25,610.4
2016-11-28,606.0
2016-11-29,615.2
2016-11-30,618.55
2016-12-01,615.2
2016-12-02,607.4
2016-12-05,615.35
2016-12-06,619.65
2016-12-07,616.1
2016-12-08,619.1
2016-12-09,620.5
2016-12-12,623.65
2016-12-13,636.05
2016-12-14,622.2
2016-12-15,623.0
2016-12-16,614.0
2016-12-19,606.8
2016-12-20,601.65
2016-12-21,604.85
2016-12-22,597.1
2016-12-23,594.05
2016-12-26,588.9
2016-12-27,598.7
2016-12-28,602.9
2016-12-29,605.45
2016-12-30,608.55
