Date,INDSWFTLAB
2016-01-01,37.9
2016-01-04,39.55
2016-01-05,39.9
2016-01-06,41.95
2016-01-07,39.25
2016-01-08,44.25
2016-01-11,50.6
2016-01-12,53.85
2016-01-13,48.5
2016-01-14,43.85
2016-01-15,39.9
2016-01-18,37.95
2016-01-19,37.95
2016-01-20,36.1
2016-01-21,34.9
2016-01-22,35.85
2016-01-25,37.6
2016-01-27,39.45
2016-01-28,41.4
2016-01-29,43.45
2016-02-01,42.55
2016-02-02,41.25
2016-02-03,40.35
2016-02-04,40.05
2016-02-05,41.2
2016-02-08,43.5
2016-02-09,43.45
2016-02-10,39.55
2016-02-11,37.1
2016-02-12,37.75
2016-02-15,40.15
2016-02-16,37.55
2016-02-17,38.25
2016-02-18,37.85
2016-02-19,37.35
2016-02-22,36.7
2016-02-23,36.15
2016-02-24,37.45
2016-02-25,36.4
2016-02-26,35.9
2016-02-29,35.75
2016-03-01,38.8
2016-03-02,38.9
2016-03-03,39.5
2016-03-04,39.8
2016-03-08,41.35
2016-03-09,48.05
2016-03-10,50.4
2016-03-11,49.25
2016-03-14,49.5
2016-03-15,47.3
2016-03-16,46.4
2016-03-17,45.7
2016-03-18,43.8
2016-03-21,47.2
2016-03-22,47.15
2016-03-23,47.05
2016-03-28,45.65
2016-03-29,42.6
2016-03-30,46.95
2016-03-31,46.15
2016-04-01,46.5
2016-04-04,46.5
2016-04-05,44.75
2016-04-06,45.6
2016-04-07,44.85
2016-04-08,44.3
2016-04-11,44.85
2016-04-12,46.25
2016-04-13,45.1
2016-04-18,44.1
2016-04-20,44.1
2016-04-21,43.45
2016-04-22,43.65
2016-04-25,42.4
2016-04-26,42.8
2016-04-27,42.25
2016-04-28,42.55
2016-04-29,41.05
2016-05-02,41.0
2016-05-03,43.95
2016-05-04,42.15
2016-05-05,41.95
2016-05-06,41.4
2016-05-09,41.65
2016-05-10,40.9
2016-05-11,40.55
2016-05-12,41.05
2016-05-13,39.8
2016-05-16,39.85
2016-05-17,39.55
2016-05-18,39.3
2016-05-19,38.9
2016-05-20,38.3
2016-05-23,37.6
2016-05-24,37.05
2016-05-25,38.2
2016-05-26,41.0
2016-05-27,40.05
2016-05-30,39.1
2016-05-31,39.3
2016-06-01,40.15
2016-06-02,44.4
2016-06-03,41.6
2016-06-06,41.15
2016-06-07,41.1
2016-06-08,41.25
2016-06-09,41.2
2016-06-10,41.0
2016-06-13,40.95
2016-06-14,41.1
2016-06-15,40.45
2016-06-16,39.95
2016-06-17,39.7
2016-06-20,40.35
2016-06-21,40.1
2016-06-22,39.65
2016-06-23,39.55
2016-06-24,39.0
2016-06-27,39.25
2016-06-28,38.45
2016-06-29,39.45
2016-06-30,39.4
2016-07-01,40.35
2016-07-04,41.05
2016-07-05,39.6
2016-07-07,39.6
2016-07-08,39.85
2016-07-11,39.95
2016-07-12,40.25
2016-07-13,39.7
2016-07-14,39.6
2016-07-15,39.1
2016-07-18,38.55
2016-07-19,38.75
2016-07-20,40.45
2016-07-21,39.35
2016-07-22,39.05
2016-07-25,40.05
2016-07-26,39.6
2016-07-27,39.05
2016-07-28,39.15
2016-07-29,38.9
2016-08-01,38.75
2016-08-02,38.3
2016-08-03,37.95
2016-08-04,38.15
2016-08-05,37.95
2016-08-08,38.05
2016-08-09,37.8
2016-08-10,37.55
2016-08-11,37.0
2016-08-12,36.55
2016-08-16,36.3
2016-08-17,36.05
2016-08-18,35.1
2016-08-19,35.7
2016-08-22,35.2
2016-08-23,35.05
2016-08-24,35.35
2016-08-25,35.95
2016-08-26,36.85
2016-08-29,37.5
2016-08-30,37.1
2016-08-31,36.55
2016-09-01,35.5
2016-09-02,36.2
2016-09-06,36.1
2016-09-07,36.6
2016-09-08,38.5
2016-09-09,38.6
2016-09-12,37.95
2016-09-14,38.25
2016-09-15,38.3
2016-09-16,37.4
2016-09-19,37.4
2016-09-20,39.15
2016-09-21,38.9
2016-09-22,38.35
2016-09-23,37.65
2016-09-26,36.55
2016-09-27,38.35
2016-09-28,41.6
2016-09-29,36.9
2016-09-30,37.75
2016-10-03,42.3
2016-10-04,40.85
2016-10-05,41.2
2016-10-06,39.05
2016-10-07,39.05
2016-10-10,43.1
2016-10-13,40.5
2016-10-14,41.0
2016-10-17,40.5
2016-10-18,40.3
2016-10-19,42.6
2016-10-20,43.3
2016-10-21,42.25
2016-10-24,41.75
2016-10-25,41.75
2016-10-26,41.25
2016-10-27,40.45
2016-10-28,43.6
2016-10-30,44.15
2016-11-01,42.65
2016-11-02,41.4
2016-11-03,43.15
2016-11-04,41.15
2016-11-07,41.15
2016-11-08,41.2
2016-11-09,39.05
2016-11-10,40.9
2016-11-11,38.95
2016-11-15,36.5
2016-11-16,36.1
2016-11-17,35.95
2016-11-18,35.5
2016-11-21,34.25
2016-11-22,34.85
2016-11-23,35.4
2016-11-24,35.3
2016-11-25,36.2
2016-11-28,37.25
2016-11-29,37.35
2016-11-30,39.05
2016-12-01,38.3
2016-12-02,36.45
2016-12-05,36.4
2016-12-06,36.35
2016-12-07,37.0
2016-12-08,37.3
2016-12-09,37.15
2016-12-12,37.45
2016-12-13,37.9
2016-12-14,37.8
2016-12-15,37.0
2016-12-16,36.7
2016-12-19,38.1
2016-12-20,36.4
2016-12-21,36.7
2016-12-22,36.4
2016-12-23,35.7
2016-12-26,34.75
2016-12-27,35.6
2016-12-28,35.6
2016-12-29,35.3
2016-12-30,36.2
