Date,INTELLECT
2016-01-01,283.15
2016-01-04,275.85
2016-01-05,274.15
2016-01-06,263.05
2016-01-07,253.4
2016-01-08,260.7
2016-01-11,253.35
2016-01-12,251.3
2016-01-13,243.0
2016-01-14,235.75
2016-01-15,220.1
2016-01-18,204.0
2016-01-19,220.95
2016-01-20,209.9
2016-01-21,229.3
2016-01-22,234.4
2016-01-25,222.85
2016-01-27,239.9
2016-01-28,239.4
2016-01-29,231.1
2016-02-01,233.35
2016-02-02,224.8
2016-02-03,217.1
2016-02-04,209.95
2016-02-05,220.8
2016-02-08,216.55
2016-02-09,207.7
2016-02-10,197.15
2016-02-11,180.4
2016-02-12,191.8
2016-02-15,197.7
2016-02-16,186.25
2016-02-17,191.6
2016-02-18,191.85
2016-02-19,192.5
2016-02-22,191.2
2016-02-23,183.55
2016-02-24,178.45
2016-02-25,170.9
2016-02-26,166.4
2016-02-29,162.5
2016-03-01,178.95
2016-03-02,182.55
2016-03-03,184.35
2016-03-04,191.4
2016-03-08,192.15
2016-03-09,192.0
2016-03-10,203.0
2016-03-11,203.25
2016-03-14,204.65
2016-03-15,206.65
2016-03-16,203.8
2016-03-17,201.2
2016-03-18,202.55
2016-03-21,201.85
2016-03-22,204.05
2016-03-23,212.2
2016-03-28,214.85
2016-03-29,215.1
2016-03-30,227.1
2016-03-31,225.85
2016-04-01,237.4
2016-04-04,233.35
2016-04-05,223.2
2016-04-06,236.45
2016-04-07,232.9
2016-04-08,234.8
2016-04-11,233.55
2016-04-12,240.0
2016-04-13,241.1
2016-04-18,244.1
2016-04-20,241.05
2016-04-21,230.0
2016-04-22,229.15
2016-04-25,226.6
2016-04-26,232.55
2016-04-27,231.35
2016-04-28,229.0
2016-04-29,230.3
2016-05-02,234.45
2016-05-03,223.75
2016-05-04,212.85
2016-05-05,218.7
2016-05-06,213.35
2016-05-09,216.5
2016-05-10,213.35
2016-05-11,210.25
2016-05-12,213.25
2016-05-13,207.85
2016-05-16,205.85
2016-05-17,207.6
2016-05-18,219.7
2016-05-19,212.55
2016-05-20,209.05
2016-05-23,207.7
2016-05-24,204.05
2016-05-25,211.5
2016-05-26,212.3
2016-05-27,217.25
2016-05-30,215.65
2016-05-31,211.55
2016-06-01,211.95
2016-06-02,208.9
2016-06-03,203.45
2016-06-06,205.3
2016-06-07,208.65
2016-06-08,209.45
2016-06-09,212.75
2016-06-10,212.4
2016-06-13,207.05
2016-06-14,206.35
2016-06-15,207.65
2016-06-16,203.7
2016-06-17,203.5
2016-06-20,204.0
2016-06-21,203.3
2016-06-22,201.9
2016-06-23,195.1
2016-06-24,196.2
2016-06-27,205.5
2016-06-28,203.9
2016-06-29,203.95
2016-06-30,203.7
2016-07-01,214.65
2016-07-04,210.65
2016-07-05,215.3
2016-07-07,217.9
2016-07-08,213.85
2016-07-11,218.35
2016-07-12,212.9
2016-07-13,209.0
2016-07-14,212.0
2016-07-15,206.35
2016-07-18,201.15
2016-07-19,197.35
2016-07-20,211.2
2016-07-21,207.95
2016-07-22,208.3
2016-07-25,214.7
2016-07-26,219.5
2016-07-27,224.5
2016-07-28,226.55
2016-07-29,219.65
2016-08-01,214.15
2016-08-02,214.2
2016-08-03,208.05
2016-08-04,210.55
2016-08-05,212.7
2016-08-08,214.1
2016-08-09,205.6
2016-08-10,192.35
2016-08-11,183.3
2016-08-12,187.75
2016-08-16,191.95
2016-08-17,195.05
2016-08-18,193.6
2016-08-19,192.95
2016-08-22,191.1
2016-08-23,195.25
2016-08-24,194.45
2016-08-25,190.35
2016-08-26,186.8
2016-08-29,188.35
2016-08-30,189.9
2016-08-31,188.05
2016-09-01,183.85
2016-09-02,191.55
2016-09-06,195.4
2016-09-07,196.65
2016-09-08,202.55
2016-09-09,207.55
2016-09-12,197.75
2016-09-14,204.8
2016-09-15,200.0
2016-09-16,200.05
2016-09-19,196.9
2016-09-20,195.3
2016-09-21,191.55
2016-09-22,189.9
2016-09-23,186.95
2016-09-26,186.85
2016-09-27,186.8
2016-09-28,185.75
2016-09-29,174.7
2016-09-30,173.55
2016-10-03,178.85
2016-10-04,182.3
2016-10-05,181.4
2016-10-06,178.15
2016-10-07,177.8
2016-10-10,182.15
2016-10-13,176.75
2016-10-14,176.35
2016-10-17,181.35
2016-10-18,183.2
2016-10-19,181.6
2016-10-20,183.7
2016-10-21,182.7
2016-10-24,181.2
2016-10-25,179.3
2016-10-26,180.25
2016-10-27,180.55
2016-10-28,188.4
2016-10-30,188.85
2016-11-01,188.45
2016-11-02,183.25
2016-11-03,168.55
2016-11-04,159.75
2016-11-07,158.1
2016-11-08,153.55
2016-11-09,146.55
2016-11-10,150.5
2016-11-11,141.4
2016-11-15,131.45
2016-11-16,137.85
2016-11-17,133.3
2016-11-18,132.05
2016-11-21,120.5
2016-11-22,122.9
2016-11-23,131.1
2016-11-24,136.95
2016-11-25,142.2
2016-11-28,142.6
2016-11-29,140.3
2016-11-30,143.3
2016-12-01,149.25
2016-12-02,144.65
2016-12-05,144.15
2016-12-06,146.4
2016-12-07,143.8
2016-12-08,145.4
2016-12-09,172.1
2016-12-12,165.0
2016-12-13,169.8
2016-12-14,166.4
2016-12-15,161.45
2016-12-16,154.5
2016-12-19,150.6
2016-12-20,145.8
2016-12-21,141.9
2016-12-22,136.35
2016-12-23,136.25
2016-12-26,130.0
2016-12-27,132.6
2016-12-28,135.45
2016-12-29,139.6
2016-12-30,139.7
