Date,JMA
2016-01-01,187.5
2016-01-04,189.7
2016-01-05,204.4
2016-01-06,205.0
2016-01-07,201.9
2016-01-08,202.1
2016-01-11,207.0
2016-01-12,202.7
2016-01-13,191.85
2016-01-14,198.05
2016-01-15,185.8
2016-01-18,175.7
2016-01-19,180.0
2016-01-20,170.15
2016-01-21,174.7
2016-01-22,176.05
2016-01-25,184.05
2016-01-27,182.1
2016-01-28,182.0
2016-01-29,182.65
2016-02-01,182.0
2016-02-02,180.25
2016-02-03,180.3
2016-02-04,182.1
2016-02-05,183.95
2016-02-08,186.0
2016-02-09,185.8
2016-02-10,180.0
2016-02-11,168.35
2016-02-12,165.85
2016-02-15,183.9
2016-02-16,180.8
2016-02-17,174.35
2016-02-18,178.7
2016-02-19,173.4
2016-02-22,179.55
2016-02-23,174.7
2016-02-24,174.65
2016-02-25,179.25
2016-02-26,179.0
2016-02-29,169.15
2016-03-01,171.95
2016-03-02,177.95
2016-03-03,177.4
2016-03-04,177.0
2016-03-08,180.0
2016-03-09,179.15
2016-03-10,182.5
2016-03-11,184.9
2016-03-14,180.7
2016-03-15,180.5
2016-03-16,177.55
2016-03-17,180.5
2016-03-18,176.75
2016-03-21,180.0
2016-03-22,177.85
2016-03-23,178.0
2016-03-28,179.0
2016-03-29,191.55
2016-03-30,189.95
2016-03-31,183.35
2016-04-01,182.65
2016-04-04,181.1
2016-04-05,184.7
2016-04-06,183.8
2016-04-07,184.35
2016-04-08,184.9
2016-04-11,184.35
2016-04-12,183.35
2016-04-13,186.05
2016-04-18,180.0
2016-04-20,182.4
2016-04-21,184.5
2016-04-22,184.2
2016-04-25,180.6
2016-04-27,177.3
2016-04-29,180.0
2016-05-02,175.0
2016-05-03,177.0
2016-05-04,177.0
2016-05-05,177.2
2016-05-06,180.5
2016-05-09,180.0
2016-05-10,179.9
2016-05-11,178.35
2016-05-12,180.0
2016-05-13,177.0
2016-05-16,182.0
2016-05-17,181.95
2016-05-18,181.95
2016-05-19,180.0
2016-05-20,180.05
2016-05-23,179.0
2016-05-24,174.0
2016-05-25,179.35
2016-05-26,175.75
2016-05-27,181.0
2016-05-30,182.0
2016-05-31,183.0
2016-06-01,180.1
2016-06-02,184.0
2016-06-03,187.1
2016-06-06,191.55
2016-06-07,185.0
2016-06-08,194.3
2016-06-09,187.8
2016-06-13,185.45
2016-06-14,184.0
2016-06-15,189.15
2016-06-16,201.8
2016-06-17,199.95
2016-06-20,195.15
2016-06-21,199.0
2016-06-22,194.0
2016-06-23,192.1
2016-06-24,192.0
2016-06-27,190.25
2016-06-28,194.8
2016-06-29,198.75
2016-06-30,196.15
2016-07-01,195.05
2016-07-04,200.05
2016-07-05,193.3
2016-07-07,193.25
2016-07-08,191.75
2016-07-11,191.4
2016-07-13,191.8
2016-07-14,189.45
2016-07-15,188.7
2016-07-18,191.3
2016-07-19,188.5
2016-07-20,201.15
2016-07-21,200.1
2016-07-22,208.4
2016-07-25,204.85
2016-07-26,197.0
2016-07-27,200.15
2016-07-28,210.0
2016-07-29,212.5
2016-08-01,212.75
2016-08-02,211.55
2016-08-03,205.55
2016-08-04,201.05
2016-08-05,202.6
2016-08-08,198.75
2016-08-09,201.15
2016-08-10,196.4
2016-08-11,196.05
2016-08-12,200.0
2016-08-16,198.15
2016-08-17,203.8
2016-08-18,199.0
2016-08-19,202.95
2016-08-22,200.0
2016-08-23,196.0
2016-08-24,195.0
2016-08-25,208.1
2016-08-26,202.0
2016-08-29,206.65
2016-08-30,201.7
2016-08-31,202.65
2016-09-01,201.5
2016-09-02,204.0
2016-09-06,203.0
2016-09-07,210.5
2016-09-08,207.7
2016-09-09,205.15
2016-09-12,204.95
2016-09-14,206.0
2016-09-15,191.25
2016-09-16,198.1
2016-09-19,198.5
2016-09-20,195.0
2016-09-21,194.1
2016-09-22,196.45
2016-09-23,196.0
2016-09-26,198.0
2016-09-27,200.85
2016-09-28,193.0
2016-09-29,189.75
2016-09-30,190.2
2016-10-03,194.0
2016-10-04,195.4
2016-10-05,194.1
2016-10-06,192.0
2016-10-07,194.0
2016-10-10,196.3
2016-10-13,194.9
2016-10-14,194.1
2016-10-17,195.9
2016-10-18,198.3
2016-10-19,200.0
2016-10-20,196.05
2016-10-21,196.45
2016-10-24,202.2
2016-10-25,204.5
2016-10-26,200.0
2016-10-27,200.0
2016-10-28,198.0
2016-10-30,199.0
2016-11-01,201.0
2016-11-02,200.0
2016-11-03,197.85
2016-11-04,194.6
2016-11-07,195.0
2016-11-08,195.0
2016-11-09,188.0
2016-11-10,191.0
2016-11-11,190.0
2016-11-15,189.8
2016-11-16,180.5
2016-11-17,184.5
2016-11-18,182.0
2016-11-21,178.05
2016-11-22,180.0
2016-11-23,179.6
2016-11-24,179.85
2016-11-25,180.4
2016-11-28,183.0
2016-11-29,182.6
2016-11-30,180.2
2016-12-01,177.55
2016-12-02,177.6
2016-12-05,180.0
2016-12-06,177.0
2016-12-08,178.85
2016-12-09,182.1
2016-12-12,182.95
2016-12-14,178.5
2016-12-15,182.0
2016-12-16,178.0
2016-12-19,179.0
2016-12-20,177.65
2016-12-21,172.65
2016-12-22,171.45
2016-12-23,170.0
2016-12-26,164.45
2016-12-27,171.0
2016-12-28,176.0
2016-12-29,175.0
2016-12-30,178.9
