Date,KICL
2016-01-01,1622.0
2016-01-04,1593.3
2016-01-05,1598.9
2016-01-06,1618.95
2016-01-07,1831.15
2016-01-08,1765.2
2016-01-11,1711.45
2016-01-12,1669.65
2016-01-13,1620.0
2016-01-14,1626.7
2016-01-15,1546.05
2016-01-18,1544.6
2016-01-19,1550.0
2016-01-20,1476.0
2016-01-21,1525.35
2016-01-22,1525.95
2016-01-25,1545.0
2016-01-27,1540.0
2016-01-28,1515.05
2016-01-29,1515.15
2016-02-01,1559.85
2016-02-02,1550.0
2016-02-03,1542.7
2016-02-04,1477.3
2016-02-05,1475.0
2016-02-08,1470.45
2016-02-09,1433.65
2016-02-10,1462.0
2016-02-11,1461.15
2016-02-12,1462.05
2016-02-15,1535.0
2016-02-16,1500.0
2016-02-17,1500.0
2016-02-18,1500.0
2016-02-19,1455.1
2016-02-22,1498.7
2016-02-23,1482.55
2016-02-24,1446.15
2016-02-25,1475.7
2016-02-26,1446.1
2016-02-29,1450.0
2016-03-01,1499.4
2016-03-02,1500.0
2016-03-03,1575.05
2016-03-04,1577.8
2016-03-08,1600.0
2016-03-09,1625.0
2016-03-10,1610.0
2016-03-11,1599.2
2016-03-14,1590.0
2016-03-15,1550.35
2016-03-16,1636.3
2016-03-17,1620.6
2016-03-18,1616.1
2016-03-21,1650.0
2016-03-22,1701.9
2016-03-23,1732.6
2016-03-28,1630.0
2016-03-29,1699.65
2016-03-30,1680.0
2016-03-31,1700.0
2016-04-01,1640.0
2016-04-04,1646.5
2016-04-05,1650.0
2016-04-06,1646.0
2016-04-07,1623.35
2016-04-08,1644.7
2016-04-11,1650.0
2016-04-12,1618.4
2016-04-13,1636.4
2016-04-18,1658.8
2016-04-20,1658.55
2016-04-21,1630.0
2016-04-22,1635.0
2016-04-25,1633.2
2016-04-26,1650.0
2016-04-27,1664.1
2016-04-28,1659.15
2016-04-29,1626.1
2016-05-02,1678.1
2016-05-03,1668.5
2016-05-04,1627.3
2016-05-05,1487.6
2016-05-06,1709.1
2016-05-09,1776.2
2016-05-10,1793.25
2016-05-11,1826.35
2016-05-12,1861.85
2016-05-13,1863.25
2016-05-16,1750.9
2016-05-17,1751.0
2016-05-18,1777.0
2016-05-19,1741.35
2016-05-20,1621.55
2016-05-23,1562.7
2016-05-24,1545.1
2016-05-25,1600.0
2016-05-26,1613.65
2016-05-27,1619.25
2016-05-30,1630.55
2016-05-31,1657.0
2016-06-01,1660.0
2016-06-02,1640.05
2016-06-03,1651.0
2016-06-06,1660.6
2016-06-07,1675.45
2016-06-08,1697.85
2016-06-09,1699.0
2016-06-10,1707.15
2016-06-13,1731.9
2016-06-14,1715.0
2016-06-15,1733.5
2016-06-16,1702.25
2016-06-17,1700.1
2016-06-20,1699.9
2016-06-21,1700.5
2016-06-22,1705.0
2016-06-23,1742.35
2016-06-24,1680.3
2016-06-27,1701.0
2016-06-28,1577.35
2016-06-29,1541.2
2016-06-30,1518.45
2016-07-01,1492.35
2016-07-04,1476.65
2016-07-05,1534.05
2016-07-07,1560.0
2016-07-08,1549.05
2016-07-11,1550.0
2016-07-12,1450.05
2016-07-13,1441.5
2016-07-14,1437.75
2016-07-15,1375.2
2016-07-18,1307.95
2016-07-19,1299.95
2016-07-20,1273.55
2016-07-21,1258.05
2016-07-22,1251.05
2016-07-25,1274.75
2016-07-26,1257.3
2016-07-27,1231.4
2016-07-28,1206.9
2016-07-29,1184.8
2016-08-01,1151.95
2016-08-02,1112.65
2016-08-03,1081.7
2016-08-04,1044.95
2016-08-05,1251.8
2016-08-08,1305.2
2016-08-09,1227.15
2016-08-10,1178.65
2016-08-11,1156.55
2016-08-12,1153.45
2016-08-16,1101.75
2016-08-17,1247.8
2016-08-18,1207.5
2016-08-19,1301.1
2016-08-22,1302.9
