Date,MARICO
2016-01-01,227.15
2016-01-04,225.3
2016-01-05,229.65
2016-01-06,226.85
2016-01-07,223.7
2016-01-08,228.2
2016-01-11,221.5
2016-01-12,221.05
2016-01-13,225.3
2016-01-14,225.15
2016-01-15,225.1
2016-01-18,219.65
2016-01-19,224.0
2016-01-20,226.1
2016-01-21,219.85
2016-01-22,219.3
2016-01-25,214.95
2016-01-27,213.6
2016-01-28,213.15
2016-01-29,221.65
2016-02-01,226.0
2016-02-02,222.75
2016-02-03,221.15
2016-02-04,225.1
2016-02-05,227.95
2016-02-08,233.25
2016-02-09,230.3
2016-02-10,228.4
2016-02-11,228.25
2016-02-12,228.25
2016-02-15,229.15
2016-02-16,221.4
2016-02-17,227.3
2016-02-18,231.35
2016-02-19,233.05
2016-02-22,241.15
2016-02-23,237.5
2016-02-24,236.45
2016-02-25,241.05
2016-02-26,237.55
2016-02-29,236.75
2016-03-01,235.75
2016-03-02,236.95
2016-03-03,239.2
2016-03-04,237.25
2016-03-08,238.35
2016-03-09,238.8
2016-03-10,237.65
2016-03-11,246.05
2016-03-14,250.85
2016-03-15,242.9
2016-03-16,240.2
2016-03-17,245.5
2016-03-18,247.7
2016-03-21,247.35
2016-03-22,245.05
2016-03-23,240.8
2016-03-28,237.8
2016-03-29,240.3
2016-03-30,247.2
2016-03-31,244.3
2016-04-01,242.0
2016-04-04,243.15
2016-04-05,245.0
2016-04-06,251.9
2016-04-07,247.15
2016-04-08,252.1
2016-04-11,254.05
2016-04-12,258.2
2016-04-13,251.4
2016-04-18,257.85
2016-04-20,253.45
2016-04-21,259.2
2016-04-22,259.0
2016-04-25,254.45
2016-04-26,251.55
2016-04-27,250.0
2016-04-28,251.15
2016-04-29,259.1
2016-05-02,267.4
2016-05-03,254.5
2016-05-04,250.5
2016-05-05,246.6
2016-05-06,245.2
2016-05-09,247.3
2016-05-10,250.1
2016-05-11,255.3
2016-05-12,254.3
2016-05-13,254.4
2016-05-16,251.6
2016-05-17,249.4
2016-05-18,251.1
2016-05-19,248.55
2016-05-20,243.15
2016-05-23,247.55
2016-05-24,245.8
2016-05-25,250.8
2016-05-26,253.75
2016-05-27,257.3
2016-05-30,253.7
2016-05-31,249.2
2016-06-01,251.55
2016-06-02,248.95
2016-06-03,254.0
2016-06-06,256.25
2016-06-07,255.8
2016-06-08,257.2
2016-06-09,250.5
2016-06-10,253.5
2016-06-13,252.75
2016-06-14,252.85
2016-06-15,251.95
2016-06-16,255.25
2016-06-17,256.0
2016-06-20,254.9
2016-06-21,256.2
2016-06-22,260.05
2016-06-23,260.15
2016-06-24,256.5
2016-06-27,256.7
2016-06-28,256.4
2016-06-29,259.2
2016-06-30,263.6
2016-07-01,268.25
2016-07-04,265.05
2016-07-05,271.8
2016-07-07,268.75
2016-07-08,264.1
2016-07-11,269.5
2016-07-12,273.45
2016-07-13,278.55
2016-07-14,278.4
2016-07-15,279.05
2016-07-18,279.95
2016-07-19,278.7
2016-07-20,277.2
2016-07-21,277.75
2016-07-22,277.05
2016-07-25,282.9
2016-07-26,287.1
2016-07-27,278.1
2016-07-28,283.3
2016-07-29,284.25
2016-08-01,286.55
2016-08-02,299.1
2016-08-03,297.8
2016-08-04,294.3
2016-08-05,296.65
2016-08-08,300.2
2016-08-09,294.45
2016-08-10,288.85
2016-08-11,295.7
2016-08-12,297.7
2016-08-16,295.9
2016-08-17,299.8
2016-08-18,300.55
2016-08-19,300.85
2016-08-22,293.85
2016-08-23,289.85
2016-08-24,291.3
2016-08-25,285.45
2016-08-26,284.25
2016-08-29,284.15
2016-08-30,287.15
2016-08-31,291.5
2016-09-01,294.4
2016-09-02,290.9
2016-09-06,298.7
2016-09-07,297.85
2016-09-08,300.05
2016-09-09,293.9
2016-09-12,288.55
2016-09-14,290.2
2016-09-15,290.95
2016-09-16,295.3
2016-09-19,293.45
2016-09-20,291.45
2016-09-21,288.05
2016-09-22,285.85
2016-09-23,284.45
2016-09-26,278.5
2016-09-27,278.7
2016-09-28,284.7
2016-09-29,270.8
2016-09-30,275.5
2016-10-03,282.0
2016-10-04,283.0
2016-10-05,286.4
2016-10-06,286.05
2016-10-07,279.25
2016-10-10,278.25
2016-10-13,277.95
2016-10-14,275.7
2016-10-17,276.0
2016-10-18,284.2
2016-10-19,286.95
2016-10-20,283.65
2016-10-21,284.95
2016-10-24,283.45
2016-10-25,285.05
2016-10-26,280.9
2016-10-27,278.55
2016-10-28,281.95
2016-10-30,278.2
2016-11-01,276.0
2016-11-02,268.6
2016-11-03,265.55
2016-11-04,261.6
2016-11-07,258.85
2016-11-08,260.35
2016-11-09,263.15
2016-11-10,267.1
2016-11-11,246.9
2016-11-15,239.65
2016-11-16,248.0
2016-11-17,249.15
2016-11-18,250.05
2016-11-21,249.65
2016-11-22,252.5
2016-11-23,255.3
2016-11-24,250.25
2016-11-25,255.15
2016-11-28,249.7
2016-11-29,248.0
2016-11-30,252.65
2016-12-01,255.3
2016-12-02,254.65
2016-12-05,254.15
2016-12-06,255.0
2016-12-07,256.0
2016-12-08,256.5
2016-12-09,253.8
2016-12-12,250.35
2016-12-13,251.6
2016-12-14,253.0
2016-12-15,253.15
2016-12-16,250.75
2016-12-19,250.0
2016-12-20,251.15
2016-12-21,249.0
2016-12-22,248.5
2016-12-23,245.4
2016-12-26,239.15
2016-12-27,245.6
2016-12-28,250.3
2016-12-29,251.6
2016-12-30,260.45
