Date,MARUTI
2016-01-01,4638.5
2016-01-04,4580.65
2016-01-05,4566.95
2016-01-06,4480.8
2016-01-07,4267.9
2016-01-08,4214.75
2016-01-11,4272.4
2016-01-12,4266.7
2016-01-13,4291.25
2016-01-14,4248.25
2016-01-15,4273.35
2016-01-18,4236.2
2016-01-19,4198.15
2016-01-20,4058.95
2016-01-21,3891.7
2016-01-22,4104.95
2016-01-25,4081.35
2016-01-27,4111.95
2016-01-28,4103.3
2016-01-29,4095.85
2016-02-01,3948.25
2016-02-02,3874.95
2016-02-03,3828.35
2016-02-04,3794.65
2016-02-05,3723.4
2016-02-08,3732.55
2016-02-09,3657.1
2016-02-10,3678.55
2016-02-11,3541.45
2016-02-12,3549.65
2016-02-15,3711.25
2016-02-16,3705.2
2016-02-17,3749.15
2016-02-18,3653.25
2016-02-19,3579.15
2016-02-22,3520.8
2016-02-23,3487.4
2016-02-24,3489.7
2016-02-25,3414.15
2016-02-26,3409.2
2016-02-29,3236.5
2016-03-01,3494.4
2016-03-02,3612.65
2016-03-03,3608.65
2016-03-04,3555.1
2016-03-08,3462.65
2016-03-09,3576.4
2016-03-10,3627.2
2016-03-11,3641.2
2016-03-14,3648.15
2016-03-15,3654.55
2016-03-16,3667.35
2016-03-17,3635.45
2016-03-18,3621.4
2016-03-21,3669.55
2016-03-22,3699.55
2016-03-23,3736.0
2016-03-28,3638.95
2016-03-29,3729.95
2016-03-30,3727.45
2016-03-31,3716.3
2016-04-01,3723.2
2016-04-04,3683.25
2016-04-05,3554.85
2016-04-06,3573.05
2016-04-07,3471.0
2016-04-08,3430.65
2016-04-11,3478.65
2016-04-12,3573.7
2016-04-13,3731.6
2016-04-18,3718.95
2016-04-20,3670.05
2016-04-21,3705.3
2016-04-22,3816.05
2016-04-25,3727.95
2016-04-26,3871.55
2016-04-27,3859.4
2016-04-28,3747.95
2016-04-29,3794.65
2016-05-02,3830.85
2016-05-03,3819.95
2016-05-04,3811.55
2016-05-05,3836.85
2016-05-06,3818.95
2016-05-09,3846.5
2016-05-10,3844.8
2016-05-11,3890.05
2016-05-12,3854.2
2016-05-13,3846.25
2016-05-16,3881.6
2016-05-17,3950.7
2016-05-18,3914.9
2016-05-19,3926.6
2016-05-20,3944.95
2016-05-23,3913.85
2016-05-24,3924.2
2016-05-25,4060.95
2016-05-26,4118.0
2016-05-27,4146.6
2016-05-30,4071.75
2016-05-31,4161.6
2016-06-01,4165.35
2016-06-02,4186.65
2016-06-03,4217.95
2016-06-06,4142.0
2016-06-07,4135.65
2016-06-08,4160.1
2016-06-09,4169.15
2016-06-10,4111.5
2016-06-13,4134.75
2016-06-14,4104.5
2016-06-15,4209.6
2016-06-16,4084.1
2016-06-17,4114.5
2016-06-20,4133.2
2016-06-21,4157.4
2016-06-22,4151.35
2016-06-23,4168.6
2016-06-24,4070.05
2016-06-27,4025.1
2016-06-28,4078.7
2016-06-29,4131.25
2016-06-30,4187.2
2016-07-01,4165.4
2016-07-04,4173.8
2016-07-05,4173.35
2016-07-07,4141.1
2016-07-08,4161.8
2016-07-11,4272.05
2016-07-12,4370.4
2016-07-13,4321.4
2016-07-14,4428.3
2016-07-15,4472.05
2016-07-18,4454.75
2016-07-19,4485.7
2016-07-20,4469.15
2016-07-21,4413.7
2016-07-22,4414.7
2016-07-25,4550.55
2016-07-26,4471.3
2016-07-27,4558.15
2016-07-28,4763.5
2016-07-29,4757.6
2016-08-01,4866.25
2016-08-02,4986.05
2016-08-03,4873.85
2016-08-04,4889.65
2016-08-05,4941.65
2016-08-08,4991.75
2016-08-09,4960.85
2016-08-10,4861.6
2016-08-11,4878.65
2016-08-12,4898.6
2016-08-16,4864.2
2016-08-17,4889.85
2016-08-18,4915.85
2016-08-19,4900.1
2016-08-22,4837.75
2016-08-23,4833.8
2016-08-24,4948.55
2016-08-25,4933.7
2016-08-26,4920.9
2016-08-29,4927.4
2016-08-30,5067.65
2016-08-31,5053.65
2016-09-01,5060.75
2016-09-02,5160.45
2016-09-06,5319.7
2016-09-07,5336.05
2016-09-08,5489.4
2016-09-09,5403.0
2016-09-12,5329.0
2016-09-14,5363.9
2016-09-15,5452.4
2016-09-16,5573.3
2016-09-19,5491.9
2016-09-20,5514.85
2016-09-21,5501.25
2016-09-22,5597.1
2016-09-23,5601.8
2016-09-26,5568.9
2016-09-27,5511.4
2016-09-28,5521.8
2016-09-29,5438.6
2016-09-30,5477.3
2016-10-03,5681.0
2016-10-04,5680.0
2016-10-05,5689.2
2016-10-06,5710.45
2016-10-07,5683.8
2016-10-10,5712.35
2016-10-13,5718.55
2016-10-14,5690.45
2016-10-17,5599.1
2016-10-18,5626.7
2016-10-19,5604.6
2016-10-20,5644.5
2016-10-21,5650.2
2016-10-24,5713.9
2016-10-25,5781.45
2016-10-26,5869.1
2016-10-27,5860.15
2016-10-28,5876.15
2016-10-30,5896.15
2016-11-01,5878.1
2016-11-02,5794.6
2016-11-03,5805.55
2016-11-04,5704.85
2016-11-07,5715.95
2016-11-08,5669.0
2016-11-09,5392.95
2016-11-10,5328.5
2016-11-11,5134.25
2016-11-15,4846.6
2016-11-16,4990.8
2016-11-17,4925.55
2016-11-18,4950.9
2016-11-21,4787.45
2016-11-22,4934.55
2016-11-23,4880.85
2016-11-24,4830.15
2016-11-25,4873.6
2016-11-28,4893.75
2016-11-29,5088.15
2016-11-30,5266.0
2016-12-01,5252.1
2016-12-02,5068.1
2016-12-05,5202.95
2016-12-06,5135.2
2016-12-07,5116.65
2016-12-08,5234.6
2016-12-09,5235.0
2016-12-12,5144.4
2016-12-13,5163.15
2016-12-14,5141.05
2016-12-15,5152.05
2016-12-16,5188.65
2016-12-19,5115.05
2016-12-20,5108.0
2016-12-21,5137.85
2016-12-22,5084.4
2016-12-23,5197.15
2016-12-26,5167.35
2016-12-27,5224.0
2016-12-28,5231.25
2016-12-29,5314.8
2016-12-30,5319.55
