Date,MMTC
2016-01-01,48.45
2016-01-04,48.25
2016-01-05,49.0
2016-01-06,49.75
2016-01-07,46.8
2016-01-08,47.95
2016-01-11,46.8
2016-01-12,46.4
2016-01-13,44.4
2016-01-14,43.25
2016-01-15,41.45
2016-01-18,40.05
2016-01-19,40.85
2016-01-20,38.7
2016-01-21,39.7
2016-01-22,40.25
2016-01-25,40.5
2016-01-27,40.2
2016-01-28,40.05
2016-01-29,40.6
2016-02-01,40.65
2016-02-02,40.2
2016-02-03,39.1
2016-02-04,38.9
2016-02-05,39.3
2016-02-08,39.95
2016-02-09,39.5
2016-02-10,38.7
2016-02-11,37.0
2016-02-12,35.6
2016-02-15,38.2
2016-02-16,37.35
2016-02-17,37.8
2016-02-18,36.05
2016-02-19,34.95
2016-02-22,34.2
2016-02-23,33.5
2016-02-24,30.9
2016-02-25,31.0
2016-02-26,30.95
2016-02-29,30.8
2016-03-01,32.2
2016-03-02,32.9
2016-03-03,33.8
2016-03-04,34.25
2016-03-08,35.4
2016-03-09,35.05
2016-03-10,35.4
2016-03-11,35.15
2016-03-14,35.15
2016-03-15,34.7
2016-03-16,34.3
2016-03-17,36.0
2016-03-18,35.8
2016-03-21,36.95
2016-03-22,36.8
2016-03-23,38.75
2016-03-28,37.45
2016-03-29,36.6
2016-03-30,37.15
2016-03-31,37.45
2016-04-01,38.1
2016-04-04,38.35
2016-04-05,37.1
2016-04-06,37.5
2016-04-07,37.3
2016-04-08,37.45
2016-04-11,38.35
2016-04-12,37.85
2016-04-13,38.2
2016-04-18,38.2
2016-04-20,40.25
2016-04-21,40.9
2016-04-22,39.95
2016-04-25,39.55
2016-04-26,39.85
2016-04-27,40.7
2016-04-28,39.4
2016-04-29,39.1
2016-05-02,38.9
2016-05-03,38.95
2016-05-04,38.3
2016-05-05,37.95
2016-05-06,37.75
2016-05-09,38.0
2016-05-10,37.75
2016-05-11,37.35
2016-05-12,38.25
2016-05-13,37.6
2016-05-16,37.65
2016-05-17,37.55
2016-05-18,37.35
2016-05-19,37.5
2016-05-20,36.75
2016-05-23,36.35
2016-05-24,35.8
2016-05-25,36.15
2016-05-26,36.3
2016-05-27,36.75
2016-05-30,36.3
2016-05-31,35.5
2016-06-01,36.3
2016-06-02,36.25
2016-06-03,37.9
2016-06-06,36.95
2016-06-07,37.0
2016-06-08,38.8
2016-06-09,45.45
2016-06-10,45.35
2016-06-13,46.25
2016-06-14,45.75
2016-06-15,44.6
2016-06-16,43.55
2016-06-17,42.75
2016-06-20,42.65
2016-06-21,42.05
2016-06-22,43.2
2016-06-23,43.5
2016-06-24,41.75
2016-06-27,42.15
2016-06-28,44.45
2016-06-29,45.25
2016-06-30,44.65
2016-07-01,44.75
2016-07-04,45.2
2016-07-05,47.3
2016-07-07,48.0
2016-07-08,47.75
2016-07-11,47.85
2016-07-12,47.5
2016-07-13,47.55
2016-07-14,48.2
2016-07-15,47.15
2016-07-18,45.75
2016-07-19,45.15
2016-07-20,45.35
2016-07-21,45.4
2016-07-22,45.15
2016-07-25,45.4
2016-07-26,45.9
2016-07-27,45.9
2016-07-28,45.45
2016-07-29,44.9
2016-08-01,44.45
2016-08-02,43.6
2016-08-03,42.9
2016-08-04,43.15
2016-08-05,43.6
2016-08-08,43.5
2016-08-09,43.5
2016-08-10,42.7
2016-08-11,42.2
2016-08-12,43.45
2016-08-16,42.9
2016-08-17,43.3
2016-08-18,44.2
2016-08-19,45.85
2016-08-22,46.1
2016-08-23,46.75
2016-08-24,46.9
2016-08-25,45.9
2016-08-26,45.1
2016-08-29,44.6
2016-08-30,45.0
2016-08-31,45.3
2016-09-01,44.4
2016-09-02,45.1
2016-09-06,45.05
2016-09-07,46.15
2016-09-08,46.2
2016-09-09,46.2
2016-09-12,44.9
2016-09-14,45.4
2016-09-15,47.0
2016-09-16,46.2
2016-09-19,46.45
2016-09-20,46.4
2016-09-21,46.9
2016-09-22,46.65
2016-09-23,46.6
2016-09-26,46.35
2016-09-27,46.15
2016-09-28,47.05
2016-09-29,43.5
2016-09-30,44.1
2016-10-03,45.0
2016-10-04,45.4
2016-10-05,45.45
2016-10-06,45.2
2016-10-07,45.2
2016-10-10,45.25
2016-10-13,44.4
2016-10-14,44.55
2016-10-17,44.25
2016-10-18,45.25
2016-10-19,45.15
2016-10-20,45.6
2016-10-21,45.6
2016-10-24,45.5
2016-10-25,47.95
2016-10-26,46.55
2016-10-27,45.9
2016-10-28,47.05
2016-10-30,46.85
2016-11-01,49.8
2016-11-02,52.4
2016-11-03,51.85
2016-11-04,48.7
2016-11-07,49.05
2016-11-08,47.7
2016-11-09,45.2
2016-11-10,47.7
2016-11-11,45.8
2016-11-15,43.5
2016-11-16,43.5
2016-11-17,42.8
2016-11-18,43.0
2016-11-21,41.85
2016-11-22,41.4
2016-11-23,42.2
2016-11-24,44.5
2016-11-25,45.45
2016-11-28,46.45
2016-11-29,46.0
2016-11-30,45.9
2016-12-01,52.3
2016-12-02,49.05
2016-12-05,49.45
2016-12-06,49.75
2016-12-07,55.05
2016-12-08,54.55
2016-12-09,51.25
2016-12-12,52.65
2016-12-13,51.45
2016-12-14,50.15
2016-12-15,50.0
2016-12-16,49.35
2016-12-19,48.3
2016-12-20,49.35
2016-12-21,48.85
2016-12-22,48.55
2016-12-23,51.4
2016-12-26,52.45
2016-12-27,52.35
2016-12-28,52.75
2016-12-29,52.35
2016-12-30,52.8
