Date,NILKAMAL
2016-01-01,1269.2
2016-01-04,1268.2
2016-01-05,1396.1
2016-01-06,1403.4
2016-01-07,1376.1
2016-01-08,1436.0
2016-01-11,1472.75
2016-01-12,1547.45
2016-01-13,1415.85
2016-01-14,1356.6
2016-01-15,1291.15
2016-01-18,1100.0
2016-01-19,1148.7
2016-01-20,1144.4
2016-01-21,1229.35
2016-01-22,1274.05
2016-01-25,1338.2
2016-01-27,1301.6
2016-01-28,1331.25
2016-01-29,1346.1
2016-02-01,1383.65
2016-02-02,1314.9
2016-02-03,1272.25
2016-02-04,1290.85
2016-02-05,1239.6
2016-02-08,1258.65
2016-02-09,1212.05
2016-02-10,1138.7
2016-02-11,993.7
2016-02-12,1048.5
2016-02-15,1099.15
2016-02-16,1052.9
2016-02-17,1037.3
2016-02-18,1014.35
2016-02-19,1024.6
2016-02-22,1019.45
2016-02-23,1000.15
2016-02-24,968.9
2016-02-25,966.5
2016-02-26,930.35
2016-02-29,976.2
2016-03-01,1014.65
2016-03-02,1044.7
2016-03-03,1063.75
2016-03-04,1082.2
2016-03-08,1075.2
2016-03-09,1094.5
2016-03-10,1100.1
2016-03-11,1100.5
2016-03-14,1106.9
2016-03-15,1091.7
2016-03-16,1107.6
2016-03-17,1102.85
2016-03-18,1112.5
2016-03-21,1121.55
2016-03-22,1120.65
2016-03-23,1124.7
2016-03-28,1087.25
2016-03-29,1089.85
2016-03-30,1109.45
2016-03-31,1101.35
2016-04-01,1104.3
2016-04-04,1112.65
2016-04-05,1101.65
2016-04-06,1110.0
2016-04-07,1110.9
2016-04-08,1275.25
2016-04-11,1330.0
2016-04-12,1333.7
2016-04-13,1337.2
2016-04-18,1311.3
2016-04-20,1315.1
2016-04-21,1295.45
2016-04-22,1249.7
2016-04-25,1271.65
2016-04-26,1281.85
2016-04-27,1272.15
2016-04-28,1250.2
2016-04-29,1227.65
2016-05-02,1183.95
2016-05-03,1243.1
2016-05-04,1244.75
2016-05-05,1222.55
2016-05-06,1203.15
2016-05-09,1229.25
2016-05-10,1229.1
2016-05-11,1258.95
2016-05-12,1272.35
2016-05-13,1248.3
2016-05-16,1310.15
2016-05-17,1287.75
2016-05-18,1265.35
2016-05-19,1253.0
2016-05-20,1208.75
2016-05-23,1189.1
2016-05-24,1142.75
2016-05-25,1197.75
2016-05-26,1191.75
2016-05-27,1209.15
2016-05-30,1220.95
2016-05-31,1217.25
2016-06-01,1215.25
2016-06-02,1205.75
2016-06-03,1204.0
2016-06-06,1192.0
2016-06-07,1202.8
2016-06-08,1205.8
2016-06-09,1193.6
2016-06-10,1189.95
2016-06-13,1181.4
2016-06-14,1199.0
2016-06-15,1177.3
2016-06-16,1156.6
2016-06-17,1146.95
2016-06-20,1149.95
2016-06-21,1151.95
2016-06-22,1140.2
2016-06-23,1129.35
2016-06-24,1117.35
2016-06-27,1132.1
2016-06-28,1143.65
2016-06-29,1239.55
2016-06-30,1261.55
2016-07-01,1228.0
2016-07-04,1236.3
2016-07-05,1222.35
2016-07-07,1222.4
2016-07-08,1212.85
2016-07-11,1232.5
2016-07-12,1235.55
2016-07-13,1212.15
2016-07-14,1220.4
2016-07-15,1208.7
2016-07-18,1194.75
2016-07-19,1215.9
2016-07-20,1212.8
2016-07-21,1200.2
2016-07-22,1241.05
2016-07-25,1291.35
2016-07-26,1270.25
2016-07-27,1289.7
2016-07-28,1311.3
2016-07-29,1271.15
2016-08-01,1213.15
2016-08-02,1176.2
2016-08-03,1158.7
2016-08-04,1166.25
2016-08-05,1179.2
2016-08-08,1208.2
2016-08-09,1194.95
2016-08-10,1175.05
2016-08-11,1166.8
2016-08-12,1178.6
2016-08-16,1173.1
2016-08-17,1176.5
2016-08-18,1181.5
2016-08-19,1222.8
2016-08-22,1228.2
2016-08-23,1240.05
2016-08-24,1242.9
2016-08-25,1252.2
2016-08-26,1244.6
2016-08-29,1263.75
2016-08-30,1253.2
2016-08-31,1245.45
2016-09-01,1245.5
2016-09-02,1260.45
2016-09-06,1281.75
2016-09-07,1270.9
2016-09-08,1360.05
2016-09-09,1353.35
2016-09-12,1305.75
2016-09-14,1328.3
2016-09-15,1338.35
2016-09-16,1344.1
2016-09-19,1347.85
2016-09-20,1331.7
2016-09-21,1354.85
2016-09-22,1356.0
2016-09-23,1340.85
2016-09-26,1330.8
2016-09-27,1336.0
2016-09-28,1325.4
2016-09-29,1268.15
2016-09-30,1277.1
2016-10-03,1318.55
2016-10-04,1348.35
2016-10-05,1355.35
2016-10-06,1323.45
2016-10-07,1305.25
2016-10-10,1343.75
2016-10-13,1334.75
2016-10-14,1566.85
2016-10-17,1704.8
2016-10-18,1671.0
2016-10-19,1772.6
2016-10-20,1789.55
2016-10-21,1735.65
2016-10-24,1783.1
2016-10-25,1758.05
2016-10-26,1718.4
2016-10-27,1659.25
2016-10-28,1634.85
2016-10-30,1662.05
2016-11-01,1748.45
2016-11-02,1703.9
2016-11-03,1716.7
2016-11-04,1648.0
2016-11-07,1530.2
2016-11-08,1550.75
2016-11-09,1513.0
2016-11-10,1505.1
2016-11-11,1421.95
2016-11-15,1313.95
2016-11-16,1294.35
2016-11-17,1310.75
2016-11-18,1284.45
2016-11-21,1221.6
2016-11-22,1243.1
2016-11-23,1283.1
2016-11-24,1298.4
2016-11-25,1352.95
2016-11-28,1404.55
2016-11-29,1380.15
2016-11-30,1399.95
2016-12-01,1402.5
2016-12-02,1357.95
2016-12-05,1324.8
2016-12-06,1343.55
2016-12-07,1348.7
2016-12-08,1362.75
2016-12-09,1377.5
2016-12-12,1347.15
2016-12-13,1332.35
2016-12-14,1322.65
2016-12-15,1329.05
2016-12-16,1319.95
2016-12-19,1299.65
2016-12-20,1294.9
2016-12-21,1278.05
2016-12-22,1277.5
2016-12-23,1262.4
2016-12-26,1232.35
2016-12-27,1252.9
2016-12-28,1246.6
2016-12-29,1261.95
2016-12-30,1263.25
