Date,NLCINDIA
2016-01-01,81.65
2016-01-04,81.05
2016-01-05,83.0
2016-01-06,83.35
2016-01-07,80.1
2016-01-08,81.25
2016-01-11,80.3
2016-01-12,79.7
2016-01-13,78.55
2016-01-14,78.3
2016-01-15,76.65
2016-01-18,74.1
2016-01-19,74.7
2016-01-20,72.9
2016-01-21,73.0
2016-01-22,74.0
2016-01-25,74.4
2016-01-27,75.75
2016-01-28,72.65
2016-01-29,72.6
2016-02-01,75.15
2016-02-02,71.5
2016-02-03,69.6
2016-02-04,69.8
2016-02-05,71.4
2016-02-08,70.4
2016-02-09,70.3
2016-02-10,69.95
2016-02-11,67.05
2016-02-12,65.5
2016-02-15,66.9
2016-02-16,66.4
2016-02-17,65.5
2016-02-18,65.75
2016-02-19,66.05
2016-02-22,65.8
2016-02-23,72.45
2016-02-24,67.55
2016-02-25,66.7
2016-02-26,65.4
2016-02-29,64.15
2016-03-01,62.4
2016-03-02,63.15
2016-03-03,64.05
2016-03-04,63.9
2016-03-08,65.65
2016-03-09,66.55
2016-03-10,66.4
2016-03-11,65.35
2016-03-14,65.05
2016-03-15,64.9
2016-03-16,64.85
2016-03-17,66.05
2016-03-18,66.4
2016-03-21,67.3
2016-03-22,67.4
2016-03-23,75.0
2016-03-28,70.8
2016-03-29,69.75
2016-03-30,70.6
2016-03-31,71.15
2016-04-01,70.6
2016-04-04,70.8
2016-04-05,68.95
2016-04-06,69.75
2016-04-07,69.7
2016-04-08,70.15
2016-04-11,70.05
2016-04-12,70.2
2016-04-13,71.05
2016-04-18,70.65
2016-04-20,70.8
2016-04-21,71.0
2016-04-22,71.4
2016-04-25,70.45
2016-04-26,71.2
2016-04-27,70.95
2016-04-28,70.05
2016-04-29,69.9
2016-05-02,67.85
2016-05-03,68.5
2016-05-04,68.2
2016-05-05,68.2
2016-05-06,67.75
2016-05-09,68.1
2016-05-10,68.25
2016-05-11,68.2
2016-05-12,68.45
2016-05-13,68.1
2016-05-16,68.25
2016-05-17,70.0
2016-05-18,69.7
2016-05-19,69.05
2016-05-20,68.6
2016-05-23,68.25
2016-05-24,71.55
2016-05-25,69.7
2016-05-26,70.9
2016-05-27,69.15
2016-05-30,69.15
2016-05-31,68.7
2016-06-01,68.65
2016-06-02,68.4
2016-06-03,68.25
2016-06-06,68.1
2016-06-07,69.3
2016-06-08,69.7
2016-06-09,70.95
2016-06-10,70.4
2016-06-13,69.75
2016-06-14,69.95
2016-06-15,70.6
2016-06-16,70.2
2016-06-17,71.9
2016-06-20,71.65
2016-06-21,71.65
2016-06-22,70.95
2016-06-23,70.55
2016-06-24,69.2
2016-06-27,69.45
2016-06-28,70.1
2016-06-29,71.05
2016-06-30,71.95
2016-07-01,72.05
2016-07-04,72.55
2016-07-05,72.8
2016-07-07,72.65
2016-07-08,72.1
2016-07-11,74.5
2016-07-12,76.1
2016-07-13,75.05
2016-07-14,74.65
2016-07-15,74.2
2016-07-18,73.6
2016-07-19,73.45
2016-07-20,74.05
2016-07-21,78.1
2016-07-22,76.85
2016-07-25,79.1
2016-07-26,77.3
2016-07-27,77.95
2016-07-28,77.1
2016-07-29,76.3
2016-08-01,76.05
2016-08-02,74.95
2016-08-03,74.55
2016-08-04,74.8
2016-08-05,75.2
2016-08-08,75.8
2016-08-09,75.7
2016-08-10,74.8
2016-08-11,74.45
2016-08-12,74.65
2016-08-16,74.7
2016-08-17,74.05
2016-08-18,75.25
2016-08-19,78.15
2016-08-22,78.7
2016-08-23,78.3
2016-08-24,78.25
2016-08-25,78.4
2016-08-26,76.15
2016-08-29,77.85
2016-08-30,78.2
2016-08-31,77.75
2016-09-01,76.55
2016-09-02,76.85
2016-09-06,77.05
2016-09-07,75.85
2016-09-08,76.45
2016-09-09,76.1
2016-09-12,74.8
2016-09-14,73.0
2016-09-15,74.5
2016-09-16,73.5
2016-09-19,72.85
2016-09-20,72.8
2016-09-21,72.85
2016-09-22,73.4
2016-09-23,73.8
2016-09-26,73.5
2016-09-27,73.25
2016-09-28,73.55
2016-09-29,71.7
2016-09-30,71.9
2016-10-03,73.7
2016-10-04,73.85
2016-10-05,73.8
2016-10-06,73.75
2016-10-07,73.15
2016-10-10,73.85
2016-10-13,72.15
2016-10-14,72.3
2016-10-17,71.75
2016-10-18,72.6
2016-10-19,76.15
2016-10-20,77.15
2016-10-21,77.8
2016-10-24,81.6
2016-10-25,79.9
2016-10-26,78.6
2016-10-27,79.1
2016-10-28,80.7
2016-10-30,81.55
2016-11-01,80.55
2016-11-02,83.5
2016-11-03,80.8
2016-11-04,78.4
2016-11-07,81.0
2016-11-08,80.05
2016-11-09,80.0
2016-11-10,80.9
2016-11-11,78.5
2016-11-15,74.25
2016-11-16,75.75
2016-11-17,75.65
2016-11-18,76.95
2016-11-21,76.6
2016-11-22,77.0
2016-11-23,76.9
2016-11-24,76.45
2016-11-25,78.4
2016-11-28,77.35
2016-11-29,78.05
2016-11-30,78.4
2016-12-01,77.2
2016-12-02,76.85
2016-12-05,76.55
2016-12-06,77.7
2016-12-07,78.7
2016-12-08,80.2
2016-12-09,78.45
2016-12-12,77.75
2016-12-13,78.05
2016-12-14,76.45
2016-12-15,76.8
2016-12-16,75.95
2016-12-19,75.55
2016-12-20,75.45
2016-12-21,75.6
2016-12-22,74.75
2016-12-23,74.85
2016-12-26,73.95
2016-12-27,74.05
2016-12-28,74.4
2016-12-29,75.95
2016-12-30,76.2
