Date,PRESTIGE
2016-01-01,194.8
2016-01-04,190.45
2016-01-05,191.05
2016-01-06,196.05
2016-01-07,189.7
2016-01-08,190.2
2016-01-11,192.0
2016-01-12,191.6
2016-01-13,192.35
2016-01-14,192.35
2016-01-15,186.45
2016-01-18,174.9
2016-01-19,184.85
2016-01-20,176.05
2016-01-21,177.75
2016-01-22,178.85
2016-01-25,181.15
2016-01-27,188.65
2016-01-28,185.8
2016-01-29,185.4
2016-02-01,188.75
2016-02-02,185.3
2016-02-03,175.25
2016-02-04,167.3
2016-02-05,172.05
2016-02-08,174.45
2016-02-09,170.0
2016-02-10,158.9
2016-02-11,162.75
2016-02-12,160.0
2016-02-15,170.8
2016-02-16,159.25
2016-02-17,157.4
2016-02-18,158.95
2016-02-19,157.35
2016-02-22,155.9
2016-02-23,154.15
2016-02-24,156.0
2016-02-25,155.8
2016-02-26,154.8
2016-02-29,149.15
2016-03-01,152.25
2016-03-02,155.5
2016-03-03,155.0
2016-03-04,154.95
2016-03-08,153.4
2016-03-09,153.85
2016-03-10,147.55
2016-03-11,145.5
2016-03-14,142.05
2016-03-15,139.6
2016-03-16,135.85
2016-03-17,130.35
2016-03-18,139.0
2016-03-21,153.2
2016-03-22,159.6
2016-03-23,166.4
2016-03-28,153.2
2016-03-29,164.25
2016-03-30,172.95
2016-03-31,172.75
2016-04-01,172.65
2016-04-04,172.9
2016-04-05,175.7
2016-04-06,174.3
2016-04-07,171.15
2016-04-08,166.55
2016-04-11,170.1
2016-04-12,174.8
2016-04-13,180.3
2016-04-18,176.2
2016-04-20,172.6
2016-04-21,166.65
2016-04-22,167.5
2016-04-25,165.95
2016-04-26,172.7
2016-04-27,168.85
2016-04-28,170.0
2016-04-29,168.45
2016-05-02,177.3
2016-05-03,176.95
2016-05-04,182.45
2016-05-05,174.5
2016-05-06,173.05
2016-05-09,172.05
2016-05-10,175.3
2016-05-11,172.2
2016-05-12,171.9
2016-05-13,173.3
2016-05-16,169.05
2016-05-17,168.05
2016-05-18,175.95
2016-05-19,177.05
2016-05-20,173.3
2016-05-23,169.95
2016-05-24,171.45
2016-05-25,170.0
2016-05-26,170.1
2016-05-27,184.2
2016-05-30,180.45
2016-05-31,185.55
2016-06-01,180.75
2016-06-02,180.0
2016-06-03,184.7
2016-06-06,190.35
2016-06-07,191.55
2016-06-08,189.45
2016-06-09,187.55
2016-06-10,189.9
2016-06-13,184.35
2016-06-14,183.5
2016-06-15,183.85
2016-06-16,184.8
2016-06-17,188.85
2016-06-20,186.0
2016-06-21,184.25
2016-06-22,183.65
2016-06-23,185.3
2016-06-24,178.3
2016-06-27,182.55
2016-06-28,186.4
2016-06-29,184.3
2016-06-30,185.4
2016-07-01,183.95
2016-07-04,188.0
2016-07-05,190.45
2016-07-07,188.35
2016-07-08,186.45
2016-07-11,186.35
2016-07-12,184.1
2016-07-13,183.2
2016-07-14,182.95
2016-07-15,179.9
2016-07-18,175.4
2016-07-19,177.0
2016-07-20,185.75
2016-07-21,187.6
2016-07-22,188.75
2016-07-25,188.15
2016-07-26,186.55
2016-07-27,180.8
2016-07-28,182.9
2016-07-29,185.45
2016-08-01,186.8
2016-08-02,186.5
2016-08-03,184.05
2016-08-04,186.8
2016-08-05,199.1
2016-08-08,199.75
2016-08-09,203.05
2016-08-10,203.8
2016-08-11,202.55
2016-08-12,197.5
2016-08-16,195.15
2016-08-17,190.3
2016-08-18,191.65
2016-08-19,188.85
2016-08-22,188.0
2016-08-23,185.4
2016-08-24,184.85
2016-08-25,184.15
2016-08-26,182.2
2016-08-29,179.9
2016-08-30,176.35
2016-08-31,186.05
2016-09-01,187.7
2016-09-02,185.65
2016-09-06,202.45
2016-09-07,198.2
2016-09-08,208.7
2016-09-09,207.5
2016-09-12,203.45
2016-09-14,191.9
2016-09-15,181.1
2016-09-16,199.6
2016-09-19,196.85
2016-09-20,202.3
2016-09-21,203.8
2016-09-22,205.2
2016-09-23,217.2
2016-09-26,200.1
2016-09-27,201.85
2016-09-28,200.0
2016-09-29,189.65
2016-09-30,192.2
2016-10-03,204.0
2016-10-04,201.3
2016-10-05,206.4
2016-10-06,207.2
2016-10-07,210.5
2016-10-10,203.65
2016-10-13,199.05
2016-10-14,203.65
2016-10-17,199.35
2016-10-18,193.5
2016-10-19,188.9
2016-10-20,189.45
2016-10-21,190.3
2016-10-24,188.95
2016-10-25,192.4
2016-10-26,189.55
2016-10-27,190.65
2016-10-28,193.9
2016-10-30,194.05
2016-11-01,192.0
2016-11-02,186.55
2016-11-03,186.75
2016-11-04,181.3
2016-11-07,182.1
2016-11-08,183.3
2016-11-09,177.95
2016-11-10,171.45
2016-11-11,165.95
2016-11-15,156.95
2016-11-16,158.7
2016-11-17,159.95
2016-11-18,154.45
2016-11-21,147.25
2016-11-22,157.45
2016-11-23,160.75
2016-11-24,157.5
2016-11-25,156.15
2016-11-28,156.1
2016-11-29,157.2
2016-11-30,152.75
2016-12-01,151.15
2016-12-02,147.7
2016-12-05,145.25
2016-12-06,144.5
2016-12-07,149.2
2016-12-08,151.2
2016-12-09,152.85
2016-12-12,153.05
2016-12-13,158.45
2016-12-14,163.75
2016-12-15,167.95
2016-12-16,167.7
2016-12-19,165.15
2016-12-20,174.15
2016-12-21,173.05
2016-12-22,172.55
2016-12-23,171.95
2016-12-26,168.7
2016-12-27,165.45
2016-12-28,167.9
2016-12-29,169.0
2016-12-30,170.0
