Date,SCHAEFFLER
2016-01-01,4319.95
2016-01-04,4263.3
2016-01-05,4264.7
2016-01-06,4128.55
2016-01-07,4043.75
2016-01-08,3992.5
2016-01-11,3944.9
2016-01-12,3932.55
2016-01-13,3915.5
2016-01-14,3914.45
2016-01-15,3892.05
2016-01-18,3940.05
2016-01-19,3858.0
2016-01-20,3787.9
2016-01-21,3788.35
2016-01-22,3905.15
2016-01-25,3925.0
2016-01-27,3902.35
2016-01-28,3927.0
2016-01-29,3964.2
2016-02-01,3966.9
2016-02-02,3920.05
2016-02-03,3894.9
2016-02-04,3809.1
2016-02-05,3950.0
2016-02-08,3950.2
2016-02-09,3988.35
2016-02-10,3987.55
2016-02-11,3831.75
2016-02-12,3762.35
2016-02-15,3991.05
2016-02-16,4003.4
2016-02-17,3985.65
2016-02-18,3983.65
2016-02-19,3899.75
2016-02-22,3997.55
2016-02-23,3956.1
2016-02-24,3885.0
2016-02-25,3877.15
2016-02-26,3829.0
2016-02-29,3801.95
2016-03-01,3909.3
2016-03-02,3819.0
2016-03-03,3901.2
2016-03-04,3894.15
2016-03-08,3899.9
2016-03-09,3900.35
2016-03-10,3849.85
2016-03-11,3832.2
2016-03-14,3850.85
2016-03-15,3828.65
2016-03-16,3801.2
2016-03-17,3803.45
2016-03-18,3865.7
2016-03-21,3862.95
2016-03-22,3849.6
2016-03-23,3798.95
2016-03-28,3778.55
2016-03-29,3788.4
2016-03-30,3784.5
2016-03-31,3797.8
2016-04-01,3822.0
2016-04-04,3817.65
2016-04-05,3880.3
2016-04-06,3854.45
2016-04-07,3900.45
2016-04-08,3966.65
2016-04-11,3995.15
2016-04-12,4022.3
2016-04-13,3995.45
2016-04-18,3951.2
2016-04-20,4161.55
2016-04-21,4207.15
2016-04-22,4088.35
2016-04-25,4116.95
2016-04-26,4158.35
2016-04-27,4084.75
2016-04-28,3953.95
2016-04-29,3967.15
2016-05-02,3943.05
2016-05-03,3916.25
2016-05-04,3878.4
2016-05-05,3954.9
2016-05-06,3945.1
2016-05-09,3913.9
2016-05-10,3945.95
2016-05-11,3954.05
2016-05-12,3994.9
2016-05-13,3947.25
2016-05-16,3950.6
2016-05-17,3916.25
2016-05-18,3923.35
2016-05-19,3922.15
2016-05-20,3884.4
2016-05-23,3900.1
2016-05-24,3899.8
2016-05-25,3944.5
2016-05-26,3948.65
2016-05-27,3955.2
2016-05-30,3957.85
2016-05-31,3950.0
2016-06-01,3950.0
2016-06-02,3947.1
2016-06-03,3947.75
2016-06-06,3960.3
2016-06-07,4044.45
2016-06-08,3991.2
2016-06-09,4077.95
2016-06-10,4032.25
2016-06-13,4045.0
2016-06-14,4014.1
2016-06-15,4013.5
2016-06-16,3980.75
2016-06-17,3984.1
2016-06-20,3959.25
2016-06-21,3950.3
2016-06-22,3918.65
2016-06-23,3947.35
2016-06-24,3955.7
2016-06-27,3963.15
2016-06-28,3999.8
2016-06-29,4134.6
2016-06-30,4124.4
2016-07-01,4057.5
2016-07-04,4009.1
2016-07-05,4014.95
2016-07-07,4048.35
2016-07-08,4000.9
2016-07-11,4040.35
2016-07-12,4025.85
2016-07-13,4042.55
2016-07-14,4098.65
2016-07-15,4028.3
2016-07-18,4009.5
2016-07-19,4018.85
2016-07-20,4015.65
2016-07-21,4069.35
2016-07-22,4092.8
2016-07-25,4100.15
2016-07-26,4166.25
2016-07-27,4199.8
2016-07-28,4199.95
2016-07-29,4076.35
2016-08-01,4033.4
2016-08-02,4039.5
2016-08-03,4048.65
2016-08-04,4069.95
2016-08-05,4071.45
2016-08-08,4044.7
2016-08-09,4009.1
2016-08-10,4006.45
2016-08-11,4002.85
2016-08-12,4016.0
2016-08-16,4080.05
2016-08-17,4023.85
2016-08-18,4052.0
2016-08-19,4053.05
2016-08-22,4021.55
2016-08-23,4047.6
2016-08-24,4071.3
2016-08-25,4088.85
2016-08-26,4063.8
2016-08-29,4055.5
2016-08-30,4078.1
2016-08-31,4079.0
2016-09-01,4044.05
2016-09-02,4050.4
2016-09-06,4078.2
2016-09-07,4070.3
2016-09-08,4099.8
2016-09-09,4087.95
2016-09-12,4051.85
2016-09-14,4035.3
2016-09-15,4063.05
2016-09-16,4033.35
2016-09-19,4047.95
2016-09-20,4043.1
2016-09-21,4052.15
2016-09-22,4063.0
2016-09-23,4068.65
2016-09-26,4033.65
2016-09-27,4039.5
2016-09-28,4050.15
2016-09-29,4047.4
2016-09-30,4091.35
2016-10-03,4103.55
2016-10-04,4094.1
2016-10-05,4116.65
2016-10-06,4181.3
2016-10-07,4129.6
2016-10-10,4138.7
2016-10-13,4146.5
2016-10-14,4200.0
2016-10-17,4209.25
2016-10-18,4213.25
2016-10-19,4342.3
2016-10-20,4369.65
2016-10-21,4403.15
2016-10-24,4398.75
2016-10-25,4355.2
2016-10-26,4359.6
2016-10-27,4399.25
2016-10-28,4400.4
2016-10-30,4470.85
2016-11-01,4403.25
2016-11-02,4370.0
2016-11-03,4355.95
2016-11-04,4235.85
2016-11-07,4312.45
2016-11-08,4349.4
2016-11-09,4300.55
2016-11-10,4412.65
2016-11-11,4309.95
2016-11-15,4205.1
2016-11-16,4171.75
2016-11-17,4150.3
2016-11-18,4153.45
2016-11-21,4071.15
2016-11-22,4086.5
2016-11-23,4052.15
2016-11-24,4050.65
2016-11-25,4052.7
2016-11-28,4074.55
2016-11-29,4073.35
2016-11-30,4033.3
2016-12-01,4032.05
2016-12-02,3995.25
2016-12-05,4019.2
2016-12-06,4047.05
2016-12-07,4040.05
2016-12-08,4045.75
2016-12-09,4017.95
2016-12-12,3999.15
2016-12-13,3951.5
2016-12-14,3928.95
2016-12-15,3897.4
2016-12-16,3899.7
2016-12-19,3888.95
2016-12-20,3856.1
2016-12-21,3847.35
2016-12-22,3805.8
2016-12-23,3827.6
2016-12-26,3826.15
2016-12-27,3853.7
2016-12-28,3804.45
2016-12-29,3815.45
2016-12-30,3861.55
