Date,TVSMOTOR
2016-01-01,286.65
2016-01-04,286.95
2016-01-05,287.15
2016-01-06,286.45
2016-01-07,277.7
2016-01-08,285.1
2016-01-11,285.7
2016-01-12,290.15
2016-01-13,287.55
2016-01-14,282.6
2016-01-15,278.4
2016-01-18,274.2
2016-01-19,282.7
2016-01-20,274.8
2016-01-21,274.1
2016-01-22,285.65
2016-01-25,287.8
2016-01-27,290.2
2016-01-28,291.8
2016-01-29,292.25
2016-02-01,295.45
2016-02-02,293.35
2016-02-03,287.75
2016-02-04,280.95
2016-02-05,289.35
2016-02-08,286.85
2016-02-09,285.9
2016-02-10,287.05
2016-02-11,279.05
2016-02-12,276.2
2016-02-15,284.95
2016-02-16,276.25
2016-02-17,282.15
2016-02-18,285.0
2016-02-19,287.75
2016-02-22,286.95
2016-02-23,280.4
2016-02-24,270.5
2016-02-25,267.65
2016-02-26,264.4
2016-02-29,268.15
2016-03-01,283.8
2016-03-02,288.45
2016-03-03,287.05
2016-03-04,288.25
2016-03-08,282.95
2016-03-09,284.8
2016-03-10,283.8
2016-03-11,287.95
2016-03-14,288.45
2016-03-15,285.8
2016-03-16,283.85
2016-03-17,283.85
2016-03-18,287.4
2016-03-21,305.3
2016-03-22,317.25
2016-03-23,309.45
2016-03-28,315.15
2016-03-29,315.7
2016-03-30,321.15
2016-03-31,322.8
2016-04-01,324.55
2016-04-04,324.35
2016-04-05,314.25
2016-04-06,315.7
2016-04-07,313.75
2016-04-08,313.0
2016-04-11,315.05
2016-04-12,318.8
2016-04-13,326.75
2016-04-18,333.95
2016-04-20,335.2
2016-04-21,324.8
2016-04-22,331.45
2016-04-25,323.2
2016-04-26,330.2
2016-04-27,327.85
2016-04-28,318.7
2016-04-29,319.8
2016-05-02,318.95
2016-05-03,287.45
2016-05-04,290.7
2016-05-05,296.2
2016-05-06,300.45
2016-05-09,301.3
2016-05-10,299.1
2016-05-11,296.95
2016-05-12,296.5
2016-05-13,296.15
2016-05-16,295.25
2016-05-17,294.15
2016-05-18,297.65
2016-05-19,296.45
2016-05-20,297.5
2016-05-23,295.1
2016-05-24,294.35
2016-05-25,296.2
2016-05-26,299.1
2016-05-27,291.1
2016-05-30,287.95
2016-05-31,284.65
2016-06-01,288.9
2016-06-02,296.6
2016-06-03,297.55
2016-06-06,294.8
2016-06-07,293.85
2016-06-08,289.7
2016-06-09,289.9
2016-06-10,286.7
2016-06-13,287.85
2016-06-14,290.25
2016-06-15,292.05
2016-06-16,292.2
2016-06-17,293.3
2016-06-20,293.35
2016-06-21,296.25
2016-06-22,295.0
2016-06-23,295.35
2016-06-24,297.2
2016-06-27,296.35
2016-06-28,296.5
2016-06-29,300.3
2016-06-30,309.5
2016-07-01,311.6
2016-07-04,313.6
2016-07-05,306.4
2016-07-07,299.2
2016-07-08,296.85
2016-07-11,298.55
2016-07-12,304.85
2016-07-13,308.4
2016-07-14,304.5
2016-07-15,307.35
2016-07-18,301.85
2016-07-19,300.65
2016-07-20,301.9
2016-07-21,300.35
2016-07-22,300.95
2016-07-25,300.9
2016-07-26,291.25
2016-07-27,288.15
2016-07-28,290.25
2016-07-29,291.75
2016-08-01,295.0
2016-08-02,299.9
2016-08-03,298.35
2016-08-04,299.2
2016-08-05,303.15
2016-08-08,304.5
2016-08-09,299.15
2016-08-10,296.85
2016-08-11,297.95
2016-08-12,299.3
2016-08-16,299.4
2016-08-17,312.9
2016-08-18,311.8
2016-08-19,311.75
2016-08-22,305.7
2016-08-23,306.15
2016-08-24,306.4
2016-08-25,306.35
2016-08-26,303.4
2016-08-29,311.55
2016-08-30,326.05
2016-08-31,326.05
2016-09-01,327.3
2016-09-02,332.3
2016-09-06,332.9
2016-09-07,330.65
2016-09-08,337.85
2016-09-09,329.8
2016-09-12,321.6
2016-09-14,326.2
2016-09-15,322.2
2016-09-16,338.35
2016-09-19,337.4
2016-09-20,332.55
2016-09-21,333.8
2016-09-22,349.15
2016-09-23,350.5
2016-09-26,348.25
2016-09-27,347.85
2016-09-28,350.9
2016-09-29,349.4
2016-09-30,365.85
2016-10-03,377.6
2016-10-04,377.45
2016-10-05,379.4
2016-10-06,384.7
2016-10-07,386.2
2016-10-10,388.55
2016-10-13,385.05
2016-10-14,390.45
2016-10-17,389.25
2016-10-18,395.05
2016-10-19,391.4
2016-10-20,393.05
2016-10-21,395.9
2016-10-24,395.75
2016-10-25,407.7
2016-10-26,399.95
2016-10-27,412.1
2016-10-28,405.0
2016-10-30,409.1
2016-11-01,403.75
2016-11-02,400.8
2016-11-03,392.5
2016-11-04,392.7
2016-11-07,389.65
2016-11-08,390.95
2016-11-09,379.7
2016-11-10,379.15
2016-11-11,361.8
2016-11-15,347.5
2016-11-16,358.7
2016-11-17,362.9
2016-11-18,361.75
2016-11-21,344.65
2016-11-22,349.45
2016-11-23,355.2
2016-11-24,359.95
2016-11-25,355.5
2016-11-28,354.2
2016-11-29,358.7
2016-11-30,374.1
2016-12-01,367.5
2016-12-02,358.35
2016-12-05,356.85
2016-12-06,354.95
2016-12-07,360.6
2016-12-08,363.3
2016-12-09,363.45
2016-12-12,367.55
2016-12-13,382.2
2016-12-14,380.15
2016-12-15,379.4
2016-12-16,378.2
2016-12-19,376.1
2016-12-20,370.55
2016-12-21,371.1
2016-12-22,367.15
2016-12-23,370.65
2016-12-26,366.6
2016-12-27,351.65
2016-12-28,353.45
2016-12-29,364.65
2016-12-30,360.5
