Date,ADORWELD
2017-01-02,298.8
2017-01-03,301.3
2017-01-04,303.55
2017-01-05,300.3
2017-01-06,299.0
2017-01-09,300.45
2017-01-10,297.0
2017-01-11,304.4
2017-01-12,304.0
2017-01-13,301.65
2017-01-16,300.1
2017-01-17,303.3
2017-01-18,305.5
2017-01-19,311.55
2017-01-20,312.3
2017-01-23,309.75
2017-01-24,310.1
2017-01-25,310.7
2017-01-27,310.05
2017-01-30,306.1
2017-01-31,300.6
2017-02-01,300.25
2017-02-02,300.7
2017-02-03,303.9
2017-02-06,309.2
2017-02-07,293.75
2017-02-08,295.1
2017-02-09,296.95
2017-02-10,295.15
2017-02-13,289.0
2017-02-14,290.0
2017-02-15,287.15
2017-02-16,287.05
2017-02-17,295.35
2017-02-20,290.6
2017-02-21,291.4
2017-02-22,300.3
2017-02-23,291.95
2017-02-27,289.2
2017-02-28,288.9
2017-03-01,298.15
2017-03-02,300.0
2017-03-03,298.95
2017-03-06,297.25
2017-03-07,296.6
2017-03-08,299.65
2017-03-09,299.55
2017-03-10,299.8
2017-03-14,302.8
2017-03-15,300.35
2017-03-16,302.35
2017-03-17,302.4
2017-03-20,304.0
2017-03-21,302.65
2017-03-22,297.55
2017-03-23,300.8
2017-03-24,297.15
2017-03-27,296.85
2017-03-28,296.65
2017-03-29,299.75
2017-03-30,306.4
2017-03-31,311.75
2017-04-03,314.7
2017-04-05,313.95
2017-04-06,316.65
2017-04-07,315.5
2017-04-10,318.6
2017-04-11,323.45
2017-04-12,320.7
2017-04-13,316.4
2017-04-17,318.55
2017-04-18,314.3
2017-04-19,314.6
2017-04-20,318.85
2017-04-21,316.0
2017-04-24,327.4
2017-04-25,336.1
2017-04-26,338.05
2017-04-27,345.75
2017-04-28,342.9
2017-05-02,342.1
2017-05-03,334.1
2017-05-04,335.2
2017-05-05,335.7
2017-05-08,342.25
2017-05-09,340.2
2017-05-10,334.8
2017-05-11,336.05
2017-05-12,336.05
2017-05-15,334.0
2017-05-16,333.35
2017-05-17,332.35
2017-05-18,327.55
2017-05-19,327.05
2017-05-22,335.0
2017-05-23,327.25
2017-05-24,324.75
2017-05-25,314.6
2017-05-26,323.45
2017-05-29,323.1
2017-05-30,317.5
2017-05-31,321.95
2017-06-01,317.6
2017-06-02,322.0
2017-06-05,321.95
2017-06-06,323.5
2017-06-07,325.8
2017-06-08,327.45
2017-06-09,334.05
2017-06-12,389.05
2017-06-13,376.0
2017-06-14,376.95
2017-06-15,369.5
2017-06-16,370.5
2017-06-19,367.55
2017-06-20,370.15
2017-06-21,370.25
2017-06-22,375.85
2017-06-23,374.9
2017-06-27,370.3
2017-06-28,370.1
2017-06-29,373.35
2017-06-30,374.2
2017-07-03,379.55
2017-07-04,381.75
2017-07-05,379.9
2017-07-06,380.1
2017-07-07,377.7
2017-07-10,376.35
2017-07-11,379.5
2017-07-12,376.7
2017-07-13,371.35
2017-07-14,404.75
2017-07-17,392.85
2017-07-18,388.5
2017-07-19,387.7
2017-07-20,384.8
2017-07-21,385.35
2017-07-24,396.7
2017-07-25,395.9
2017-07-26,402.5
2017-07-27,395.85
2017-07-28,394.05
2017-07-31,397.4
2017-08-01,393.7
2017-08-02,395.9
2017-08-03,395.0
2017-08-04,389.95
2017-08-07,379.8
2017-08-08,384.15
2017-08-09,380.3
2017-08-10,375.8
2017-08-11,365.2
2017-08-14,374.5
2017-08-16,380.05
2017-08-17,380.55
2017-08-18,395.75
2017-08-21,392.45
2017-08-22,385.65
2017-08-23,379.4
2017-08-24,380.75
2017-08-28,396.8
2017-08-29,395.0
2017-08-30,400.9
2017-08-31,380.65
2017-09-01,382.6
2017-09-04,403.75
2017-09-05,405.35
2017-09-06,400.0
2017-09-07,400.3
2017-09-08,398.95
2017-09-11,398.95
2017-09-12,400.0
2017-09-13,392.65
2017-09-14,373.2
2017-09-15,447.8
2017-09-18,438.05
2017-09-19,447.95
2017-09-20,434.4
2017-09-21,423.4
2017-09-22,403.3
2017-09-25,385.5
2017-09-26,442.0
2017-09-27,427.35
2017-09-28,427.85
2017-09-29,434.2
2017-10-03,519.0
2017-10-04,603.8
2017-10-05,573.25
2017-10-06,593.35
2017-10-09,594.35
2017-10-10,586.1
2017-10-11,550.2
2017-10-12,584.0
2017-10-13,568.4
2017-10-16,554.6
2017-10-17,555.45
2017-10-18,549.8
2017-10-19,544.35
2017-10-23,535.0
2017-10-24,536.95
2017-10-25,530.3
2017-10-26,520.65
2017-10-27,531.0
2017-10-30,547.9
2017-10-31,550.95
2017-11-01,545.05
2017-11-02,538.0
2017-11-03,617.55
2017-11-06,611.45
2017-11-07,565.9
2017-11-08,547.65
2017-11-09,552.85
2017-11-10,546.45
2017-11-13,547.5
2017-11-14,552.55
2017-11-15,526.6
2017-11-16,528.8
2017-11-17,528.2
2017-11-20,526.75
2017-11-21,525.45
2017-11-22,522.25
2017-11-23,519.35
2017-11-24,509.8
2017-11-27,518.05
2017-11-28,511.2
2017-11-29,515.85
2017-11-30,505.7
2017-12-01,491.65
2017-12-04,490.7
2017-12-05,492.55
2017-12-06,489.8
2017-12-07,498.35
2017-12-08,499.5
2017-12-11,493.3
2017-12-12,490.55
2017-12-13,473.0
2017-12-14,465.8
2017-12-15,475.4
2017-12-18,480.15
2017-12-19,483.6
2017-12-20,480.0
2017-12-21,478.1
2017-12-22,479.15
2017-12-26,489.3
2017-12-27,484.55
2017-12-28,492.2
2017-12-29,498.5
