Date,AEGISCHEM
2017-01-02,131.15
2017-01-03,132.35
2017-01-04,131.7
2017-01-05,132.05
2017-01-06,130.45
2017-01-09,131.85
2017-01-10,135.7
2017-01-11,139.35
2017-01-12,140.1
2017-01-13,139.05
2017-01-16,136.0
2017-01-17,137.15
2017-01-18,136.95
2017-01-19,137.5
2017-01-20,133.95
2017-01-23,133.75
2017-01-24,131.75
2017-01-25,131.7
2017-01-27,134.85
2017-01-30,131.7
2017-01-31,129.25
2017-02-01,137.9
2017-02-02,146.35
2017-02-03,149.8
2017-02-06,178.55
2017-02-07,176.1
2017-02-08,179.65
2017-02-09,182.8
2017-02-10,200.45
2017-02-13,192.05
2017-02-14,195.75
2017-02-15,192.35
2017-02-16,198.0
2017-02-17,198.8
2017-02-20,205.7
2017-02-21,203.8
2017-02-22,198.3
2017-02-23,200.35
2017-02-27,205.6
2017-02-28,202.1
2017-03-01,197.95
2017-03-02,197.05
2017-03-03,194.2
2017-03-06,198.6
2017-03-07,197.95
2017-03-08,203.25
2017-03-09,202.1
2017-03-10,203.35
2017-03-14,206.2
2017-03-15,208.1
2017-03-16,208.6
2017-03-17,204.3
2017-03-20,205.85
2017-03-21,206.85
2017-03-22,201.5
2017-03-23,203.1
2017-03-24,203.2
2017-03-27,208.75
2017-03-28,206.55
2017-03-29,203.15
2017-03-30,195.2
2017-03-31,194.6
2017-04-03,196.55
2017-04-05,196.3
2017-04-06,195.2
2017-04-07,192.9
2017-04-10,191.75
2017-04-11,187.9
2017-04-12,185.25
2017-04-13,187.4
2017-04-17,188.1
2017-04-18,186.6
2017-04-19,185.7
2017-04-20,188.25
2017-04-21,187.6
2017-04-24,194.5
2017-04-25,194.6
2017-04-26,193.65
2017-04-27,194.4
2017-04-28,194.4
2017-05-02,194.65
2017-05-03,194.9
2017-05-04,194.55
2017-05-05,194.45
2017-05-08,194.9
2017-05-09,185.8
2017-05-10,184.7
2017-05-11,193.55
2017-05-12,191.7
2017-05-15,194.7
2017-05-16,193.7
2017-05-17,193.2
2017-05-18,188.85
2017-05-19,194.7
2017-05-22,194.3
2017-05-23,185.7
2017-05-24,184.7
2017-05-25,193.4
2017-05-26,197.35
2017-05-29,199.35
2017-05-30,205.0
2017-05-31,211.8
2017-06-01,216.6
2017-06-02,213.0
2017-06-05,211.5
2017-06-06,210.1
2017-06-07,210.2
2017-06-08,209.1
2017-06-09,210.4
2017-06-12,203.4
2017-06-13,200.55
2017-06-14,202.05
2017-06-15,198.4
2017-06-16,202.1
2017-06-19,197.3
2017-06-20,196.9
2017-06-21,193.7
2017-06-22,192.5
2017-06-23,188.25
2017-06-27,182.7
2017-06-28,185.15
2017-06-29,187.3
2017-06-30,189.15
2017-07-03,188.95
2017-07-04,189.2
2017-07-05,189.45
2017-07-06,188.9
2017-07-07,189.4
2017-07-10,189.25
2017-07-11,189.1
2017-07-12,189.25
2017-07-13,189.55
2017-07-14,189.6
2017-07-17,186.35
2017-07-18,189.55
2017-07-19,183.0
2017-07-20,184.45
2017-07-21,183.45
2017-07-24,182.5
2017-07-25,182.6
2017-07-26,188.1
2017-07-27,188.05
2017-07-28,188.05
2017-07-31,189.65
2017-08-01,188.9
2017-08-02,189.4
2017-08-03,187.3
2017-08-04,185.25
2017-08-07,186.3
2017-08-08,187.8
2017-08-09,185.45
2017-08-10,178.1
2017-08-11,181.35
2017-08-14,189.05
2017-08-16,188.2
2017-08-17,189.2
2017-08-18,188.1
2017-08-21,190.45
2017-08-22,189.2
2017-08-23,185.6
2017-08-24,186.3
2017-08-28,184.85
2017-08-29,189.0
2017-08-30,190.0
2017-08-31,189.65
2017-09-01,189.9
2017-09-04,189.85
2017-09-05,184.3
2017-09-06,201.3
2017-09-07,215.0
2017-09-08,211.75
2017-09-11,220.2
2017-09-12,220.45
2017-09-13,220.1
2017-09-14,220.15
2017-09-15,221.05
2017-09-18,223.75
2017-09-19,223.7
2017-09-20,224.45
2017-09-21,225.25
2017-09-22,223.0
2017-09-25,231.15
2017-09-26,227.65
2017-09-27,221.5
2017-09-28,231.45
2017-09-29,235.95
2017-10-03,233.15
2017-10-04,232.4
2017-10-05,230.35
2017-10-06,235.1
2017-10-09,235.45
2017-10-10,228.8
2017-10-11,225.55
2017-10-12,227.4
2017-10-13,225.65
2017-10-16,222.5
2017-10-17,227.75
2017-10-18,223.6
2017-10-19,223.15
2017-10-23,234.95
2017-10-24,234.2
2017-10-25,233.65
2017-10-26,232.9
2017-10-27,234.9
2017-10-30,235.8
2017-10-31,232.5
2017-11-01,234.55
2017-11-02,234.65
2017-11-03,232.6
2017-11-06,233.3
2017-11-07,229.15
2017-11-08,224.65
2017-11-09,226.25
2017-11-10,227.25
2017-11-13,230.8
2017-11-14,233.75
2017-11-15,230.75
2017-11-16,234.05
2017-11-17,234.3
2017-11-20,234.45
2017-11-21,234.0
2017-11-22,234.75
2017-11-23,233.9
2017-11-24,234.4
2017-11-27,232.2
2017-11-28,233.8
2017-11-29,232.75
2017-11-30,232.4
2017-12-01,231.9
2017-12-04,232.85
2017-12-05,245.8
2017-12-06,254.0
2017-12-07,259.95
2017-12-08,255.75
2017-12-11,273.9
2017-12-12,271.9
2017-12-13,272.4
2017-12-14,266.3
2017-12-15,269.2
2017-12-18,270.5
2017-12-19,272.2
2017-12-20,276.5
2017-12-21,285.3
2017-12-22,281.65
2017-12-26,285.55
2017-12-27,281.75
2017-12-28,286.8
2017-12-29,286.8
