Date,ALBK
2017-01-02,60.9
2017-01-03,62.35
2017-01-04,62.1
2017-01-05,63.05
2017-01-06,63.3
2017-01-09,63.7
2017-01-10,64.1
2017-01-11,65.6
2017-01-12,65.75
2017-01-13,65.65
2017-01-16,66.2
2017-01-17,66.15
2017-01-18,65.8
2017-01-19,66.2
2017-01-20,63.25
2017-01-23,63.55
2017-01-24,64.65
2017-01-25,66.45
2017-01-27,67.45
2017-01-30,67.75
2017-01-31,66.7
2017-02-01,68.55
2017-02-02,71.2
2017-02-03,74.2
2017-02-06,74.8
2017-02-07,74.85
2017-02-08,75.1
2017-02-09,74.0
2017-02-10,73.95
2017-02-13,72.9
2017-02-14,72.8
2017-02-15,70.3
2017-02-16,70.7
2017-02-17,70.45
2017-02-20,71.25
2017-02-21,71.65
2017-02-22,70.95
2017-02-23,73.85
2017-02-27,71.45
2017-02-28,73.4
2017-03-01,73.5
2017-03-02,70.15
2017-03-03,69.05
2017-03-06,69.9
2017-03-07,69.35
2017-03-08,68.5
2017-03-09,68.2
2017-03-10,68.0
2017-03-14,69.35
2017-03-15,70.4
2017-03-16,71.85
2017-03-17,70.6
2017-03-20,71.7
2017-03-21,71.0
2017-03-22,69.15
2017-03-23,69.55
2017-03-24,71.85
2017-03-27,72.2
2017-03-28,72.35
2017-03-29,73.25
2017-03-30,72.85
2017-03-31,73.45
2017-04-03,73.45
2017-04-05,74.7
2017-04-06,73.6
2017-04-07,72.35
2017-04-10,73.9
2017-04-11,75.15
2017-04-12,73.75
2017-04-13,73.8
2017-04-17,73.5
2017-04-18,72.7
2017-04-19,72.25
2017-04-20,73.15
2017-04-21,73.25
2017-04-24,74.7
2017-04-25,75.55
2017-04-26,76.35
2017-04-27,77.7
2017-04-28,82.35
2017-05-02,82.9
2017-05-03,85.3
2017-05-04,88.05
2017-05-05,84.35
2017-05-08,86.25
2017-05-09,87.55
2017-05-10,87.2
2017-05-11,88.75
2017-05-12,89.95
2017-05-15,87.95
2017-05-16,89.5
2017-05-17,87.6
2017-05-18,83.35
2017-05-19,82.6
2017-05-22,78.5
2017-05-23,75.5
2017-05-24,71.95
2017-05-25,74.3
2017-05-26,73.45
2017-05-29,70.55
2017-05-30,71.15
2017-05-31,70.05
2017-06-01,71.05
2017-06-02,71.6
2017-06-05,71.55
2017-06-06,70.6
2017-06-07,71.35
2017-06-08,69.9
2017-06-09,69.85
2017-06-12,67.7
2017-06-13,67.05
2017-06-14,72.2
2017-06-15,72.25
2017-06-16,70.1
2017-06-19,70.8
2017-06-20,70.6
2017-06-21,70.6
2017-06-22,70.4
2017-06-23,69.65
2017-06-27,67.0
2017-06-28,67.0
2017-06-29,68.2
2017-06-30,67.85
2017-07-03,67.8
2017-07-04,66.4
2017-07-05,67.2
2017-07-06,69.6
2017-07-07,69.6
2017-07-10,72.15
2017-07-11,70.35
2017-07-12,70.85
2017-07-13,70.5
2017-07-14,71.1
2017-07-17,71.2
2017-07-18,72.0
2017-07-19,72.95
2017-07-20,71.95
2017-07-21,72.35
2017-07-24,75.65
2017-07-25,76.5
2017-07-26,75.9
2017-07-27,74.5
2017-07-28,74.95
2017-07-31,74.85
2017-08-01,74.15
2017-08-02,73.85
2017-08-03,71.35
2017-08-04,71.45
2017-08-07,71.85
2017-08-08,69.85
2017-08-09,68.85
2017-08-10,65.7
2017-08-11,64.6
2017-08-14,65.2
2017-08-16,66.9
2017-08-17,67.25
2017-08-18,66.15
2017-08-21,64.2
2017-08-22,64.1
2017-08-23,67.1
2017-08-24,68.4
2017-08-28,68.65
2017-08-29,67.1
2017-08-30,67.95
2017-08-31,69.25
2017-09-01,69.3
2017-09-04,68.65
2017-09-05,69.7
2017-09-06,68.75
2017-09-07,68.85
2017-09-08,67.35
2017-09-11,67.95
2017-09-12,68.95
2017-09-13,69.45
2017-09-14,70.05
2017-09-15,72.5
2017-09-18,72.95
2017-09-19,72.95
2017-09-20,73.1
2017-09-21,72.05
2017-09-22,68.85
2017-09-25,67.6
2017-09-26,67.65
2017-09-27,65.8
2017-09-28,66.45
2017-09-29,65.65
2017-10-03,65.85
2017-10-04,65.8
2017-10-05,66.2
2017-10-06,67.45
2017-10-09,67.6
2017-10-10,67.75
2017-10-11,65.45
2017-10-12,66.1
2017-10-13,66.3
2017-10-16,66.1
2017-10-17,66.35
2017-10-18,65.9
2017-10-19,65.1
2017-10-23,65.7
2017-10-24,68.6
2017-10-25,84.15
2017-10-26,84.6
2017-10-27,77.7
2017-10-30,80.6
2017-10-31,78.4
2017-11-01,83.0
2017-11-02,81.5
2017-11-03,82.0
2017-11-06,82.9
2017-11-07,79.6
2017-11-08,77.75
2017-11-09,78.65
2017-11-10,79.85
2017-11-13,77.5
2017-11-14,76.85
2017-11-15,74.95
2017-11-16,78.8
2017-11-17,79.35
2017-11-20,79.25
2017-11-21,78.0
2017-11-22,78.1
2017-11-23,78.25
2017-11-24,78.65
2017-11-27,78.6
2017-11-28,78.25
2017-11-29,77.4
2017-11-30,76.55
2017-12-01,74.6
2017-12-04,74.6
2017-12-05,74.85
2017-12-06,73.95
2017-12-07,74.55
2017-12-08,74.65
2017-12-11,74.85
2017-12-12,74.15
2017-12-13,71.75
2017-12-14,72.7
2017-12-15,73.0
2017-12-18,74.15
2017-12-19,74.4
2017-12-20,73.8
2017-12-21,74.1
2017-12-22,77.15
2017-12-26,76.25
2017-12-27,75.65
2017-12-28,74.1
2017-12-29,73.45
