Date,BAGFILMS
2017-01-02,4.05
2017-01-03,4.15
2017-01-04,4.2
2017-01-05,4.25
2017-01-06,4.2
2017-01-09,4.25
2017-01-10,4.4
2017-01-11,4.35
2017-01-12,4.35
2017-01-13,4.5
2017-01-16,4.5
2017-01-17,4.45
2017-01-18,4.55
2017-01-19,4.4
2017-01-20,4.35
2017-01-23,4.5
2017-01-24,4.35
2017-01-25,4.25
2017-01-27,4.2
2017-01-30,4.2
2017-01-31,4.5
2017-02-01,4.5
2017-02-02,4.6
2017-02-03,4.65
2017-02-06,4.6
2017-02-07,4.5
2017-02-08,4.95
2017-02-09,4.85
2017-02-10,4.85
2017-02-13,4.65
2017-02-14,4.6
2017-02-15,4.35
2017-02-16,4.4
2017-02-17,4.25
2017-02-20,4.4
2017-02-21,4.45
2017-02-22,4.4
2017-02-23,4.4
2017-02-27,4.55
2017-02-28,4.7
2017-03-01,4.65
2017-03-02,4.55
2017-03-03,4.45
2017-03-06,4.35
2017-03-07,4.35
2017-03-08,4.4
2017-03-09,4.4
2017-03-10,4.35
2017-03-14,4.4
2017-03-15,4.4
2017-03-16,4.4
2017-03-17,4.65
2017-03-20,4.5
2017-03-21,4.4
2017-03-22,4.25
2017-03-23,4.4
2017-03-24,4.45
2017-03-27,4.45
2017-03-28,4.55
2017-03-29,4.55
2017-03-30,4.6
2017-03-31,4.65
2017-04-03,4.55
2017-04-05,4.8
2017-04-06,4.85
2017-04-07,4.9
2017-04-10,4.9
2017-04-11,5.05
2017-04-12,4.95
2017-04-13,4.95
2017-04-17,4.85
2017-04-18,4.9
2017-04-19,4.8
2017-04-20,4.75
2017-04-21,4.95
2017-04-24,5.0
2017-04-25,5.3
2017-04-26,5.1
2017-04-27,5.0
2017-04-28,5.05
2017-05-02,5.1
2017-05-03,5.1
2017-05-04,4.95
2017-05-05,4.85
2017-05-08,4.85
2017-05-09,4.9
2017-05-10,4.8
2017-05-11,4.7
2017-05-12,4.75
2017-05-15,4.7
2017-05-16,4.7
2017-05-17,4.75
2017-05-18,4.65
2017-05-19,4.55
2017-05-22,4.45
2017-05-23,4.3
2017-05-24,4.0
2017-05-25,4.15
2017-05-26,4.35
2017-05-29,4.1
2017-05-30,4.1
2017-05-31,4.2
2017-06-01,4.35
2017-06-02,4.3
2017-06-05,4.15
2017-06-06,4.2
2017-06-07,4.35
2017-06-08,4.35
2017-06-09,4.4
2017-06-12,4.2
2017-06-13,4.15
2017-06-14,4.15
2017-06-15,4.2
2017-06-16,4.2
2017-06-19,4.15
2017-06-20,4.05
2017-06-21,4.1
2017-06-22,4.15
2017-06-23,4.1
2017-06-27,4.3
2017-06-28,4.25
2017-06-29,4.25
2017-06-30,4.25
2017-07-03,4.3
2017-07-04,4.2
2017-07-05,4.25
2017-07-06,4.25
2017-07-07,4.65
2017-07-10,4.7
2017-07-11,4.35
2017-07-12,4.55
2017-07-13,4.95
2017-07-14,4.55
2017-07-17,4.9
2017-07-18,5.0
2017-07-19,4.9
2017-07-20,5.0
2017-07-21,5.3
2017-07-24,5.55
2017-07-25,5.25
2017-07-26,5.0
2017-07-27,4.95
2017-07-28,4.95
2017-07-31,4.95
2017-08-01,5.0
2017-08-02,5.0
2017-08-03,4.85
2017-08-04,4.9
2017-08-07,5.0
2017-08-08,4.75
2017-08-09,4.65
2017-08-10,4.35
2017-08-11,4.3
2017-08-14,4.5
2017-08-16,4.5
2017-08-17,4.5
2017-08-18,4.3
2017-08-21,4.3
2017-08-22,4.25
2017-08-23,4.35
2017-08-24,4.35
2017-08-28,4.4
2017-08-29,4.35
2017-08-30,4.4
2017-08-31,4.35
2017-09-01,4.55
2017-09-04,4.45
2017-09-05,4.45
2017-09-06,4.4
2017-09-07,4.55
2017-09-08,4.55
2017-09-11,4.5
2017-09-12,4.45
2017-09-13,4.4
2017-09-14,4.4
2017-09-15,4.4
2017-09-18,4.5
2017-09-19,4.4
2017-09-20,4.45
2017-09-21,4.55
2017-09-22,4.4
2017-09-25,4.4
2017-09-26,4.6
2017-09-27,4.4
2017-09-28,4.35
2017-09-29,4.35
2017-10-03,4.45
2017-10-04,4.4
2017-10-05,4.4
2017-10-06,4.4
2017-10-09,4.35
2017-10-10,4.4
2017-10-11,4.4
2017-10-12,4.5
2017-10-13,4.65
2017-10-16,4.5
2017-10-17,4.65
2017-10-18,4.9
2017-10-19,4.9
2017-10-23,4.85
2017-10-24,4.6
2017-10-25,4.65
2017-10-26,4.65
2017-10-27,4.65
2017-10-30,4.7
2017-10-31,5.6
2017-11-01,6.05
2017-11-02,5.35
2017-11-03,5.35
2017-11-06,5.4
2017-11-07,5.2
2017-11-08,5.7
2017-11-09,6.0
2017-11-10,5.6
2017-11-13,5.7
2017-11-14,5.15
2017-11-15,5.15
2017-11-16,5.45
2017-11-17,5.4
2017-11-20,5.4
2017-11-21,5.7
2017-11-22,5.6
2017-11-23,5.55
2017-11-24,5.65
2017-11-27,6.75
2017-11-28,8.1
2017-11-29,8.9
2017-11-30,8.35
2017-12-01,7.75
2017-12-04,7.7
2017-12-05,7.25
2017-12-06,7.05
