Date,BOMDYEING
2017-01-02,48.75
2017-01-03,48.9
2017-01-04,51.0
2017-01-05,54.0
2017-01-06,53.35
2017-01-09,54.35
2017-01-10,54.65
2017-01-11,55.15
2017-01-12,53.95
2017-01-13,53.2
2017-01-16,54.2
2017-01-17,55.75
2017-01-18,55.25
2017-01-19,54.9
2017-01-20,52.85
2017-01-23,53.1
2017-01-24,53.5
2017-01-25,54.25
2017-01-27,54.25
2017-01-30,55.4
2017-01-31,55.0
2017-02-01,55.1
2017-02-02,55.45
2017-02-03,58.9
2017-02-06,60.75
2017-02-07,59.15
2017-02-08,59.35
2017-02-09,58.55
2017-02-10,60.4
2017-02-13,58.5
2017-02-14,57.15
2017-02-15,55.7
2017-02-16,57.15
2017-02-17,56.6
2017-02-20,57.05
2017-02-21,59.75
2017-02-22,58.8
2017-02-23,57.95
2017-02-27,57.25
2017-02-28,58.7
2017-03-01,59.35
2017-03-02,57.6
2017-03-03,58.15
2017-03-06,59.25
2017-03-07,61.2
2017-03-08,60.8
2017-03-09,59.55
2017-03-10,58.85
2017-03-14,65.75
2017-03-15,68.5
2017-03-16,71.2
2017-03-17,71.0
2017-03-20,77.8
2017-03-21,79.0
2017-03-22,74.95
2017-03-23,80.85
2017-03-24,81.85
2017-03-27,87.7
2017-03-28,87.65
2017-03-29,83.1
2017-03-30,82.3
2017-03-31,83.0
2017-04-03,84.35
2017-04-05,84.95
2017-04-06,83.6
2017-04-07,82.05
2017-04-10,80.15
2017-04-11,79.9
2017-04-12,83.5
2017-04-13,82.7
2017-04-17,84.45
2017-04-18,82.7
2017-04-19,83.75
2017-04-20,84.75
2017-04-21,88.0
2017-04-24,90.2
2017-04-25,89.65
2017-04-26,88.2
2017-04-27,87.25
2017-04-28,86.45
2017-05-02,85.9
2017-05-03,88.5
2017-05-04,85.7
2017-05-05,84.2
2017-05-08,83.7
2017-05-09,83.0
2017-05-10,85.0
2017-05-11,84.45
2017-05-12,83.0
2017-05-15,82.2
2017-05-16,83.4
2017-05-17,82.25
2017-05-18,78.95
2017-05-19,77.15
2017-05-22,74.0
2017-05-23,70.45
2017-05-24,66.95
2017-05-25,69.85
2017-05-26,73.0
2017-05-29,70.5
2017-05-30,71.8
2017-05-31,71.35
2017-06-01,70.95
2017-06-02,69.95
2017-06-05,76.65
2017-06-06,77.65
2017-06-07,81.3
2017-06-08,84.1
2017-06-09,83.4
2017-06-12,82.05
2017-06-13,81.3
2017-06-14,83.4
2017-06-15,82.5
2017-06-16,82.35
2017-06-19,81.4
2017-06-20,85.2
2017-06-21,87.45
2017-06-22,86.15
2017-06-23,83.25
2017-06-27,80.7
2017-06-28,81.7
2017-06-29,82.0
2017-06-30,80.75
2017-07-03,85.4
2017-07-04,83.1
2017-07-05,88.35
2017-07-06,90.15
2017-07-07,89.55
2017-07-10,89.55
2017-07-11,86.5
2017-07-12,88.5
2017-07-13,88.1
2017-07-14,86.55
2017-07-17,86.15
2017-07-18,85.0
2017-07-19,88.35
2017-07-20,88.7
2017-07-21,87.6
2017-07-24,85.9
2017-07-25,86.35
2017-07-26,85.6
2017-07-27,83.3
2017-07-28,83.3
2017-07-31,83.6
2017-08-01,83.15
2017-08-02,82.15
2017-08-03,79.4
2017-08-04,81.5
2017-08-07,82.9
2017-08-08,80.3
2017-08-09,78.1
2017-08-10,69.55
2017-08-11,70.6
2017-08-14,74.85
2017-08-16,76.0
2017-08-17,78.8
2017-08-18,77.85
2017-08-21,75.85
2017-08-22,74.0
2017-08-23,79.3
2017-08-24,85.05
2017-08-28,92.6
2017-08-29,93.7
2017-08-30,104.45
2017-08-31,114.85
2017-09-01,122.55
2017-09-04,134.8
2017-09-05,139.45
2017-09-06,146.4
2017-09-07,153.7
2017-09-08,156.35
2017-09-11,148.95
2017-09-12,151.85
2017-09-13,159.1
2017-09-14,167.05
2017-09-15,175.4
2017-09-18,184.15
2017-09-19,193.35
2017-09-20,202.8
2017-09-21,212.9
2017-09-22,203.15
2017-09-25,193.0
2017-09-26,186.0
2017-09-27,176.7
2017-09-28,167.9
2017-09-29,176.25
2017-10-03,185.05
2017-10-04,194.3
2017-10-05,204.0
2017-10-06,214.2
2017-10-09,224.9
2017-10-10,236.1
2017-10-11,224.3
2017-10-12,213.1
2017-10-13,207.75
2017-10-16,199.45
2017-10-17,197.45
2017-10-18,207.3
2017-10-19,211.25
2017-10-23,204.2
2017-10-24,203.1
2017-10-25,198.8
2017-10-26,202.65
2017-10-27,197.6
2017-10-30,198.0
2017-10-31,194.25
2017-11-01,194.6
2017-11-02,193.2
2017-11-03,194.9
2017-11-06,204.25
2017-11-07,205.2
2017-11-08,196.25
2017-11-09,206.05
2017-11-10,205.55
2017-11-13,198.6
2017-11-14,195.5
2017-11-15,185.85
2017-11-16,183.75
2017-11-17,186.85
2017-11-20,196.05
2017-11-21,202.15
2017-11-22,197.75
2017-11-23,203.65
2017-11-24,199.85
2017-11-27,204.65
2017-11-28,207.4
2017-11-29,212.0
2017-11-30,221.6
2017-12-01,211.85
2017-12-04,201.35
2017-12-05,202.2
2017-12-06,204.4
2017-12-07,209.1
2017-12-08,230.0
2017-12-11,237.55
2017-12-12,234.6
2017-12-13,233.7
2017-12-14,228.3
2017-12-15,266.75
2017-12-18,280.9
2017-12-19,294.5
2017-12-20,289.25
2017-12-21,294.9
2017-12-22,292.7
2017-12-26,294.05
2017-12-27,285.25
2017-12-28,277.5
2017-12-29,277.9
