Date,HDFCNIFETF
2017-01-02,830.2
2017-01-03,830.5
2017-01-04,828.59
2017-01-05,838.0
2017-01-06,838.0
2017-01-09,836.76
2017-01-10,839.3
2017-01-11,847.16
2017-01-12,850.3
2017-01-13,850.61
2017-01-16,853.85
2017-01-17,850.84
2017-01-18,853.75
2017-01-19,852.0
2017-01-20,847.66
2017-01-23,843.48
2017-01-24,852.71
2017-01-25,866.25
2017-01-27,877.4
2017-01-30,876.53
2017-01-31,869.03
2017-02-01,884.2
2017-02-02,885.06
2017-02-03,881.5
2017-02-06,889.66
2017-02-07,888.67
2017-02-08,885.0
2017-02-09,887.91
2017-02-10,890.0
2017-02-13,892.0
2017-02-14,889.71
2017-02-15,886.22
2017-02-16,889.28
2017-02-17,893.98
2017-02-20,898.1
2017-02-21,902.3
2017-02-22,902.2
2017-02-23,906.28
2017-02-27,902.0
2017-02-28,901.1
2017-03-01,907.0
2017-03-02,902.56
2017-03-03,901.76
2017-03-06,908.88
2017-03-07,907.75
2017-03-08,902.42
2017-03-09,904.5
2017-03-10,908.49
2017-03-14,922.4
2017-03-15,920.0
2017-03-16,930.46
2017-03-17,930.0
2017-03-20,926.72
2017-03-21,923.85
2017-03-22,916.65
2017-03-23,920.34
2017-03-24,926.2
2017-03-27,919.58
2017-03-28,926.43
2017-03-29,929.08
2017-03-30,929.0
2017-03-31,925.05
2017-04-03,939.55
2017-04-05,941.57
2017-04-06,936.08
2017-04-07,940.0
2017-04-10,934.07
2017-04-11,939.63
2017-04-12,933.79
2017-04-13,934.2
2017-04-17,929.59
2017-04-18,937.06
2017-04-19,923.64
2017-04-20,929.6
2017-04-21,922.02
2017-04-24,933.56
2017-04-25,942.8
2017-04-26,943.36
2017-04-27,948.7
2017-04-28,942.4
2017-05-02,947.15
2017-05-03,946.44
2017-05-04,949.85
2017-05-05,941.86
2017-05-08,947.26
2017-05-09,945.71
2017-05-10,952.46
2017-05-11,954.61
2017-05-12,951.98
2017-05-15,957.41
2017-05-16,961.0
2017-05-17,965.0
2017-05-18,958.42
2017-05-19,964.45
2017-05-22,959.37
2017-05-23,953.52
2017-05-24,954.53
2017-05-25,964.96
2017-05-26,971.2
2017-05-29,974.8
2017-05-30,975.8
2017-05-31,974.51
2017-06-01,974.18
2017-06-02,979.49
2017-06-05,980.92
2017-06-06,980.38
2017-06-07,980.39
2017-06-08,981.48
2017-06-09,984.6
2017-06-12,978.37
2017-06-13,979.9
2017-06-14,976.25
2017-06-15,980.13
2017-06-16,973.36
2017-06-19,979.77
2017-06-20,978.93
2017-06-21,978.45
2017-06-22,984.89
2017-06-23,974.52
2017-06-27,968.46
2017-06-28,964.7
2017-06-29,973.39
2017-06-30,963.5
2017-07-03,979.05
2017-07-04,982.0
2017-07-05,979.42
2017-07-06,984.9
2017-07-07,984.4
2017-07-10,997.43
2017-07-11,997.49
2017-07-12,999.15
2017-07-13,1006.0
2017-07-14,1007.15
2017-07-17,1011.78
2017-07-18,1001.21
2017-07-19,1005.4
2017-07-20,1013.54
2017-07-21,1007.98
2017-07-24,1016.0
2017-07-25,1017.0
2017-07-26,1021.0
2017-07-27,1027.4
2017-07-28,1020.25
2017-07-31,1024.87
2017-08-01,1032.93
2017-08-02,1031.34
2017-08-03,1025.1
2017-08-04,1028.46
2017-08-07,1029.92
2017-08-08,1021.1
2017-08-09,1013.43
2017-08-10,1008.65
2017-08-11,996.1
2017-08-14,1002.2
2017-08-16,1010.48
2017-08-17,1014.0
2017-08-18,1001.6
2017-08-21,1000.0
2017-08-22,1000.07
2017-08-23,1003.0
2017-08-24,1006.8
2017-08-28,1013.18
2017-08-29,1004.87
2017-08-30,1011.16
2017-08-31,1011.25
2017-09-01,1020.73
2017-09-04,1013.2
2017-09-05,1015.83
2017-09-06,1013.23
2017-09-07,1016.32
2017-09-08,1009.58
2017-09-11,1016.9
2017-09-12,1026.91
2017-09-13,1025.38
2017-09-14,1027.82
2017-09-15,1028.0
2017-09-18,1035.0
2017-09-19,1033.85
2017-09-20,1034.64
2017-09-21,1029.12
2017-09-22,1015.0
2017-09-25,1004.1
2017-09-26,1008.0
2017-09-27,991.82
2017-09-28,994.6
2017-09-29,1000.0
2017-10-03,1005.1
2017-10-04,1010.0
2017-10-05,1009.0
2017-10-06,1016.21
2017-10-09,1018.25
2017-10-10,1019.61
2017-10-11,1024.2
2017-10-12,1023.98
2017-10-13,1038.0
2017-10-16,1042.45
2017-10-17,1040.3
2017-10-18,1038.93
2017-10-19,1032.45
2017-10-23,1037.69
2017-10-24,1039.0
2017-10-25,1050.0
2017-10-26,1055.9
2017-10-27,1053.82
2017-10-30,1057.15
2017-10-31,1053.74
2017-11-01,1065.0
2017-11-02,1062.25
2017-11-03,1061.14
2017-11-06,1064.1
2017-11-07,1057.9
2017-11-08,1053.0
2017-11-09,1052.4
2017-11-10,1053.17
2017-11-13,1048.0
2017-11-14,1039.76
2017-11-15,1032.0
2017-11-16,1039.7
2017-11-17,1053.2
2017-11-20,1052.99
2017-11-21,1059.5
2017-11-22,1055.56
2017-11-23,1056.2
2017-11-24,1060.75
2017-11-27,1059.04
2017-11-28,1060.36
2017-11-29,1060.0
2017-11-30,1047.47
2017-12-01,1035.0
2017-12-04,1037.31
2017-12-05,1039.57
2017-12-06,1027.0
2017-12-07,1040.55
2017-12-08,1048.54
2017-12-11,1053.08
2017-12-12,1052.0
2017-12-13,1043.88
2017-12-14,1044.0
2017-12-15,1054.42
2017-12-18,1060.57
2017-12-19,1067.79
2017-12-20,1067.76
2017-12-21,1067.04
2017-12-22,1070.0
2017-12-26,1069.34
2017-12-27,1075.91
2017-12-28,1070.74
2017-12-29,1071.0
