Date,HITECHCORP
2017-01-02,157.65
2017-01-03,162.7
2017-01-04,161.4
2017-01-05,162.1
2017-01-06,160.95
2017-01-09,159.2
2017-01-10,158.4
2017-01-11,175.35
2017-01-12,169.65
2017-01-13,167.55
2017-01-16,168.65
2017-01-17,168.45
2017-01-18,168.85
2017-01-19,169.95
2017-01-20,165.4
2017-01-23,163.55
2017-01-24,165.75
2017-01-25,167.65
2017-01-27,167.05
2017-01-30,164.65
2017-01-31,162.7
2017-02-01,167.8
2017-02-02,166.8
2017-02-03,167.15
2017-02-06,168.4
2017-02-07,167.9
2017-02-08,158.5
2017-02-09,149.4
2017-02-10,143.7
2017-02-13,148.6
2017-02-14,149.0
2017-02-15,150.75
2017-02-16,155.6
2017-02-17,159.4
2017-02-20,161.7
2017-02-21,157.55
2017-02-22,155.2
2017-02-23,153.85
2017-02-27,153.35
2017-02-28,155.0
2017-03-01,163.75
2017-03-02,161.9
2017-03-03,158.75
2017-03-06,164.45
2017-03-07,166.5
2017-03-08,164.55
2017-03-09,163.75
2017-03-10,165.45
2017-03-14,161.75
2017-03-15,160.9
2017-03-16,161.55
2017-03-17,162.6
2017-03-20,163.15
2017-03-21,160.9
2017-03-22,156.75
2017-03-23,156.65
2017-03-24,156.45
2017-03-27,156.3
2017-03-28,156.05
2017-03-29,156.9
2017-03-30,163.3
2017-03-31,170.75
2017-04-03,174.45
2017-04-05,180.75
2017-04-06,178.15
2017-04-07,174.0
2017-04-10,172.15
2017-04-11,171.4
2017-04-12,167.3
2017-04-13,178.55
2017-04-17,175.85
2017-04-18,180.25
2017-04-19,204.7
2017-04-20,204.25
2017-04-21,202.0
2017-04-24,211.05
2017-04-25,230.25
2017-04-26,225.45
2017-04-27,222.75
2017-04-28,221.6
2017-05-02,218.85
2017-05-03,220.6
2017-05-04,224.3
2017-05-05,219.7
2017-05-08,220.6
2017-05-09,219.9
2017-05-10,215.95
2017-05-11,213.3
2017-05-12,211.7
2017-05-15,209.2
2017-05-16,210.85
2017-05-17,205.45
2017-05-18,204.0
2017-05-19,198.75
2017-05-22,207.2
2017-05-23,198.5
2017-05-24,195.9
2017-05-25,197.55
2017-05-26,205.5
2017-05-29,202.45
2017-05-30,197.5
2017-05-31,198.05
2017-06-01,198.75
2017-06-02,198.4
2017-06-05,199.75
2017-06-06,199.5
2017-06-07,192.15
2017-06-08,195.15
2017-06-09,197.9
2017-06-12,195.25
2017-06-13,197.3
2017-06-14,197.5
2017-06-15,197.9
2017-06-16,194.9
2017-06-19,196.3
2017-06-20,196.25
2017-06-21,195.5
2017-06-22,202.7
2017-06-23,217.5
2017-06-27,220.65
2017-06-28,218.25
2017-06-29,217.5
2017-06-30,219.05
2017-07-03,216.75
2017-07-04,211.8
2017-07-05,212.65
2017-07-06,213.9
2017-07-07,212.05
2017-07-10,212.05
2017-07-11,205.2
2017-07-12,205.7
2017-07-13,202.7
2017-07-14,213.15
2017-07-17,224.15
2017-07-18,222.8
2017-07-19,224.7
2017-07-20,224.85
2017-07-21,226.05
2017-07-24,222.05
2017-07-25,216.5
2017-07-26,212.1
2017-07-27,210.5
2017-07-28,211.25
2017-07-31,212.0
2017-08-01,209.15
2017-08-02,206.7
2017-08-03,201.1
2017-08-04,203.7
2017-08-07,202.95
2017-08-08,199.7
2017-08-09,196.1
2017-08-10,187.9
2017-08-11,189.1
2017-08-14,191.2
2017-08-16,192.55
2017-08-17,192.65
2017-08-18,190.75
2017-08-21,194.3
2017-08-22,190.55
2017-08-23,193.05
2017-08-24,195.5
2017-08-28,193.05
2017-08-29,192.8
2017-08-30,193.5
2017-08-31,188.45
2017-09-01,190.0
2017-09-04,188.6
2017-09-05,184.65
2017-09-06,181.95
2017-09-07,191.45
2017-09-08,186.6
2017-09-11,185.35
2017-09-12,185.75
2017-09-13,185.75
2017-09-14,185.25
2017-09-15,185.25
2017-09-18,184.15
2017-09-19,184.7
2017-09-20,189.3
2017-09-21,183.95
2017-09-22,179.7
2017-09-25,175.05
2017-09-26,178.95
2017-09-27,175.5
2017-09-28,170.3
2017-09-29,173.5
2017-10-03,173.5
2017-10-04,172.95
2017-10-05,172.0
2017-10-06,173.25
2017-10-09,172.85
2017-10-10,170.85
2017-10-11,173.7
2017-10-12,174.05
2017-10-13,170.75
2017-10-16,168.3
2017-10-17,168.7
2017-10-18,172.5
2017-10-19,172.0
2017-10-23,171.25
2017-10-24,171.7
2017-10-25,174.4
2017-10-26,174.05
2017-10-27,174.8
2017-10-30,170.2
2017-10-31,173.1
2017-11-01,170.85
2017-11-02,171.15
2017-11-03,180.4
2017-11-06,181.2
2017-11-07,181.45
2017-11-08,182.4
2017-11-09,180.2
2017-11-10,177.7
2017-11-13,173.5
2017-11-14,174.45
2017-11-15,169.05
2017-11-16,170.35
2017-11-17,173.05
2017-11-20,174.3
2017-11-21,172.75
2017-11-22,173.45
2017-11-23,172.55
2017-11-24,176.95
2017-11-27,174.25
2017-11-28,173.95
2017-11-29,171.5
2017-11-30,171.8
2017-12-01,170.95
2017-12-04,170.05
2017-12-05,169.15
2017-12-06,169.0
2017-12-07,168.65
2017-12-08,165.4
2017-12-11,161.95
2017-12-12,159.5
2017-12-13,165.5
2017-12-14,161.9
2017-12-15,160.55
2017-12-18,160.9
2017-12-19,162.2
2017-12-20,174.3
2017-12-21,182.35
2017-12-22,179.4
2017-12-26,183.25
2017-12-27,183.35
2017-12-28,182.95
2017-12-29,181.25
