Date,INSECTICID
2017-01-02,484.6
2017-01-03,508.8
2017-01-04,501.85
2017-01-05,501.05
2017-01-06,514.65
2017-01-09,520.9
2017-01-10,529.6
2017-01-11,548.35
2017-01-12,531.45
2017-01-13,532.4
2017-01-16,534.6
2017-01-17,536.15
2017-01-18,531.65
2017-01-19,530.5
2017-01-20,524.0
2017-01-23,519.75
2017-01-24,529.35
2017-01-25,568.0
2017-01-27,570.2
2017-01-30,570.0
2017-01-31,567.7
2017-02-01,569.3
2017-02-02,567.8
2017-02-03,564.1
2017-02-06,576.15
2017-02-07,577.4
2017-02-08,575.75
2017-02-09,566.0
2017-02-10,566.95
2017-02-13,567.85
2017-02-14,566.75
2017-02-15,561.35
2017-02-16,558.55
2017-02-17,558.6
2017-02-20,554.9
2017-02-21,556.8
2017-02-22,570.55
2017-02-23,574.55
2017-02-27,569.3
2017-02-28,568.0
2017-03-01,565.6
2017-03-02,561.85
2017-03-03,564.05
2017-03-06,557.15
2017-03-07,556.75
2017-03-08,553.9
2017-03-09,553.15
2017-03-10,553.5
2017-03-14,559.7
2017-03-15,556.2
2017-03-16,555.05
2017-03-17,551.8
2017-03-20,554.1
2017-03-21,554.85
2017-03-22,546.85
2017-03-23,540.2
2017-03-24,551.55
2017-03-27,545.4
2017-03-28,539.05
2017-03-29,525.75
2017-03-30,531.0
2017-03-31,530.6
2017-04-03,537.05
2017-04-05,539.85
2017-04-06,543.85
2017-04-07,534.0
2017-04-10,528.0
2017-04-11,535.2
2017-04-12,549.95
2017-04-13,546.65
2017-04-17,564.0
2017-04-18,586.85
2017-04-19,593.55
2017-04-20,609.85
2017-04-21,627.2
2017-04-24,631.75
2017-04-25,612.25
2017-04-26,620.15
2017-04-27,620.55
2017-04-28,620.0
2017-05-02,630.3
2017-05-03,638.9
2017-05-04,626.4
2017-05-05,623.75
2017-05-08,625.4
2017-05-09,634.95
2017-05-10,662.6
2017-05-11,657.15
2017-05-12,679.05
2017-05-15,681.1
2017-05-16,674.45
2017-05-17,679.35
2017-05-18,661.8
2017-05-19,656.75
2017-05-22,633.95
2017-05-23,629.6
2017-05-24,590.8
2017-05-25,598.05
2017-05-26,617.8
2017-05-29,647.65
2017-05-30,642.4
2017-05-31,650.25
2017-06-01,662.2
2017-06-02,686.5
2017-06-05,697.35
2017-06-06,694.9
2017-06-07,707.55
2017-06-08,697.05
2017-06-09,690.9
2017-06-12,677.0
2017-06-13,677.8
2017-06-14,674.05
2017-06-15,669.75
2017-06-16,659.9
2017-06-19,665.05
2017-06-20,677.3
2017-06-21,672.45
2017-06-22,668.7
2017-06-23,663.55
2017-06-27,651.85
2017-06-28,629.65
2017-06-29,640.05
2017-06-30,641.75
2017-07-03,642.8
2017-07-04,628.15
2017-07-05,637.45
2017-07-06,659.55
2017-07-07,662.85
2017-07-10,670.0
2017-07-11,670.05
2017-07-12,671.9
2017-07-13,686.05
2017-07-14,679.6
2017-07-17,702.65
2017-07-18,688.4
2017-07-19,687.75
2017-07-20,701.75
2017-07-21,689.15
2017-07-24,694.3
2017-07-25,686.55
2017-07-26,706.05
2017-07-27,715.2
2017-07-28,703.05
2017-07-31,719.2
2017-08-01,723.8
2017-08-02,714.95
2017-08-03,727.75
2017-08-04,733.4
2017-08-07,761.65
2017-08-08,723.55
2017-08-09,774.6
2017-08-10,738.15
2017-08-11,761.8
2017-08-14,794.75
2017-08-16,786.45
2017-08-17,790.1
2017-08-18,779.7
2017-08-21,769.75
2017-08-22,766.2
2017-08-23,768.25
2017-08-24,765.05
2017-08-28,818.1
2017-08-29,792.35
2017-08-30,844.45
2017-08-31,859.75
2017-09-01,907.1
2017-09-04,877.25
2017-09-05,877.65
2017-09-06,900.4
2017-09-07,930.65
2017-09-08,910.15
2017-09-11,917.65
2017-09-12,915.5
2017-09-13,916.35
2017-09-14,949.85
2017-09-15,931.65
2017-09-18,948.5
2017-09-19,936.05
2017-09-20,935.1
2017-09-21,907.6
2017-09-22,875.65
2017-09-25,887.9
2017-09-26,904.5
2017-09-27,876.85
2017-09-28,882.5
2017-09-29,913.6
2017-10-03,933.95
2017-10-04,932.75
2017-10-05,950.55
2017-10-06,943.4
2017-10-09,905.2
2017-10-10,910.65
2017-10-11,905.85
2017-10-12,889.15
2017-10-13,890.5
2017-10-16,891.05
2017-10-17,877.6
2017-10-18,877.45
2017-10-19,889.45
2017-10-23,897.2
2017-10-24,878.7
2017-10-25,864.2
2017-10-26,866.6
2017-10-27,880.55
2017-10-30,896.0
2017-10-31,889.8
2017-11-01,895.05
2017-11-02,892.75
2017-11-03,873.7
2017-11-06,869.95
2017-11-07,852.5
2017-11-08,854.65
2017-11-09,858.75
2017-11-10,860.5
2017-11-13,858.65
2017-11-14,837.15
2017-11-15,826.7
2017-11-16,857.05
2017-11-17,896.05
2017-11-20,873.65
2017-11-21,844.4
2017-11-22,832.5
2017-11-23,819.1
2017-11-24,830.05
2017-11-27,824.8
2017-11-28,823.8
2017-11-29,825.35
2017-11-30,819.2
2017-12-01,812.65
2017-12-04,793.25
2017-12-05,787.35
2017-12-06,774.25
2017-12-07,786.9
2017-12-08,810.3
2017-12-11,818.2
2017-12-12,799.25
2017-12-13,797.95
2017-12-14,779.65
2017-12-15,768.9
2017-12-18,770.6
2017-12-19,778.4
2017-12-20,783.9
2017-12-21,785.9
2017-12-22,809.1
2017-12-26,818.2
2017-12-27,800.8
2017-12-28,804.0
2017-12-29,807.85
