Date,JAGRAN
2017-01-02,179.45
2017-01-03,180.4
2017-01-04,180.9
2017-01-05,177.15
2017-01-06,175.4
2017-01-09,180.0
2017-01-10,177.0
2017-01-11,179.05
2017-01-12,184.05
2017-01-13,184.0
2017-01-16,180.75
2017-01-17,179.9
2017-01-18,178.85
2017-01-19,177.95
2017-01-20,178.2
2017-01-23,179.05
2017-01-24,179.95
2017-01-25,180.4
2017-01-27,180.25
2017-01-30,181.6
2017-01-31,182.45
2017-02-01,185.75
2017-02-02,184.65
2017-02-03,186.95
2017-02-06,186.8
2017-02-07,188.55
2017-02-08,187.15
2017-02-09,186.85
2017-02-10,186.7
2017-02-13,186.15
2017-02-14,188.0
2017-02-15,187.45
2017-02-16,188.0
2017-02-17,188.45
2017-02-20,190.6
2017-02-21,189.85
2017-02-22,187.6
2017-02-23,184.8
2017-02-27,186.85
2017-02-28,186.2
2017-03-01,186.65
2017-03-02,189.05
2017-03-03,190.65
2017-03-06,188.75
2017-03-07,187.3
2017-03-08,189.0
2017-03-09,188.75
2017-03-10,188.05
2017-03-14,186.1
2017-03-15,181.85
2017-03-16,182.6
2017-03-17,177.8
2017-03-20,175.8
2017-03-21,172.4
2017-03-22,168.65
2017-03-23,171.4
2017-03-24,174.6
2017-03-27,177.85
2017-03-28,180.05
2017-03-29,182.15
2017-03-30,187.65
2017-03-31,192.0
2017-04-03,186.85
2017-04-05,184.75
2017-04-06,187.15
2017-04-07,187.65
2017-04-10,185.95
2017-04-11,190.65
2017-04-12,195.7
2017-04-13,197.4
2017-04-17,198.1
2017-04-18,197.7
2017-04-19,198.1
2017-04-20,198.65
2017-04-21,191.95
2017-04-24,193.4
2017-04-25,193.65
2017-04-26,193.7
2017-04-27,197.15
2017-04-28,195.1
2017-05-02,197.85
2017-05-03,196.4
2017-05-04,193.8
2017-05-05,193.0
2017-05-08,193.95
2017-05-09,195.85
2017-05-10,197.4
2017-05-11,193.3
2017-05-12,194.3
2017-05-15,193.4
2017-05-16,192.9
2017-05-17,189.45
2017-05-18,185.95
2017-05-19,185.85
2017-05-22,182.6
2017-05-23,179.25
2017-05-24,177.0
2017-05-25,177.8
2017-05-26,179.35
2017-05-29,175.45
2017-05-30,177.95
2017-05-31,179.45
2017-06-01,179.05
2017-06-02,179.15
2017-06-05,183.1
2017-06-06,185.45
2017-06-07,185.45
2017-06-08,189.35
2017-06-09,185.35
2017-06-12,183.65
2017-06-13,181.8
2017-06-14,182.55
2017-06-15,182.8
2017-06-16,184.95
2017-06-19,184.25
2017-06-20,182.55
2017-06-21,181.65
2017-06-22,180.6
2017-06-23,180.9
2017-06-27,179.6
2017-06-28,180.15
2017-06-29,181.25
2017-06-30,183.1
2017-07-03,184.9
2017-07-04,185.4
2017-07-05,183.75
2017-07-06,182.75
2017-07-07,178.65
2017-07-10,177.65
2017-07-11,177.4
2017-07-12,178.0
2017-07-13,177.35
2017-07-14,174.9
2017-07-17,173.9
2017-07-18,172.0
2017-07-19,170.05
2017-07-20,173.0
2017-07-21,174.9
2017-07-24,174.65
2017-07-25,173.6
2017-07-26,174.4
2017-07-27,175.75
2017-07-28,176.05
2017-07-31,176.05
2017-08-01,181.95
2017-08-02,177.2
2017-08-03,178.3
2017-08-04,178.1
2017-08-07,180.3
2017-08-08,179.95
2017-08-09,178.7
2017-08-10,174.0
2017-08-11,172.1
2017-08-14,168.5
2017-08-16,172.95
2017-08-17,176.65
2017-08-18,172.6
2017-08-21,173.4
2017-08-22,176.3
2017-08-23,175.8
2017-08-24,173.5
2017-08-28,173.85
2017-08-29,171.3
2017-08-30,173.0
2017-08-31,178.5
2017-09-01,180.0
2017-09-04,177.35
2017-09-05,176.1
2017-09-06,175.25
2017-09-07,175.45
2017-09-08,175.9
2017-09-11,177.1
2017-09-12,178.55
2017-09-13,179.15
2017-09-14,181.05
2017-09-15,183.65
2017-09-18,185.7
2017-09-19,184.2
2017-09-20,182.2
2017-09-21,181.95
2017-09-22,180.15
2017-09-25,174.25
2017-09-26,177.8
2017-09-27,178.0
2017-09-28,181.0
2017-09-29,178.9
2017-10-03,178.5
2017-10-04,179.75
2017-10-05,176.85
2017-10-06,178.6
2017-10-09,179.7
2017-10-10,176.3
2017-10-11,176.1
2017-10-12,179.1
2017-10-13,173.3
2017-10-16,171.4
2017-10-17,172.55
2017-10-18,174.0
2017-10-19,175.7
2017-10-23,176.45
2017-10-24,176.35
2017-10-25,176.8
2017-10-26,179.85
2017-10-27,180.05
2017-10-30,178.9
2017-10-31,177.65
2017-11-01,175.75
2017-11-02,178.85
2017-11-03,177.35
2017-11-06,174.0
2017-11-07,174.15
2017-11-08,171.8
2017-11-09,172.2
2017-11-10,171.8
2017-11-13,169.0
2017-11-14,166.7
2017-11-15,163.0
2017-11-16,164.1
2017-11-17,160.7
2017-11-20,161.85
2017-11-21,163.2
2017-11-22,167.85
2017-11-23,165.35
2017-11-24,164.45
2017-11-27,165.9
2017-11-28,163.05
2017-11-29,163.7
2017-11-30,165.1
2017-12-01,163.55
2017-12-04,164.35
2017-12-05,164.0
2017-12-06,164.0
2017-12-07,163.95
2017-12-08,167.9
2017-12-11,166.8
2017-12-12,166.85
2017-12-13,167.65
2017-12-14,166.5
2017-12-15,167.65
2017-12-18,164.6
2017-12-19,164.0
2017-12-20,165.45
2017-12-21,167.4
2017-12-22,170.45
2017-12-26,177.85
2017-12-27,174.5
2017-12-28,177.2
2017-12-29,177.85
