Date,JAYBARMARU
2017-01-02,289.55
2017-01-03,299.55
2017-01-04,293.35
2017-01-05,313.05
2017-01-06,306.85
2017-01-09,312.3
2017-01-10,313.85
2017-01-11,362.15
2017-01-12,369.05
2017-01-13,366.85
2017-01-16,363.0
2017-01-17,357.2
2017-01-18,355.1
2017-01-19,351.95
2017-01-20,342.8
2017-01-23,337.05
2017-01-24,344.0
2017-01-25,355.0
2017-01-27,353.75
2017-01-30,345.1
2017-01-31,330.9
2017-02-01,344.45
2017-02-02,349.95
2017-02-03,349.2
2017-02-06,346.05
2017-02-07,347.8
2017-02-08,367.35
2017-02-09,359.35
2017-02-10,362.25
2017-02-13,359.2
2017-02-14,357.8
2017-02-15,345.95
2017-02-16,354.15
2017-02-17,350.2
2017-02-20,348.6
2017-02-21,352.45
2017-02-22,348.45
2017-02-23,354.45
2017-02-27,400.0
2017-02-28,397.95
2017-03-01,389.1
2017-03-02,374.85
2017-03-03,377.35
2017-03-06,393.0
2017-03-07,385.4
2017-03-08,381.55
2017-03-09,380.75
2017-03-10,379.75
2017-03-14,381.9
2017-03-15,381.3
2017-03-16,402.55
2017-03-17,394.15
2017-03-20,422.0
2017-03-21,428.6
2017-03-22,423.1
2017-03-23,424.85
2017-03-24,420.95
2017-03-27,420.25
2017-03-28,422.4
2017-03-29,415.4
2017-03-30,417.7
2017-03-31,422.75
2017-04-03,428.2
2017-04-05,433.15
2017-04-06,430.2
2017-04-07,425.1
2017-04-10,416.3
2017-04-11,426.5
2017-04-12,429.4
2017-04-13,428.55
2017-04-17,429.5
2017-04-18,431.35
2017-04-19,436.25
2017-04-20,523.5
2017-04-21,601.75
2017-04-24,586.1
2017-04-25,622.8
2017-04-26,610.6
2017-04-27,606.75
2017-04-28,595.25
2017-05-02,612.2
2017-05-03,613.35
2017-05-04,610.8
2017-05-05,599.0
2017-05-08,637.9
2017-05-09,632.85
2017-05-10,647.5
2017-05-11,651.25
2017-05-12,642.1
2017-05-15,640.65
2017-05-16,643.85
2017-05-17,636.1
2017-05-18,628.2
2017-05-19,614.3
2017-05-22,572.95
2017-05-23,586.3
2017-05-24,579.15
2017-05-25,579.8
2017-05-26,584.5
2017-05-29,571.2
2017-05-30,577.05
2017-05-31,574.4
2017-06-01,580.4
2017-06-02,579.05
2017-06-05,605.75
2017-06-06,592.65
2017-06-07,612.95
2017-06-08,618.25
2017-06-09,639.4
2017-06-12,620.75
2017-06-13,624.5
2017-06-14,631.0
2017-06-15,634.75
2017-06-16,655.95
2017-06-19,646.35
2017-06-20,648.3
2017-06-21,645.85
2017-06-22,638.0
2017-06-23,618.85
2017-06-27,613.75
2017-06-28,628.15
2017-06-29,626.1
2017-06-30,630.1
2017-07-03,639.95
2017-07-04,652.2
2017-07-05,650.15
2017-07-06,645.7
2017-07-07,669.55
2017-07-10,680.65
2017-07-11,667.7
2017-07-12,656.0
2017-07-13,654.85
2017-07-14,663.95
2017-07-17,698.9
2017-07-18,715.75
2017-07-19,654.45
2017-07-20,655.6
2017-07-21,640.15
2017-07-24,620.65
2017-07-25,627.55
2017-07-26,628.2
2017-07-27,625.8
2017-07-28,622.0
2017-07-31,615.65
2017-08-01,618.15
2017-08-02,616.2
2017-08-03,600.75
2017-08-04,587.75
2017-08-07,585.95
2017-08-08,575.65
2017-08-09,551.0
2017-08-10,514.4
2017-08-11,517.2
2017-08-14,549.4
2017-08-16,558.6
2017-08-17,553.05
2017-08-18,552.9
2017-08-21,541.65
2017-08-22,527.2
2017-08-23,534.55
2017-08-24,555.35
2017-08-28,560.55
2017-08-29,549.3
2017-08-30,591.3
2017-08-31,609.3
2017-09-01,631.85
2017-09-04,616.25
2017-09-05,622.45
2017-09-06,617.55
2017-09-07,616.85
2017-09-08,613.9
2017-09-11,641.55
2017-09-12,645.2
2017-09-13,656.15
2017-09-14,647.55
2017-09-15,644.2
2017-09-18,647.75
2017-09-19,646.65
2017-09-20,645.95
2017-09-21,628.45
2017-09-22,606.2
2017-09-25,586.3
2017-09-26,603.4
2017-09-27,583.15
2017-09-28,595.85
2017-09-29,602.55
2017-10-03,617.15
2017-10-04,619.7
2017-10-05,617.75
2017-10-06,602.85
2017-10-09,559.7
2017-10-10,558.05
2017-10-11,561.55
2017-10-12,565.2
2017-10-13,556.0
2017-10-16,555.45
2017-10-17,564.9
2017-10-18,579.6
2017-10-19,576.2
2017-10-23,580.55
2017-10-24,589.0
2017-10-25,579.85
2017-10-26,578.5
2017-10-27,574.75
2017-10-30,581.95
2017-10-31,585.9
2017-11-01,593.45
2017-11-02,596.75
2017-11-03,580.5
2017-11-06,569.6
2017-11-07,564.25
2017-11-08,554.4
2017-11-09,538.1
2017-11-10,530.5
2017-11-13,508.8
2017-11-14,522.95
2017-11-15,517.05
2017-11-16,521.8
2017-11-17,518.05
2017-11-20,526.55
2017-11-21,527.35
2017-11-22,528.35
2017-11-23,539.05
2017-11-24,532.35
2017-11-27,534.75
2017-11-28,531.85
2017-11-29,524.45
2017-11-30,521.1
2017-12-01,516.25
2017-12-04,516.1
2017-12-05,515.55
2017-12-06,509.9
2017-12-07,515.7
2017-12-08,522.15
2017-12-11,520.75
2017-12-12,516.95
2017-12-13,515.45
2017-12-14,518.3
2017-12-15,523.15
2017-12-18,525.15
2017-12-19,552.45
2017-12-20,586.65
2017-12-21,601.3
2017-12-22,586.35
2017-12-26,588.45
2017-12-27,577.85
2017-12-28,569.0
2017-12-29,576.0
