Date,JHS
2017-01-02,37.45
2017-01-03,37.6
2017-01-04,37.35
2017-01-05,38.5
2017-01-06,37.7
2017-01-09,40.7
2017-01-10,39.95
2017-01-11,38.9
2017-01-12,38.65
2017-01-13,38.3
2017-01-16,38.35
2017-01-17,37.7
2017-01-18,37.8
2017-01-19,38.1
2017-01-20,38.7
2017-01-23,39.45
2017-01-24,39.9
2017-01-25,41.05
2017-01-27,40.75
2017-01-30,40.7
2017-01-31,39.3
2017-02-01,38.8
2017-02-02,39.15
2017-02-03,38.85
2017-02-06,41.4
2017-02-07,40.75
2017-02-08,40.75
2017-02-09,40.0
2017-02-10,40.25
2017-02-13,39.35
2017-02-14,38.2
2017-02-15,37.1
2017-02-16,37.3
2017-02-17,39.1
2017-02-20,39.2
2017-02-21,39.3
2017-02-22,38.6
2017-02-23,38.25
2017-02-27,38.5
2017-02-28,37.75
2017-03-01,38.55
2017-03-02,38.55
2017-03-03,38.5
2017-03-06,38.6
2017-03-07,37.75
2017-03-08,37.35
2017-03-09,37.05
2017-03-10,36.95
2017-03-14,37.7
2017-03-15,37.6
2017-03-16,39.9
2017-03-17,39.65
2017-03-20,38.25
2017-03-21,37.8
2017-03-22,37.5
2017-03-23,38.15
2017-03-24,39.3
2017-03-27,37.8
2017-03-28,37.65
2017-03-29,37.8
2017-03-30,38.75
2017-03-31,38.35
2017-04-03,39.0
2017-04-05,41.8
2017-04-06,40.85
2017-04-07,41.95
2017-04-10,41.65
2017-04-11,42.4
2017-04-12,41.35
2017-04-13,40.85
2017-04-17,42.15
2017-04-18,43.5
2017-04-19,50.6
2017-04-20,51.85
2017-04-21,52.55
2017-04-24,58.8
2017-04-25,55.15
2017-04-26,55.9
2017-05-30,53.35
2017-05-31,56.0
2017-06-01,58.8
2017-06-02,58.8
2017-06-05,61.65
2017-06-06,64.7
2017-06-07,67.9
2017-06-08,71.25
2017-06-09,69.05
2017-06-12,67.75
2017-06-13,66.2
2017-06-14,63.25
2017-06-15,66.4
2017-06-16,69.7
2017-06-19,73.15
2017-06-20,75.7
2017-06-21,72.95
2017-06-22,72.55
2017-06-23,70.15
2017-06-27,70.9
2017-06-28,69.85
2017-06-29,69.3
2017-06-30,70.1
2017-07-03,69.85
2017-07-04,69.6
2017-07-05,70.55
2017-07-06,69.55
2017-07-07,72.75
2017-07-10,74.45
2017-07-11,71.8
2017-07-12,70.6
2017-07-13,70.9
2017-07-14,70.05
2017-07-17,69.15
2017-07-18,68.85
2017-07-19,69.1
2017-07-20,68.95
2017-07-21,68.55
2017-07-24,67.8
2017-07-25,66.7
2017-07-26,65.4
2017-07-27,66.0
2017-07-28,64.1
2017-07-31,65.05
2017-08-01,68.3
2017-08-02,68.7
2017-08-03,65.35
2017-08-04,68.6
2017-08-07,70.8
2017-08-08,70.25
2017-08-09,67.85
2017-08-10,64.15
2017-08-11,64.05
2017-08-14,66.4
2017-08-16,67.3
2017-08-17,66.95
2017-08-18,67.15
2017-08-21,66.05
2017-08-22,66.8
2017-08-23,70.5
2017-08-24,69.45
2017-08-28,72.35
2017-08-29,71.85
2017-08-30,69.85
2017-08-31,71.0
2017-09-01,70.2
2017-09-04,69.35
2017-09-05,69.3
2017-09-06,68.35
2017-09-07,67.8
2017-09-08,66.8
2017-09-11,67.05
2017-09-12,66.9
2017-09-13,67.0
2017-09-14,66.1
2017-09-15,64.3
2017-09-18,64.15
2017-09-19,63.95
2017-09-20,63.75
2017-09-21,63.6
2017-09-22,64.55
2017-09-25,62.35
2017-09-26,62.95
2017-09-27,60.75
2017-09-28,62.25
2017-09-29,63.3
2017-10-03,67.95
2017-10-04,66.45
2017-10-05,72.8
2017-10-06,78.95
2017-10-09,80.7
2017-10-10,77.9
2017-10-11,74.75
2017-10-12,78.2
2017-10-13,79.1
2017-10-16,79.1
2017-10-17,79.85
2017-10-18,79.6
2017-10-19,80.3
2017-10-23,77.95
2017-10-24,77.25
2017-10-25,75.3
2017-10-26,76.7
2017-10-27,77.1
2017-10-30,77.05
2017-10-31,76.65
2017-11-01,76.85
2017-11-02,76.15
2017-11-03,76.75
2017-11-06,76.35
2017-11-07,75.1
2017-11-08,75.05
2017-11-09,75.8
2017-11-10,75.3
2017-11-13,74.45
2017-11-14,72.2
2017-11-15,69.45
2017-11-16,72.8
2017-11-17,75.2
2017-11-20,74.85
2017-11-21,74.9
2017-11-22,71.35
2017-11-23,74.55
2017-11-24,74.45
2017-11-27,74.25
2017-11-28,73.35
2017-11-29,72.0
2017-11-30,72.2
2017-12-01,71.45
2017-12-04,70.15
2017-12-05,71.05
2017-12-06,70.4
2017-12-07,69.95
2017-12-08,70.55
2017-12-11,68.55
2017-12-12,69.6
2017-12-13,69.55
2017-12-14,69.7
2017-12-15,69.9
2017-12-18,69.85
2017-12-19,70.15
2017-12-20,73.6
2017-12-21,74.95
2017-12-22,74.05
2017-12-26,73.65
2017-12-27,71.6
2017-12-28,72.85
2017-12-29,75.05
