Date,JKPAPER
2017-01-02,86.05
2017-01-03,90.5
2017-01-04,92.1
2017-01-05,92.15
2017-01-06,89.95
2017-01-09,91.8
2017-01-10,92.7
2017-01-11,94.55
2017-01-12,91.8
2017-01-13,88.25
2017-01-16,90.55
2017-01-17,90.85
2017-01-18,94.5
2017-01-19,94.5
2017-01-20,94.85
2017-01-23,96.9
2017-01-24,95.6
2017-01-25,93.6
2017-01-27,93.35
2017-01-30,93.35
2017-01-31,92.65
2017-02-01,90.95
2017-02-02,93.5
2017-02-03,93.9
2017-02-06,97.75
2017-02-07,95.9
2017-02-08,96.9
2017-02-09,97.55
2017-02-10,95.3
2017-02-13,93.75
2017-02-14,93.05
2017-02-15,92.25
2017-02-16,92.25
2017-02-17,92.0
2017-02-20,90.85
2017-02-21,90.55
2017-02-22,90.95
2017-02-23,90.95
2017-02-27,90.35
2017-02-28,90.7
2017-03-01,90.2
2017-03-02,88.75
2017-03-03,89.15
2017-03-06,88.45
2017-03-07,90.95
2017-03-08,90.75
2017-03-09,90.5
2017-03-10,91.1
2017-03-14,89.95
2017-03-15,89.85
2017-03-16,91.95
2017-03-17,91.35
2017-03-20,90.9
2017-03-21,90.6
2017-03-22,89.95
2017-03-23,90.15
2017-03-24,94.8
2017-03-27,97.95
2017-03-28,101.25
2017-03-29,96.85
2017-03-30,97.4
2017-03-31,94.5
2017-04-03,94.7
2017-04-05,95.9
2017-04-06,95.25
2017-04-07,96.6
2017-04-10,99.95
2017-04-11,101.85
2017-04-12,103.2
2017-04-13,103.55
2017-04-17,103.3
2017-04-18,101.3
2017-04-19,102.9
2017-04-20,110.65
2017-04-21,107.45
2017-04-24,110.05
2017-04-25,111.0
2017-04-26,107.6
2017-04-27,107.85
2017-04-28,107.15
2017-05-02,110.25
2017-05-03,113.6
2017-05-04,115.45
2017-05-05,112.8
2017-05-08,113.3
2017-05-09,116.55
2017-05-10,117.55
2017-05-11,114.35
2017-05-12,114.7
2017-05-15,119.5
2017-05-16,116.6
2017-05-17,115.3
2017-05-18,109.85
2017-05-19,108.2
2017-05-22,112.2
2017-05-23,107.8
2017-05-24,102.95
2017-05-25,109.2
2017-05-26,109.05
2017-05-29,106.2
2017-05-30,104.9
2017-05-31,104.85
2017-06-01,105.25
2017-06-02,104.95
2017-06-05,105.0
2017-06-06,106.1
2017-06-07,104.85
2017-06-08,104.9
2017-06-09,104.7
2017-06-12,100.9
2017-06-13,99.25
2017-06-14,102.7
2017-06-15,100.95
2017-06-16,99.8
2017-06-19,99.3
2017-06-20,96.6
2017-06-21,98.95
2017-06-22,97.25
2017-06-23,95.0
2017-06-27,92.85
2017-06-28,90.55
2017-06-29,90.35
2017-06-30,90.4
2017-07-03,91.15
2017-07-04,90.9
2017-07-05,90.5
2017-07-06,94.05
2017-07-07,95.35
2017-07-10,98.2
2017-07-11,98.1
2017-07-12,99.6
2017-07-13,98.55
2017-07-14,96.75
2017-07-17,95.9
2017-07-18,94.5
2017-07-19,95.8
2017-07-20,98.1
2017-07-21,96.6
2017-07-24,97.95
2017-07-25,97.1
2017-07-26,95.95
2017-07-27,96.3
2017-07-28,97.8
2017-07-31,97.2
2017-08-01,94.85
2017-08-02,93.4
2017-08-03,91.3
2017-08-04,90.6
2017-08-07,95.45
2017-08-08,95.3
2017-08-09,93.75
2017-08-10,91.5
2017-08-11,89.9
2017-08-14,90.8
2017-08-16,92.2
2017-08-17,93.25
2017-08-18,93.5
2017-08-21,93.15
2017-08-22,93.25
2017-08-23,97.05
2017-08-24,99.25
2017-08-28,100.05
2017-08-29,98.85
2017-08-30,99.55
2017-08-31,102.15
2017-09-01,104.3
2017-09-04,101.3
2017-09-05,106.85
2017-09-06,110.5
2017-09-07,113.55
2017-09-08,112.85
2017-09-11,117.0
2017-09-12,119.9
2017-09-13,115.85
2017-09-14,118.1
2017-09-15,121.2
2017-09-18,122.25
2017-09-19,120.45
2017-09-20,117.45
2017-09-21,119.4
2017-09-22,112.3
2017-09-25,109.95
2017-09-26,106.35
2017-09-27,105.1
2017-09-28,107.15
2017-09-29,108.8
2017-10-03,110.65
2017-10-04,113.1
2017-10-05,118.8
2017-10-06,117.65
2017-10-09,118.1
2017-10-10,117.45
2017-10-11,115.35
2017-10-12,116.1
2017-10-13,114.25
2017-10-16,112.15
2017-10-17,111.8
2017-10-18,113.25
2017-10-19,114.2
2017-10-23,112.8
2017-10-24,113.65
2017-10-25,113.15
2017-10-26,113.7
2017-10-27,112.8
2017-10-30,114.25
2017-10-31,113.35
2017-11-01,113.75
2017-11-02,118.1
2017-11-03,119.95
2017-11-06,117.9
2017-11-07,116.25
2017-11-08,121.2
2017-11-09,125.2
2017-11-10,126.2
2017-11-13,122.95
2017-11-14,118.7
2017-11-15,114.5
2017-11-16,114.9
2017-11-17,114.95
2017-11-20,117.05
2017-11-21,119.3
2017-11-22,118.9
2017-11-23,122.9
2017-11-24,123.55
2017-11-27,125.7
2017-11-28,125.65
2017-11-29,122.6
2017-11-30,120.4
2017-12-01,117.25
2017-12-04,117.85
2017-12-05,116.95
2017-12-06,116.9
2017-12-07,116.8
2017-12-08,128.6
2017-12-11,136.05
2017-12-12,135.95
2017-12-13,133.85
2017-12-14,132.1
2017-12-15,130.55
2017-12-18,131.5
2017-12-19,136.1
2017-12-20,134.05
2017-12-21,141.75
2017-12-22,143.85
2017-12-26,141.55
2017-12-27,138.95
2017-12-28,137.3
2017-12-29,136.95
